"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"NLM00006280","1960","53.1167","6.5831","4.0","EELDE 1, NL","       212","E","        98","E","         3","E","        2","","","","","","","","    80"," ,E,0114, ","  50.8"," ,E,1203, ","","","    861.6"," ,E","",""
"NLM00006280","1961","53.1167","6.5831","4.0","EELDE 1, NL","       181","E","       107","E","         2","E","        0","","","","","","","","    20"," ,E,0205,+","  39.3"," ,E,1017, ","","","    970.8"," ,E","",""
"NLM00006280","1962","53.1167","6.5831","4.0","EELDE 1, NL","       194","E","        96","E","         3","E","        6","","","","","","","","    80"," ,E,1231,+","  33.9"," ,E,0806, ","","","    794.1"," ,E","",""
"NLM00006280","1963","53.1167","6.5831","4.0","EELDE 1, NL","       176","E","        82","E","         0","E","       62","","","","","","","","   150"," ,E,1222,+","  23.0"," ,E,0804, ","","","    676.2"," ,E","",""
"NLM00006280","1964","53.1167","6.5831","4.0","EELDE 1, NL","       177","E","        82","E","         2","E","        9","","","","","","","","    80"," ,E,1230,+","  28.4"," ,E,0905, ","","","    646.1"," ,E","",""
"NLM00006280","1965","53.1167","6.5831","4.0","EELDE 1, NL","       208","E","       110","E","         2","E","        5","","","","","","","","   150"," ,E,1124,+","  48.4"," ,E,0616, ","","","    961.3"," ,E","",""
"NLM00006280","1966","53.1167","6.5831","4.0","EELDE 1, NL","       202","E","       106","E","         0","E","       22","","","","","","","","   150"," ,E,0219,+","  25.3"," ,E,0208, ","","","    918.3"," ,E","",""
"NLM00006280","1967","53.1167","6.5831","4.0","EELDE 1, NL","       214","E","       114","E","         1","E","        1","","","","","","","","    40"," ,E,0106, ","  25.7"," ,E,0227, ","","","    903.9"," ,E","",""
"NLM00006280","1968","53.1167","6.5831","4.0","EELDE 1, NL","       190","E","       100","E","         3","E","       13","","","","","","","","   230"," ,E,0114,+","  35.9"," ,E,0915, ","","","    901.7"," ,E","",""
"NLM00006280","1969","53.1167","6.5831","4.0","EELDE 1, NL","       168","E","        78","E","         3","E","       25","","","","","","","","   150"," ,E,0220,+","  44.6"," ,E,0616, ","","","    726.8"," ,E","",""
"NLM00006280","1970","53.1167","6.5831","4.0","EELDE 1, NL","       186","E","        96","E","         1","E","       24","","","","","","","","   150"," ,E,1231,+","  49.6"," ,E,0915, ","","","    825.0"," ,E","",""
"NLM00006280","1971","53.1167","6.5831","4.0","EELDE 1, NL","       158","E","        63","E","         0","E","        7","","","","","","","","   230"," ,E,0102, ","  25.0"," ,E,1018, ","","","    532.9"," ,E","",""
"NLM00006280","1972","53.1167","6.5831","4.0","EELDE 1, NL","       149","E","        89","E","         0","E","        2","","","","","","","","    40"," ,E,0127,+","  22.5"," ,E,0526, ","","","    733.7"," ,E","",""
"NLM00006280","1973","53.1167","6.5831","4.0","EELDE 1, NL","       169","E","        90","E","         0","E","        7","","","","","","","","   150"," ,E,1203,+","  24.3"," ,E,0715, ","","","    755.1"," ,E","",""
"NLM00006280","1974","53.1167","6.5831","4.0","EELDE 1, NL","       174","E","       108","E","         0","E","        0","","","","","","","","    20"," ,E,1213,+","  21.8"," ,E,1125, ","","","    803.6"," ,E","",""
"NLM00006280","1975","53.1167","6.5831","4.0","EELDE 1, NL","       153","E","        82","E","         2","E","        0","","","","","","","","    20"," ,E,0326, ","  31.7"," ,E,0711, ","","","    671.7"," ,E","",""
"NLM00006280","1976","53.1167","6.5831","4.0","EELDE 1, NL","       155","E","        66","E","         1","E","       17","","","","","","","","    80"," ,E,1218,+","  27.8"," ,E,1130, ","","","    557.7"," ,E","",""
"NLM00006280","1977","53.1167","6.5831","4.0","EELDE 1, NL","       191","E","        94","E","         0","E","        0","","","","","","","","    20"," ,E,0120,+","  19.7"," ,E,0718, ","","","    755.9"," ,E","",""
"NLM00006280","1978","53.1167","6.5831","4.0","EELDE 1, NL","       168","E","        92","E","         0","E","        4","","","","","","","","    80"," ,E,1231, ","  19.6"," ,E,0625, ","","","    687.9"," ,E","",""
"NLM00006280","1979","53.1167","6.5831","4.0","EELDE 1, NL","       195","E","       106","E","         0","E","       62","","","","","","","","   230"," ,E,0219,+","  21.4"," ,E,0809, ","","","    862.6"," ,E","",""
"NLM00006280","1980","53.1167","6.5831","4.0","EELDE 1, NL","       177","E","       105","E","         0","E","       12","","","","","","","","    80"," ,E,1209,+","  19.6"," ,E,1123,+","","","    883.6"," ,E","",""
"NLM00006280","1981","53.1167","6.5831","4.0","EELDE 1, NL","       177","E","       101","E","         1","E","       29","","","","","","","","   150"," ,E,1223,+","  28.8"," ,E,0311, ","","","    790.5"," ,E","",""
"NLM00006280","1982","53.1167","6.5831","4.0","EELDE 1, NL","       162","E","        81","E","         0","E","        2","","","","","","","","    40"," ,E,0109,+","  22.1"," ,E,0105, ","","","    645.1"," ,E","",""
"NLM00006280","1983","53.1167","6.5831","4.0","EELDE 1, NL","       170","E","        97","E","         1","E","        2","","","","","","","","    40"," ,E,1211,+","  25.9"," ,E,1126, ","","","    801.4"," ,E","",""
"NLM00006280","1984","53.1167","6.5831","4.0","EELDE 1, NL","       167","E","        88","E","         3","E","        6","","","","","","","","    80"," ,E,0311,+","  29.3"," ,E,1122, ","","","    783.7"," ,E","",""
"NLM00006280","1985","53.1167","6.5831","4.0","EELDE 1, NL","       176","E","        99","E","         0","E","       23","","","","","","","","   150"," ,E,1129,+","  20.5"," ,E,1109, ","","","    778.6"," ,E","",""
"NLM00006280","1986","53.1167","6.5831","4.0","EELDE 1, NL","       161","E","        85","E","         1","E","       10","","","","","","","","    80"," ,E,0110,+","  36.6"," ,E,0617, ","","","    785.4"," ,E","",""
"NLM00006280","1987","53.1167","6.5831","4.0","EELDE 1, NL","       177","E","        98","E","         0","E","        3","","","","","","","","    40"," ,E,0129,+","  19.2"," ,E,0607, ","","","    793.6"," ,E","",""
"NLM00006280","1988","53.1167","6.5831","4.0","EELDE 1, NL","       194","E","       103","E","         0","E","        1","","","","","","","","    40"," ,E,0301, ","  25.0"," ,E,0105, ","","","    930.0"," ,E","",""
"NLM00006280","1989","53.1167","6.5831","4.0","EELDE 1, NL","       155","E","        79","E","         2","E","        0","","","","","","","","     0"," ,E,1231,+","  37.9"," ,E,0604, ","","","    685.4"," ,E","",""
"NLM00006280","1990","53.1167","6.5831","4.0","EELDE 1, NL","       160","E","        93","E","         1","E","        0","","","","","","","","    20"," ,E,1126, ","  30.5"," ,E,0903, ","","","    792.8"," ,E","",""
"NLM00006280","1991","53.1167","6.5831","4.0","EELDE 1, NL","       136","E","        73","E","         1","E","        5","","","","","","","","    80"," ,E,0217,+","  36.4"," ,E,0711, ","","","    621.6"," ,E","",""
"NLM00006280","1992","53.1167","6.5831","4.0","EELDE 1, NL","       157","E","        84","E","         1","E","        1","","","","","","","","    80"," ,E,0217, ","  26.3"," ,E,0426, ","","","    739.9"," ,E","",""
"NLM00006280","1993","53.1167","6.5831","4.0","EELDE 1, NL","       180","E","       100","E","         3","E","        2","","","","","","","","    40"," ,E,0228,+","  43.5"," ,E,0925, ","","","    913.7"," ,E","",""
"NLM00006280","1994","53.1167","6.5831","4.0","EELDE 1, NL","       190","E","       104","E","         3","E","        0","","","","","","","","     0"," ,E,1231,+","  39.4"," ,E,0914, ","","","    917.3"," ,E","",""
"NLM00006280","1995","53.1167","6.5831","4.0","EELDE 1, NL","       177","E","        92","E","         4","E","        0","","","","","","","","    20"," ,E,1118,+","  30.9"," ,E,0727, ","","","    871.7"," ,E","",""
"NLM00006280","1996","53.1167","6.5831","4.0","EELDE 1, NL","       135","E","        68","E","         1","E","        3","","","","","","","","    80"," ,E,1231,+","  42.9"," ,E,0827, ","","","    594.7"," ,E","",""
"NLM00006280","1997","53.1167","6.5831","4.0","EELDE 1, NL","       167","E","        83","E","         1","E","       12","","","","","","","","    80"," ,E,0102,+","  34.4"," ,E,0521, ","","","    693.6"," ,E","",""
"NLM00006280","1998","53.1167","6.5831","4.0","EELDE 1, NL","       216","E","       136","E","         2","E","        5","","","","","","","","    40"," ,E,1210,+","  34.7"," ,E,0606, ","","","   1134.3"," ,E","",""
"NLM00006280","1999","53.1167","6.5831","4.0","EELDE 1, NL","       194","E","       119","E","         3","E","       12","","","","","","","","    80"," ,E,0215,+","  35.0"," ,E,0805, ","","","    941.1"," ,E","",""
"NLM00006280","2000","53.1167","6.5831","4.0","EELDE 1, NL","       209","E","       114","E","         1","E","        4","","","","","","","","   150"," ,E,1231,+","  36.3"," ,E,0302, ","","","    928.7"," ,E","",""
"NLM00006280","2001","53.1167","6.5831","4.0","EELDE 1, NL","       216","E","       118","E","         3","E","        8","","","","","","","","   150"," ,E,1231,+","  38.9"," ,E,0921, ","","","   1106.0"," ,E","",""
"NLM00006280","2002","53.1167","6.5831","4.0","EELDE 1, NL","       182","E","       102","E","         3","E","        1","","","","","","","","    80"," ,E,0101, ","  31.2"," ,E,0225, ","","","    990.6"," ,E","",""
"NLM00006280","2003","53.1167","6.5831","4.0","EELDE 1, NL","       146","E","        86","E","         3","E","        6","","","","","","","","    40"," ,E,0202,+","  40.8"," ,E,0908, ","","","    751.7"," ,E","",""
"NLM00006280","2004","53.1167","6.5831","4.0","EELDE 1, NL","       194","E","       113","E","         4","E","        2","","","","","","","","    30"," ,E,0226,+","  53.4"," ,E,0812, ","","","    990.3"," ,E","",""
"NLM00006280","2005","53.1167","6.5831","4.0","EELDE 1, NL","       190","E","       111","E","         2","E","       12","","","","","","","","   200"," ,E,0302, ","  35.1"," ,E,0820, ","","","    815.3"," ,E","",""
"NLM00006280","2006","53.1167","6.5831","4.0","EELDE 1, NL","       189","E","        92","E","         1","E","        1","","","","","","","","    30"," ,E,0302, ","  30.6"," ,E,0820, ","","","    746.9"," ,E","",""
"NLM00006280","2007","53.1167","6.5831","4.0","EELDE 1, NL","       196","E","       123","E","         1","E","        0","","","","","","","","    20"," ,E,0209, ","  26.2"," ,E,0118, ","","","   1056.8"," ,E","",""
"NLM00006280","2008","53.1167","6.5831","4.0","EELDE 1, NL","       202","E","        96","E","         2","E","        0","","","","","","","","    10"," ,E,1203,+","  42.1"," ,E,1110, ","","","    850.7"," ,E","",""
"NLM00006280","2009","53.1167","6.5831","4.0","EELDE 1, NL","       193","E","       111","E","         2","E","","","","","","","","","","","  31.1"," ,E,0525, ","","","    833.8"," ,E","",""
"NLM00006280","2010","53.1167","6.5831","4.0","EELDE 1, NL","       187","E","       101","E","         3","E","       32","","","","","","","","   140"," ,E,0111, ","  29.1"," ,E,0712, ","","","    859.5"," ,E","",""
"NLM00006280","2011","53.1167","6.5831","4.0","EELDE 1, NL","       172","E","        96","E","         2","E","        0","","","","","","","","     0"," ,E,1231,+","  32.1"," ,E,0803, ","","","    796.0"," ,E","",""
"NLM00006280","2012","53.1167","6.5831","4.0","EELDE 1, NL","       204","E","       112","E","         1","E","        3","","","","","","","","    40"," ,E,0204, ","  25.9"," ,E,0101, ","","","    896.6"," ,E","",""
"NLM00006280","2013","53.1167","6.5831","4.0","EELDE 1, NL","       187","E","        88","E","         2","E","        6","","","","","","","","   130"," ,E,0122, ","  27.5"," ,E,0907, ","","","    768.3"," ,E","",""
"NLM00006280","2014","53.1167","6.5831","4.0","EELDE 1, NL","       195","E","        89","E","         0","E","        2","","","","","","","","    50"," ,E,0127, ","  21.5"," ,E,0407, ","","","    739.3"," ,E","",""
"NLM00006280","2015","53.1167","6.5831","4.0","EELDE 1, NL","       204","E","       112","E","         1","E","","","","","","","","","","","  30.6"," ,E,0727, ","","","    945.6"," ,E","",""
"NLM00006280","2016","53.1167","6.5831","4.0","EELDE 1, NL","       189","E","        94","E","         0","E","","","","","","","","","","","  19.0"," ,E,1019, ","","","    735.3"," ,E","",""
"NLM00006280","2017","53.1167","6.5831","4.0","EELDE 1, NL","       207","E","       117","E","         1","E","        2","","","","","","","","    50"," ,E,1211, ","  40.5"," ,E,0710, ","","","    985.3"," ,E","",""
"NLM00006280","2018","53.1167","6.5831","4.0","EELDE 1, NL","       152","E","        81","E","         1","E","        0","","","","","","","","    10"," ,E,1216, ","  35.2"," ,E,0429, ","","","    665.1"," ,E","",""
"NLM00006280","2019","53.1167","6.5831","4.0","EELDE 1, NL","       175","E","       101","E","         1","E","        2","","","","","","","","    40"," ,E,0123, ","  26.2"," ,E,0928, ","","","    821.2"," ,E","",""
"NLM00006280","2020","53.1167","6.5831","4.0","EELDE 1, NL","       191","E","       101","E","         1","E","        0","","","","","","","","     0"," ,E,1231,+","  26.5"," ,E,0614, ","","","    851.1"," ,E","",""
"NLM00006280","2022","53.1167","6.5831","4.0","EELDE 1, NL","       153","E","        91","E","         2","E","        0","","","","","","","","    10"," ,E,0403,+","  32.2"," ,E,0918, ","","","    813.4"," ,E","",""
"NLM00006280","2023","53.1167","6.5831","4.0","EELDE 1, NL","       209","E","       125","E","         2","E","        2","","","","","","","","    60"," ,E,1205, ","  37.2"," ,E,1119, ","","","   1128.7"," ,E","",""
