"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023244","1955","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","     59.9","","      59.9","X","        60","X","        34","X","         6","X","        0","","         0","X","         0","X","         8","X","         0","X","       104","X","         2","X","       145"," ","","","","","   -1.7","X,0108, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  56.6"," ,X,1222, ","   32.2","X,0901,+","-0.6","X,1229","","","","","0.0","X,0317","","","","","    1941.8","8","    1941.8","X","    478.3"," ,X","        0"," ,X","     13.21","X","     18.21","X","      8.22","X","","","","","","","","","","","",""
"USW00023244","1956","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","     48.7","","      48.7","X","        51","X","        31","X","         0","X","        0","","         0","X","         0","X","         3","X","         0","X","       101","X","         2","X","       146"," ","","","         1"," ","   -1.1","X,1209, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  24.4"," ,X,0114, ","   33.9","X,0516, ","-1.1","X,1209","","","","","0.0","X,0218","","","","","    1837.0","0","    1837.0","X","    251.4"," ,X","        0"," ,X","     13.42","X","     18.41","X","      8.43","X","","","","","       338","X","","","","","      19.5","X"
"USW00023244","1957","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","     95.6","","      95.6","X","        74","X","        39","X","         1","X","        0","","         0","X","         0","X","         6","X","         0","X","       142","X","         3","X","       115"," ","","","","","   -1.1","X,0131,+","     0"," ,X,1231,+","     0","T,X,0128, ","  34.5"," ,X,0112, ","   33.3","X,0624, ","","","","","","","0.0","X,0204","","","","","    1637.6","6","    1637.6","X","    338.8"," ,X","        0","T,X","     14.36","X","     19.09","X","      9.63","X","","","","","","","","","","","",""
"USW00023244","1958","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    133.5","","     133.5","X","        72","X","        45","X","         5","X","        0","","         0","X","         0","X","         1","X","         0","X","       156","X","         5","X","       136"," ","","","         5"," ","   -1.1","X,1117, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  36.3"," ,X,0218, ","   35.0","X,0926, ","-1.1","X,1117","","","","","","","","","","","    1478.7","7","    1478.7","X","    524.6"," ,X","        0"," ,X","     15.07","X","     19.74","X","     10.40","X","","","","","       360","X","","","","","      23.6","X"
"USW00023244","1959","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    125.6","","     125.6","X","        35","X","        22","X","         3","X","        0","","         0","X","         0","X","         1","X","         0","X","       165","X","         2","X","        87"," ","","","","","    0.0","X,0104, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  49.8"," ,X,0918, ","   35.0","X,0710, ","","","","","","","0.0","X,0104","","","","","    1282.6","6","    1282.6","X","    265.7"," ,X","        0"," ,X","     14.98","X","     20.15","X","      9.81","X","","","","","       135","X","","","","","      28.8","X"
"USW00023244","1960","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    119.2","","     119.2","X","        51","X","        30","X","         2","X","        0","","         0","X","         0","X","         3","X","         0","X","       109","X","         4","X","        99"," ","","","         3"," ","   -2.2","X,0102, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  37.8"," ,X,1125, ","   40.0","X,0602, ","","","","","","","0.0","X,0105","-2.2","X,0102","","","    1422.3","3","    1422.3","X","    314.1"," ,X","        0"," ,X","     14.34","X","     18.79","X","      9.89","X","","","","","       158","X","","","","","      26.7","X"
"USW00023244","1961","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    178.6","","     178.6","X","        61","X","        29","X","         0","X","        0","","         0","X","         0","X","         6","X","         0","X","       120","X","         8","X","        81"," ","","","         3"," ","   -1.1","X,0105, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  23.1"," ,X,1120, ","   38.9","X,0614, ","","","","","","","0.0","X,0118","","","","","    1664.2","2","    1664.2","X","    259.1"," ,X","        0"," ,X","     14.31","X","     19.02","X","      9.61","X","","","","","       203","X","","","","","      23.6","X"
"USW00023244","1962","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","     59.6","","      59.6","X","        46","X","        30","X","         2","X","        1","","         1","X","         0","X","         9","X","         0","X","       110","X","         2","X","        93"," ","","","","","   -1.1","X,1225,+","    25"," ,X,0121, ","    46"," ,X,0121, ","  63.8"," ,X,1013, ","   33.3","X,0827, ","-1.1","X,1225","","","","","-1.1","X,0227","","","","","    1690.9","9","    1690.9","X","    361.4"," ,X","       46"," ,X","     14.01","X","     18.43","X","      9.59","X","","","","","       135","X","","","","","      17.5","X"
"USW00023244","1963","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","     78.1","","      78.1","X","        55","X","        33","X","         3","X","        0","","         0","X","         0","X","         7","X","         0","X","       114","X","         1","X","        85"," ","","","         2"," ","   -2.8","X,0113, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  40.1"," ,X,0131, ","   32.8","X,0726, ","0.0","X,1212","","","","","0.0","X,0121","-2.8","X,0113","","","    1546.8","8","    1546.8","X","    381.2"," ,X","        0"," ,X","     14.26","X","     18.56","X","      9.96","X","","","","","       180","X","","","","","      20.6","X"
"USW00023244","1964","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    110.7","","     110.7","X","        66","X","        36","X","         1","X","        0","","         0","X","         0","X","         0","X","         0","X","       101","X","         4","X","        56"," ","","","         1"," ","    0.6","X,1213, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  49.3"," ,X,0120, ","   33.9","X,0924, ","","","","","","","","","","","","","    1700.0","0","    1700.0","X","    339.7"," ,X","        0"," ,X","     14.08","X","     18.46","X","      9.70","X","","","","","       180","X","","","","","      19.5","X"
"USW00023244","1965","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","     62.2","","      62.2","X","        62","X","        42","X","         0","X","        0","","         0","X","         0","X","         3","X","         0","X","       105","X","         0","X","        85"," ","        16"," ","         8"," ","   -1.7","X,1217, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  22.1"," ,X,0331, ","   31.1","X,1023, ","-1.7","X,1217","","","","","-1.1","X,0101","","","","","    1587.2","2","    1587.2","X","    359.5"," ,X","        0"," ,X","     14.02","X","     18.25","X","      9.80","X","","","","","        90","X","","","","","      18.0","X"
"USW00023244","1966","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    102.9","","     102.9","X","        40","X","        24","X","         0","X","        0","","         0","X","         0","X","         3","X","         0","X","       150","X","         3","X","        67"," ","        14"," ","","","   -1.1","X,1228,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  22.9"," ,X,0129, ","   34.4","X,0929,+","-1.1","X,1228","","","","","-1.1","X,0121","","","","","    1495.4","4","    1495.4","X","    232.7"," ,X","        0"," ,X","     14.70","X","     19.52","X","      9.88","X","","","","","       158","X","","","","","      20.0","X"
"USW00023244","1967","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    159.2","","     159.2","X","        73","X","        34","X","         1","X","        0","","         0","X","         0","X","         0","X","         0","X","       136","X","         3","X","        67"," ","        11"," ","         9"," ","    0.6","X,1213, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  57.2"," ,X,0121, ","   33.9","X,0920, ","","","","","","","","","","","","","    1598.5","5","    1598.5","X","    414.3"," ,X","        0"," ,X","     14.63","X","     19.11","X","     10.15","X","","","","","       360","X","","","","","      19.0","X"
"USW00023244","1968","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    163.6","","     163.6","X","        63","X","        31","X","         1","X","        0","","         0","X","         0","X","         4","X","         0","X","       146","X","         3","X","        82"," ","        19"," ","         4"," ","   -1.1","X,1221, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  55.6"," ,X,0130, ","   35.6","X,0829, ","-1.1","X,1221","","","","","-0.6","X,0106","","","","","    1312.6","6","    1312.6","X","    382.4"," ,X","        0"," ,X","     15.04","X","     19.62","X","     10.45","X","","","","","       158","X","","","","","      18.0","X"
"USW00023244","1969","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    245.6","","     245.6","X","        66","X","        42","X","         0","X","        0","","         0","X","         0","X","         0","X","         0","X","       195","X","         1","X","        60"," ","         9"," ","         9"," ","    0.6","X,0129,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  23.1"," ,X,0228, ","   32.2","X,0505, ","","","","","","","","","","","","","    1247.4","4","    1247.4","X","    440.5"," ,X","        0"," ,X","     15.98","X","     20.89","X","     11.07","X","","","","","       135","X","","","","","      19.0","X"
"USW00023244","1970","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    127.2","","     127.2","X","        65","X","        40","X","         3","X","        0","","         0","X","         0","X","         0","X","         0","X","       119","X","         5","X","        90"," ","         5"," ","         2"," ","    0.6","X,0105, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  70.6"," ,X,1128, ","   33.3","X,1001,+","","","","","","","","","","","","","    1113.9","9","    1113.9","X","    468.2"," ,X","        0"," ,X","     14.83","X","     19.43","X","     10.22","X","","","","","        45","X","","","","","      19.5","X"
"USW00023244","1971","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    200.8","","     200.8","X","        51","X","        25","X","         0","X","        0","","         0","X","         0","X","         0","X","         0","X","       126","X","         4","X","        68"," ","        11"," ","         1"," ","    0.6","X,0104, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  16.3"," ,X,1226, ","   40.6","X,0914, ","","","","","","","","","","","","","    1646.4","4","    1646.4","X","    209.1"," ,X","        0"," ,X","     14.45","X","     19.02","X","      9.88","X","","","","","       170","X","","","","","      19.5","X"
"USW00023244","1972","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    150.0","","     150.0","X","        52","X","        27","X","         4","X","        0","","         0","X","         0","X","         7","X","         0","X","       152","X","         3","X","       129"," ","        14"," ","         5"," ","   -1.7","X,1211,+","     0"," ,X,1231,+","     0","T,X,1207, ","  35.8"," ,X,1110, ","   38.3","X,0714, ","0.0","X,1208","","","","","0.0","X,0105","","","","","    1458.5","5","    1458.5","X","    334.1"," ,X","        0","T,X","     14.88","X","     19.35","X","     10.41","X","","","","","       160","X","","","","","      16.4","X"
"USW00023244","1973","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    212.8","","     212.8","X","        72","X","        50","X","         3","X","        0","","         0","X","         0","X","         0","X","         0","X","       164","X","         9","X","       117"," ","         8"," ","         1"," ","    0.6","X,0107,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  33.3"," ,X,1130, ","   37.2","X,0608, ","","","","","","","","","","","","","    1319.3","3","    1319.3","X","    510.2"," ,X","        0"," ,X","     15.65","X","     20.17","X","     11.12","X","","","","","       190","X","","","","","      18.0","X"
"USW00023244","1974","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    174.3","","     174.3","X","        55","X","        27","X","         2","X","        0","","         0","X","         0","X","         0","X","         0","X","       155","X","         1","X","        80"," ","         7"," ","         7"," ","    0.6","X,0109, ","     0"," ,X,1231,+","     0","T,X,0107, ","  42.7"," ,X,0103, ","   34.4","X,0911, ","","","","","","","","","","","","","    1355.9","9","    1355.9","X","    287.9"," ,X","        0","T,X","     14.92","X","     19.65","X","     10.19","X","","","","","       350","X","","","","","      19.0","X"
"USW00023244","1975","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","     80.1","","      80.1","X","        63","X","        27","X","         1","X","        0","","         0","X","         0","X","         2","X","         0","X","       101","X","         2","X","       108"," ","        11"," ","         4"," ","   -1.1","X,0130, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  30.2"," ,X,0307, ","   34.4","X,0529, ","","","","","","","-1.1","X,0130","","","","","    1521.0","0","    1521.0","X","    269.8"," ,X","        0"," ,X","     13.80","X","     18.72","X","      8.88","X","","","","","       150","X","","","","","      20.6","X"
"USW00023244","1976","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    278.2","","     278.2","X","        44","X","        23","X","         0","X","        0","","         0","X","         0","X","         5","X","         0","X","       189","X","        15","X","        78"," ","        17"," ","         7"," ","    0.0","X,1229,+","     0"," ,X,1231,+","     0","T,X,0302,+","  23.6"," ,X,0302, ","   40.0","X,0624, ","0.0","X,1129","","","","","","","","","","","    1562.8","8","    1562.8","X","    174.1"," ,X","        0","T,X","     15.47","X","     21.06","X","      9.88","X","","","","","       160","X","","","","","      16.4","X"
"USW00023244","1977","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    201.7","","     201.7","X","        62","X","        32","X","         1","X","        0","","         0","X","         0","X","         0","X","         0","X","       186","X","         6","X","        83"," ","        18"," ","         5"," ","    0.6","X,0314,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  30.5"," ,X,0315, ","   37.8","X,0829, ","","","","","","","","","","","","","    1354.9","9","    1354.9","X","    254.2"," ,X","        0"," ,X","     15.38","X","     20.78","X","      9.99","X","","","","","       160","X","","","","","      21.6","X"
"USW00023244","1978","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    306.0","","     306.0","X","        63","X","        41","X","         2","X","        0","","         0","X","         0","X","         2","X","         0","X","       189","X","        12","X","        62"," ","         8"," ","         5"," ","   -1.1","X,1230, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  29.5"," ,X,0114, ","   35.0","X,1013,+","-0.6","X,1208","","","","","","","","","","","     967.9","9","     967.9","X","    443.3"," ,X","        0"," ,X","     16.07","X","     21.22","X","     10.93","X","","","","","","","","","","","",""
"USW00023244","1979","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    330.9","","     330.9","X","        65","X","        41","X","         3","X","        0","","         0","X","         0","X","         0","X","         0","X","       184","X","         7","X","        65"," ","        11"," ","         4"," ","    0.6","X,0203,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  32.3"," ,X,1223, ","   39.4","X,0911, ","","","","","","","","","","","","","    1322.2","2","    1322.2","X","    445.1"," ,X","        0"," ,X","     15.96","X","     20.99","X","     10.92","X","","","","","       160","X","","","","","      20.6","X"
"USW00023244","1980","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    166.9","","     166.9","X","        57","X","        33","X","         3","X","        0","","         0","X","         0","X","         0","X","         0","X","       167","X","         4","X","","","","","","","    1.7","X,1212,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  37.8"," ,X,0216, ","   34.4","X,1002, ","","","","","","","","","","","","","    1122.8","8","    1122.8","X","    397.1"," ,X","        0"," ,X","     15.57","X","     20.53","X","     10.61","X","","","","","       180","X","","","","","      23.6","X"
"USW00023244","1981","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    255.3","","     255.3","X","        68","X","        42","X","         2","X","        0","","         0","X","         0","X","         0","X","         0","X","       174","X","        13","X","","","","","","","    3.3","X,1228,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  42.7"," ,X,1113, ","   35.6","X,0621,+","","","","","","","","","","","","","    1138.1","1","    1138.1","X","    403.5"," ,X","        0"," ,X","     16.07","X","     20.97","X","     11.16","X","","","","","       170","X","","","","","      18.0","X"
"USW00023244","1982","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    165.2","","     165.2","X","        70","X","        48","X","         3","X","        0","","         0","X","         0","X","         0","X","         0","X","       158","X","         4","X","","","","","","","    0.6","X,0110,+","     0"," ,X,1231,+","     0","T,X,0329,+","  68.6"," ,X,0104, ","   35.6","X,0524, ","","","","","","","","","","","","","    1292.7","7","    1292.7","X","    558.9"," ,X","        0","T,X","     14.99","X","     19.60","X","     10.39","X","","","","","","","","","","","",""
"USW00023244","1983","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    324.3","","     324.3","X","        91","X","        60","X","         7","X","        0","","         0","X","         0","X","         0","X","         0","X","       174","X","         8","X","","","","","","","    0.6","X,0101, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  55.9"," ,X,1110, ","   36.7","X,0912,+","","","","","","","","","","","","","    1239.8","8","    1239.8","X","    797.9"," ,X","        0"," ,X","     16.13","X","     20.50","X","     11.75","X","","","","","","","","","","","",""
"USW00023244","1984","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    382.3","","     382.3","X","        58","X","        34","X","         0","X","        0","","         0","X","         0","X","         0","X","         0","X","       175","X","        13","X","","","         1"," ","","","    1.1","X,1225,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  25.1"," ,X,1112, ","   37.8","X,0908, ","","","","","","","","","","","","","    1073.0","0","    1073.0","X","    280.7"," ,X","        0"," ,X","     16.05","X","     21.13","X","     10.97","X","","","","","","","","","","","",""
"USW00023244","1985","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    260.9","","     260.9","X","        47","X","        24","X","         0","X","        0","","         0","X","         0","X","         2","X","         0","X","       178","X","         7","X","","","         6"," ","","","   -0.6","X,1212, ","     0","T,X,1021,+","     0","T,X,1021,+","  20.1"," ,X,0306, ","   36.1","X,1003,+","-0.6","X,1212","","","","","","","","","","","    1321.0","0","    1321.0","X","    238.5"," ,X","        0","T,X","     15.27","X","     20.32","X","     10.23","X","","","","","       110","X","","","","","      20.0","X"
"USW00023244","1986","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","","","    189.8","","     189.8","X","        59","X","        38","X","         1","X","        0","","         0","X","         0","X","         0","X","         0","X","       203","X","         1","X","        62"," ","         5"," ","         1"," ","    2.2","X,0411, ","     0"," ,X,1231,+","     0","T,X,0506,+","  67.8"," ,X,0214, ","   35.6","X,0609, ","","","","","","","","","","","","","    1084.3","3","    1084.3","X","    412.1"," ,X","        0","T,X","     16.30","X","     21.38","X","     11.22","X","","","","","       170","X","","","","","      21.6","X"
"USW00023244","1987","37.4058","-122.0481","11.9","MOFFETT FEDERAL AIRFIELD, CA US","       2.3","X","    271.6","","     271.6","X","        52","X","        31","X","         0","X","        0","","         0","X","         0","X","         0","X","         0","X","       188","X","         8","X","        77"," ","         2"," ","","","    1.1","X,1226, ","     0"," ,X,1231,+","     0","T,X,0223,+","  21.1"," ,X,0213, ","   37.8","X,1005, ","","","","","","","","","","","","","    1074.1","1","    1074.1","X","    255.4"," ,X","        0","T,X","     16.14","X","     20.89","X","     11.38","X","","","","","       120","X","","","","","      21.1","X"
