"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023065","1923","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    383.7","","     383.7","6","        87","6","        52","6","         8","6","","","","","         4","6","       167","6","        15","6","       146","6","        15","6","","","","","","","  -24.4","6,1231, ","","","","","  48.3"," ,6,0522, ","   36.7","6,0731, ","-2.2","6,1013","-2.2","6,1013","-4.4","6,1029","-8.3","6,1030","-12.8","6,1210","-1.1","6,0516","-3.9","6,0424","-6.1","6,0408","-9.4","6,0331","-9.4","6,0331","    3167.8","8","","","    3167.8","6","","","","","","","","","","","    716.7"," ,6","","","     10.15","6","     17.43","6","      2.87","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1924","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    464.2","","     464.2","6","        78","6","        41","6","         3","6","","","","","        18","6","       156","6","        42","6","       159","6","        47","6","","","","","","","  -26.7","6,1224, ","","","","","  45.7"," ,6,0911, ","   39.4","6,0716, ","-1.7","6,1005","-7.2","6,1106","-7.2","6,1106","-7.2","6,1106","-11.1","6,1205","-1.1","6,0515","-2.2","6,0510","-5.0","6,0427","-7.2","6,0331","-12.8","6,0320","    3566.5","5","","","    3566.5","6","","","","","","","","","","","    452.2"," ,6","","","      9.62","6","     17.16","6","      2.08","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1925","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    634.7","","     634.7","6","        68","6","        34","6","         4","6","","","","","         6","6","       145","6","        23","6","       166","6","        60","6","","","","","","","  -22.2","6,0101, ","","","","","  60.5"," ,6,0820, ","   41.1","6,0715, ","0.0","6,1008","-3.9","6,1018","-7.2","6,1019","-7.2","6,1019","-12.2","6,1028","-1.1","6,0501","-2.8","6,0429","-5.6","6,0327","-7.8","6,0318","-16.7","6,0314","    3202.6","6","","","    3202.6","6","","","","","","","","","","","    448.6"," ,6","","","     11.42","6","     18.91","6","      3.94","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1926","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    588.0","","     588.0","6","        65","6","        31","6","         2","6","","","","","         4","6","       160","6","        18","6","       173","6","        53","6","","","","","","","  -21.1","6,1215, ","","","","","  58.4"," ,6,0905, ","   41.1","6,0826, ","-1.1","6,0924","-6.1","6,0925","-6.1","6,0925","-6.7","6,1109","-11.7","6,1118","-2.2","6,0425","-2.2","6,0425","-6.1","6,0405","-9.4","6,0403","-9.4","6,0403","    3143.2","2","","","    3143.2","6","","","","","","","","","","","    347.4"," ,6","","","     11.43","6","     19.18","6","      3.69","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1927","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    478.2","","     478.2","6","        91","6","        42","6","         3","6","","","","","         9","6","       138","6","        27","6","       175","6","        44","6","","","","","","","  -25.0","6,1231, ","","","","","  32.5"," ,6,0605, ","   37.8","6,0627, ","-1.1","6,0926","-2.2","6,1102","-4.4","6,1106","-6.7","6,1114","-8.9","6,1116","0.0","6,0510","-5.6","6,0421","-5.6","6,0421","-12.2","6,0321","-12.2","6,0321","    3217.0","0","","","    3217.0","6","","","","","","","","","","","    407.0"," ,6","","","     10.99","6","     18.80","6","      3.17","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1928","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    358.9","","     358.9","6","        84","6","        48","6","         6","6","","","         6","6","         1","6","       150","6","        15","6","       172","6","        34","6","","","","","","","  -26.1","6,0101, ","","","   114"," ,6,0315, ","  45.5"," ,6,0618, ","   37.8","6,0819, ","0.0","6,0921","-3.9","6,1022","-6.7","6,1101","-6.7","6,1101","-10.6","6,1102","0.0","6,0504","-3.3","6,0415","-9.4","6,0414","-9.4","6,0414","-9.4","6,0414","    3127.6","6","","","    3127.6","6","","","","","","","","","","","    656.5"," ,6","      368"," ,6","     10.65","6","     18.18","6","      3.11","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1929","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    515.3","","     515.3","6","        73","6","        40","6","         4","6","","","","","        12","6","       157","6","        39","6","       156","6","        53","6","","","","","","","  -23.9","6,0208, ","","","","","  35.6"," ,6,0420, ","   38.3","6,0801,+","-1.1","6,1023","-3.9","6,1024","-6.7","6,1031","-6.7","6,1031","-8.9","6,1110","0.0","6,0502","-3.3","6,0413","-6.1","6,0411","-7.2","6,0401","-11.1","6,0301","    3424.6","6","","","    3424.6","6","","","","","","","","","","","    484.6"," ,6","","","      9.88","6","     17.33","6","      2.43","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1930","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    514.6","","     514.6","6","        68","6","        41","6","         9","6","","","         5","6","        12","6","       159","6","        25","6","       179","6","        45","6","","","","","","","  -28.9","6,0117, ","","","   203"," ,6,1120, ","  72.4"," ,6,1011, ","   39.4","6,0802, ","-0.6","6,1016","-2.8","6,1021","-6.1","6,1107","-8.3","6,1116","-10.6","6,1122","-1.7","6,0518","-2.8","6,0402","-6.1","6,0401","-9.4","6,0329","-9.4","6,0329","    3312.4","4","","","    3312.4","6","","","","","","","","","","","    680.1"," ,6","      519"," ,6","     10.85","6","     18.60","6","      3.11","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1931","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    692.9","","     692.9","6","        58","6","        31","6","         0","6","","","        12","6","         2","6","       146","6","        22","6","       177","6","        72","6","","","","","","","  -19.4","6,0327, ","","","   229"," ,6,0326, ","  21.8"," ,6,1010, ","   40.0","6,0905,+","-1.1","6,1028","-3.9","6,1030","-8.3","6,1031","-8.3","6,1031","-8.9","6,1120","-1.1","6,0522","-2.2","6,0426","-6.7","6,0421","-6.7","6,0421","-10.6","6,0331","    3132.9","9","","","    3132.9","6","","","","","","","","","","","    287.5"," ,6","      845"," ,6","     11.94","6","     19.79","6","      4.09","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1932","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    594.2","","     594.2","6","","","","","","","","","","","        12","6","       153","6","        28","6","       186","6","        60","6","","","","","","","  -27.8","6,1212, ","","","","","","","   40.0","6,0718, ","0.0","6,1004","-5.0","6,1005","-5.0","6,1005","-6.7","6,1019","-8.9","6,1115","-0.6","6,0428","-3.9","6,0426","-6.7","6,0330","-6.7","6,0330","-8.9","6,0314","    3061.9","9","","","    3061.9","6","","","","","","","","","","","","","","","     11.06","6","     19.01","6","      3.10","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1933","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    676.8","","     676.8","6","        59","6","        39","6","         7","6","","","         6","6","         5","6","       135","6","         8","6","       182","6","        77","6","","","","","","","  -30.0","6,0209, ","","","    51"," ,6,0305, ","  58.2"," ,6,0828, ","   40.6","6,0630, ","-1.1","6,1021","-5.6","6,1104","-5.6","6,1104","-8.9","6,1105","-8.9","6,1105","-1.1","6,0415","-8.3","6,0414","-8.3","6,0414","-8.3","6,0414","-9.4","6,0310","    3194.0","0","","","    3194.0","6","","","","","","","","","","","    589.8"," ,6","      197"," ,6","     12.47","6","     20.83","6","      4.11","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1934","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    879.9","","     879.9","6","        68","6","        29","6","         1","6","","","         7","6","         2","6","       132","6","         8","6","       201","6","        91","6","","","","","","","  -18.3","6,0226, ","","","   102"," ,6,0210, ","  34.0"," ,6,0816, ","   42.2","6,0808,+","-0.6","6,0921","-3.3","6,0926","-6.7","6,1122","-6.7","6,1122","-9.4","6,1128","-2.2","6,0420","-2.2","6,0420","-7.8","6,0330","-7.8","6,0330","-8.9","6,0324","    2466.8","8","","","    2466.8","6","","","","","","","","","","","    267.4"," ,6","      437"," ,6","     13.64","6","     22.28","6","      5.00","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1935","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    684.3","","     684.3","6","        71","6","        31","6","         3","6","","","","","         4","6","       153","6","        12","6","       167","6","        66","6","","","","","","","  -26.1","6,0121, ","","","","","  70.6"," ,6,0825, ","   41.1","6,0730, ","0.0","6,0927","-3.3","6,1023","-8.3","6,1031","-8.3","6,1031","-9.4","6,1101","-1.7","6,0505","-6.7","6,0412","-6.7","6,0412","-6.7","6,0412","-8.9","6,0307","    2760.3","3","","","    2760.3","6","","","","","","","","","","","    362.7"," ,6","","","     12.04","6","     19.87","6","      4.20","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1936","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    865.1","","     865.1","6","        62","6","        22","6","         4","6","","","         7","6","        16","6","       154","6","        30","6","       179","6","        84","6","","","","","","","  -30.0","6,0208, ","","","    51"," ,6,0405, ","  54.4"," ,6,0729, ","   43.3","6,0725,+","0.0","6,0928","-2.8","6,1021","-7.2","6,1022","-7.2","6,1022","-8.9","6,1102","-2.2","6,0422","-2.2","6,0422","-13.3","6,0406","-13.3","6,0406","-13.3","6,0406","    3250.5","5","","","    3250.5","6","","","","","","","","","","","    326.0"," ,6","      365"," ,6","     11.95","6","     20.12","6","      3.78","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1937","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    784.1","","     784.1","6","        82","6","        37","6","         1","6","","","","","        11","6","       148","6","        36","6","       182","6","        89","6","","","","","","","  -25.6","6,0108, ","","","","","  36.3"," ,6,0608, ","   42.2","6,0809, ","-1.1","6,1022","-3.3","6,1103","-4.4","6,1115","-6.7","6,1117","-11.7","6,1118","-3.3","6,0427","-3.3","6,0427","-5.6","6,0330","-7.2","6,0328","-9.4","6,0325","    3289.1","1","","","    3289.1","6","","","","","","","","","","","    326.9"," ,6","","","     11.41","6","     19.33","6","      3.49","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1938","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    784.0","","     784.0","6","        79","6","        35","6","         3","6","","","","","         1","6","       133","6","        13","6","       189","6","        83","6","","","","","","","  -20.6","6,0130, ","","","","","  51.6"," ,6,0829, ","   42.2","6,0802, ","-1.1","6,1020","-6.7","6,1023","-6.7","6,1023","-6.7","6,1023","-11.1","6,1107","-0.6","6,0507","-5.6","6,0409","-5.6","6,0409","-9.4","6,0408","-9.4","6,0408","    2814.8","8","","","    2814.8","6","","","","","","","","","","","    434.0"," ,6","","","     12.96","6","     20.94","6","      4.97","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1939","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    784.4","","     784.4","6","        74","6","        41","6","         2","6","","","","","         4","6","       137","6","        18","6","       196","6","        89","6","","","","","","","  -21.1","6,0210, ","","","","","  55.1"," ,6,0731, ","   42.8","6,0720, ","0.0","6,0926","-2.2","6,1017","-4.4","6,1030","-6.7","6,1102","-9.4","6,1103","-2.2","6,0421","-2.2","6,0421","-8.9","6,0406","-8.9","6,0406","-8.9","6,0406","    2876.4","4","","","    2876.4","6","","","","","","","","","","","    427.4"," ,6","","","     12.79","6","     21.14","6","      4.45","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1940","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    607.1","","     607.1","6","        90","6","        46","6","         5","6","","","","","        12","6","       145","6","        44","6","       178","6","        62","6","","","","","","","  -23.3","6,0118, ","","","","","  66.3"," ,6,0903, ","   43.9","6,0725, ","-1.7","6,1015","-2.2","6,1104","-5.6","6,1105","-13.3","6,1110","-13.3","6,1110","-3.3","6,0418","-3.3","6,0418","-11.7","6,0412","-11.7","6,0412","-11.7","6,0412","    3088.9","9","","","    3088.9","6","","","","","","","","","","","    520.9"," ,6","","","     11.13","6","     18.47","6","      3.78","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1941","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    527.4","","     527.4","6","","","","","","","","","","","         5","6","       148","6","        32","6","       157","6","        52","6","","","","","","","  -20.0","6,1228, ","","","","","","","   37.2","6,0903,+","-1.1","6,1027","-2.8","6,1030","-5.6","6,1031","-7.2","6,1120","-13.3","6,1122","-0.6","6,0421","-3.3","6,0420","-4.4","6,0328","-6.7","6,0317","-10.6","6,0313","    3035.2","2","","","    3035.2","6","","","","","","","","","","","","","","","     11.18","6","     18.16","6","      4.20","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1942","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    489.1","","     489.1","6","       102","6","        49","6","         5","6","","","","","         8","6","       156","6","        27","6","       162","6","        49","6","","","","","","","  -26.1","6,0104, ","","","","","  74.9"," ,6,0418, ","   39.4","6,0713, ","-5.6","6,0926","-5.6","6,0926","-5.6","6,0926","-6.7","6,1110","-13.3","6,1122","0.0","6,0518","-3.3","6,0409","-4.4","6,0331","-6.7","6,0330","-12.2","6,0227","    3305.7","7","","","    3305.7","6","","","","","","","","","","","    645.9"," ,6","","","     10.44","6","     17.76","6","      3.11","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1943","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    621.0","","     621.0","6","        74","6","        39","6","         3","6","","","","","         7","6","       148","6","        17","6","       174","6","        68","6","","","","","","","  -26.7","6,0119, ","","","","","  56.9"," ,6,0605, ","   41.7","6,0823, ","-3.3","6,1015","-3.3","6,1015","-6.1","6,1102","-7.8","6,1122","-10.0","6,1126","0.0","6,0516","-2.2","6,0414","-5.0","6,0322","-10.0","6,0321","-10.0","6,0321","    3146.4","4","","","    3146.4","6","","","","","","","","","","","    460.9"," ,6","","","     11.39","6","     19.92","6","      2.86","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1944","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    453.4","","     453.4","6","","","","","","","","","        15","6","         3","6","       170","6","        31","6","       156","6","        37","6","","","","","","","  -20.0","6,0211, ","","","   193"," ,6,0422, ","","","   37.2","6,0901,+","0.0","6,1011","-3.9","6,1103","-5.6","6,1114","-7.8","6,1116","-9.4","6,1126","-0.6","6,0506","-3.9","6,0505","-4.4","6,0420","-10.0","6,0418","-10.0","6,0418","    3411.3","3","","","    3411.3","6","","","","","","","","","","","","","     1338"," ,6","      9.78","6","     16.95","6","      2.61","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1945","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    421.3","","     421.3","6","        76","6","        41","6","         2","6","","","","","         5","6","       178","6","        31","6","       166","6","        43","6","","","","","","","  -21.7","6,0131, ","","","","","  38.1"," ,6,0820, ","   38.9","6,0731,+","-1.7","6,0927","-2.2","6,0929","-6.7","6,1024","-6.7","6,1024","-8.9","6,1118","-1.1","6,0522","-2.8","6,0516","-4.4","6,0414","-7.8","6,0405","-12.8","6,0404","    3429.7","7","","","    3429.7","6","","","","","","","","","","","    365.9"," ,6","","","      9.79","6","     17.70","6","      1.88","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1946","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    550.8","","     550.8","6","","","","","","","","","         7","6","         5","6","       157","6","        10","6","       167","6","        58","6","","","","","","","  -22.8","6,1229, ","","","    84"," ,6,0305, ","","","   40.6","6,0615, ","0.0","6,0922","-2.2","6,1011","-10.0","6,1109","-10.0","6,1109","-10.0","6,1109","-1.7","6,0511","-2.2","6,0411","-12.2","6,0308","-12.2","6,0308","-12.2","6,0308","    3176.2","2","","","    3176.2","6","","","","","","","","","","","","","      380"," ,6","     11.02","6","     19.09","6","      2.94","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1947","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    576.8","","     576.8","6","","","","","","","","","         9","6","         6","6","       162","6","        34","6","       157","6","        59","6","","","","","","","  -22.2","6,0104,+","","","    74"," ,6,1204,+","","","   40.0","6,0729, ","0.0","6,1024","-2.8","6,1101","-5.0","6,1105","-10.0","6,1106","-10.0","6,1106","-1.1","6,0529","-3.3","6,0425","-5.0","6,0406","-10.0","6,0315","-10.0","6,0315","    3599.8","8","","","    3599.8","6","","","","","","","","","","","","","      625"," ,6","     10.04","6","     17.60","6","      2.48","6","","","","","","","","","","","","","","","","","",""
"USW00023065","1948","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    563.4","","     563.4","0","        85","0","        38","0","         2","0","       56","","        10","0","        15","0","       167","0","        45","0","       181","0","        57","0","        71"," ","","","        60"," ","  -28.9","0,0311,+","   203"," ,0,0311,+","   157"," ,0,0301, ","  47.0"," ,0,0615, ","   38.3","0,0901, ","-1.1","0,1006","-2.8","0,1010","-5.6","0,1011","-7.8","0,1017","-11.1","0,1119","-1.1","6,0512","-2.2","6,0413","-6.7","6,0327","-6.7","6,0327","-16.1","6,0313","    3547.3","3","","","    3547.3","0","","","","","","","","","","","    425.1"," ,0","      791"," ,0","      9.98","0","     17.81","0","      2.16","0","","","","","","","","","","","","","","","","","",""
"USW00023065","1949","39.36729","-101.69322","1110.5","GOODLAND RENNER FIELD, KS US","","","    431.7","","     431.7","0","        95","0","        44","0","         5","0","       25","","         9","0","        17","0","       161","0","        34","0","       167","0","        39","0","       101"," ","","","        64"," ","  -23.3","0,0129, ","   229"," ,0,0330, ","   168"," ,0,0330, ","  39.4"," ,0,0725, ","   37.8","0,0720,+","0.0","0,1020","-2.8","0,1021","-5.0","0,1031","-7.8","0,1120","-10.6","0,1121","-1.7","0,0415","-6.7","0,0404","-6.7","0,0404","-6.7","0,0404","-12.2","0,0401","    3641.0","0","","","    3641.0","0","","","","","","","","","","","    547.8"," ,0","      833"," ,0","     10.04","0","     17.73","0","      2.35","0","","","","","","","","","","","","","","","","","",""
