"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FRM00007591","1991","44.567","6.5","876.0","EMBRUN, FR","        88","S","        47","S","         4","S","","","","","         3","S","       125","S","         8","S","","","  41.7"," ,S,0930, ","   32.8","S,0707,+","","","","","","","","","","","","","","","","","    626.7"," ,S","","","     17.50","S","",""
"FRM00007591","1992","44.567","6.5","876.0","EMBRUN, FR","","","","","","","","","","","         0","S","       123","S","         1","S","","","","","   33.4","S,0819, ","","","","","","","","","","","","","","","","","","","","","     17.37","S","",""
"FRM00007591","1993","44.567","6.5","876.0","EMBRUN, FR","       104","S","        55","S","         5","S","","","","","         0","S","       111","S","         0","S","","","  38.9"," ,S,0711, ","   31.9","S,0821,+","","","","","","","","","","","","","","","","","    608.9"," ,S","","","     16.83","S","",""
"FRM00007591","1994","44.567","6.5","876.0","EMBRUN, FR","        95","S","        51","S","         4","S","","","","","         0","S","       112","S","        10","S","","","  40.9"," ,S,0107, ","   33.6","S,0809, ","","","","","","","","","","","","","","","","","    670.8"," ,S","","","     17.20","S","",""
"FRM00007591","1996","44.567","6.5","876.0","EMBRUN, FR","       114","S","        65","S","         5","S","","","","","         4","S","        95","S","         0","S","",""," 103.4"," ,S,1116, ","   31.3","S,0726, ","","","","","","","","","","","","","","","","","    838.3"," ,S","","","     15.51","S","",""
"FRM00007591","1997","44.567","6.5","876.0","EMBRUN, FR","","","","","","","         0","S","        85","S","         2","S","       126","S","         0","S","   -9.1","S,1204, ","","","   31.6","S,0810, ","-0.3","S,1014","-3.6","S,1115","-7.0","S,1203","-7.0","S,1203","-9.1","S,1204","-0.1","S,0424","-2.4","S,0422","-4.5","S,0112","","","     11.27","S","     17.49","S","      5.04","S"
"FRM00007591","1998","44.567","6.5","876.0","EMBRUN, FR","        79","S","        46","S","         0","S","","","","","","","","","","","","","  23.9"," ,S,1025,+","","","","","","","","","","","","","","","","","","","    453.1"," ,S","","","","","",""
"FRM00007591","1999","44.567","6.5","876.0","EMBRUN, FR","","","","","","","","","","","         4","S","       130","S","         1","S","","","","","   34.0","S,0825, ","","","","","","","","","","","","","","","","","","","","","     16.50","S","",""
"FRM00007591","2000","44.567","6.5","876.0","EMBRUN, FR","","","","","","","","","","","         0","S","       129","S","         5","S","","","","","   35.0","S,0826, ","","","","","","","","","","","","","","","","","","","","","     17.03","S","",""
"FRM00007591","2001","44.567","6.5","876.0","EMBRUN, FR","","","","","","","","","","","         1","S","       120","S","         6","S","","","","","   33.7","S,0801, ","","","","","","","","","","","","","","","","","","","","","     17.14","S","",""
"FRM00007591","2003","44.567","6.5","876.0","EMBRUN, FR","        97","S","        48","S","         6","S","","","","","         1","S","       141","S","        32","S","","","  66.5"," ,S,1101, ","   36.0","S,0813,+","","","","","","","","","","","","","","","","","    631.7"," ,S","","","     18.10","S","",""
"FRM00007591","2004","44.567","6.5","876.0","EMBRUN, FR","        96","S","        47","S","         5","S","","","","","         2","S","       138","S","         7","S","","","  39.1"," ,S,0113, ","   34.6","S,0723, ","","","","","","","","","","","","","","","","","    516.0"," ,S","","","     17.17","S","",""
"FRM00007591","2005","44.567","6.5","876.0","EMBRUN, FR","        89","S","        44","S","         3","S","","","","","         5","S","       133","S","         8","S","","","  39.9"," ,S,0705, ","   34.4","S,0728, ","","","","","","","","","","","","","","","","","    508.1"," ,S","","","     16.69","S","",""
"FRM00007591","2006","44.567","6.5","876.0","EMBRUN, FR","       106","S","        63","S","         6","S","","","","","         0","S","       135","S","        10","S","","","  37.6"," ,S,1207, ","   33.2","S,0723, ","","","","","","","","","","","","","","","","","    683.7"," ,S","","","     17.67","S","",""
"FRM00007591","2007","44.567","6.5","876.0","EMBRUN, FR","        90","S","        43","S","         1","S","","","","","         0","S","       142","S","         7","S","","","  35.3"," ,S,0302, ","   33.8","S,0828, ","","","","","","","","","","","","","","","","","    471.8"," ,S","","","     17.91","S","",""
"FRM00007591","2010","44.567","6.5","876.0","EMBRUN, FR","       121","S","        58","S","         4","S","","","","","        11","S","       128","S","         8","S","","","  35.8"," ,S,1025, ","   33.1","S,0714, ","","","","","","","","","","","","","","","","","    614.1"," ,S","","","     15.81","S","",""
"FRM00007591","2011","44.567","6.5","876.0","EMBRUN, FR","        90","S","        52","S","         7","S","","","","","         1","S","       155","S","         8","S","","","  67.3"," ,S,1105, ","   34.5","S,0822, ","","","","","","","","","","","","","","","","","    647.0"," ,S","","","     18.72","S","",""
"FRM00007591","2012","44.567","6.5","876.0","EMBRUN, FR","       103","S","        60","S","         3","S","","","","","         9","S","       148","S","        16","S","","","  62.7"," ,S,1111, ","   36.1","S,0822, ","","","","","","","","","","","","","","","","","    731.9"," ,S","","","     17.94","S","",""
"FRM00007591","2013","44.567","6.5","876.0","EMBRUN, FR","       138","S","        67","S","         5","S","","","","","         1","S","       129","S","         6","S","","","  43.4"," ,S,0723, ","   34.0","S,0804, ","","","","","","","","","","","","","","","","","    806.6"," ,S","","","     16.75","S","",""
"FRM00007591","2014","44.567","6.5","876.0","EMBRUN, FR","       137","S","        69","S","         2","S","","","","","         0","S","       148","S","         2","S","","","  59.2"," ,S,1105, ","   33.2","S,0609, ","","","","","","","","","","","","","","","","","    738.3"," ,S","","","     17.70","S","",""
"FRM00007591","2015","44.567","6.5","876.0","EMBRUN, FR","        91","S","        47","S","         4","S","","","","","         0","S","       133","S","        19","S","","","  34.3"," ,S,0502, ","   36.7","S,0707, ","","","","","","","","","","","","","","","","","    503.1"," ,S","","","     18.51","S","",""
"FRM00007591","2016","44.567","6.5","876.0","EMBRUN, FR","       114","S","        65","S","         4","S","","","","","         1","S","       121","S","         6","S","","","  47.0"," ,S,1105, ","   34.0","S,0720, ","","","","","","","","","","","","","","","","","    837.1"," ,S","","","     17.56","S","",""
"FRM00007591","2017","44.567","6.5","876.0","EMBRUN, FR","        91","S","        54","S","         4","S","","","","","         1","S","       146","S","        16","S","","","  56.9"," ,S,1211, ","   35.4","S,0803, ","","","","","","","","","","","","","","","","","    687.9"," ,S","","","     18.25","S","",""
"FRM00007591","2018","44.567","6.5","876.0","EMBRUN, FR","       121","S","        69","S","         2","S","","","","","         2","S","       160","S","         6","S","","","  35.8"," ,S,0312, ","   33.7","S,0801, ","","","","","","","","","","","","","","","","","    690.8"," ,S","","","     17.97","S","",""
"FRM00007591","2019","44.567","6.5","876.0","EMBRUN, FR","       104","S","        52","S","         9","S","","","","","         0","S","       141","S","        17","S","","","  49.3"," ,S,1221, ","   38.4","S,0628, ","","","","","","","","","","","","","","","","","    794.9"," ,S","","","     18.57","S","",""
"FRM00007591","2020","44.567","6.5","876.0","EMBRUN, FR","       104","S","        65","S","         6","S","","","","","         1","S","       143","S","        13","S","","","  43.7"," ,S,1003, ","   35.7","S,0801, ","","","","","","","","","","","","","","","","","    806.3"," ,S","","","     18.42","S","",""
