"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00012909","1959","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","","","   1675.2","","    1675.2","X","        80","X","        36","X","         6","X","        0","","         0","X","         0","X","        22","X","         0","X","       250","X","       122","X","       115"," ","","","        42"," ","   -6.1","X,0122,+","     0"," ,X,1231,+","     0","T,X,0105, "," 103.4"," ,X,1004, ","   37.8","X,0901,+","-2.2","X,1107","-2.2","X,1107","-5.0","X,1118","","","-2.2","X,0306","-2.2","X,0306","-6.1","X,0122","","","","","     983.5","5","     983.5","X","    667.1"," ,X","        0","T,X","     19.99","X","     25.82","X","     14.17","X","","","       180","X","","","      21.6","X"
"USW00012909","1960","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","","","   1589.7","","    1589.7","X","        85","X","        45","X","         7","X","        0","","         0","X","         0","X","        22","X","         0","X","       250","X","       119","X","       116"," ","","","        33"," ","   -5.6","X,0225,+","     0"," ,X,1231,+","     0","T,X,1213,+","  83.1"," ,X,0624, ","   40.0","X,0616, ","-0.6","X,1216","-2.2","X,1217","","","","","0.0","X,0303","-5.6","X,0225","-5.6","X,0225","","","","","    1145.8","8","    1145.8","X","    799.3"," ,X","        0","T,X","     19.58","X","     25.16","X","     14.01","X","","","       338","X","","","      20.6","X"
"USW00012909","1961","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","","","   1501.4","","    1501.4","X","        71","X","        35","X","         6","X","        0","","         0","X","         0","X","        23","X","         0","X","       270","X","        92","X","       106"," ","","","        25"," ","   -3.9","X,1229, ","     0"," ,X,1231,+","     0","T,X,0125, ","  72.1"," ,X,0722, ","   36.7","X,0522, ","0.0","X,1212","-2.2","X,1213","","","","","-1.1","X,0225","-2.8","X,0130","","","","","","","    1029.9","9","    1029.9","X","    618.8"," ,X","        0","T,X","     19.61","X","     25.42","X","     13.80","X","","","","","","","",""
"USW00012909","1962","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","","","   1834.3","","    1834.3","X","        58","X","        27","X","         5","X","        0","","         0","X","         0","X","        20","X","         2","X","       287","X","       132","X","        92"," ","","","        26"," ","  -12.2","X,0112, ","     0"," ,X,1231,+","     0","T,X,0314,+","  40.9"," ,X,0602, ","   41.1","X,0813, ","0.0","X,1206","","","","","","","0.0","X,0316","-2.8","X,0302","-8.9","X,0113","-8.9","X,0113","-8.9","X,0113","     954.2","2","     954.2","X","    397.0"," ,X","        0","T,X","     20.87","X","     27.07","X","     14.68","X","","","        23","X","","","      28.3","X"
"USW00012909","1963","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","","","   1895.3","","    1895.3","X","        56","X","        30","X","         6","X","        0","","         0","X","         0","X","        30","X","         1","X","       270","X","       127","X","       102"," ","","","        26"," ","   -8.9","X,0124, ","     0"," ,X,1231,+","     0","T,X,1222,+"," 104.9"," ,X,1024, ","   38.3","X,0616, ","-0.6","X,1203","-2.2","X,1222","-4.4","X,1223","","","0.0","X,0306","-2.8","X,0214","-5.0","X,0125","-8.9","X,0124","-8.9","X,0124","     948.8","8","     948.8","X","    565.3"," ,X","        0","T,X","     20.64","X","     26.58","X","     14.71","X","","","","","","","",""
"USW00012909","1964","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","","","   1679.6","","    1679.6","X","        75","X","        39","X","         9","X","        0","","         0","X","         0","X","        24","X","         0","X","       271","X","       109","X","       119"," ","","","        40"," ","  -10.0","X,0114, ","     0"," ,X,1231,+","    18"," ,X,0221, "," 108.7"," ,X,1104, ","   41.1","X,0726, ","-1.1","X,1201","-2.8","X,1214","","","","","0.0","X,0310","-2.2","X,0223","-10.0","X,0114","-10.0","X,0114","-10.0","X,0114","    1066.1","1","    1066.1","X","    808.2"," ,X","       18"," ,X","     20.20","X","     25.99","X","     14.42","X","","","","","","","",""
"USW00012909","1965","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","","","   1501.1","","    1501.1","X","        84","X","        42","X","         9","X","        1","","         1","X","         0","X","        17","X","         0","X","       267","X","        93","X","       124"," ","","","        46"," ","   -3.9","X,0224, ","    25"," ,X,0224, ","    30"," ,X,0224, ","  90.2"," ,X,0518, ","   37.2","X,0916, ","0.0","X,1130","","","","","","","-0.6","X,0321","-2.8","X,0320","","","","","","","     991.7","7","     991.7","X","    823.3"," ,X","       30"," ,X","     19.96","X","     25.24","X","     14.68","X","","","","","","","",""
"USW00012909","1966","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","","","   1599.5","","    1599.5","X","        71","X","        35","X","         6","X","        1","","         1","X","         0","X","        28","X","         0","X","       273","X","        96","X","       122"," ","","","        42"," ","   -7.2","X,0130, ","    76"," ,X,0223, ","    51"," ,X,0222, ","  44.7"," ,X,0518, ","   37.8","X,0805,+","0.0","X,1103","-3.3","X,1211","-4.4","X,1213","","","-2.2","X,0306","-2.2","X,0306","-7.2","X,0130","-7.2","X,0130","","","     909.4","4","     909.4","X","    515.5"," ,X","       64"," ,X","     20.08","X","     25.80","X","     14.37","X","","","","","","","",""
"USW00012909","1967","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","","","   1733.4","","    1733.4","X","        62","X","        34","X","         6","X","        0","","         0","X","         0","X","        17","X","         0","X","       280","X","        99","X","       106"," ","","","        29"," ","   -5.0","X,0104, ","     0"," ,X,1231,+","     0","T,X,1210,+"," 161.3"," ,X,0921, ","   39.4","X,0624, ","-1.1","X,1203","-3.9","X,1223","","","","","0.0","X,0223","-2.8","X,0209","-5.0","X,0104","","","","","     745.1","1","     745.1","X","    659.1"," ,X","        0","T,X","     20.98","X","     26.72","X","     15.23","X","","","       293","X","","","      30.8","X"
"USW00012909","1968","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","       141"," ","","","        43"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1031.6","6","    1031.6"," ","","","","","","","","","","","","","","","","","",""
"USW00012909","1969","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","","","   1565.0","","    1565.0","X","        77","X","        47","X","        10","X","        0","","         0","X","         0","X","        10","X","         0","X","       262","X","        93","X","       144"," ","","","        40"," ","   -5.6","X,0105, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  67.6"," ,X,0503, ","   40.0","X,0812, ","-1.1","X,1115","","","","","","","-2.2","X,0112","-2.2","X,0112","-5.6","X,0105","","","","","","","","","    947.1"," ,X","        0"," ,X","     20.27","X","     25.67","X","     14.87","X","","","       260","X","","","      19.0","X"
"USW00012909","1970","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","","","   1593.1","","    1593.1","X","        79","X","        41","X","         7","X","        0","","         0","X","         0","X","        20","X","         0","X","       262","X","        99","X","       134"," ","","","        39"," ","   -8.9","X,0107, ","     0"," ,X,1231,+","     0","T,X,0220,+"," 118.6"," ,X,0514, ","   40.0","X,0812, ","-2.8","X,1116","-2.8","X,1116","","","","","0.0","X,0210","-2.2","X,0204","-5.6","X,0108","-8.9","X,0107","-8.9","X,0107","     928.8","8","     928.8","X","    640.0"," ,X","        0","T,X","     20.11","X","     25.60","X","     14.62","X","","","","","","","",""
"USW00012909","2018","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","        55"," ","         4"," ","        23"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00012909","2019","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","       3.5","W","   1847.8","","    1847.8","W","        72","W","        27","W","         7","W","","","","","         0","W","        19","W","         0","W","       272","W","       130","W","       101"," ","        10"," ","        30"," ","   -4.3","W,1219, ","","","","","  55.1"," ,W,1024, ","   39.4","W,0813,+","0.0","W,1101","-2.7","W,1218","","","","","-1.6","W,0305","","","","","","","","","","","","","    481.0"," ,W","","","     21.36","W","     27.39","W","     15.32","W","       360","W","","","      13.9","W","",""
"USW00012909","2020","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","       3.5","W","   1934.3","","    1934.3","W","","","","","","","","","","","         0","W","         8","W","         0","W","       301","W","       144","W","       102"," ","        13"," ","        37"," ","   -3.2","W,0227, ","","","","","","","   42.2","W,0713, ","0.0","W,1130","-2.7","W,1201","","","","","-3.2","W,0227","-3.2","W,0227","","","","","","","     686.6","6","     686.6","W","","","","","     22.02","W","     28.55","W","     15.49","W","       330","W","","","      13.0","W","",""
"USW00012909","2021","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","       3.2","W","   1737.1","","    1737.1","W","        75","W","        44","W","        12","W","","","","","         0","W","        14","W","         5","W","       312","W","       114","W","        97"," ","        13"," ","        50"," ","  -12.1","W,0215, ","","","","","  60.5"," ,W,1013, ","   37.8","W,0920, ","","","","","","","","","-6.6","W,0219","-6.6","W,0219","-6.6","W,0219","-9.3","W,0216","-9.3","W,0216","     751.5","5","     751.5","W","    861.7"," ,W","","","     21.22","W","     27.11","W","     15.33","W","       360","W","","","      17.9","W","",""
"USW00012909","2022","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","       3.7","W","   2099.9","","    2099.9","W","        53","W","        27","W","         2","W","","","","","         0","W","        30","W","         0","W","       287","W","       156","W","        84"," ","         9"," ","        25"," ","   -8.8","W,1223, ","","","","","  51.3"," ,W,0203, ","   41.7","W,0711, ","-0.5","W,1218","-6.6","W,1222","-6.6","W,1222","-8.8","W,1223","-3.8","W,0313","-3.8","W,0313","-7.1","W,0205","-7.1","W,0205","","","     751.2","2","     751.2","W","    314.2"," ,W","","","     21.54","W","     28.34","W","     14.74","W","       320","W","","","      17.9","W","",""
"USW00012909","2023","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","       3.5","W","   2088.2","","    2088.2","W","        82","W","        45","W","         4","W","","","","","         0","W","        11","W","         0","W","       300","W","       129","W","       145"," ","        14"," ","        33"," ","   -1.0","W,1211,+","","","","","  65.5"," ,W,0513, ","   41.1","W,0817,+","-1.0","W,1211","","","","","","","-0.5","W,0218","","","","","","","","","     705.3","3","     705.3","W","    534.7"," ,W","","","     22.36","W","     28.65","W","     16.06","W","       320","W","","","      16.5","W","",""
"USW00012909","2024","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","","","   2351.5","","    2351.5","D","","","","","","","","","","","         0","D","         9","D","         1","D","       314","D","       171","D","       101"," ","        13"," ","        34"," ","   -8.2","D,0117, ","","","","","","","   42.8","D,0821, ","-0.6","D,1212","","","","","","","-1.6","W,0120","-8.2","W,0117","-8.2","W,0117","-8.2","W,0117","","","     633.3","3","     633.3","D","","","","","     23.39","D","     29.57","D","     17.20","D","","","","","","","",""
"USW00012909","2025","29.38333","-98.58333","207.9","SAN ANTONIO KELLY FIELD AFB, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","        24"," ","         2"," ","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
