"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00205637","1969","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","        18"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1970","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","        24"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1971","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","        25"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1972","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","        27"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1973","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","        25"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1974","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","        18"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1975","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","        16"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1976","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","        12"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1977","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","        15"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1978","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","        18"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1979","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","        14"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1981","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1982","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        21"," ","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1983","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","         3"," ","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1984","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        31"," ","        15"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1985","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        11"," ","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1986","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","         9"," ","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1987","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        24"," ","        15"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1988","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        18"," ","        32"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1989","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","         7"," ","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1990","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        30"," ","        18"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1991","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        22"," ","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1992","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","         2"," ","        15"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1993","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","         9"," ","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1995","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","        19"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1996","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","         8"," ","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1997","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        16"," ","         5"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1998","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","         1"," ","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1999","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","         4"," ","        19"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","2001","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","         7"," ","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","2002","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","         3"," ","        11"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","2003","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","         5"," ","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","2004","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        12"," ","        16"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
