"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00041300","1917","35.88333","-118.68333","900.1","CALIF HOT SPRINGS, CA US","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00041300","1918","35.88333","-118.68333","900.1","CALIF HOT SPRINGS, CA US","    526.7","","     526.7","6","","","","","","","         0","6","       127","6","         0","6","       177","6","        47","6","","","","","   -8.9","6,0120, ","","","   36.7","6,0612, ","0.0","6,1105","-2.8","6,1126","-5.0","6,1127","-7.2","6,1129","-0.6","6,0527","-4.4","6,0415","-4.4","6,0415","-7.8","6,0404","-8.9","6,0120","","","","","","","     13.07","6","     21.09","6","      5.05","6"
"USC00041300","1919","35.88333","-118.68333","900.1","CALIF HOT SPRINGS, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    2496.1","1","    2496.1","6","","","","","","","",""
"USC00041300","1926","35.88333","-118.68333","900.1","CALIF HOT SPRINGS, CA US","","","","","","","","","","","","","","","","","","","","","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00041300","1927","35.88333","-118.68333","900.1","CALIF HOT SPRINGS, CA US","","","","","        45","6","        37","6","        10","6","","","","","","","","","","","","","","","","","  47.5"," ,6,1031, ","","","","","","","","","","","","","","","","","","","","","","","","","    662.6"," ,6","","","","","",""
"USC00041300","1928","35.88333","-118.68333","900.1","CALIF HOT SPRINGS, CA US","     54.3","","      54.3","6","        27","6","        19","6","         7","6","         0","6","        93","6","         0","6","       147","6","        23","6","","","","","   -7.2","6,1219,+","  78.7"," ,6,0325, ","   35.6","6,0714, ","0.0","6,1111","-2.2","6,1201","-4.4","6,1214","-6.7","6,1215","-0.6","6,0509","-2.2","6,0217","-5.0","6,0125","-6.7","6,0118","","","","","","","    443.5"," ,6","     11.21","6","     19.96","6","      2.45","6"
"USC00041300","1929","35.88333","-118.68333","900.1","CALIF HOT SPRINGS, CA US","    448.0","","     448.0","6","","","","","","","         0","6","        78","6","         0","6","       182","6","        33","6","","","","","   -8.9","6,0208, ","","","   37.8","6,0813, ","0.0","6,1106","","","","","","","0.0","6,0426","-2.2","6,0424","-5.0","6,0408","-6.7","6,0210","-8.9","6,0208","    2583.2","2","    2583.2","6","","","     13.28","6","     20.78","6","      5.77","6"
"USC00041300","1930","35.88333","-118.68333","900.1","CALIF HOT SPRINGS, CA US","    350.9","","     350.9","6","","","","","","","         0","6","        66","6","         0","6","       185","6","        14","6","","","","","   -8.3","6,0108, ","","","   35.0","6,0714, ","0.0","6,1114","-2.2","6,1115","-4.4","6,1220","","","0.0","6,0508","-2.2","6,0316","-4.4","6,0228","-6.7","6,0111","","","    2129.2","2","    2129.2","6","","","     12.75","6","     19.64","6","      5.86","6"
"USC00041300","1931","35.88333","-118.68333","900.1","CALIF HOT SPRINGS, CA US","    533.1","","     533.1","6","        53","6","        41","6","         6","6","         0","6","        69","6","         0","6","       197","6","        37","6","","","","","   -7.8","6,1123, ","  51.6"," ,6,1228, ","   39.4","6,0824, ","-1.1","6,1112","-3.3","6,1116","-6.7","6,1122","-6.7","6,1122","-2.2","6,0329","-2.2","6,0329","","","","","","","    2044.6","6","    2044.6","6","    583.5"," ,6","     13.85","6","     20.60","6","      7.10","6"
"USC00041300","1932","35.88333","-118.68333","900.1","CALIF HOT SPRINGS, CA US","","","","","        42","6","        40","6","         2","6","","","","","","","","","","","","","","","","","  34.8"," ,6,0320, ","","","","","","","","","","","","","","","","","","","","","    2564.9","9","    2564.9","6","    437.5"," ,6","","","","","",""
"USC00041300","1933","35.88333","-118.68333","900.1","CALIF HOT SPRINGS, CA US","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00041300","1934","35.88333","-118.68333","900.1","CALIF HOT SPRINGS, CA US","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00041300","1936","35.88333","-118.68333","900.1","CALIF HOT SPRINGS, CA US","    674.5","","     674.5","6","","","","","","","         0","6","        57","6","         0","6","       235","6","        80","6","","","","","   -3.9","6,0401, ","","","   38.9","6,0723,+","-1.1","6,1103","-2.2","6,1201","","","","","0.0","6,0406","-3.9","6,0401","","","","","","","","","","","","","     15.45","6","     23.75","6","      7.16","6"
"USC00041300","1937","35.88333","-118.68333","900.1","CALIF HOT SPRINGS, CA US","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00041300","1940","35.88333","-118.68333","900.1","CALIF HOT SPRINGS, CA US","","","","","        63","6","        51","6","        13","6","","","","","","","","","","","","","","","",""," 167.6"," ,6,0111, ","","","","","","","","","","","","","","","","","","","","","","","","","   1119.5"," ,6","","","","","",""
"USC00041300","1942","35.88333","-118.68333","900.1","CALIF HOT SPRINGS, CA US","","","","","        45","6","        35","6","         5","6","","","","","","","","","","","","","","","","","  50.8"," ,6,1224, ","","","","","","","","","","","","","","","","","","","","","","","","","    515.8"," ,6","","","","","",""
"USC00041300","1949","35.88333","-118.68333","900.1","CALIF HOT SPRINGS, CA US","","","","","        52","0","        37","0","         5","0","","","","","","","","","","","","","","","","","  53.6"," ,0,0119, ","","","","","","","","","","","","","","","","","","","","","","","","","    498.8"," ,0","","","","","",""
