"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00294366","2004","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    574.8","","     574.8","0","        49","0","        27","0","         0","0","","","         5","0","         0","0","       105","0","         2","0","       200","0","        59","0","  -16.7","0,0129,+","","","    51"," ,0,1129, ","  22.4"," ,0,0726, ","   36.7","0,0715, ","","","-1.1","0,1014","-2.2","0,1102","-11.1","0,1130","-11.1","0,1130","-11.1","0,1130","0.0","0,0412","-2.2","0,0301","-4.4","0,0218","-10.6","0,0217","-10.6","0,0217","    2330.0","0","    2330.0","0","    271.5"," ,0","      187"," ,0","     12.86","0","     20.95","0","      4.78","0"
"USC00294366","2006","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","","","","","        59","0","        41","0","         1","0","        7","","         6","0","","","","","","","","","","","","","   584"," ,0,1230, ","   330"," ,0,1230, ","  30.5"," ,0,1230, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    374.4"," ,0","      851"," ,0","","","","","",""
"USC00294366","2008","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    557.4","","     557.4","0","        42","0","        27","0","         3","0","","","         5","0","         0","0","       146","0","         7","0","       191","0","        62","0","  -15.0","0,0117, ","","","    51"," ,0,1223,+","  41.4"," ,0,1005, ","   37.8","0,0617, ","","","-3.3","0,1023","-3.3","0,1023","-5.6","0,1116","-7.8","0,1227","-11.1","0,1228","-1.1","0,0429","-2.2","0,0418","-7.8","0,0308","-7.8","0,0308","-8.9","0,0205","","","","","    258.1"," ,0","      221"," ,0","     12.63","0","     20.70","0","      4.56","0"
"USC00294366","2013","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    724.3","","     724.3","7","        51","7","        18","7","         2","7","        1","","         0","7","         1","7","       134","7","        11","7","       180","7","        66","7","  -17.8","7,0114, ","    25"," ,7,1207, ","    13"," ,7,1207, ","  33.3"," ,7,0726, ","   41.1","7,0628, ","    2518.9","7","-1.7","7,1017","-2.2","7,1020","-5.6","7,1124","-13.3","7,1206","-13.3","7,1206","-2.2","7,0425","-2.2","7,0425","-4.4","7,0326","-8.3","7,0325","-8.9","7,0228","","","","","    223.3"," ,7","       13"," ,7","     12.66","7","     20.51","7","      4.81","7"
"USC00294366","2014","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    675.4","","     675.4","7","        47","7","        21","7","         0","7","        1","","         1","7","         0","7","       126","7","         4","7","       196","7","        64","7","  -12.8","7,0125,+","    76"," ,7,0205, ","    91"," ,7,0205, ","  14.5"," ,7,1205, ","   38.3","7,0727, ","    2530.0","7","0.0","7,1106","-2.2","7,1112","-7.2","7,1113","-7.2","7,1113","-8.9","7,1117","0.0","7,0417","-4.4","7,0321","-4.4","7,0321","-6.7","7,0222","-9.4","7,0207","    2629.5","5","    2629.5","7","    157.7"," ,7","       91"," ,7","     13.47","7","     21.53","7","      5.42","7"
"USC00294366","2015","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    2364.4","4","    2364.4","7","","","","","","","","","",""
"USC00294366","2018","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","","","","","        49","7","        20","7","         1","7","        0","","         0","7","","","","","","","","","","","","","     0"," ,7,1231,+","     0"," ,7,1231,+","  27.2"," ,7,0706, ","","","    2506.3","7","","","","","","","","","","","","","","","","","","","","","","","","","    194.0"," ,7","        0"," ,7","","","","","",""
"USC00294366","2019","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","","","","","","","","","","","        0","","         0","7","","","","","","","","","","","","","     0"," ,7,1231,+","     0"," ,7,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    2656.5","5","    2656.5","7","","","        0"," ,7","","","","","",""
"USC00294366","2022","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","","","","","","","","","","","        0","","         0","7","","","","","","","","","","","","","     0"," ,7,1231,+","     0"," ,7,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,7","","","","","",""
"USC00294366","2024","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","","","","","","","","","","","        0","","         0","7","","","","","","","","","","","","","     0"," ,7,1231,+","     0"," ,7,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,7","","","","","",""
