"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00002044","1999","28.7333","-113.75","444.7","SAN BORJA, MX","    752.0","","     752.0","m","         6","m","         4","m","         0","m","         0","m","         0","m","         0","m","       255","m","        56","m","    1.7","m,0206, ","  14.0"," ,m,0711, ","   38.9","m,1014,+","","","","","","","","","","","","","    1125.4","4","    1125.4","m","     29.0"," ,m","     17.66","m","     25.25","m","     10.06","m"
"MXN00002044","2000","28.7333","-113.75","444.7","SAN BORJA, MX","    796.8","","     796.8","m","        15","m","        12","m","         1","m","         0","m","         0","m","         0","m","       265","m","        74","m","    1.7","m,0206, ","  25.9"," ,m,0916, ","   40.6","m,0909, ","","","","","","","","","","","","","     776.2","2","     776.2","m","    148.5"," ,m","     18.15","m","     25.82","m","     10.48","m"
"MXN00002044","2001","28.7333","-113.75","444.7","SAN BORJA, MX","   1304.0","","    1304.0","m","        19","m","        10","m","         1","m","         0","m","         0","m","         0","m","       297","m","       129","m","    1.7","m,1214, ","  25.9"," ,m,0405, ","   41.7","m,0926,+","","","","","","","","","","","","","     691.7","7","     691.7","m","    116.8"," ,m","     20.46","m","     28.45","m","     12.47","m"
"MXN00002044","2002","28.7333","-113.75","444.7","SAN BORJA, MX","   1273.3","","    1273.3","m","         9","m","         6","m","         0","m","         0","m","         0","m","         0","m","       319","m","       114","m","    1.7","m,0131, ","  14.0"," ,m,0909, ","   45.6","m,0815,+","","","","","","","","","","","","","     392.8","8","     392.8","m","     49.0"," ,m","     20.80","m","     29.09","m","     12.50","m"
"MXN00002044","2003","28.7333","-113.75","444.7","SAN BORJA, MX","   1138.6","","    1138.6","m","        21","m","        15","m","         0","m","         0","m","         0","m","         0","m","       314","m","        94","m","    2.8","m,1227, ","  22.9"," ,m,0814, ","   41.7","m,0811, ","","","","","","","","","","","","","     355.6","6","     355.6","m","    160.0"," ,m","     20.41","m","     28.21","m","     12.61","m"
"MXN00002044","2004","28.7333","-113.75","444.7","SAN BORJA, MX","    884.6","","     884.6","m","        25","m","        19","m","         1","m","         0","m","         0","m","         0","m","       270","m","        73","m","    3.9","m,1202,+","  34.8"," ,m,0905, ","   41.7","m,0605, ","","","","","","","","","","","","","     492.4","4","     492.4","m","    190.3"," ,m","     19.07","m","     26.16","m","     11.98","m"
"MXN00002044","2005","28.7333","-113.75","444.7","SAN BORJA, MX","    838.7","","     838.7","m","        20","m","        11","m","         0","m","         0","m","         0","m","         0","m","       268","m","        50","m","    3.9","m,0606, ","  19.3"," ,m,0120, ","   40.6","m,0622,+","","","","","","","","","","","","","     708.3","3","     708.3","m","    112.2"," ,m","     18.98","m","     25.19","m","     12.77","m"
"MXN00002044","2006","28.7333","-113.75","444.7","SAN BORJA, MX","    791.5","","     791.5","m","        15","m","        11","m","         2","m","         0","m","         0","m","         0","m","       265","m","        45","m","    2.8","m,1230,+","  53.8"," ,m,1023, ","   45.0","m,0718,+","","","","","","","","","","","","","     578.2","2","     578.2","m","    125.3"," ,m","     18.72","m","     24.94","m","     12.51","m"
"MXN00002044","2007","28.7333","-113.75","444.7","SAN BORJA, MX","    553.7","","     553.7","m","        16","m","        10","m","         1","m","         0","m","         1","m","         0","m","       197","m","        15","m","    0.0","m,0121, ","  62.0"," ,m,1201, ","   40.6","m,0620, ","","","","","","","0.0","m,0121","","","","","     847.7","7","     847.7","m","    118.8"," ,m","     17.21","m","     22.51","m","     11.91","m"
"MXN00002044","2008","28.7333","-113.75","444.7","SAN BORJA, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     942.5","5","     942.5","m","","","","","","","",""
"MXN00002044","2009","28.7333","-113.75","444.7","SAN BORJA, MX","   1051.2","","    1051.2","m","         9","m","         5","m","         0","m","         0","m","         0","m","         0","m","       253","m","        90","m","    0.6","m,0410, ","  17.3"," ,m,0103, ","   41.7","m,0830, ","","","","","","","","","","","","","","","","","     48.4"," ,m","     19.30","m","     26.02","m","     12.57","m"
"MXN00002044","2010","28.7333","-113.75","444.7","SAN BORJA, MX","   1055.6","","    1055.6","m","        16","m","         9","m","         2","m","         0","m","         0","m","         0","m","       303","m","        92","m","    2.8","m,1128, ","  59.9"," ,m,0121, ","   43.9","m,0904,+","","","","","","","","","","","","","     492.0","0","     492.0","m","    148.8"," ,m","     19.96","m","     27.68","m","     12.24","m"
"MXN00002044","2011","28.7333","-113.75","444.7","SAN BORJA, MX","   1245.9","","    1245.9","m","         8","m","         6","m","         0","m","         0","m","         2","m","         0","m","       296","m","       112","m","    0.0","m,0409,+","  10.9"," ,m,1213,+","   47.8","m,0616, ","","","","","","","0.0","m,0409","","","","","     455.8","8","     455.8","m","     55.4"," ,m","     20.35","m","     27.80","m","     12.90","m"
"MXN00002044","2012","28.7333","-113.75","444.7","SAN BORJA, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     467.2","2","     467.2"," ","","","","","","","",""
