"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"GRW00033209","1988","35.53333","24.15","146.3","SOUDA BAY CRETE, GR","","","   1061.0","","    1061.0","X","        74","X","        48","X","         6","X","        0","","         0","X","         0","X","         0","X","         0","X","       204","X","        59","X","       155"," ","","","        17"," ","    2.2","X,0118, ","     0"," ,X,1231,+","     0","T,X,1217,+","  43.7"," ,X,1023, ","   37.8","X,0708, ","","","","","     998.6","6","     998.6","X","    584.2"," ,X","        0","T,X","     18.24","X","     22.71","X","     13.76","X","       280","X","      27.8","X"
"GRW00033209","1989","35.53333","24.15","146.3","SOUDA BAY CRETE, GR","       3.5","X","","","","","        50","X","        34","X","         6","X","        0","","         0","X","","","","","         0","X","       211","X","        29","X","        43"," ","","","         8"," ","","","     0"," ,X,1231,+","     0","T,X,0211,+","  70.4"," ,X,1128, ","   37.2","X,0910,+","","","","","","","","","    537.8"," ,X","        0","T,X","","","     22.01","X","","","","","",""
"GRW00033209","1990","35.53333","24.15","146.3","SOUDA BAY CRETE, GR","       2.6","X","    855.0","","     855.0","X","        58","X","        29","X","         0","X","        0","","         0","X","         0","X","         0","X","         0","X","       217","X","        32","X","        21"," ","","","         8"," ","    2.2","X,0122, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  24.1"," ,X,1108, ","   37.2","X,0613, ","","","","","     906.8","8","     906.8","X","    271.2"," ,X","        0"," ,X","     18.19","X","     22.56","X","     13.83","X","       280","X","      27.8","X"
"GRW00033209","1991","35.53333","24.15","146.3","SOUDA BAY CRETE, GR","       3.0","X","    938.6","","     938.6","X","        80","X","        55","X","         4","X","        0","","         0","X","         0","X","         0","X","         0","X","       206","X","        49","X","         3"," ","         1"," ","         6"," ","    2.2","X,1217,+","     0"," ,X,1231,+","     0","T,X,1230,+","  78.2"," ,X,1210, ","   37.8","X,1002,+","","","","","    1044.2","2","    1044.2","X","    665.5"," ,X","        0","T,X","     17.75","X","     22.37","X","     13.14","X","       320","X","      21.6","X"
"GRW00033209","1992","35.53333","24.15","146.3","SOUDA BAY CRETE, GR","       2.9","X","    924.6","","     924.6","X","        64","X","        33","X","         5","X","        0","","         1","X","         0","X","         0","X","         0","X","       210","X","        39","X","         7"," ","","","        12"," ","    1.1","X,0223,+","     0"," ,X,1231,+","    28"," ,X,0223, ","  73.7"," ,X,0312, ","   40.0","X,0709, ","","","","","    1220.7","7","    1220.7","X","    495.2"," ,X","       28"," ,X","     17.67","X","     22.07","X","     13.28","X","       230","X","      26.7","X"
"GRW00033209","1993","35.53333","24.15","146.3","SOUDA BAY CRETE, GR","       3.2","X","    947.3","","     947.3","X","        68","X","        42","X","         6","X","        0","","         0","X","         0","X","         0","X","         0","X","       206","X","        43","X","        37"," ","","","        16"," ","    1.1","X,0220,+","     0"," ,X,1231,+","     0","T,X,0328,+"," 101.9"," ,X,0219, ","   41.1","X,0827, ","","","","","    1150.0","0","    1150.0","X","    689.0"," ,X","        0","T,X","     17.85","X","     22.37","X","     13.32","X","       220","X","      26.7","X"
"GRW00033209","1994","35.53333","24.15","146.3","SOUDA BAY CRETE, GR","       2.6","X","   1069.9","","    1069.9","X","        66","X","        48","X","         7","X","        0","","         0","X","         0","X","         0","X","         0","X","       208","X","        37","X","        12"," ","         1"," ","        18"," ","    2.8","X,1220,+","     0","T,X,0129, ","     0","T,X,0129, ","  79.0"," ,X,0128, ","   38.9","X,0812, ","","","","","     891.2","2","     891.2","X","    665.3"," ,X","        0","T,X","     18.63","X","     22.62","X","     14.64","X","       330","X","      22.6","X"
"GRW00033209","1995","35.53333","24.15","146.3","SOUDA BAY CRETE, GR","       2.5","X","    972.0","","     972.0","X","        62","X","        36","X","         0","X","        0","","         0","X","         0","X","         0","X","         0","X","       193","X","        33","X","         8"," ","         1"," ","        17"," ","    3.9","X,0324,+","     0"," ,X,1231,+","     0","T,X,1123,+","  24.4"," ,X,0115, ","   40.0","X,0626, ","","","","","     971.1","1","     971.1","X","    318.9"," ,X","        0","T,X","     18.24","X","     22.18","X","     14.30","X","       270","X","      20.6","X"
"GRW00033209","1996","35.53333","24.15","146.3","SOUDA BAY CRETE, GR","       3.2","X","    899.5","","     899.5","X","        82","X","        62","X","         8","X","        0","","         0","X","         0","X","         0","X","         0","X","       201","X","        31","X","        12"," ","","","        19"," ","    0.6","X,1216, ","     0"," ,X,1231,+","     0"," ,X,1231,+"," 102.1"," ,X,1227, ","   37.8","X,0626, ","","","","","    1058.9","9","    1058.9","X","    962.2"," ,X","        0"," ,X","     17.90","X","     21.69","X","     14.10","X","       310","X","      30.8","X"
"GRW00033209","1997","35.53333","24.15","146.3","SOUDA BAY CRETE, GR","       3.1","X","    954.3","","     954.3","X","        66","X","        46","X","         8","X","        0","","         0","X","         0","X","         0","X","         0","X","       199","X","        42","X","        88"," ","         1"," ","        21"," ","    0.6","X,0211, ","     0"," ,X,1231,+","     0","T,X,0403,+","  68.1"," ,X,0312, ","   38.9","X,0620, ","","","","","    1102.3","3","    1102.3","X","    701.3"," ,X","        0","T,X","     17.97","X","     22.47","X","     13.47","X","       320","X","      22.6","X"
"GRW00033209","1998","35.53333","24.15","146.3","SOUDA BAY CRETE, GR","       3.2","X","   1104.3","","    1104.3","X","        78","X","        46","X","        10","X","        0","","         0","X","         0","X","         0","X","         0","X","       214","X","        51","X","        33"," ","         1"," ","        15"," ","    3.9","X,0324,+","     0","T,X,0317, ","     0","T,X,0317, "," 156.2"," ,X,1215, ","   42.8","X,0704,+","","","","","     915.5","5","     915.5","X","    886.0"," ,X","        0","T,X","     18.74","X","     22.76","X","     14.71","X","       140","X","      26.7","X"
"GRW00033209","2001","35.53333","24.15","146.3","SOUDA BAY CRETE, GR","","","   1158.2","","    1158.2","X","","","","","","","","","","","         0","X","         0","X","         0","X","       229","X","        58","X","         2"," ","","","        13"," ","    2.2","X,1220,+","","","","","","","   37.8","X,0925, ","","","","","","","","","","","","","     19.16","X","     23.40","X","     14.93","X","       170","X","      21.5","X"
"GRW00033209","2002","35.53333","24.15","146.3","SOUDA BAY CRETE, GR","       3.5","X","","","","","        82","X","        43","X","         3","X","        1","","         2","X","","","","","","","","","","","         6"," ","","","        33"," ","","","    25"," ,X,0106, ","   157"," ,X,0106, ","  40.4"," ,X,0401, ","","","","","","","","","","","    509.3"," ,X","      185"," ,X","","","","","","","        80","X","      46.5","X"
"GRW00033209","2003","35.53333","24.15","146.3","SOUDA BAY CRETE, GR","","","   1177.6","","    1177.6","X","       105","X","        64","X","        13","X","        0","","         0","X","         0","X","         0","X","         0","X","       205","X","        39","X","         3"," ","","","        24"," ","    1.7","X,0225, ","     0","T,X,1218,+","     0","T,X,1218,+"," 104.9"," ,X,1115, ","   40.0","X,0705, ","","","","","","","","","   1066.0"," ,X","        0","T,X","     18.86","X","     22.57","X","     15.16","X","       260","X","      38.9","X"
"GRW00033209","2004","35.53333","24.15","146.3","SOUDA BAY CRETE, GR","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","         4"," ","","","","","","","","","","","","","","","     858.6","6","     858.6","X","","","","","","","","","","","","","",""
