"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00094066","1924","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       207","a","       137","a","        11","a","","","","","",""," 102.1"," ,a,0217, ","","","","","","","","","","","   1571.1"," ,a","",""
"ASN00094066","1925","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       174","a","       125","a","        14","a","","","","","","","  73.2"," ,a,0531, ","","","","","","","","","","","   1488.2"," ,a","",""
"ASN00094066","1926","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       180","a","       127","a","         9","a","","","","","","","  68.1"," ,a,0625, ","","","","","","","","","","","   1355.6"," ,a","",""
"ASN00094066","1927","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       205","a","       107","a","         3","a","","","","","","","  54.6"," ,a,0219, ","","","","","","","","","","","   1174.3"," ,a","",""
"ASN00094066","1928","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       252","a","       132","a","         4","a","","","","","","","  91.4"," ,a,0427, ","","","","","","","","","","","   1449.7"," ,a","",""
"ASN00094066","1929","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       229","a","       130","a","         8","a","","","","","",""," 113.8"," ,a,1110, ","","","","","","","","","","","   1432.6"," ,a","",""
"ASN00094066","1930","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       194","a","        92","a","         4","a","","","","","","","  50.8"," ,a,1125, ","","","","","","","","","","","    932.3"," ,a","",""
"ASN00094066","1931","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       206","a","       113","a","        13","a","","","","","","","  63.5"," ,a,0620, ","","","","","","","","","","","   1324.9"," ,a","",""
"ASN00094066","1932","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       207","a","       121","a","        13","a","","","","","","","  94.7"," ,a,0311, ","","","","","","","","","","","   1458.5"," ,a","",""
"ASN00094066","1933","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       230","a","       118","a","         8","a","","","","","",""," 106.7"," ,a,1005, ","","","","","","","","","","","   1209.4"," ,a","",""
"ASN00094066","1934","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       227","a","       127","a","        11","a","","","","","","","  94.0"," ,a,1201, ","","","","","","","","","","","   1465.0"," ,a","",""
"ASN00094066","1935","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       263","a","       143","a","        17","a","","","","","","","  71.1"," ,a,0212, ","","","","","","","","","","","   1908.8"," ,a","",""
"ASN00094066","1936","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       267","a","       131","a","         4","a","","","","","","","  44.5"," ,a,1221, ","","","","","","","","","","","   1205.1"," ,a","",""
"ASN00094066","1937","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       248","a","       126","a","        14","a","","","","","","","  71.1"," ,a,1203, ","","","","","","","","","","","   1503.7"," ,a","",""
"ASN00094066","1938","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       223","a","       115","a","        14","a","","","","","",""," 223.5"," ,a,0316, ","","","","","","","","","","","   1787.9"," ,a","",""
"ASN00094066","1940","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       206","a","       105","a","         5","a","","","","","","","  43.2"," ,a,0929, ","","","","","","","","","","","   1091.7"," ,a","",""
"ASN00094066","1941","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       189","a","        95","a","         8","a","","","","","",""," 114.6"," ,a,1205, ","","","","","","","","","","","   1259.6"," ,a","",""
"ASN00094066","1942","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       272","a","       109","a","         8","a","","","","","","","  38.1"," ,a,0527, ","","","","","","","","","","","   1189.1"," ,a","",""
"ASN00094066","1943","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       295","a","       116","a","         8","a","","","","","",""," 104.6"," ,a,1104, ","","","","","","","","","","","   1332.0"," ,a","",""
"ASN00094066","1951","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       198","a","       116","a","         6","a","","","","","","","  59.7"," ,a,1018, ","","","","","","","","","","","   1185.1"," ,a","",""
"ASN00094066","1953","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       193","a","       116","a","         7","a","","","","","",""," 103.6"," ,a,1107, ","","","","","","","","","","","   1302.9"," ,a","",""
"ASN00094066","1954","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       192","a","        91","a","         8","a","","","","","",""," 199.6"," ,a,0607, ","","","","","","","","","","","   1295.4"," ,a","",""
"ASN00094066","1955","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       212","a","       111","a","         8","a","","","","","","","  41.1"," ,a,0624, ","","","","","","","","","","","   1124.4"," ,a","",""
"ASN00094066","1956","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       266","a","       149","a","        20","a","","","","","",""," 112.0"," ,a,0525, ","","","","","","","","","","","   2153.7"," ,a","",""
"ASN00094066","1957","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       221","a","        98","a","        10","a","","","","","",""," 108.2"," ,a,1126, ","","","","","","","","","","","   1180.2"," ,a","",""
"ASN00094066","1958","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       238","a","       132","a","        15","a","","","","","",""," 177.3"," ,a,0817, ","","","","","","","","","","","   1754.6"," ,a","",""
"ASN00094066","1959","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       204","a","        89","a","         6","a","","","","","","","  45.7"," ,a,0723, ","","","","","","","","","","","    982.4"," ,a","",""
"ASN00094066","1963","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       208","a","        99","a","         1","a","","","","","","","  26.7"," ,a,1108, ","","","","","","","","","","","    810.5"," ,a","",""
"ASN00094066","1964","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       252","a","       129","a","        10","a","","","","","","","  45.0"," ,a,0223, ","","","","","","","","","","","   1242.3"," ,a","",""
"ASN00094066","1966","-42.9319","147.2464","720.0","MOUNT WELLINGTON THE SPRINGS, AS","       216","a","       119","a","         5","a","         0","a","        67","a","   -4.4","a,0729, ","  94.0"," ,a,1020, ","-1.7","a,0406","-3.3","a,0430","-4.4","a,0729","0.0","a,1222","-2.8","a,0905","   1265.2"," ,a","      3.69","a"
