"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00173295","2006","43.8925","-70.2544","115.2","GRAY, ME US","    241.1","","     241.1","0","       150","0","        97","0","        19","0","       48","","        10","0","         1","0","       124","0","        36","0","       107","0","         3","0","        12"," ","","","","","  -18.3","0,0227, ","   178"," ,0,0106, ","   188"," ,0,0123, ","  75.9"," ,0,1028, ","   33.9","0,0802,+","0.0","0,1014","-2.2","0,1104","-6.1","0,1204","-7.8","0,1205","-10.6","0,1208","0.0","0,0428","-2.2","0,0409","-5.0","0,0322","-9.4","0,0320","-9.4","0,0320","    3712.7","7","    3712.7","0","   1572.2"," ,0","      864"," ,0","      9.06","0","     13.83","0","      4.28","0","",""
"USC00173295","2007","43.8925","-70.2544","115.2","GRAY, ME US","    225.7","","     225.7","0","       138","0","        74","0","         9","0","      115","","        25","0","        11","0","       149","0","        67","0","       113","0","         9","0","","","","","","","  -20.6","0,0117, ","   457"," ,0,0303,+","   295"," ,0,0214, ","  88.4"," ,0,1012, ","   33.9","0,0627, ","-2.2","0,1029","-2.2","0,1029","-5.0","0,1111","-6.7","0,1119","-8.9","0,1124","-1.1","0,0415","-3.3","0,0411","-5.0","0,0408","-10.6","0,0321","-10.6","0,0321","    3892.6","6","    3892.6","0","   1197.7"," ,0","     2971"," ,0","      7.70","0","     12.69","0","      2.72","0","",""
"USC00173295","2008","43.8925","-70.2544","115.2","GRAY, ME US","    191.3","","     191.3","0","       147","0","        99","0","        17","0","      121","","        24","0","         4","0","       155","0","        49","0","       100","0","         1","0","","","","","","","  -19.4","0,0104, ","   889"," ,0,0302, ","   394"," ,0,1221, "," 130.3"," ,0,0906, ","   32.2","0,0608, ","-0.6","0,1019","-3.3","0,1023","-5.0","0,1118","-8.3","0,1119","-9.4","0,1120","-0.6","0,0501","-2.8","0,0403","-4.4","0,0331","-6.7","0,0329","-8.9","0,0325","    3928.6","6","    3928.6","0","   1664.8"," ,0","     3180"," ,0","      8.01","0","     12.87","0","      3.15","0","",""
"USC00173295","2009","43.8925","-70.2544","115.2","GRAY, ME US","    162.4","","     162.4","0","       148","0","        88","0","        16","0","      115","","        20","0","         6","0","       137","0","        57","0","        98","0","         3","0","","","","","","","  -22.8","0,0116, ","   838"," ,0,0223, ","   328"," ,0,0118, "," 106.7"," ,0,1114, ","   32.8","0,0818,+","-0.6","0,1014","-2.8","0,1119","-4.4","0,1207","-6.7","0,1209","-10.0","0,1212","-0.6","0,0415","-3.3","0,0326","-7.2","0,0324","-7.2","0,0324","-12.2","0,0313","    4079.7","7","    4079.7","0","   1557.4"," ,0","     2328"," ,0","      7.57","0","     12.34","0","      2.79","0","",""
"USC00173295","2010","43.8925","-70.2544","115.2","GRAY, ME US","    311.2","","     311.2","0","       134","0","        82","0","        20","0","       69","","        13","0","         1","0","       130","0","        39","0","       118","0","         8","0","        11"," ","         1"," ","","","  -18.3","0,0130, ","   432"," ,0,0120, ","   229"," ,0,0118, ","  89.7"," ,0,0225, ","   35.0","0,0706, ","-1.1","0,1022","-3.3","0,1103","-4.4","0,1121","-7.2","0,1128","-9.4","0,1208","0.0","0,0511","-4.4","Z,0328","-4.4","Z,0328","-8.9","0,0327","-8.9","0,0327","    3613.2","2","    3613.2","0","   1469.2"," ,0","     1309"," ,0","      9.39","0","     14.14","0","      4.65","0","",""
"USC00173295","2011","43.8925","-70.2544","115.2","GRAY, ME US","    277.5","","     277.5","7","       139","K","        92","K","        13","K","      106","","        19","K","         3","7","       138","7","        50","7","       109","7","         5","7","         2"," ","         2"," ","","","  -23.9","7,0125,+","   711"," ,K,0203, ","   310"," ,K,0112, ","  56.9"," ,K,0417, ","   37.2","7,0722, ","-1.1","7,1028","-2.2","7,1106","-5.6","7,1122","-12.2","7,1218","-12.2","7,1218","0.0","7,0423","-3.3","7,0416","-4.4","Z,0328","-7.2","7,0327","-8.9","7,0309","    4036.3","3","    4036.3","7","   1333.6"," ,K","     2463"," ,K","      8.46","7","     13.27","7","      3.65","7","",""
"USC00173295","2012","43.8925","-70.2544","115.2","GRAY, ME US","    265.0","","     265.0","Z","       154","Z","        83","Z","        13","Z","       69","","        19","Z","         4","Z","       140","Z","        36","Z","       113","Z","         2","Z","        27"," ","","","         9"," ","  -19.4","Z,0116,+","   279"," ,7,1230,+","   229"," ,Z,1227, ","  89.4"," ,Z,0423, ","   33.9","Z,0621, ","-1.1","K,1013","-2.8","K,1105","-4.4","7,1107","-6.7","7,1129","-11.1","7,1130","0.0","7,0430","-2.2","7,0428","-7.2","7,0328","-7.2","7,0328","-10.6","7,0307","    3499.4","4","    3499.4","Z","   1360.9"," ,Z","     1644"," ,Z","      8.90","Z","     13.74","Z","      4.07","Z","",""
"USC00173295","2013","43.8925","-70.2544","115.2","GRAY, ME US","    265.1","","     265.1","7","       142","7","        83","7","         7","7","      102","","        18","7","         6","7","       153","7","        56","7","       106","7","         8","7","        38"," ","","","        11"," ","  -21.7","7,0124,+","   457"," ,7,0228,+","   442"," ,7,0209, ","  73.2"," ,7,0902, ","   34.4","7,0601, ","-0.6","7,1026","-2.8","7,1029","-4.4","7,1105","-8.9","7,1124","-8.9","7,1124","-1.7","7,0423","-3.9","7,0407","-4.4","7,0406","-7.2","7,0321","-8.9","7,0320","    3843.5","5","    3843.5","7","   1124.8"," ,7","     2466"," ,7","      7.97","7","     12.69","7","      3.24","7","",""
"USC00173295","2014","43.8925","-70.2544","115.2","GRAY, ME US","    194.3","","     194.3","7","       147","7","        91","7","        14","7","      126","","        23","7","        11","7","       145","7","        60","7","       106","7","         0","7","         5"," ","","","         1"," ","  -23.9","7,0104, ","   635"," ,7,0220, ","   208"," ,7,1126, "," 124.7"," ,7,0813, ","   31.7","7,0723, ","0.0","7,1102","-2.8","7,1108","-5.6","7,1115","-7.8","7,1121","-9.4","7,1129","-0.6","7,0421","-2.2","7,0419","-4.4","7,0418","-10.6","7,0327","-10.6","7,0327","    4314.3","3","    4314.3","7","   1342.7"," ,7","     1945"," ,7","      7.37","7","     12.13","7","      2.61","7","",""
"USC00173295","2015","43.8925","-70.2544","115.2","GRAY, ME US","    245.4","","     245.4","7","       140","7","        73","7","        11","7","      103","","        22","7","        17","7","       139","7","        62","7","       113","7","         0","7","         4"," ","","","         4"," ","  -25.0","7,0108, ","   762"," ,7,0219, ","   607"," ,7,0127, "," 139.7"," ,7,0930, ","   31.7","7,0907,+","-2.2","7,1018","-2.2","7,1018","-4.4","7,1118","-6.7","7,1124","-10.6","7,1229","-0.6","7,0424","-2.8","7,0409","-4.4","7,0406","-6.7","7,0329","-10.0","7,0324","    4276.6","6","    4276.6","7","   1115.4"," ,7","     2320"," ,7","      7.69","7","     12.71","7","      2.67","7","",""
"USC00173295","2016","43.8925","-70.2544","115.2","GRAY, ME US","    326.1","","     326.1","7","       139","7","        76","7","        13","7","       85","","        21","7","         8","7","       141","7","        46","7","       123","7","         8","7","         7"," ","","","         2"," ","  -24.4","7,0214,+","   533"," ,7,1230, ","   257"," ,7,1229, ","  94.7"," ,7,1021, ","   35.6","7,0812, ","0.0","7,1015","-2.8","7,1101","-4.4","7,1122","-6.7","7,1205","-10.6","7,1210","0.0","7,0430","-5.6","7,0410","-5.6","7,0410","-7.8","7,0406","-9.4","7,0404","    3624.2","2","    3624.2","7","   1199.3"," ,7","     2114"," ,7","      8.84","7","     13.91","7","      3.76","7","",""
"USC00173295","2017","43.8925","-70.2544","115.2","GRAY, ME US","    283.0","","     283.0","7","       140","7","        82","7","         9","7","      124","","        22","7","         8","7","       139","7","        54","7","       123","7","         5","7","        17"," ","","","         7"," ","  -23.3","7,1229,+","   914"," ,7,0216, ","   422"," ,7,0314, ","  43.4"," ,7,0818, ","   35.0","7,0809,+","-2.8","7,1108","-2.8","7,1108","-4.4","7,1109","-6.7","7,1110","-10.0","7,1128","0.0","7,0419","-5.0","7,0326","-5.0","7,0326","-11.7","7,0323","-11.7","7,0323","    3846.7","7","    3846.7","7","   1068.0"," ,7","     2842"," ,7","      8.45","7","     13.32","7","      3.59","7","",""
"USC00173295","2018","43.8925","-70.2544","115.2","GRAY, ME US","    279.1","","     279.1","7","       134","7","        85","7","        11","7","      128","","        20","7","         7","7","       156","7","        54","7","       112","7","         3","7","        14"," ","","","         2"," ","  -23.3","7,0107,+","   559"," ,7,0105, ","   305"," ,7,0104, ","  55.6"," ,7,0628, ","   33.3","7,0704, ","-0.6","7,1018","-2.2","7,1026","-5.0","7,1112","-8.9","7,1114","-8.9","7,1114","-1.1","7,0418","-2.2","7,0416","-4.4","7,0415","-6.7","7,0406","-11.1","7,0319","    3880.6","6","    3880.6","7","   1249.8"," ,7","     2472"," ,7","      7.89","7","     12.54","7","      3.23","7","",""
"USC00173295","2019","43.8925","-70.2544","115.2","GRAY, ME US","    231.9","","     231.9","7","       156","7","        91","7","        13","7","","","","","         6","7","       148","7","        62","7","        98","7","         3","7","        44"," ","","","         2"," ","  -19.4","7,0131, ","","","","","  81.0"," ,7,1214, ","   32.8","7,0721,+","0.0","7,1102","-5.6","7,1108","-5.6","7,1108","-10.0","7,1112","-10.0","7,1112","-2.8","7,0411","-2.8","7,0411","-5.0","7,0405","-7.2","7,0319","-8.9","7,0318","    4246.8","8","    4246.8","7","   1291.8"," ,7","","","      7.52","7","     12.23","7","      2.80","7","",""
"USC00173295","2020","43.8925","-70.2544","115.2","GRAY, ME US","    293.6","","     293.6","7","       121","7","        66","7","        15","7","       95","","        13","7","         5","7","       145","7","        36","7","       106","7","         5","7","        54"," ","","","         7"," ","  -21.1","7,0215, ","   381"," ,7,0220,+","   297"," ,7,1217, ","  95.8"," ,7,0629, ","   33.3","7,0620, ","0.0","7,1028","-4.4","7,1031","-4.4","7,1031","-8.3","7,1118","-11.7","7,1215","-0.6","7,0510","-2.8","7,0423","-4.4","7,0323","-8.3","7,0322","-11.1","7,0302","    3916.2","2","    3916.2","7","   1224.0"," ,7","     1675"," ,7","      8.75","7","     13.59","7","      3.90","7","",""
"USC00173295","2021","43.8925","-70.2544","115.2","GRAY, ME US","    288.7","","     288.7","7","       144","7","        79","7","        13","7","       85","","        13","7","         0","7","       141","7","        46","7","       116","7","         9","7","        42"," ","","","         7"," ","  -16.7","7,0131,+","   254"," ,7,0223, ","   114"," ,7,0202, ","  72.1"," ,7,0709, ","   35.0","7,0629,+","-1.1","7,1103","-2.2","7,1105","-4.4","7,1123","-6.7","7,1128","-8.9","7,1208","0.0","7,0423","-2.2","7,0404","-6.1","7,0403","-7.8","7,0319","-11.1","7,0316","    3700.5","5","    3700.5","7","   1144.3"," ,7","      898"," ,7","      9.12","7","     13.73","7","      4.51","7","",""
"USC00173295","2022","43.8925","-70.2544","115.2","GRAY, ME US","    311.8","","     311.8","7","       129","7","        85","7","        11","7","       85","","        12","7","         9","7","       129","7","        51","7","       117","7","         5","7","        50"," ","","","         5"," ","  -22.8","7,0127, ","   305"," ,7,0131,+","   206"," ,7,0129, ","  74.7"," ,7,1014, ","   34.4","7,0807, ","-0.6","7,1029","-2.8","7,1114","-4.4","7,1118","-9.4","7,1121","-9.4","7,1121","0.0","7,0421","-4.4","7,0330","-4.4","7,0330","-8.9","7,0329","-8.9","7,0329","    3777.8","8","    3777.8","7","   1156.0"," ,7","     1047"," ,7","      8.79","7","     13.90","7","      3.68","7","",""
"USC00173295","2023","43.8925","-70.2544","115.2","GRAY, ME US","    228.5","","     228.5","7","       145","7","        93","7","        17","7","       92","","        18","7","         3","7","       141","7","        36","7","       110","7","         1","7","        73"," ","","","        11"," ","  -27.2","7,0204, ","   635"," ,7,0305, ","   287"," ,7,0304, ","  92.2"," ,7,0808, ","   32.2","7,0528, ","-1.1","7,1031","-2.8","7,1101","-5.6","7,1113","-8.3","7,1125","-8.9","7,1206","0.0","7,0410","-3.3","7,0409","-5.6","7,0331","-7.8","7,0320","-15.0","7,0227","    3613.1","1","    3613.1","7","   1523.2"," ,7","     1961"," ,7","      9.00","7","     13.39","7","      4.60","7","",""
"USC00173295","2024","43.8925","-70.2544","115.2","GRAY, ME US","    270.5","","     270.5","7","       131","D","        81","D","        14","D","       84","","        16","D","         0","7","       129","7","        39","7","       118","7","         2","7","        54"," ","","","         9"," ","  -15.0","7,1222, ","   432"," ,D,0405, ","   384"," ,D,0404, ","  80.5"," ,D,0310, ","   33.3","7,0620, ","0.0","7,1027","-2.2","7,1028","-4.4","7,1201","-6.7","7,1203","-9.4","7,1206","-0.6","7,0427","-3.3","7,0425","-4.4","7,0325","-6.7","7,0324","-12.2","7,0301","    3556.5","5","    3556.5","7","   1270.7"," ,D","     1700"," ,D","      9.21","7","     13.75","7","      4.67","7","      21.5","7"
"USC00173295","2025","43.8925","-70.2544","115.2","GRAY, ME US","","","","","","","","","","","","","","","","","","","","","","","","","        10"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
