"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00150031","1937","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       130","0","        83","0","        12","0","        3","","         2","0","","","","","","","","","","","","","","","    76"," ,0,0228, ","    64"," ,0,0228, ","  93.5"," ,0,0122, ","","","","","","","","","","","","","","","","","","","","","","","   1249.7"," ,0","      135"," ,0","","","","","",""
"USC00150031","1938","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       132","0","        81","0","        14","0","        0","","         0","0","","","","","","","","","","","","","","","     0","T,0,1128,+","     8"," ,0,1127,+","  93.2"," ,0,0331, ","","","","","","","","","","","","","","","","","","","","","","","   1281.0"," ,0","       16"," ,0","","","","","",""
"USC00150031","1939","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       120","0","        81","0","        14","0","       15","","         5","0","","","","","","","","","","","","","","","   152"," ,0,1231,+","    76"," ,0,1227,+","  85.1"," ,0,0618, ","","","","","","","","","","","","","","","","","","","","","","","   1168.8"," ,0","      338"," ,0","","","","","",""
"USC00150031","1940","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       123","0","        75","0","         8","0","       34","","         6","0","","","","","","","","","","","","","","","   229"," ,0,0110,+","    89"," ,0,0214, ","  36.8"," ,0,0303, ","","","","","","","","","","","","","","","","","","","","","","","    871.0"," ,0","      354"," ,0","","","","","",""
"USC00150031","1941","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       100","0","        67","0","         8","0","        2","","         0","0","","","","","","","","","","","","","","","    25"," ,0,0209,+","    13"," ,0,0209,+","  75.2"," ,0,0703, ","","","","","","","","","","","","","","","","","","","","","","","    873.4"," ,0","       29"," ,0","","","","","",""
"USC00150031","1942","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       112","0","        83","0","        13","0","       17","","         4","0","","","","","","","","","","","","","","","   102"," ,0,0109,+","    89"," ,0,0104, ","  94.0"," ,0,0409, ","","","","","","","","","","","","","","","","","","","","","","","   1202.5"," ,0","      220"," ,0","","","","","",""
"USC00150031","1943","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","        94","0","        71","0","         9","0","        5","","         2","0","","","","","","","","","","","","","","","    76"," ,0,0127,+","    76"," ,0,0126, ","  96.5"," ,0,0319, ","","","","","","","","","","","","","","","","","","","","","","","   1030.2"," ,0","      146"," ,0","","","","","",""
"USC00150031","1944","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       102","0","        71","0","        10","0","        6","","         1","0","","","","","","","","","","","","","","","    51"," ,0,0215,+","    51"," ,0,0214, ","  73.7"," ,0,0827, ","","","","","","","","","","","","","","","","","","","","","","","   1029.8"," ,0","       96"," ,0","","","","","",""
"USC00150031","1945","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       128","0","        95","0","        16","0","       22","","         3","0","","","","","","","","","","","","","","","    76"," ,0,0201,+","    58"," ,0,0129, ","  59.7"," ,0,0914, ","","","","","","","","","","","","","","","","","","","","","","","   1345.0"," ,0","      168"," ,0","","","","","",""
"USC00150031","1946","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       111","0","        81","0","        13","0","        3","","         2","0","","","","","","","","","","","","","","","    51"," ,0,0211, ","    51"," ,0,0211, ","  61.7"," ,0,0206, ","","","","","","","","","","","","","","","","","","","","","","","   1181.9"," ,0","       87"," ,0","","","","","",""
"USC00150031","1947","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       108","0","        75","0","         9","0","        9","","         4","0","","","","","","","","","","","","","","","   152"," ,0,0328, ","   152"," ,0,0328, ","  50.8"," ,0,0416, ","","","","","","","","","","","","","","","","","","","","","","","   1001.0"," ,0","      274"," ,0","","","","","",""
"USC00150031","1948","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       108","0","        81","0","        13","0","","","","","","","","","","","","","","","        24"," ","","","","","","","  86.4"," ,0,1119, ","","","","","","","","","","","","","","","","","","","","","","","   1220.2"," ,0","","","","","","","",""
"USC00150031","1949","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       112","0","        88","0","        16","0","","","","","","","","","","","","","","","         9"," ","","","","","","","  52.1"," ,0,1005,+","","","","","","","","","","","","","","","","","","","","","","","   1315.6"," ,0","","","","","","","",""
"USC00150031","1950","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       126","0","        94","0","        20","0","","","","","","","","","","","","","","","","","","","","","",""," 148.6"," ,0,0801, ","","","","","","","","","","","","","","","","","","","","","","","   1766.3"," ,0","","","","","","","",""
"USC00150031","1951","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       117","0","        99","0","        13","0","       17","","         2","0","","","","","","","","","","","","","","","   203"," ,0,0203,+","    76"," ,0,0107, ","  47.0"," ,0,0318, ","","","","","","","","","","","","","","","","","","","","","","","   1351.1"," ,0","      122"," ,0","","","","","",""
"USC00150031","1952","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","        97","0","        63","0","        10","0","        3","","         2","0","","","","","","","","","","","","","","","    76"," ,0,1130, ","    64"," ,0,1130, ","  77.5"," ,0,0311, ","","","","","","","","","","","","","","","","","","","","","","","    988.6"," ,0","      105"," ,0","","","","","",""
"USC00150031","1953","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","        94","0","        68","0","         3","0","        4","","         1","0","","","","","","","","","","","","","","","    25"," ,0,1215,+","    25"," ,0,0104, ","  26.7"," ,0,0221, ","","","","","","","","","","","","","","","","","","","","","","","    766.3"," ,0","       41"," ,0","","","","","",""
"USC00150031","1954","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       106","0","        74","0","         8","0","        6","","         1","0","","","","","","","","","","","","","","","   102"," ,0,0114,+","   114"," ,0,0110, ","  38.1"," ,0,0803, ","","","","","","","","","","","","","","","","","","","","","","","    908.4"," ,0","      132"," ,0","","","","","",""
"USC00150031","1955","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","        98","0","        78","0","        12","0","        5","","         1","0","","","","","","","","","","","","","","","    76"," ,0,0111, ","    64"," ,0,0111, ","  59.7"," ,0,0227, ","","","","","","","","","","","","","","","","","","","","","","","   1087.9"," ,0","      101"," ,0","","","","","",""
"USC00150031","1956","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       108","0","        81","0","        11","0","       11","","         2","0","","","","","","","","","","","","","","","   127"," ,0,0126,+","    97"," ,0,0125, ","  45.7"," ,0,0215,+","","","","","","","","","","","","","","","","","","","","","","","    998.5"," ,0","      185"," ,0","","","","","",""
"USC00150031","1957","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       111","0","        82","0","        15","0","        1","","         0","0","","","","","","","","","","","","","","","    25"," ,0,0118, ","    13"," ,0,0118, ","  88.9"," ,0,1114, ","","","","","","","","","","","","","","","","","","","","","","","   1277.5"," ,0","       13"," ,0","","","","","",""
"USC00150031","1958","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       104","0","        74","0","        12","0","       17","","         2","0","","","","","","","","","","","","","","","   152"," ,0,1129, ","    76"," ,0,0314, ","  52.1"," ,0,0708, ","","","","","","","","","","","","","","","","","","","","","","","   1090.2"," ,0","      135"," ,0","","","","","",""
"USC00150031","1959","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       132","0","        86","0","        14","0","","","","","","","","","","","","","","","","","","","","","",""," 141.2"," ,0,0522, ","","","","","","","","","","","","","","","","","","","","","","","   1380.7"," ,0","","","","","","","",""
"USC00150031","1960","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","    560.4","","     560.4","0","       108","0","        65","0","         5","0","","","","","         3","0","       136","0","        26","0","       185","0","        30","0","","","  -20.0","0,1224,+","","","","","  63.2"," ,0,0624, ","   35.6","0,0909, ","-2.2","0,1021","-2.2","0,1021","-4.4","0,1106","-7.8","0,1111","-10.0","0,1202","0.0","0,0411","-2.2","0,0327","-7.2","0,0325","-7.2","0,0325","-12.2","0,0314","    846.9"," ,0","","","     11.66","0","     18.02","0","      5.30","0"
"USC00150031","1961","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       128","0","        92","0","        13","0","       22","","         4","0","","","","","        21","0","       168","0","         6","0","","","","","   203"," ,0,0226, ","   203"," ,0,0226, ","  97.0"," ,0,0508, ","   32.8","0,0802,+","","","","","","","","","","","","","","","","","","","","","   1381.1"," ,0","      371"," ,0","","","     17.88","0","",""
"USC00150031","1964","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       105","0","        72","0","        13","0","       10","","         3","0","","","","","","","","","","","","","","","   178"," ,0,0102, ","   127"," ,0,0101, "," 110.2"," ,0,0310, ","","","","","","","","","","","","","","","","","","","","","","","   1251.8"," ,0","      326"," ,0","","","","","",""
"USC00150031","1965","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       102","0","        67","0","        10","0","       18","","         2","0","","","","","","","","","","","","","","","   152"," ,0,0226, ","    51"," ,0,0305, ","  82.6"," ,0,0901, ","","","","","","","","","","","","","","","","","","","","","","","   1020.8"," ,0","       97"," ,0","","","","","",""
"USC00150031","1966","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       113","0","        76","0","        13","0","       21","","         6","0","","","","","","","","","","","","","","","   178"," ,0,0204,+","   152"," ,0,1103, ","  74.2"," ,0,0102, ","","","","","","","","","","","","","","","","","","","","","","","   1259.0"," ,0","      533"," ,0","","","","","",""
"USC00150031","1967","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       125","0","        83","0","        13","0","       11","","         2","0","","","","","","","","","","","","","","","   254"," ,0,0307, ","   241"," ,0,0307, ","  79.0"," ,0,0501, ","","","","","","","","","","","","","","","","","","","","","","","   1334.1"," ,0","      440"," ,0","","","","","",""
"USC00150031","1968","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       119","0","        80","0","        10","0","       21","","         6","0","","","","","","","","","","","","","","","   203"," ,0,0115, ","   140"," ,0,0323, ","  55.9"," ,0,0321, ","","","","","","","","","","","","","","","","","","","","","","","   1077.1"," ,0","      414"," ,0","","","","","",""
"USC00150031","1969","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       112","0","        78","0","        12","0","       16","","         9","0","","","","","","","","","","","","","","","    76"," ,0,1225,+","    76"," ,0,0106, ","  48.3"," ,0,1119,+","","","","","","","","","","","","","","","","","","","","","","","   1141.7"," ,0","      414"," ,0","","","","","",""
"USC00150031","1970","37.91667","-86.56667","116.1","ADDISON DAM 45, KY US","","","","","       115","0","        86","0","        14","0","       20","","         8","0","","","","","","","","","","","","","","","   152"," ,0,0111, ","    89"," ,0,0329, "," 143.5"," ,0,0428, ","","","","","","","","","","","","","","","","","","","","","","","   1498.1"," ,0","      567"," ,0","","","","","",""
