"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00393572","1929","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","       109","6","        69","6","         7","6","","","","","","","","","","","","","","","","","","","","","  50.8"," ,6,0526, ","","","","","","","","","","","","","","","","","","","","","","","    610.6"," ,6","","","","","","","",""
"USC00393572","1930","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","        87","6","        39","6","         1","6","","","","","","","","","","","","","","","","","","","","","  30.5"," ,6,0306, ","","","","","","","","","","","","","","","","","","","","","","","    384.2"," ,6","","","","","","","",""
"USC00393572","1932","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","       101","6","        66","6","         4","6","","","","","","","","","","","","","","","","","","","","","  53.3"," ,6,0424, ","","","","","","","","","","","","","","","","","","","","","","","    697.0"," ,6","","","","","","","",""
"USC00393572","1933","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","       108","6","        60","6","         3","6","","","","","","","","","","","","","","","","","","","","","  55.9"," ,6,0523, ","","","","","","","","","","","","","","","","","","","","","","","    520.8"," ,6","","","","","","","",""
"USC00393572","1935","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","       104","6","        50","6","         0","6","","","","","","","","","","","","","","","","","","","","","  17.8"," ,6,0617, ","","","","","","","","","","","","","","","","","","","","","","","    388.3"," ,6","","","","","","","",""
"USC00393572","1936","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","        96","6","        34","6","         0","6","        43","6","","","","","","","","","","","","","","","","","   178"," ,6,0329, ","  15.2"," ,6,0725, ","","","","","","","","","","","","","","","","","","","","","","","    247.9"," ,6","     2323"," ,6","","","","","",""
"USC00393572","1937","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","       102","6","        36","6","         3","6","        35","6","","","","","","","","","","","","","","","","","   381"," ,6,0605, ","  43.2"," ,6,0716, ","","","","","","","","","","","","","","","","","","","","","","","    441.4"," ,6","     2551"," ,6","","","","","",""
"USC00393572","1938","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","        96","6","        59","6","         0","6","","","","","","","","","","","","","","","","","","","","","  20.3"," ,6,0519, ","","","","","","","","","","","","","","","","","","","","","","","    439.4"," ,6","","","","","","","",""
"USC00393572","1942","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","       127","6","        63","6","         1","6","","","","","","","","","","","","","","","","","","","","","  31.5"," ,6,0512, ","","","","","","","","","","","","","","","","","","","","","","","    586.8"," ,6","","","","","","","",""
"USC00393572","1943","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","        99","6","        58","6","         1","6","        25","6","","","","","","","","","","","","","","","","","   312"," ,6,1031, ","  32.0"," ,6,0409, ","","","","","","","","","","","","","","","","","","","","","","","    512.8"," ,6","     2205"," ,6","","","","","",""
"USC00393572","1948","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","","","","","","","","","","","","","","","","","","","        13"," ","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00393572","1949","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","        94","0","        41","0","         1","0","        28","0","","","","","","","","","","","        17"," ","        11"," ","","","   508"," ,0,0104, ","  28.2"," ,0,0602, ","","","","","","","","","","","","","","","","","","","","","","","    378.8"," ,0","     2489"," ,0","","","","","",""
"USC00393572","1950","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","      4.1","","       4.1","0","        99","0","        54","0","         3","0","        39","0","        66","0","       248","0","        86","0","        52","0","         0","0","        10"," ","        16"," ","  -36.7","0,0104, ","   381"," ,0,0327, ","  30.5"," ,0,0716, ","   28.9","0,0831, ","-2.2","0,0820","-2.2","0,0820","-5.0","0,0913","-7.8","0,0928","-9.4","0,1004","0.0","0,0719","-4.4","0,0714","-4.4","0,0714","-6.7","0,0526","-9.4","0,0506","    518.6"," ,0","     3871"," ,0","      1.04","0","      8.79","0","     -6.72","0"
"USC00393572","1951","44.15","-103.95","1973.0","HARDY RANGER STATION, SD US","","","","","","","","","","","","","","","","","","","","","","","         1"," ","        22"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
