"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00007062","1950","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        33","a","        11","a","         0","a","","","","","","","","","","","","","  17.0"," ,a,0526, ","","","","","","","","","","","","","","","    103.1"," ,a","","","","","",""
"ASN00007062","1951","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        43","a","        14","a","         1","a","","","","","","","","","","","","","  40.4"," ,a,0608, ","","","","","","","","","","","","","","","    145.0"," ,a","","","","","",""
"ASN00007062","1952","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        43","a","        20","a","         1","a","","","","","","","","","","","","","  52.3"," ,a,0520, ","","","","","","","","","","","","","","","    228.8"," ,a","","","","","",""
"ASN00007062","1954","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        43","a","        25","a","         4","a","","","","","","","","","","","","","  51.8"," ,a,0127, ","","","","","","","","","","","","","","","    339.0"," ,a","","","","","",""
"ASN00007062","1955","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        65","a","        43","a","         7","a","","","","","","","","","","","","","  69.6"," ,a,0101, ","","","","","","","","","","","","","","","    655.8"," ,a","","","","","",""
"ASN00007062","1956","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        36","a","        17","a","         0","a","","","","","","","","","","","","","  18.5"," ,a,0820, ","","","","","","","","","","","","","","","    139.7"," ,a","","","","","",""
"ASN00007062","1957","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        30","a","        14","a","         0","a","","","","","         0","a","       310","a","       200","a","","","  22.1"," ,a,0221, ","   44.6","a,0114, ","","","","","","","","","","","","","    144.4"," ,a","","","     31.47","a","",""
"ASN00007062","1958","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        24","a","        19","a","         3","a","","","","","         0","a","       322","a","       184","a","","","  57.7"," ,a,1125, ","   42.9","a,0205, ","","","","","","","","","","","","","    221.1"," ,a","","","     30.63","a","",""
"ASN00007062","1959","-23.7942","120.2442","571.0","MUNDIWINDI, AS","   2290.2","","    2290.2","a","        27","a","        18","a","         0","a","         0","a","         2","a","         0","a","       340","a","       188","a","   -0.8","a,0702, ","  15.7"," ,a,0128, ","   43.3","a,0115, ","-0.8","a,0702","","","","","","","     289.2","2","     289.2","a","    148.1"," ,a","     24.26","a","     31.73","a","     16.79","a"
"ASN00007062","1960","-23.7942","120.2442","571.0","MUNDIWINDI, AS","   2034.1","","    2034.1","a","        38","a","        28","a","         9","a","         0","a","        10","a","","","","","","","   -3.6","a,0802, ","  59.4"," ,a,0214, ","","","0.0","a,0514","","","-0.6","a,0814","-3.3","a,0803","","","","","    522.5"," ,a","","","","","     14.44","a"
"ASN00007062","1961","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        24","a","        20","a","         0","a","         0","a","        12","a","","","","","","","   -3.4","a,0626, ","  21.8"," ,a,0213, ","","","-0.4","a,0623","-3.4","a,0626","-1.7","a,0817","","","","","","","    172.2"," ,a","","","","","     15.31","a"
"ASN00007062","1962","-23.7942","120.2442","571.0","MUNDIWINDI, AS","   2147.2","","    2147.2","a","        30","a","        11","a","         0","a","","","","","","","","","","","","","  16.5"," ,a,0212, ","","","","","","","","","","","","","","","    105.4"," ,a","","","","","",""
"ASN00007062","1963","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        48","a","        28","a","         3","a","         0","a","         3","a","         0","a","       332","a","       169","a","   -0.9","a,0621, ","  30.2"," ,a,0111, ","   44.4","a,0104, ","-0.9","a,0621","","","","","","","     397.6","6","     397.6","a","    286.7"," ,a","     22.69","a","     30.26","a","     15.11","a"
"ASN00007062","1964","-23.7942","120.2442","571.0","MUNDIWINDI, AS","   2070.0","","    2070.0","a","        33","a","        13","a","         1","a","         0","a","         3","a","         0","a","       338","a","       167","a","   -2.1","a,0704, ","  28.7"," ,a,0428, ","   42.3","a,0122, ","-2.1","a,0704","","","","","","","     368.8","8","     368.8","a","    152.3"," ,a","     22.69","a","     30.34","a","     15.04","a"
"ASN00007062","1965","-23.7942","120.2442","571.0","MUNDIWINDI, AS","   2028.3","","    2028.3","a","        37","a","        18","a","         1","a","         0","a","         3","a","","","","","","","   -1.1","a,0722,+","  61.5"," ,a,0312, ","","","-0.7","a,0719","","","","","","","","","","","    250.8"," ,a","","","","","     15.73","a"
"ASN00007062","1966","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        29","a","        15","a","         4","a","         0","a","         4","a","","","","","","","   -2.0","a,0726, ","  79.8"," ,a,0428, ","","","-1.7","a,0725","","","-0.7","a,0811","","","","","","","    362.1"," ,a","","","","","     14.14","a"
"ASN00007062","1967","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        34","a","        19","a","         2","a","         0","a","        12","a","         0","a","       337","a","       178","a","   -2.7","a,0709, ","  37.6"," ,a,0104, ","   43.6","a,0109, ","-1.6","a,0702","-2.7","a,0709","-0.7","a,0811","","","","","","","    248.5"," ,a","     22.69","a","     30.66","a","     14.71","a"
"ASN00007062","1968","-23.7942","120.2442","571.0","MUNDIWINDI, AS","   2103.3","","    2103.3","a","        54","a","        32","a","         3","a","         0","a","         3","a","         0","a","       296","a","       152","a","   -1.1","a,0801, ","  44.5"," ,a,0619, ","   43.9","a,0117, ","-0.1","a,0731","","","-0.8","a,0810","","","     558.8","8","     558.8","a","    350.0"," ,a","     22.06","a","     29.15","a","     14.96","a"
"ASN00007062","1969","-23.7942","120.2442","571.0","MUNDIWINDI, AS","   1962.3","","    1962.3","a","        27","a","        12","a","         1","a","         0","a","         2","a","         0","a","       324","a","       189","a","   -0.7","a,0709, ","  30.2"," ,a,0111, ","   44.1","a,0107, ","-0.7","a,0709","","","","","","","     423.4","4","     423.4","a","    133.5"," ,a","     23.36","a","     31.39","a","     15.33","a"
"ASN00007062","1970","-23.7942","120.2442","571.0","MUNDIWINDI, AS","   2253.3","","    2253.3","a","        27","a","        14","a","         2","a","         0","a","         3","a","         0","a","       334","a","       186","a","   -0.6","a,0721, ","  33.3"," ,a,0506, ","   43.8","a,0120, ","-0.6","a,0721","","","-0.1","a,0823","","","     390.9","9","     390.9","a","    175.1"," ,a","     23.63","a","     31.31","a","     15.96","a"
"ASN00007062","1971","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        30","a","        19","a","         4","a","","","","","","","","","","","",""," 123.4"," ,a,0604, ","","","","","","","","","","","","","","","    373.0"," ,a","","","","","",""
"ASN00007062","1972","-23.7942","120.2442","571.0","MUNDIWINDI, AS","   1947.6","","    1947.6","a","        37","a","        13","a","         1","a","         0","a","         3","a","         0","a","       320","a","       187","a","   -1.7","a,0718,+","  26.7"," ,a,0729, ","   45.5","a,1228, ","-0.6","a,0716","","","","","","","     391.5","5","     391.5","a","    157.8"," ,a","     23.42","a","     31.58","a","     15.27","a"
"ASN00007062","1973","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        49","a","        29","a","         5","a","","","","","","","","","","","",""," 132.8"," ,a,0123, ","","","","","","","","","","","","","","","    489.8"," ,a","","","","","",""
"ASN00007062","1976","-23.7942","120.2442","571.0","MUNDIWINDI, AS","   1931.6","","    1931.6","a","        20","a","        13","a","         2","a","","","","","","","","","","","","","  46.4"," ,a,0309, ","","","","","","","","","","","","","","","    185.6"," ,a","","","","","",""
"ASN00007062","1977","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        17","a","        13","a","         1","a","         0","a","         4","a","         0","a","       339","a","       190","a","   -1.0","a,0711,+","  29.0"," ,a,0327, ","   44.7","a,0130, ","0.0","a,0705","","","","","","","     350.4","4","     350.4","a","    134.8"," ,a","     23.85","a","     32.14","a","     15.57","a"
"ASN00007062","1979","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        23","a","        18","a","         1","a","","","","","","","","","","","","","  39.2"," ,a,0303, ","","","","","","","","","","","","","","","    212.7"," ,a","","","","","",""
