"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023183","1961","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","","","   1880.9","","    1880.9","0","        35","0","        15","0","         0","0","        0","","         0","0","         0","0","         5","0","         0","0","       292","0","       163","0","         2"," ","","","        21"," ","   -0.6","0,0107,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  15.7"," ,0,0828, ","   45.6","0,0719,+","0.0","0,1122","","","","","-0.6","0,0107","","","","","","","     782.3","3","     782.3","0","    112.6"," ,0","","","        0"," ,0","     21.21","0","     29.49","0","     12.92","0","","","","","","","","","       135","X","","","","","","","      23.6","X"
"USW00023183","1962","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","","","   1917.9","","    1917.9","0","        35","0","        15","0","         0","0","        0","","         0","0","         0","0","         7","0","         0","0","       287","0","       162","0","         5"," ","","","        16"," ","   -5.6","0,0112, ","     0"," ,0,1231,+","     0","T,0,0117,+","  18.0"," ,0,0121, ","   45.0","0,0813,+","","","","","","","-0.6","0,0315","-2.2","0,0115","-5.6","0,0112","","","     920.0","0","     920.0","0","     99.0"," ,0","","","        0","T,0","     21.42","0","     29.85","0","     12.99","0","","","","","","","","","       135","X","","","","","","","      22.1","X"
"USW00023183","1963","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","","","   2001.8","","    2001.8","0","        28","0","        18","0","         1","0","        0","","         0","0","         0","0","        18","0","         0","0","       292","0","       171","0","         2"," ","","","        28"," ","   -6.7","0,0113, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  26.2"," ,0,1019, ","   44.4","0,0724, ","-1.1","0,1213","","","","","0.0","0,0123","-3.3","0,0121","-5.6","0,0120","-6.7","0,0113","     726.4","4","     726.4","0","    184.1"," ,0","","","        0"," ,0","     21.62","0","     29.76","0","     13.49","0","","","","","","","","","       135","X","","","","","","","      26.2","X"
"USW00023183","1964","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","","","   1745.2","","    1745.2","0","        31","0","        18","0","         1","0","        0","","         0","0","         0","0","        35","0","         0","0","       250","0","       154","0","         5"," ","","","        23"," ","   -6.7","0,0111, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  38.1"," ,0,0914, ","   44.4","0,0703, ","0.0","0,1117","","","","","-1.7","0,0309","-2.2","0,0227","-5.6","0,0116","-6.7","0,0111","    1082.3","3","    1082.3","0","    152.5"," ,0","","","        0"," ,0","     19.91","0","     28.00","0","     11.81","0","","","","","","","","","       338","X","","","","","","","      27.2","X"
"USW00023183","1965","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","","","   1684.1","","    1684.1","0","        50","0","        26","0","         0","0","        0","","         0","0","         0","0","         8","0","         0","0","       270","0","       159","0","         9"," ","","","        26"," ","   -2.2","0,0212, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  24.4"," ,0,1222, ","   45.0","0,0704, ","-0.6","0,1220","","","","","0.0","0,0304","-2.2","0,0212","","","","","    1034.8","8","    1034.8","0","    284.8"," ,0","      83.6","X","        0"," ,0","     20.33","0","     28.48","0","     12.18","0","   225582","X","","","","","","","","","","","","","","","",""
"USW00023183","1966","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","","","   2063.3","","    2063.3","0","        33","0","        14","0","         2","0","        0","","         0","0","         0","0","        31","0","         0","0","       289","0","       173","0","         7"," ","         2"," ","        26"," ","   -3.9","0,1231,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  43.9"," ,0,0818, ","   45.0","0,0706, ","0.0","0,1126","-2.8","0,1228","","","-0.6","0,0305","-3.9","0,0304","","","","","     901.4","4","     901.4","0","    184.9"," ,0","      85.0","X","        0"," ,0","     21.38","0","     29.80","0","     12.96","0","   228300","X","","","","","","","","","","","","","","","",""
"USW00023183","1967","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","","","   1887.3","","    1887.3","0","        36","0","        18","0","         1","0","        0","","         0","0","         0","0","        18","0","         0","0","       300","0","       155","0","         8"," ","         2"," ","        26"," ","   -6.1","0,0107, ","     0"," ,0,1231,+","     0","T,0,1213, ","  36.3"," ,0,1214, ","   43.3","0,0826,+","-1.7","0,1210","","","","","-1.1","0,0217","-2.2","0,0118","-6.1","0,0107","","","     823.0","0","     823.0","0","    212.5"," ,0","      85.9","X","        0","T,0","     21.14","0","     29.23","0","     13.04","0","   229818","X","","","","","","","","","","","","","","","",""
"USW00023183","1968","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","","","   1862.8","","    1862.8","0","        34","0","        19","0","         0","0","        0","","         0","0","         0","0","        13","0","         0","0","       288","0","       167","0","         6"," ","         1"," ","        26"," ","   -4.4","0,1222, ","     0"," ,0,1231,+","     0","T,0,1220, ","  20.6"," ,0,0731, ","   46.1","0,0622,+","-1.1","0,1213","-3.9","0,1219","-4.4","0,1222","0.0","0,0107","","","","","","","     760.4","4","     760.4","0","    169.5"," ,0","      87.6","X","        0","T,0","     21.24","0","     29.41","0","     13.07","0","   235830","X","","","","","","","","","","","","","","","",""
"USW00023183","1969","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","","","   2065.1","","    2065.1","0","        51","0","        19","0","         1","0","        0","","         0","0","         0","0","         7","0","         0","0","       284","0","       160","0","         9"," ","         4"," ","        28"," ","   -2.8","0,0131, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  33.8"," ,0,0916, ","   45.6","0,0805, ","-0.6","0,1231","","","","","0.0","0,0315","-2.8","0,0131","","","","","     896.0","0","     896.0","0","    177.0"," ,0","      83.2","X","        0"," ,0","     21.83","0","     29.39","0","     14.28","0","   224436","X","","","","","","","","","","","","","","","",""
"USW00023183","1970","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","","","   2038.6","","    2038.6","0","        29","0","        17","0","         1","0","        0","","         0","0","         0","0","        11","0","         0","0","       304","0","       149","0","         3"," ","         2"," ","        30"," ","   -3.3","0,0103, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  61.7"," ,0,0905, ","   46.7","0,0625, ","-0.6","0,1230","","","","","0.0","0,0203","-2.2","0,0130","","","","","     670.9","9","     670.9","0","    193.5"," ,0","      84.5","X","        0"," ,0","     21.89","0","     29.70","0","     14.09","0","   227076","X","","","","","","","","","","","","","","","",""
