"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00042319","1972","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3062.2","","    3062.2","0","        15","0","         7","0","         0","0","        0","","         0","0","         0","0","        23","0","         0","0","       294","0","       203","0","","","","","   -5.0","0,1212, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  14.0"," ,0,1004, ","   53.3","0,0715,+","    3987.4","0","-1.1","0,1206","-3.3","0,1210","-5.0","0,1212","-0.6","0,0203","-2.2","0,0106","","","","","     688.0","0","     688.0","0","","","","","     57.2"," ,0","        0"," ,0","     24.69","0","     32.34","0","     17.03","0","     35502","0"
"USC00042319","1973","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3049.6","","    3049.6","0","        19","0","         8","0","         0","0","        0","","         0","0","         0","0","         8","0","         0","0","       286","0","       188","0","","","","","   -4.4","0,0107, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  18.8"," ,0,0211, ","   51.1","0,0706, ","","","0.0","0,1204","","","","","0.0","0,0124","-3.3","0,0108","-4.4","0,0107","","","     740.8","8","     740.8","0","","","","","     59.0"," ,0","        0"," ,0","     24.81","0","     32.29","0","     17.32","0","",""
"USC00042319","1974","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3184.1","","    3184.1","0","        20","0","         8","0","         0","0","        0","","         0","0","         0","0","         2","0","         0","0","       304","0","       192","0","","","","","   -5.6","0,0103, ","     0"," ,0,1231,+","     0","T,0,0105,+","  15.2"," ,0,0723, ","   49.4","0,0729,+","    3974.4","0","","","","","","","0.0","0,0105","-5.6","0,0103","-5.6","0,0103","","","     652.8","8","     652.8","0","     14.78","0","     29.14","0","     88.3"," ,0","        0","T,0","     25.24","0","     32.62","0","     17.86","0","     35305","0"
"USC00042319","1975","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2876.9","","    2876.9","0","        15","0","         5","0","         0","0","        0","","         0","0","         0","0","         6","0","         0","0","       312","0","       169","0","","","","","   -2.2","0,0104, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   8.1"," ,0,0728, ","   50.0","0,0806,+","","","-0.6","0,1130","","","","","0.0","0,0130","-2.2","0,0104","","","","","     629.3","3","     629.3","0","","","","","     38.6"," ,0","        0"," ,0","     24.54","0","     32.05","0","     17.03","0","",""
"USC00042319","1976","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2856.7","","    2856.7","0","        20","0","        10","0","         0","0","        0","","         0","0","         0","0","        18","0","         0","0","       308","0","       180","0","","","","","   -3.3","0,1225, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  20.8"," ,0,0209, ","   49.4","0,0710,+","    3780.5","0","0.0","0,1129","-3.3","0,1225","","","-0.6","0,0109","","","","","","","     540.9","9","     540.9","0","     15.63","0","     30.30","0","    107.0"," ,0","        0"," ,0","     24.42","0","     31.95","0","     16.89","0","     31894","0"
"USC00042319","1977","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2976.4","","    2976.4","0","        17","0","         7","0","         0","0","        0","","         0","0","         0","0","         4","0","         0","0","       314","0","       185","0","","","","","   -2.8","0,0111, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  24.1"," ,0,0817, ","   51.1","0,0802, ","    3799.9","0","","","","","","","-0.6","0,0113","-2.8","0,0111","","","","","     642.6","6","     642.6","0","     14.75","0","     29.12","0","     71.1"," ,0","        0"," ,0","     24.98","0","     32.37","0","     17.59","0","     28931","0"
"USC00042319","1978","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2957.8","","    2957.8","0","        33","0","        10","0","         1","0","        0","","         0","0","         0","0","         7","0","         0","0","       285","0","       188","0","","","","","   -3.3","0,1231, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  25.4"," ,0,0301, ","   51.1","0,0809,+","    3700.8","0","-2.8","0,1209","-2.8","0,1209","","","","","","","","","","","     482.5","5","     482.5","0","     14.64","0","     29.17","0","    102.7"," ,0","        0"," ,0","     24.72","0","     31.89","0","     17.55","0","     26956","0"
"USC00042319","1979","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2922.6","","    2922.6","0","        19","0","         7","0","         0","0","        0","","         0","0","         0","0","         5","0","         0","0","       299","0","       192","0","","","","","   -1.1","0,0104, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   8.9"," ,0,0117, ","   50.6","0,0719,+","    3575.1","0","-0.6","0,1213","","","","","0.0","0,0204","","","","","","","     772.8","8","     772.8","0","     14.60","0","","","     45.3"," ,0","        0"," ,0","     24.43","0","     32.19","0","     16.66","0","",""
"USC00042319","1980","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2829.9","","    2829.9","0","        24","0","         8","0","         0","0","        0","","         0","0","         0","0","         1","0","         0","0","       327","0","       181","0","","","","","   -0.6","0,1211, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  13.7"," ,0,0303, ","   51.1","0,0726, ","    3556.4","0","-0.6","0,1211","","","","","","","","","","","","","     499.0","0","     499.0","0","     14.81","0","","","     81.3"," ,0","        0"," ,0","     24.80","0","     32.76","0","     16.84","0","     20532","0"
"USC00042319","1981","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3212.5","","    3212.5","0","        13","0","         4","0","         0","0","        0","","         0","0","         0","0","         0","0","         0","0","       318","0","       195","0","","","","","    1.7","0,1226,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  20.3"," ,0,1129, ","   51.7","0,0808, ","    3699.7","0","","","","","","","","","","","","","","","     471.6","6","     471.6","0","","","","","     44.3"," ,0","        0"," ,0","     25.80","0","     33.52","0","     18.07","0","",""
"USC00042319","1982","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2659.1","","    2659.1","0","        26","0","         7","0","         0","0","","","         0","0","         0","0","        11","0","         0","0","       289","0","       171","0","","","","","   -1.7","0,1227,+","","","     0"," ,0,1231,+","  16.3"," ,0,0318, ","   50.0","0,0801,+","","","-1.7","0,1217","","","","","0.0","0,0211","","","","","","","     620.3","3","     620.3","0","","","","","     66.8"," ,0","        0"," ,0","     23.60","0","     30.97","0","     16.24","0","",""
"USC00042319","1983","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2700.3","","    2700.3","0","        30","0","        10","0","         0","0","        0","","         0","0","         0","0","        10","0","         0","0","       297","0","       166","0","","","","","   -2.8","0,0103, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  24.4"," ,0,0303, ","   49.4","0,0714, ","","","0.0","0,1207","","","","","0.0","0,0121","-2.2","0,0104","","","","","     702.6","6","     702.6","0","","","","","    105.8"," ,0","        0"," ,0","     24.00","0","     31.25","0","     16.76","0","",""
"USC00042319","1984","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2846.8","","    2846.8","0","","","","","","","        0","","         0","0","         0","0","         8","0","         0","0","       309","0","       175","0","","","","","   -2.2","0,1225,+","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   52.2","0,0705, ","    3362.5","0","-0.6","0,1215","-2.2","0,1223","","","","","","","","","","","     550.9","9","     550.9","0","","","","","","","        0"," ,0","     24.30","0","     32.06","0","     16.53","0","",""
"USC00042319","1985","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2906.5","","    2906.5","0","        14","0","         3","0","         0","0","        0","","         0","0","         0","0","        13","0","         0","0","       283","0","       189","0","","","","","   -3.3","0,0207,+","     0"," ,0,1231,+","     0"," ,0,1231,+","   6.1"," ,0,0510, ","   51.1","0,0706,+","    2975.9","0","0.0","0,1120","-2.2","0,1213","","","-1.1","0,0208","-3.3","0,0207","","","","","     779.1","1","     779.1","0","","","","","     22.8"," ,0","        0"," ,0","     24.12","0","     31.89","0","     16.35","0","",""
"USC00042319","1986","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","","","","","        16","0","         3","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","   5.3"," ,0,1118, ","","","","","","","","","","","","","","","","","","","","","","","","","","","     25.6"," ,0","        0"," ,0","","","","","","","",""
"USC00042319","1987","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3030.2","","    3030.2","0","","","","","","","","","","","         0","0","         9","0","         0","0","       299","0","       202","0","","","","","   -3.3","0,1230, ","","","","","","","   51.1","0,0804,+","","","-0.6","0,1215","-2.2","0,1227","","","-1.1","0,0111","","","","","","","","","","","","","","","","","","","     24.84","0","     32.70","0","     16.98","0","",""
"USC00042319","1988","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3031.7","","    3031.7","0","        18","0","         8","0","         1","0","","","         0","0","         0","0","         7","0","         0","0","       304","0","       200","0","","","","","   -3.9","0,1231, ","","","     0"," ,0,1231,+","  37.3"," ,0,0415, ","   52.8","0,0719, ","","","-1.1","0,1227","-3.3","0,1230","","","-0.6","0,0121","","","","","","","     688.2","2","     688.2","0","","","","","    106.5"," ,0","        0"," ,0","     24.87","0","     33.21","0","     16.53","0","",""
"USC00042319","1989","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3084.7","","    3084.7","0","         0","0","         0","0","         0","0","","","         0","0","         0","0","        30","0","         0","0","       308","0","       205","0","","","","","   -3.3","0,0304, ","","","     0"," ,0,1231,+","   0.0","T,0,1231,+","   52.8","0,0708, ","","","0.0","0,1201","","","","","-3.3","0,0304","-3.3","0,0304","","","","","     694.2","2","     694.2","0","","","","","      0.0","T,0","        0"," ,0","     24.96","0","     33.61","0","     16.30","0","",""
"USC00042319","1990","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3039.3","","    3039.3","0","        11","0","         6","0","         0","0","        0","","         0","0","         0","0","        28","0","         0","0","       286","0","       201","0","","","","","   -6.7","0,0219, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   9.4"," ,0,0118, ","   51.7","0,0713,+","","","-0.6","0,1208","-5.6","0,1222","-5.6","0,1222","-6.7","0,0219","-6.7","0,0219","-6.7","0,0219","-6.7","0,0219","     669.6","6","     669.6","0","","","","","     32.6"," ,0","        0"," ,0","     24.30","0","     32.52","0","     16.07","0","     20222","0"
"USC00042319","1991","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2803.2","","    2803.2","0","        14","0","         4","0","         0","0","        0","","         0","0","         0","0","        15","0","         0","0","       292","0","       182","0","","","","","   -5.6","0,0102,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  13.2"," ,0,0327, ","   52.2","0,0705, ","","","-0.6","0,1206","","","","","-0.6","0,0202","-5.6","0,0102","-5.6","0,0102","","","     851.1","1","     851.1","0","","","","","     38.9"," ,0","        0"," ,0","     24.11","0","     32.12","0","     16.10","0","     22226","0"
"USC00042319","1992","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3134.1","","    3134.1","0","        27","0","         9","0","         0","0","        0","","         0","0","         0","0","        12","0","         0","0","       288","0","       206","0","","","","","   -3.3","0,1228, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  13.5"," ,0,1208, ","   51.7","0,0804, ","","","-1.1","0,1217","-2.2","0,1221","","","0.0","0,0127","","","","","","","     644.4","4","     644.4","0","","","     29.83","0","     85.6"," ,0","        0"," ,0","     24.96","0","     32.94","0","     16.97","0","     19024","0"
"USC00042319","1993","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2923.0","","    2923.0","0","        16","0","         9","0","         0","0","        0","","         0","0","         0","0","        13","0","         0","0","       293","0","       201","0","","","","","   -3.9","0,0106, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  14.0"," ,0,0227, ","   52.8","0,0803, ","","","-3.3","0,1115","-3.3","0,1115","","","0.0","0,0113","-3.9","0,0106","","","","","     785.7","7","     785.7","0","     12.65","0","     28.82","0","     65.5"," ,0","        0"," ,0","     24.18","0","     32.36","0","     15.99","0","     18388","0"
"USC00042319","1994","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3203.6","","    3203.6","0","","","","","","","        0","","         0","0","         0","0","        22","0","         0","0","       293","0","       195","0","","","","","   -3.3","0,1211,+","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   53.3","0,0630, ","    3273.3","0","0.0","0,1125","-3.3","0,1210","","","-0.6","0,0214","","","","","","","     689.8","8","     689.8","0","","","","","","","        0"," ,0","     25.01","0","     33.40","0","     16.62","0","     18693","0"
"USC00042319","1995","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2835.8","","    2835.8","0","        23","0","         8","0","         0","0","        0","","         0","0","         0","0","         6","0","         0","0","       316","0","       184","0","","","","","   -2.8","0,1228, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  15.7"," ,0,0105, ","   52.8","0,0730, ","","","-0.6","0,1226","-2.8","0,1228","","","0.0","0,0120","","","","","","","     668.3","3","     668.3","0","","","","","     83.2"," ,0","        0"," ,0","     24.86","0","     33.10","0","     16.61","0","",""
"USC00042319","1996","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3116.1","","    3116.1","0","        10","0","         5","0","         0","0","        0","","         0","0","         0","0","        13","0","         0","0","       322","0","       206","0","","","","","   -3.9","0,1220, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  10.2"," ,0,1031, ","   51.7","0,0814,+","","","-1.1","0,1203","-2.8","0,1219","","","-0.6","0,0127","","","","","","","     467.0","0","     467.0","0","","","     26.42","0","     29.3"," ,0","        0"," ,0","     25.21","0","     34.17","0","     16.25","0","     17820","0"
"USC00042319","1997","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2947.8","","    2947.8","0","        12","0","         6","0","         1","0","        0","","         0","0","         0","0","        14","0","         0","0","       321","0","       206","0","","","","","   -3.9","0,1227,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  28.2"," ,0,0926, ","   51.7","0,0808,+","","","-2.2","0,1213","-2.2","0,1213","","","0.0","0,0209","-2.2","0,0118","","","","","     639.0","0","     639.0","0","","","     25.93","0","     71.5"," ,0","        0"," ,0","     24.55","0","     33.71","0","     15.38","0","      5957","0"
"USC00042319","1998","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2462.5","","    2462.5","0","        30","0","        10","0","         0","0","","","         0","0","         0","0","        17","0","         0","0","       298","0","       175","0","","","","","   -5.0","0,1225, ","","","     0"," ,0,1231,+","  25.1"," ,0,0224, ","   53.9","0,0718, ","    2921.4","0","0.0","0,1211","-3.3","0,1222","-5.0","0,1225","0.0","0,0128","-2.8","0,0108","","","","","     832.5","5","     832.5","0","","","     24.77","0","    108.3"," ,0","        0"," ,0","     22.93","0","     31.71","0","     14.15","0","      2262","0"
"USC00042319","1999","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   2862.9","","    2862.9","0","        15","0","         4","0","         0","0","        0","","         0","0","         0","0","         9","0","         0","0","       320","0","       186","0","","","","","   -2.2","0,1208, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   5.3"," ,0,0715, ","   50.6","0,0702, ","    3154.0","0","0.0","0,1205","-2.2","0,1208","","","0.0","0,0107","","","","","","","     568.1","1","     568.1","0","","","     24.97","0","     30.1"," ,0","        0"," ,0","     24.68","0","     32.86","0","     16.50","0","      4834","0"
"USC00042319","2000","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3070.7","","    3070.7","0","        11","0","         3","0","         0","0","        0","","         0","0","         0","0","        19","0","         0","0","       303","0","       194","0","","","","","   -2.8","0,0109,+","     0"," ,0,1231,+","     0"," ,0,1231,+","   7.4"," ,0,0306, ","   52.2","0,0616, ","    3279.8","0","-0.6","0,1107","-2.2","0,1220","","","-0.6","0,0111","-2.8","0,0109","","","","","     527.9","9","     527.9","0","","","     25.71","0","     25.0"," ,0","        0"," ,0","     25.08","0","     33.64","0","     16.53","0","      7533","0"
"USC00042319","2001","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3334.8","","    3334.8","0","        18","0","         8","0","         0","0","        0","","         0","0","         0","0","         9","0","         0","0","       286","0","       208","0","","","","","   -1.1","0,1219,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  14.7"," ,0,0226, ","   52.8","0,0704,+","","","0.0","0,1217","","","","","0.0","0,0212","","","","","","","     803.8","8","     803.8","0","","","","","     68.8"," ,0","        0"," ,0","     25.54","0","     33.67","0","     17.41","0","",""
"USC00042319","2002","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3154.1","","    3154.1","0","         7","0","         2","0","         0","0","        0","","         0","0","         0","0","        10","0","         0","0","       317","0","       194","0","","","","","   -2.2","0,0201, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   5.1"," ,0,0318, ","   53.3","0,0710, ","","","0.0","0,1228","","","","","-0.6","0,0203","-2.2","0,0201","","","","","     639.1","1","     639.1","0","","","     27.63","0","     12.3"," ,0","        0"," ,0","     25.31","0","     33.91","0","     16.72","0","     15580","0"
"USC00042319","2003","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3288.0","","    3288.0","0","        17","0","         6","0","         0","0","        0","","         0","0","         0","0","         4","0","         0","0","       309","0","       191","0","","","","","   -2.2","0,1229,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  23.4"," ,0,0213, ","   53.3","0,0713, ","","","0.0","0,1214","-2.2","0,1228","","","","","","","","","","","     462.9","9","     462.9","0","","","","","     75.3"," ,0","        0"," ,0","     25.62","0","     33.48","0","     17.74","0","",""
"USC00042319","2004","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3180.0","","    3180.0","0","        21","0","         7","0","         1","0","        0","","         0","0","         0","0","         3","0","         0","0","       298","0","       207","0","","","","","   -0.6","0,1225,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  31.8"," ,0,1229, ","   51.7","0,0812,+","","","0.0","0,1130","","","","","","","","","","","","","     737.1","1","     737.1","0","     14.69","0","     30.05","0","    108.2"," ,0","        0"," ,0","     25.30","0","     33.02","0","     17.58","0","",""
