"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00201429","1926","42.25","-85.033333","270.7","CERESCO, MI US","       126","6","        72","6","         6","6","       71","","        18","6","","","","","","","","","","","","","","","   127"," ,6,0403, ","    97"," ,6,1205, ","  58.4"," ,6,0614, ","","","","","","","","","","","","","","","","","","","","","","","    831.3"," ,6","     1123"," ,6","","","","","",""
"USC00201429","1927","42.25","-85.033333","270.7","CERESCO, MI US","       120","6","        75","6","        10","6","       45","","         9","6","","","","","","","","","","","","","","","   330"," ,6,0118,+","   292"," ,6,0113, ","  41.9"," ,6,0929, ","","","","","","","","","","","","","","","","","","","","","","","    949.2"," ,6","      808"," ,6","","","","","",""
"USC00201429","1928","42.25","-85.033333","270.7","CERESCO, MI US","       128","6","        80","6","         7","6","       46","","        14","6","","","","","","","","","","","","","","","   279"," ,6,0105,+","    76"," ,6,0330,+","  55.9"," ,6,0809, ","","","","","","","","","","","","","","","","","","","","","","","    868.6"," ,6","      673"," ,6","","","","","",""
"USC00201429","1929","42.25","-85.033333","270.7","CERESCO, MI US","       130","6","        89","6","         6","6","       87","","        23","6","","","","","","","","","","","","","","","   381"," ,6,1228,+","   203"," ,6,1219, ","  41.9"," ,6,1022, ","","","","","","","","","","","","","","","","","","","","","","","    884.7"," ,6","     1489"," ,6","","","","","",""
"USC00201429","1930","42.25","-85.033333","270.7","CERESCO, MI US","       117","6","        59","6","         3","6","       83","","        10","6","","","","","","","","","","","","","","","   178"," ,6,0208,+","   165"," ,6,0109, ","  26.7"," ,6,0519, ","","","","","","","","","","","","","","","","","","","","","","","    594.6"," ,6","     1019"," ,6","","","","","",""
"USC00201429","1931","42.25","-85.033333","270.7","CERESCO, MI US","        96","6","        61","6","         6","6","       28","","         9","6","","","","","","","","","","","","","","","   178"," ,6,0310,+","    76"," ,6,1209,+","  63.2"," ,6,0604, ","","","","","","","","","","","","","","","","","","","","","","","    747.3"," ,6","      566"," ,6","","","","","",""
"USC00201429","1932","42.25","-85.033333","270.7","CERESCO, MI US","       114","6","        78","6","        10","6","       52","","         7","6","","","","","","","","","","","","","","","   178"," ,6,0203, ","   152"," ,6,0321,+","  92.7"," ,6,0802, ","","","","","","","","","","","","","","","","","","","","","","","   1009.8"," ,6","      587"," ,6","","","","","",""
"USC00201429","1933","42.25","-85.033333","270.7","CERESCO, MI US","       120","6","        82","6","         6","6","       35","","         9","6","","","","","","","","","","","","","","","   127"," ,6,0217,+","   102"," ,6,0207, ","  53.3"," ,6,1021, ","","","","","","","","","","","","","","","","","","","","","","","    845.8"," ,6","      561"," ,6","","","","","",""
"USC00201429","1934","42.25","-85.033333","270.7","CERESCO, MI US","       106","6","        60","6","         1","6","       53","","        11","6","        14","6","       146","6","        64","6","       127","6","        35","6","","","  -27.2","6,0209, ","   254"," ,6,0327, ","   216"," ,6,0326, ","  83.3"," ,6,0912, ","   37.2","6,0809,+","-1.1","6,1027","-4.4","6,1101","-4.4","6,1101","-12.8","6,1206","-12.8","6,1206","-3.3","6,0427","-3.3","6,0427","-4.4","6,0413","-20.0","6,0328","-20.0","6,0328","    550.6"," ,6","      777"," ,6","      9.21","6","     13.76","6","      4.67","6"
"USC00201429","1935","42.25","-85.033333","270.7","CERESCO, MI US","       121","6","        73","6","         6","6","       61","","         8","6","         5","6","       116","6","        62","6","        96","6","         0","6","         1"," ","  -21.1","6,1228, ","   152"," ,6,1231,+","    89"," ,6,0307, ","  79.2"," ,6,0528, ","   31.7","6,0811,+","-0.6","6,1005","-5.6","6,1121","-5.6","6,1121","-8.3","6,1202","-12.8","6,1203","0.0","6,0503","-6.7","6,0416","-6.7","6,0416","-6.7","6,0416","-10.0","6,0308","    832.3"," ,6","      566"," ,6","      8.33","6","     12.15","6","      4.52","6"
"USC00201429","1936","42.25","-85.033333","270.7","CERESCO, MI US","       115","6","        54","6","         4","6","","","","","","","","","        57","6","       141","6","        26","6","","","","","","","","","  45.0"," ,6,0912, ","   39.4","6,0713, ","","","","","","","","","","","","","","","","","","","","","    665.2"," ,6","","","","","     13.88","6","",""
"USC00201429","1937","42.25","-85.033333","270.7","CERESCO, MI US","       115","6","        67","6","         6","6","       41","","         4","6","         1","6","       144","6","        62","6","       112","6","        13","6","","","  -18.9","6,0123, ","   254"," ,6,0123,+","   152"," ,6,1120, ","  86.9"," ,6,0625, ","   34.4","6,0831, ","0.0","6,1014","-2.2","6,1025","-4.4","6,1104","-7.2","6,1120","-8.9","6,1121","-2.8","6,0421","-2.8","6,0421","-5.6","6,0416","-9.4","6,0326","-9.4","6,0326","    896.9"," ,6","      303"," ,6","      9.07","6","     13.27","6","      4.87","6"
