"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AR000000011","1991","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        64","I","        57","I","        20","I","","","","","",""," 120.0"," ,I,0416, ","","","","","   1638.0"," ,I","",""
"AR000000011","1992","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        75","I","        64","I","        24","I","","","","","",""," 120.0"," ,I,0327, ","","","","","   1853.7"," ,I","",""
"AR000000011","1993","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        81","I","        70","I","        25","I","","","","","","","  85.0"," ,I,1115, ","","","","","   1567.0"," ,I","",""
"AR000000011","1994","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        75","I","        66","I","         6","I","","","","","","","  65.0"," ,I,0217, ","","","","","   1022.0"," ,I","",""
"AR000000011","1995","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        70","I","        50","I","        18","I","","","","","","","  80.0"," ,I,0502, ","","","","","   1110.0"," ,I","",""
"AR000000011","1996","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        56","I","        47","I","        15","I","","","","","",""," 100.0"," ,I,0425, ","","","","","   1018.5"," ,I","",""
"AR000000011","1997","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        83","I","        68","I","        20","I","","","","","",""," 215.0"," ,I,0205, ","","","","","   1459.0"," ,I","",""
"AR000000011","1998","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        93","I","        76","I","        28","I","","","","","",""," 122.0"," ,I,0127, ","","","","","   2089.0"," ,I","",""
"AR000000011","1999","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","        66","I","        53","I","         7","I","","","","","","","  55.0"," ,I,0402, ","","","","","    830.0"," ,I","",""
"AR000000011","2004","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","","","","","","","         0","S","         0","S","    0.1","S,0711, ","","","","","","","","","     14.09","S"
"AR000000011","2006","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","","","","","","","         0","S","         2","S","   -0.4","S,0730, ","","","-0.4","S,0730","","","","","     14.79","S"
"AR000000011","2007","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","","","","","","","         0","S","         3","S","   -3.7","S,0711, ","","","-3.7","S,0711","-3.7","S,0711","","","     13.93","S"
"AR000000011","2008","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","","","","","","","         0","S","         1","S","   -1.2","S,0530, ","","","-1.2","S,0530","","","","","     14.47","S"
"AR000000011","2009","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","","","","","","","         0","S","         2","S","   -2.2","S,0724, ","","","-2.2","S,0724","-2.2","S,0724","","","     14.28","S"
"AR000000011","2010","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","","","","","","","         0","S","         0","S","    0.1","S,0714, ","","","","","","","","","     13.92","S"
"AR000000011","2019","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","","","","","","","         0","S","         1","S","   -0.5","S,0706, ","","","-0.5","S,0706","","","","","     14.94","S"
"AR000000011","2023","-30.267","-57.65","53.0","MONTE CASEROS AERO, AR","","","","","","","         0","S","         0","S","    0.8","S,0813, ","","","","","","","","","     15.79","S"
