"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013872","1900","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","","","","","       110","6","        82","6","        12","6","","","         1","6","","","","","","","","","","","","","","","","","","","    89"," ,6,0316, ","  60.2"," ,6,0301, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1134.4"," ,6","       92"," ,6","","","","","","","",""
"USW00013872","1901","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","","","","","       111","6","        78","6","        12","6","","","         2","6","","","","","","","","","","","","","","","","","","","    69"," ,6,0420, ","  76.2"," ,6,0326, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1304.9"," ,6","      161"," ,6","","","","","","","",""
"USW00013872","1903","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    384.8","","     384.8","0","       120","0","        82","0","        10","0","        0","","         0","0","         0","0","        99","0","        14","0","       160","0","         2","0","","","","","  -15.0","0,0218, ","     0","T,0,1211,+","    20"," ,0,0108, ","  49.0"," ,0,0322, ","   32.2","0,0718,+","-1.7","0,1019","-3.9","0,1028","-5.6","0,1107","-7.8","0,1118","-10.6","0,1119","-1.1","0,0424","-3.3","0,0405","-4.4","0,0224","-12.8","0,0219","-12.8","0,0219","","","","","   1046.7"," ,0","       51"," ,0","     12.28","0","     17.99","0","      6.57","0","",""
"USW00013872","1904","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    353.8","","     353.8","0","       119","0","        66","0","         4","0","        8","","         5","0","         0","0","       110","0","         7","0","       163","0","         2","0","","","","","  -15.6","0,0202, ","   127"," ,0,0128, ","   130"," ,0,0128, ","  47.5"," ,0,0904, ","   32.2","0,0719,+","-0.6","0,1016","-5.6","0,1024","-5.6","0,1024","-8.9","0,1220","-8.9","0,1220","-3.3","0,0421","-3.3","0,0421","-6.1","0,0304","-6.7","0,0217","-8.9","0,0213","    2867.9","9","    2867.9","0","    764.0"," ,0","      450"," ,0","     11.94","0","     17.82","0","      6.05","0","",""
"USW00013872","1905","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    423.2","","     423.2","0","       131","0","        89","0","        13","0","        7","","         3","0","         2","0","        87","0","        15","0","       171","0","         0","0","","","","","  -21.1","0,0214, ","    51"," ,0,0219,+","    51"," ,0,0203, ","  58.9"," ,0,1202, ","   31.1","0,0807, ","-0.6","0,1013","-3.3","0,1022","-6.7","0,1122","-6.7","0,1122","-10.0","0,1205","-2.2","0,0418","-2.2","0,0418","-7.2","0,0218","-7.2","0,0218","-16.7","0,0216","    2556.4","4","    2556.4","0","   1157.9"," ,0","      273"," ,0","     12.53","0","     18.04","0","      7.02","0","",""
"USW00013872","1906","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    464.5","","     464.5","0","       148","0","        82","0","        11","0","        7","","         3","0","         0","0","       101","0","        11","0","       170","0","         0","0","","","","","  -13.9","0,1224, ","   381"," ,0,0127,+","   381"," ,0,0126, ","  70.9"," ,0,0122, ","   31.7","0,0608, ","-1.1","0,1010","-2.8","0,1011","-4.4","0,1012","-8.3","0,1114","-10.6","0,1223","0.0","0,0510","-7.8","0,0321","-7.8","0,0321","-7.8","0,0321","-10.6","0,0228","    2426.1","1","    2426.1","0","   1152.6"," ,0","      537"," ,0","     12.97","0","     18.48","0","      7.47","0","",""
"USW00013872","1907","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    377.9","","     377.9","0","       134","0","        74","0","         5","0","        1","","         0","0","         0","0","        85","0","         5","0","       164","0","         3","0","","","","","   -8.9","0,0128, ","    25"," ,0,1204, ","    15"," ,0,1204, ","  42.4"," ,0,0923, ","   32.8","0,0709, ","0.0","0,1013","-2.8","0,1015","-4.4","0,1114","-7.8","0,1205","","","-0.6","0,0420","-5.0","0,0415","-5.0","0,0415","-7.2","0,0222","-8.9","0,0128","    2275.7","7","    2275.7","0","    802.2"," ,0","       49"," ,0","     12.83","0","     18.60","0","      7.07","0","",""
"USW00013872","1908","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    396.2","","     396.2","0","       115","0","        73","0","        12","0","       12","","         6","0","         0","0","        84","0","         7","0","       185","0","         1","0","","","","","  -15.0","0,0203,+","   102"," ,0,0210,+","   173"," ,0,0210, ","  58.4"," ,0,1023, ","   32.2","0,0718, ","-0.6","0,1004","-3.3","0,1105","-4.4","0,1116","-7.2","0,1203","","","-1.1","0,0404","-3.3","0,0321","-8.9","0,0228","-8.9","0,0228","-8.9","0,0228","    2448.8","8","    2448.8","0","   1178.3"," ,0","      648"," ,0","     13.06","0","     18.82","0","      7.30","0","",""
"USW00013872","1909","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    378.3","","     378.3","0","       138","0","        84","0","        12","0","        0","","         0","0","         0","0","        95","0","         9","0","       165","0","         1","0","","","","","  -16.7","0,0131, ","     0","T,0,1230,+","    10"," ,0,1229, ","  67.6"," ,0,0603, ","   32.2","0,0828, ","-3.9","0,1025","-3.9","0,1025","-6.1","0,1119","-8.3","0,1209","-10.6","0,1210","-0.6","0,0503","-2.2","0,0323","-5.6","0,0226","-7.2","0,0202","-15.6","0,0201","    2213.9","9","    2213.9","0","   1238.1"," ,0","       40"," ,0","     12.83","0","     18.72","0","      6.94","0","",""
"USW00013872","1910","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    353.5","","     353.5","0","       135","0","        78","0","         7","0","        4","","         2","0","         0","0","       107","0","        11","0","       177","0","         0","0","","","","","  -12.2","0,1222, ","   102"," ,0,0211, ","   107"," ,0,0211, ","  89.2"," ,0,0831, ","   30.0","0,0726,+","-1.1","0,1028","-5.0","0,1029","-5.0","0,1029","-6.7","0,1030","-8.9","0,1203","-0.6","0,0426","-3.9","0,0316","-6.1","0,0315","-11.7","0,0219","-11.7","0,0219","    2521.3","3","    2521.3","0","    968.9"," ,0","      227"," ,0","     12.22","0","     17.94","0","      6.50","0","",""
"USW00013872","1911","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    494.4","","     494.4","0","       143","0","        78","0","         8","0","        0","","         0","0","         0","0","        72","0","         5","0","       164","0","         1","0","","","","","  -12.2","0,0104, ","     0","T,0,1227,+","     3"," ,0,0104, ","  71.9"," ,0,0812, ","   33.3","0,0611, ","-3.9","0,1102","-3.9","0,1102","-6.1","0,1103","-7.2","0,1112","-10.6","0,1113","-3.3","0,0402","-3.3","0,0402","-6.7","0,0317","-6.7","0,0317","-10.0","0,0316","    2435.8","8","    2435.8","0","    960.1"," ,0","        3"," ,0","     13.57","0","     19.28","0","      7.85","0","",""
"USW00013872","1912","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    369.8","","     369.8","0","       138","0","        80","0","         4","0","        8","","         8","0","         1","0","       107","0","        15","0","       168","0","         1","0","","","","","  -17.8","0,0116, ","    51"," ,0,1127,+","    76"," ,0,0215, ","  35.3"," ,0,0709, ","   32.2","0,0617, ","-1.7","0,1102","-5.0","0,1103","-5.0","0,1103","-6.7","0,1128","-11.1","0,1129","-1.1","0,0409","-2.2","0,0326","-6.7","0,0310","-6.7","0,0310","-11.7","0,0207","    2530.8","8","    2530.8","0","    871.5"," ,0","      464"," ,0","     12.21","0","     17.78","0","      6.64","0","",""
"USW00013872","1913","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    436.2","","     436.2","0","       127","0","        78","0","         4","0","        0","","         0","0","         0","0","        83","0","         3","0","       164","0","         4","0","","","","","   -9.4","0,0213, ","     0","T,0,1110,+","     3"," ,0,1111, ","  58.2"," ,0,0523, ","   34.4","0,0719, ","-0.6","0,1021","-2.2","0,1022","-5.0","0,1101","-8.3","0,1208","-8.9","0,1210","-1.1","0,0329","-3.3","0,0328","-7.8","0,0307","-7.8","0,0307","-9.4","0,0213","    2271.1","1","    2271.1","0","    935.0"," ,0","        3"," ,0","     13.24","0","     19.07","0","      7.41","0","",""
"USW00013872","1914","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    488.5","","     488.5","0","       136","0","        71","0","        11","0","       11","","         7","0","         0","0","       106","0","        16","0","       168","0","         9","0","","","","","  -15.6","0,1216,+","    76"," ,0,1213,+","    76"," ,0,1213, ","  91.4"," ,0,1015, ","   33.3","0,0628,+","-1.7","0,1027","-5.0","0,1028","-5.0","0,1028","-6.7","0,1117","-8.9","0,1118","-0.6","0,0410","-2.8","0,0409","-5.6","0,0323","-6.7","0,0321","-13.3","0,0302","    2488.8","8","    2488.8","0","   1066.3"," ,0","      448"," ,0","     12.62","0","     18.21","0","      7.03","0","",""
"USW00013872","1915","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    378.5","","     378.5","0","       147","0","        85","0","        11","0","        3","","         4","0","         0","0","       115","0","         5","0","       178","0","         3","0","","","","","   -7.8","0,0210,+","   102"," ,0,0330, ","   147"," ,0,1211, ","  35.6"," ,0,1229, ","   33.3","0,0731, ","-2.8","0,1010","-2.8","0,1010","-4.4","0,1116","-6.7","0,1207","","","0.0","0,0405","-3.9","0,0404","-6.7","0,0322","-6.7","0,0322","","","    2572.3","3","    2572.3","0","   1022.7"," ,0","      504"," ,0","     12.62","0","     18.02","0","      7.21","0","",""
"USW00013872","1916","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    397.1","","     397.1","0","       143","0","        78","0","        12","0","        7","","         5","0","         0","0","        83","0","         9","0","       170","0","         0","0","","","","","  -14.4","0,0118, ","    51"," ,0,1218,+","    91"," ,0,1218, ","  52.8"," ,0,0708, ","   31.1","0,0907,+","-6.1","0,1115","-6.1","0,1115","-6.1","0,1115","-7.8","0,1116","-10.0","0,1214","-3.3","0,0410","-3.3","0,0410","-4.4","0,0317","-10.6","0,0316","-10.6","0,0316","    2280.4","4","    2280.4","0","    958.6"," ,0","      281"," ,0","     12.93","0","     18.71","0","      7.15","0","",""
"USW00013872","1917","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    322.1","","     322.1","0","       126","0","        87","0","         4","0","       15","","         6","0","         5","0","        90","0","        18","0","       155","0","         4","0","","","","","  -20.6","0,0203, ","   102"," ,0,1214,+","    66"," ,0,1229, ","  46.5"," ,0,0831, ","   32.8","0,0731, ","-1.7","0,1013","-3.9","0,1024","-5.0","0,1031","-7.2","0,1125","-8.9","0,1208","-1.1","0,0410","-5.6","0,0319","-5.6","0,0319","-8.3","0,0306","-8.9","0,0213","    2431.0","0","    2431.0","0","    901.8"," ,0","      377"," ,0","     11.74","0","     17.59","0","      5.90","0","",""
"USW00013872","1918","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    357.2","","     357.2","0","       141","0","        80","0","        11","0","       20","","         3","0","         2","0","        68","0","        17","0","       168","0","         5","0","","","","","  -18.9","0,0113, ","   127"," ,0,0122, ","   178"," ,0,0111, "," 136.7"," ,0,1025, ","   35.0","0,0806, ","-1.7","0,1102","-2.2","0,1113","-5.6","0,1226","-7.8","0,1227","","","0.0","0,0414","-2.2","0,0410","-6.1","0,0221","-12.8","0,0205","-12.8","0,0205","    2662.9","9","    2662.9","0","   1299.2"," ,0","      347"," ,0","     13.03","0","     18.55","0","      7.51","0","",""
"USW00013872","1919","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    446.5","","     446.5","0","       124","0","        74","0","         7","0","        5","","         2","0","         1","0","        86","0","         9","0","       179","0","         3","0","","","","","  -17.8","0,0104, ","    51"," ,0,0105, ","    38"," ,0,0105, ","  40.1"," ,0,0327, ","   32.8","0,0807,+","-0.6","0,1106","-5.6","0,1114","-5.6","0,1114","-8.3","0,1214","-10.0","0,1215","-0.6","0,0427","-2.2","0,0403","-6.1","0,0227","-8.9","0,0211","-8.9","0,0211","    2319.0","0","    2319.0","0","    799.2"," ,0","      121"," ,0","     13.44","0","     19.05","0","      7.84","0","",""
"USW00013872","1920","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    337.1","","     337.1","0","       152","0","        90","0","         7","0","        1","","         2","0","         0","0","        96","0","        12","0","       167","0","         0","0","","","","","  -15.6","0,0105, ","    25"," ,0,0126, ","   114"," ,0,0126, ","  47.2"," ,0,1213, ","   31.7","0,0724, ","-2.8","0,1030","-2.8","0,1030","-6.7","0,1113","-6.7","0,1113","","","-1.7","0,0415","-3.3","0,0414","-6.7","0,0309","-6.7","0,0309","-13.3","0,0308","    2351.8","8","    2351.8","0","   1094.2"," ,0","      213"," ,0","     12.25","0","     17.54","0","      6.95","0","",""
"USW00013872","1921","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    505.4","","     505.4","0","       132","0","        72","0","         5","0","        4","","         2","0","         0","0","        67","0","         4","0","       182","0","         2","0","","","","","   -6.7","0,0119,+","   127"," ,0,0127,+","   127"," ,0,0127,+","  50.8"," ,0,0720, ","   33.3","0,0802, ","-1.1","0,1009","-2.2","0,1014","-5.0","0,1230","","","","","-1.1","0,0418","-2.2","0,0412","-5.6","0,0224","-6.7","0,0119","","","    2197.7","7","    2197.7","0","    900.3"," ,0","      282"," ,0","     14.04","0","     19.49","0","      8.60","0","",""
"USW00013872","1922","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    400.7","","     400.7","0","       128","0","        82","0","         4","0","        2","","         3","0","         0","0","        61","0","         4","0","       173","0","         0","0","","","","","  -11.1","0,0114, ","   152"," ,0,0207, ","   157"," ,0,0207, ","  40.4"," ,0,1009, ","   30.6","0,0907,+","0.0","0,1019","-2.2","0,1110","-7.8","0,1126","-7.8","0,1126","","","-1.1","0,0402","-2.8","0,0323","-10.0","0,0217","-10.0","0,0217","-10.0","0,0217","    2065.0","0","    2065.0","0","    944.4"," ,0","      325"," ,0","     13.74","0","     19.14","0","      8.35","0","",""
"USW00013872","1923","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    402.2","","     402.2","0","       136","0","        78","0","         6","0","","","         3","0","         0","0","        73","0","         4","0","       160","0","         0","0","","","","","  -14.4","0,0218, ","","","    64"," ,0,1023, ","  40.4"," ,0,0316, ","   31.1","0,0821,+","-0.6","0,1023","-2.2","0,1101","-4.4","0,1110","","","","","-0.6","0,0410","-3.3","0,0402","-6.7","0,0401","-6.7","0,0401","-10.6","0,0320","    2227.6","6","    2227.6","0","    898.3"," ,0","      135"," ,0","     13.13","0","     18.56","0","      7.71","0","",""
"USW00013872","1924","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    395.7","","     395.7","0","       125","0","        77","0","         5","0","        5","","         3","0","         2","0","        97","0","        14","0","       159","0","         1","0","","","","","  -20.6","0,0106, ","    76"," ,0,0227, ","   191"," ,0,0227, ","  48.5"," ,0,1208, ","   32.8","0,0629, ","-2.8","0,1023","-2.8","0,1023","-6.1","0,1126","-7.2","0,1201","-10.0","0,1202","0.0","0,0412","-4.4","0,0403","-4.4","0,0403","-7.8","0,0311","-8.9","0,0222","    2603.9","9","    2603.9","0","    901.5"," ,0","      317"," ,0","     12.12","0","     17.67","0","      6.57","0","",""
"USW00013872","1925","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    605.2","","     605.2","0","       104","0","        60","0","         1","0","        1","","         1","0","         1","0","        81","0","         6","0","       168","0","        15","0","","","","","  -17.8","0,1228, ","    25"," ,0,0304, ","    43"," ,0,0304, ","  27.9"," ,0,1112, ","   35.6","0,0820, ","-2.8","0,1011","-2.8","0,1011","-5.0","0,1123","-7.2","0,1124","-8.9","0,1222","-1.1","0,0401","-2.2","0,0306","-12.2","0,0303","-12.2","0,0303","-12.2","0,0303","    2240.4","4","    2240.4","0","    579.9"," ,0","       72"," ,0","     13.50","0","     19.15","0","      7.85","0","",""
"USW00013872","1926","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    504.5","","     504.5","0","       136","0","        75","0","         4","0","        4","","         4","0","         0","0","        99","0","         7","0","       167","0","         4","0","","","","","  -12.2","0,0314, ","    25"," ,0,0311,+","   254"," ,0,0311, ","  43.2"," ,0,1115, ","   35.6","0,0722,+","-0.6","0,1025","-2.2","0,1104","-4.4","0,1106","-7.8","0,1112","","","0.0","0,0427","-4.4","0,0328","-4.4","0,0328","-12.2","0,0314","-12.2","0,0314","    2632.2","2","    2632.2","0","    820.1"," ,0","      374"," ,0","     12.68","0","     18.23","0","      7.12","0","",""
"USW00013872","1927","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    432.9","","     432.9","0","       139","0","        80","0","         9","0","        4","","         4","0","         0","0","        56","0","         8","0","       171","0","         1","0","","","","","  -16.7","0,0116, ","   178"," ,0,0302, ","   102"," ,0,0301, ","  56.6"," ,0,1202, ","   32.2","0,0917, ","-1.7","0,1106","-3.3","0,1107","-4.4","0,1120","-9.4","0,1208","-9.4","0,1208","0.0","0,0425","-6.1","0,0305","-6.1","0,0305","-16.7","0,0116","-16.7","0,0116","    2203.6","6","    2203.6","0","    910.8"," ,0","      284"," ,0","     13.74","0","     19.04","0","      8.44","0","",""
"USW00013872","1928","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    393.9","","     393.9","0","       140","0","        84","0","        12","0","        0","","         3","0","         2","0","        92","0","         6","0","       155","0","         0","0","","","","","  -20.6","0,0102, ","     0","T,0,1228,+","    51"," ,0,0428, "," 112.3"," ,0,0815, ","   31.7","0,0621, ","-1.1","0,1105","-2.2","0,1121","-5.6","0,1125","-7.8","0,1126","","","-1.7","0,0428","-2.8","0,0416","-5.0","0,0319","-7.2","0,0227","-10.6","0,0219","    2448.0","0","    2448.0","0","   1105.3"," ,0","      134"," ,0","     12.51","0","     17.97","0","      7.05","0","",""
"USW00013872","1929","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    376.3","","     376.3","0","       147","0","        93","0","         9","0","        7","","         3","0","         0","0","        79","0","         9","0","       157","0","         0","0","","","","","  -15.6","0,1130, ","   127"," ,0,0205, ","   152"," ,0,0205, ","  64.0"," ,0,0930, ","   31.7","0,0729, ","-0.6","0,1105","-2.8","0,1106","-12.2","0,1129","-12.2","0,1129","-12.2","0,1129","-2.2","0,0318","-2.2","0,0318","-6.7","0,0310","-6.7","0,0310","","","    2303.2","2","    2303.2","0","   1178.1"," ,0","      275"," ,0","     12.85","0","     18.09","0","      7.61","0","",""
"USW00013872","1930","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    442.1","","     442.1","0","       120","0","        62","0","         2","0","       12","","         3","0","         0","0","        96","0","         8","0","       160","0","        18","0","","","","","  -11.7","0,1127,+","   229"," ,0,1217, ","   229"," ,0,1217, ","  35.8"," ,0,0911, ","   35.6","0,0729, ","-1.1","0,1021","-3.3","0,1022","-6.1","0,1102","-6.7","0,1126","-11.7","0,1127","-1.7","0,0401","-3.9","0,0326","-6.1","0,0305","-11.1","0,0303","-11.1","0,0303","    2342.2","2","    2342.2","0","    622.0"," ,0","      500"," ,0","     12.77","0","     18.35","0","      7.18","0","",""
"USW00013872","1931","35.5954","-82.5568","682.1","ASHEVILLE, NC US","","","    607.5","","     607.5","0","       115","0","        68","0","         6","0","        3","","         5","0","         0","0","        73","0","         2","0","       183","0","        25","0","","","","","  -10.0","0,0116, ","    25"," ,0,0321,+","   102"," ,0,0322, ","  44.2"," ,0,0422, ","   35.0","0,0628, ","-1.1","0,1019","-2.2","0,1102","-5.6","0,1107","","","","","0.0","0,0322","-5.0","0,0318","-5.0","0,0318","-8.3","0,0215","-10.0","0,0116","    2651.6","6","    2651.6","0","    779.2"," ,0","      322"," ,0","     14.01","0","     20.16","0","      7.86","0","",""
