"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087548","2010","-34.546","-60.931","79.9","JUNIN, AR","","","","","","","         0","S","        36","S","   -6.7","S,0717, ","","","-0.6","S,0507","-6.2","S,0716","-6.2","S,0716","-6.7","S,0717","-0.5","S,0826","-3.3","S,0815","-4.4","S,0807","","","","","      9.32","S"
"ARM00087548","2011","-34.546","-60.931","79.9","JUNIN, AR","","","","","","","         0","S","        41","S","   -7.0","S,0706,+","","","-1.0","S,0502","-3.5","S,0604","-4.8","S,0703","-7.0","S,0704","-1.0","S,0911","-4.4","S,0823","-4.4","S,0823","","","","","      8.96","S"
"ARM00087548","2012","-34.546","-60.931","79.9","JUNIN, AR","","","","","","","         0","S","        33","S","   -6.8","S,0725, ","","","-0.3","S,0605","-5.4","S,0607","-5.4","S,0607","-6.8","S,0725","-1.6","S,0926","","","","","","","","","     10.25","S"
"ARM00087548","2013","-34.546","-60.931","79.9","JUNIN, AR","","","","","","","         0","S","        37","S","   -6.0","S,0723, ","","","-0.5","S,0516","-3.6","S,0620","-6.0","S,0723","","","-2.0","S,0924","-4.5","S,0827","-4.5","S,0827","","","","","      9.20","S"
"ARM00087548","2014","-34.546","-60.931","79.9","JUNIN, AR","","","","","","","         0","S","        20","S","   -5.0","S,0813, ","","","-0.2","S,0524","-2.5","S,0630","","","","","-3.8","S,0827","-3.8","S,0827","-5.0","S,0813","","","","","     10.20","S"
"ARM00087548","2015","-34.546","-60.931","79.9","JUNIN, AR","","","","","","","         0","S","        20","S","   -5.5","S,0619, ","","","-1.2","S,0612","-5.5","S,0619","-5.5","S,0619","","","-0.5","S,0912","","","","","","","","","     10.57","S"
"ARM00087548","2017","-34.546","-60.931","79.9","JUNIN, AR","","","","","","","         0","S","        11","S","   -4.3","S,0619, ","","","-2.7","S,0612","-2.7","S,0612","","","","","-0.5","S,0813","","","","","","","","","     10.80","S"
"ARM00087548","2018","-34.546","-60.931","79.9","JUNIN, AR","","","","","","","         0","S","        19","S","   -6.2","S,0624, ","","","-0.7","S,0608","-2.6","S,0615","-6.2","S,0624","","","-1.0","S,0822","-2.5","S,0821","","","","","","","     10.07","S"
"ARM00087548","2020","-34.546","-60.931","79.9","JUNIN, AR","","","","","","","         0","S","        32","S","   -6.8","S,0820, ","","","-1.5","S,0601","-2.2","S,0602","-5.1","S,0714","","","-2.0","S,0920","-2.5","S,0830","-6.8","S,0820","-6.8","S,0820","","","      9.29","S"
"ARM00087548","2021","-34.546","-60.931","79.9","JUNIN, AR","","","","","","","         0","S","        34","S","   -5.1","S,0719, ","","","-1.5","S,0511","-2.6","S,0512","-4.7","S,0703","","","-1.8","S,0827","-2.5","S,0810","","","","","","","      9.67","S"
"ARM00087548","2022","-34.546","-60.931","79.9","JUNIN, AR","","","","","","","         0","S","        34","S","   -6.6","S,0531, ","","","-1.4","S,0519","-4.1","S,0530","-6.6","S,0531","","","-1.2","S,0923","-3.0","S,0910","","","","","","","      8.64","S"
"ARM00087548","2023","-34.546","-60.931","79.9","JUNIN, AR","","","","","","","         0","S","        18","S","   -3.8","S,0612, ","","","-1.5","S,0528","-3.8","S,0612","","","","","-0.5","S,1012","","","","","","","","","     10.27","S"
