"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA006119325","1939","44.75","-79.3333","222.0","WASHAGO, ON CA","       143","C","       102","C","         4","C","        36","C","   178"," ,C,0130, ","  41.9"," ,C,0812, ","","","","","    910.3"," ,C","     2361"," ,C"
"CA006119325","1940","44.75","-79.3333","222.0","WASHAGO, ON CA","       145","C","       109","C","         5","C","        37","C","   203"," ,C,1202,+","  53.3"," ,C,0818, ","","","","","   1044.5"," ,C","     2692"," ,C"
"CA006119325","1941","44.75","-79.3333","222.0","WASHAGO, ON CA","       133","C","        88","C","         7","C","        29","C","   203"," ,C,0207, ","  64.5"," ,C,1009, ","","","","","    952.9"," ,C","     1855"," ,C"
"CA006119325","1942","44.75","-79.3333","222.0","WASHAGO, ON CA","       145","C","       105","C","         9","C","        42","C","   483"," ,C,1127, ","  54.6"," ,C,0926, ","","","","","   1136.5"," ,C","     3032"," ,C"
"CA006119325","1943","44.75","-79.3333","222.0","WASHAGO, ON CA","       125","C","        84","C","         3","C","        29","C","   305"," ,C,0119, ","  53.8"," ,C,0721, ","","","","","    886.0"," ,C","     2461"," ,C"
"CA006119325","1944","44.75","-79.3333","222.0","WASHAGO, ON CA","       109","C","        83","C","         3","C","        32","C","   203"," ,C,1231, ","  91.9"," ,C,0623, ","","","","","    787.7"," ,C","     2074"," ,C"
"CA006119325","1945","44.75","-79.3333","222.0","WASHAGO, ON CA","       135","C","       108","C","         2","C","        27","C","   152"," ,C,1216, ","  30.5"," ,C,0615, ","","","","","    862.1"," ,C","     1425"," ,C"
"CA006119325","1946","44.75","-79.3333","222.0","WASHAGO, ON CA","       122","C","        97","C","         2","C","        33","C","   305"," ,C,1227, ","  30.5"," ,C,1227, ","","","","","    799.2"," ,C","     2539"," ,C"
"CA006119325","1947","44.75","-79.3333","222.0","WASHAGO, ON CA","       122","C","       107","C","         5","C","        41","C","   305"," ,C,1129, ","  48.8"," ,C,0722, ","","","","","    912.6"," ,C","     2766"," ,C"
"CA006119325","1948","44.75","-79.3333","222.0","WASHAGO, ON CA","        99","C","        84","C","         3","C","        22","C","   229"," ,C,0108, ","  43.2"," ,C,0319, ","","","","","    850.3"," ,C","     1806"," ,C"
"CA006119325","1949","44.75","-79.3333","222.0","WASHAGO, ON CA","        97","C","        87","C","         4","C","        32","C","   152"," ,C,0310, ","  36.3"," ,C,0724, ","","","","","    771.1"," ,C","     1703"," ,C"
"CA006119325","1950","44.75","-79.3333","222.0","WASHAGO, ON CA","       102","C","        87","C","         3","C","        33","C","   152"," ,C,1129,+","  41.4"," ,C,0623, ","","","","","    824.8"," ,C","     2354"," ,C"
"CA006119325","1955","44.75","-79.3333","222.0","WASHAGO, ON CA","       113","C","        90","C","         6","C","        40","C","   152"," ,C,0126,+","  69.1"," ,C,0806, ","","","","","    888.3"," ,C","     2244"," ,C"
"CA006119325","1956","44.75","-79.3333","222.0","WASHAGO, ON CA","       112","C","        82","C","         5","C","        34","C","   152"," ,C,1126, ","  70.1"," ,C,0722, ","","","","","    813.6"," ,C","     2075"," ,C"
"CA006119325","1957","44.75","-79.3333","222.0","WASHAGO, ON CA","       106","C","        81","C","         4","C","        27","C","   178"," ,C,0214,+","  47.0"," ,C,0628, ","","","","","    806.3"," ,C","     1898"," ,C"
"CA006119325","1958","44.75","-79.3333","222.0","WASHAGO, ON CA","       111","C","        78","C","         2","C","        32","C","   203"," ,C,1205, ","  41.9"," ,C,1010, ","","","","","    754.9"," ,C","     2438"," ,C"
"CA006119325","1959","44.75","-79.3333","222.0","WASHAGO, ON CA","       129","C","        92","C","         5","C","        34","C","   178"," ,C,1209,+","  69.9"," ,C,0718, ","","","","","    916.3"," ,C","     2272"," ,C"
"CA006119325","1960","44.75","-79.3333","222.0","WASHAGO, ON CA","       128","C","        96","C","         9","C","        32","C","   254"," ,C,1217,+","  48.3"," ,C,0530, ","","","","","    997.8"," ,C","     2577"," ,C"
"CA006119325","1961","44.75","-79.3333","222.0","WASHAGO, ON CA","       125","C","        83","C","         6","C","        22","C","   203"," ,C,1230, ","  38.9"," ,C,0828, ","","","","","    849.0"," ,C","     1593"," ,C"
"CA006119325","1962","44.75","-79.3333","222.0","WASHAGO, ON CA","       123","C","        88","C","         3","C","        35","C","   152"," ,C,0108, ","  43.7"," ,C,0622, ","","","","","    806.6"," ,C","     2392"," ,C"
"CA006119325","1963","44.75","-79.3333","222.0","WASHAGO, ON CA","       111","C","        77","C","         4","C","        25","C","   140"," ,C,1225,+","  43.7"," ,C,0912, ","","","","","    731.9"," ,C","     1675"," ,C"
"CA006119325","1964","44.75","-79.3333","222.0","WASHAGO, ON CA","       125","C","        79","C","         2","C","        24","C","   330"," ,C,1121, ","  47.5"," ,C,0524, ","","","","","    737.6"," ,C","     2035"," ,C"
"CA006119325","1965","44.75","-79.3333","222.0","WASHAGO, ON CA","       132","C","       102","C","         2","C","        37","C","   305"," ,C,0225, ","  30.5"," ,C,0225, ","","","","","    926.6"," ,C","     2719"," ,C"
"CA006119325","1966","44.75","-79.3333","222.0","WASHAGO, ON CA","       123","C","        93","C","         4","C","        29","C","   178"," ,C,0324, ","  38.9"," ,C,0614, ","","","","","    895.8"," ,C","     2042"," ,C"
"CA006119325","1967","44.75","-79.3333","222.0","WASHAGO, ON CA","       138","C","       107","C","         8","C","        31","C","   318"," ,C,1127, ","  56.9"," ,C,0621, ","","","","","   1119.5"," ,C","     2417"," ,C"
"CA006119325","1968","44.75","-79.3333","222.0","WASHAGO, ON CA","       123","C","        87","C","         4","C","        30","C","   457"," ,C,1205, ","  45.7"," ,C,1205, ","","","","","    787.5"," ,C","     2442"," ,C"
"CA006119325","1969","44.75","-79.3333","222.0","WASHAGO, ON CA","       127","C","        98","C","         5","C","        28","C","   178"," ,C,0202, ","  32.5"," ,C,1101,+","","","","","    937.8"," ,C","     1927"," ,C"
"CA006119325","1970","44.75","-79.3333","222.0","WASHAGO, ON CA","","","","","","","","","","","","","    4805.8","8","    4805.8","C","","","",""
