"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00314772","1938","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","       123","6","        84","6","        11","6","","","         1","6","","","","","","","","","","","","","","","   381"," ,6,1127, ","  62.7"," ,6,0726, ","","","","","","","","","","","","","","","","","","","","","","","","","    1929.4","4","    1929.4","6","   1183.3"," ,6","      381"," ,6","","","","","","","     31824","6"
"USC00314772","1939","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","       106","6","        86","6","        12","6","","","         0","6","","","","","","","","","","","","","","","    15"," ,6,1225, ","  83.8"," ,6,0819, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1284.7"," ,6","       15"," ,6","","","","","","","",""
"USC00314772","1940","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","        86","6","        66","6","        13","6","","","         3","6","","","","","","","","","","","","","","","   254"," ,6,0123, ","  57.9"," ,6,1112, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1045.4"," ,6","      432"," ,6","","","","","","","",""
"USC00314772","1943","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    904.4","","     904.4","6","        76","6","        63","6","         8","6","","","","","         0","6","       116","6","         7","6","       225","6","        82","6","  -13.9","6,0215, ","","","","","  65.3"," ,6,0706, ","   40.6","6,0815, ","   12804.3","6","0.0","6,1018","-2.2","6,1111","-4.4","6,1112","-10.6","6,1216","-10.6","6,1216","0.0","6,0417","-5.6","6,0416","-5.6","6,0416","-6.7","6,0310","-10.0","6,0305","    2071.3","3","    2071.3","6","    812.5"," ,6","","","     14.87","6","     22.78","6","      6.97","6","     30050","6"
"USC00314772","1944","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    860.4","","     860.4","6","","","","","","","","","         1","6","         0","6","       118","6","         1","6","       214","6","        84","6","  -14.4","6,0110, ","","","   127"," ,6,0109, ","","","   38.9","6,0619,+","   12375.1","6","0.0","6,1016","-3.9","6,1107","-5.0","6,1201","-6.7","6,1202","-10.0","6,1215","-2.2","6,0418","-2.2","6,0418","-5.6","6,0311","-8.3","6,0214","-8.9","6,0213","    2117.7","7","    2117.7","6","","","      127"," ,6","     14.59","6","     22.28","6","      6.91","6","",""
"USC00314772","1945","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","       118","6","        94","6","        20","6","","","         0","6","","","","","","","","","","","","","","","     0","T,6,1215,+"," 102.9"," ,6,0716, ","","","    2729.4","6","","","","","","","","","","","","","","","","","","","","","    2008.3","3","    2008.3","6","   1470.8"," ,6","        0","T,6","","","","","","","",""
"USC00314772","1946","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","       104","6","        81","6","        13","6","","","         1","6","","","","","","","","","","","","","","","   127"," ,6,0117, ","  53.3"," ,6,0117, ","","","    1698.8","6","","","","","","","","","","","","","","","","","","","","","","","","","   1034.3"," ,6","      127"," ,6","","","","","","","     24816","6"
"USC00314772","1947","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","","","","","","","","","         0","6","","","","","","","","","","","","","","","     8"," ,6,1201, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        8"," ,6","","","","","","","",""
"USC00314772","1948","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","       113","0","        92","0","        20","0","","","","","","","","","","","","","","","","","","","","","  68.6"," ,0,0531, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1540.1"," ,0","","","","","","","","","",""
"USC00314772","1949","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    860.7","","     860.7","0","        93","0","        82","0","         4","0","        0","","         0","0","         0","0","        72","0","         0","0","       217","0","        42","0","   -7.8","0,1217,+","     0"," ,0,1231,+","     0","T,0,0907, ","  77.7"," ,0,0829, ","   37.8","0,0729,+","","","-2.8","0,1106","-2.8","0,1106","-4.4","0,1119","-6.7","0,1123","","","-2.2","0,0417","-2.2","0,0417","-5.0","0,0316","-6.7","0,0212","","","    1729.7","7","    1729.7","0","    987.8"," ,0","        0","T,0","     15.83","0","     22.67","0","      8.98","0","",""
"USC00314772","1950","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    757.7","","     757.7","0","        94","0","        80","0","        14","0","","","","","         0","0","        92","0","         2","0","       219","0","        38","0","  -12.8","0,1219, ","","","","","  50.3"," ,0,0727, ","   36.7","0,0904,+","    1124.8","0","-3.9","0,1106","-3.9","0,1106","-5.6","0,1113","-10.0","0,1126","-10.0","0,1126","-1.1","0,0422","-2.2","0,0415","-5.0","0,0315","-6.7","0,0305","-9.4","0,0304","    1767.8","8","    1767.8","0","   1089.8"," ,0","","","     14.86","0","     21.92","0","      7.80","0","     27142","0"
"USC00314772","1951","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","        64","0","        56","0","         7","0","","","","","","","","","         3","0","       211","0","        71","0","","","","","","","  48.3"," ,0,0725, ","   37.2","0,0715,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    817.7"," ,0","","","","","     22.38","0","","","",""
"USC00314772","1952","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","        74","0","        65","0","         8","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  86.4"," ,0,0901, ","","","    1299.4","0","","","","","","","","","","","","","","","","","","","","","","","","","   1065.9"," ,0","        0"," ,0","","","","","","","",""
"USC00314772","1953","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","        76","0","        60","0","        11","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  67.8"," ,0,0927, ","","","    1327.7","0","","","","","","","","","","","","","","","","","","","","","","","","","    953.4"," ,0","        0"," ,0","","","","","","","     24319","0"
"USC00314772","1954","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","        66","0","        59","0","        11","0","","","","","","","","","","","","","","","","","","","","","  53.3"," ,0,0123, ","","","","","","","","","","","","","","","","","","","","","","","","","    2130.3","3","    2130.3","0","    910.4"," ,0","","","","","","","","","",""
"USC00314772","1955","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    729.6","","     729.6","0","        83","0","        70","0","         9","0","","","         1","0","         0","0","        90","0","         3","0","       225","0","        48","0","  -10.6","0,0213, ","","","   114"," ,0,0124, "," 120.7"," ,0,0818, ","   36.7","0,0719, ","","","0.0","0,1101","-6.7","0,1105","-6.7","0,1105","-6.7","0,1105","-9.4","0,1213","-1.1","0,0401","-2.2","0,0330","-6.7","0,0327","-6.7","0,0327","-9.4","0,0214","","","","","   1039.6"," ,0","      122"," ,0","     14.70","0","     22.04","0","      7.36","0","",""
"USC00314772","1956","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    698.8","","     698.8","0","        93","0","        86","0","         9","0","        0","","         1","0","         0","0","        99","0","         0","0","       206","0","        63","0","   -7.8","0,1230,+","     0"," ,0,1231,+","    64"," ,0,0125, ","  49.3"," ,0,0602, ","   37.2","0,0729, ","    1189.5","0","-2.2","0,1111","-2.2","0,1111","-6.7","0,1123","-6.7","0,1123","","","-1.7","0,0509","-3.9","0,0419","-7.8","0,0322","-7.8","0,0322","","","    2160.1","1","    2160.1","0","   1063.3"," ,0","       64"," ,0","     14.62","0","     21.96","0","      7.28","0","",""
"USC00314772","1957","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    703.8","","     703.8","0","        85","0","        80","0","         7","0","","","","","         0","0","        85","0","         3","0","       203","0","        53","0","  -12.2","0,1213,+","","","","","  82.6"," ,0,0825, ","   36.7","0,0817,+","    1172.6","0","-2.8","0,1028","-2.8","0,1028","-5.0","0,1107","-12.2","0,1212","-12.2","0,1212","-1.1","0,0415","-2.2","0,0414","-5.6","0,0223","-6.7","0,0222","-10.0","0,0120","    1901.0","0","    1901.0","0","   1034.4"," ,0","","","     14.65","0","     22.03","0","      7.27","0","",""
"USC00314772","1958","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    676.3","","     676.3","0","        89","0","        79","0","        12","0","","","","","         0","0","       119","0","         7","0","       199","0","        48","0","  -15.6","0,0218, ","","","","","  53.3"," ,0,1229, ","   36.7","0,0729, ","","","0.0","0,1013","-2.8","0,1031","-4.4","0,1111","-10.0","0,1130","-10.0","0,1130","-3.3","0,0402","-3.3","0,0402","-4.4","0,0315","-10.6","0,0221","-10.6","0,0221","    2383.3","3","    2383.3","0","   1105.7"," ,0","","","     13.22","0","     20.68","0","      5.76","0","",""
"USC00314772","1959","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","        87","0","        85","0","        13","0","","","","","","","","","","","","","","","","","","","","","  94.0"," ,0,0907, ","","","","","","","","","","","","","","","","","","","","","","","","","    2327.1","1","    2327.1","0","   1258.0"," ,0","","","","","","","","","",""
"USC00314772","1960","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","        98","0","        79","0","        12","0","","","","","","","","","","","","","","","","","","","","","  86.4"," ,0,0823, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1089.0"," ,0","","","","","","","","","",""
"USC00314772","1961","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    802.8","","     802.8","0","       109","0","        84","0","        11","0","","","","","         0","0","        95","0","         4","0","       209","0","        58","0","  -12.8","0,1230,+","","","","","  56.4"," ,0,0821, ","   35.0","0,0904,+","","","-0.6","0,1015","-3.3","0,1110","-6.7","0,1122","-6.7","0,1122","-10.0","0,1226","0.0","0,0421","-2.8","0,0318","-4.4","0,0311","-11.1","0,0206","-11.1","0,0206","    2251.3","3","    2251.3","0","   1160.3"," ,0","","","     14.58","0","     21.70","0","      7.45","0","",""
"USC00314772","1962","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    865.6","","     865.6","0","","","","","","","","","","","         0","0","       106","0","         7","0","       202","0","        46","0","  -17.2","0,1213, ","","","","","","","   35.6","0,0620,+","","","-1.7","0,1024","-3.9","0,1025","-7.2","0,1027","-7.2","0,1027","-11.7","0,1211","-2.2","0,0418","-2.2","0,0418","-5.6","0,0319","-9.4","0,0211","-9.4","0,0211","    2112.7","7","    2112.7","0","   1202.3"," ,0","","","     14.55","0","     21.01","0","      8.08","0","",""
"USC00314772","1963","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","        83","0","        66","0","         9","0","        0","","         0","0","","","","","","","","","","","","","     0","T,0,1224, ","     0"," ,0,1231,+","  61.0"," ,0,1107, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    908.3"," ,0","        0"," ,0","","","","","","","",""
"USC00314772","1964","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    629.5","","     629.5","0","       108","0","        84","0","         9","0","","","         0","0","         0","0","       129","0","         1","0","       195","0","        33","0","  -15.6","0,0115, ","","","     5"," ,0,0211, ","  61.0"," ,0,1005, ","   38.3","0,0622,+","","","0.0","0,1008","-2.8","0,1012","-7.2","0,1122","-7.2","0,1122","-10.0","0,1123","-0.6","0,0411","-3.3","0,0410","-4.4","0,0402","-7.2","0,0331","-9.4","0,0224","","","","","   1057.4"," ,0","        5"," ,0","     13.59","0","     21.41","0","      5.77","0","",""
"USC00314772","1965","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    653.7","","     653.7","0","        87","0","        59","0","        11","0","","","","","         0","0","       126","0","         1","0","       203","0","        37","0","  -14.4","0,0205,+","","","","","  60.7"," ,0,0625, ","   34.4","0,0912,+","","","-0.6","0,1005","-2.2","0,1025","-4.4","0,1026","-7.8","0,1030","-10.6","0,1130","-1.7","0,0417","-6.1","0,0403","-6.1","0,0403","-10.6","0,0322","-10.6","0,0322","    2361.6","6","    2361.6","0","    931.5"," ,0","","","     13.44","0","     21.52","0","      5.36","0","",""
"USC00314772","1966","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    572.1","","     572.1","0","        81","0","        62","0","        13","0","        8","","","","         0","0","       138","0","         2","0","       197","0","        46","0","  -15.0","0,0131,+","   254"," ,0,0127, ","","","  65.3"," ,0,0422, ","   38.3","0,0715, ","","","-0.6","0,1006","-2.2","0,1031","-6.1","0,1104","-6.7","0,1201","-8.9","0,1204","-2.2","0,0511","-2.2","0,0511","-6.1","0,0401","-6.7","0,0317","-10.6","0,0309","    2508.7","7","    2508.7","0","    965.4"," ,0","","","     12.82","0","     20.89","0","      4.75","0","",""
"USC00314772","1967","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    436.2","","     436.2","0","        91","0","        76","0","        11","0","        2","","         1","0","         0","0","       128","0","         3","0","       204","0","        19","0","  -13.9","0,0225, ","   127"," ,0,0211, ","   229"," ,0,0210, "," 120.1"," ,0,0619, ","   34.4","0,0713,+","","","-1.1","0,1019","-2.8","0,1020","-6.7","0,1107","-6.7","0,1107","-8.9","0,1129","0.0","0,0504","-4.4","0,0324","-4.4","0,0324","-7.8","0,0320","-11.1","0,0319","    2327.2","2","    2327.2","0","   1050.7"," ,0","      242"," ,0","     12.79","0","     21.01","0","      4.58","0","",""
"USC00314772","1968","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    597.2","","     597.2","0","        94","0","        71","0","         5","0","        3","","         0","0","         0","0","       126","0","         2","0","       208","0","        58","0","  -13.9","0,0212, ","    51"," ,0,0112,+","     0"," ,0,1231,+","  51.8"," ,0,1020, ","   38.9","0,0702, ","","","-2.8","0,1027","-2.8","0,1027","-4.4","0,1111","-6.7","0,1120","-9.4","0,1121","-0.6","0,0427","-2.2","0,0412","-6.1","0,0315","-10.6","0,0314","-10.6","0,0314","    2485.0","0","    2485.0","0","    796.6"," ,0","        0"," ,0","     13.05","0","     21.58","0","      4.53","0","",""
"USC00314772","1969","36.15","-78.83333","100.9","LAKE MICHIE, NC US","    649.1","","     649.1","0","        90","0","        64","0","        10","0","","","","","         0","0","       131","0","         3","0","       197","0","        41","0","  -12.8","0,0214,+","","","","","  51.3"," ,0,1003, ","   37.8","0,0707, ","","","-2.2","0,1018","-2.2","0,1018","-5.6","0,1024","-9.4","0,1116","-9.4","0,1116","-1.7","0,0425","-2.2","0,0401","-8.9","0,0328","-8.9","0,0328","-8.9","0,0328","    2501.1","1","    2501.1","0","    962.1"," ,0","","","     12.95","0","     20.52","0","      5.38","0","",""
"USC00314772","1970","36.15","-78.83333","100.9","LAKE MICHIE, NC US","","","","","        93","0","        63","0","         9","0","        0","","         0","0","         4","0","       109","0","","","","","","","  -18.9","0,0122, ","     0","T,0,1230, ","     8"," ,0,1230, "," 102.1"," ,0,0711, ","","","","","-1.7","0,1017","-2.2","0,1018","-4.4","0,1122","-8.9","0,1124","-8.9","0,1124","-1.1","0,0507","-3.9","0,0328","-4.4","0,0317","-6.7","0,0316","-11.1","0,0227","    2501.9","9","    2501.9","0","    965.6"," ,0","       11"," ,0","","","","","      5.52","0","",""
