"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TSE00147773","2010","35.67","10.1","60.0","KAIROUAN, TS","        45","S","        18","S","         2","S","","","","","","","","","","","","","  37.6"," ,S,0308, ","","","","","","","    251.6"," ,S","","","","","",""
"TSE00147773","2011","35.67","10.1","60.0","KAIROUAN, TS","        70","S","        29","S","         1","S","","","","","","","","","","","","","  51.1"," ,S,1102, ","","","","","","","    348.8"," ,S","","","","","",""
"TSE00147773","2012","35.67","10.1","60.0","KAIROUAN, TS","        51","S","        19","S","         0","S","","","","","","","","","","","","","  21.1"," ,S,0910, ","","","","","","","    221.8"," ,S","","","","","",""
"TSE00147773","2013","35.67","10.1","60.0","KAIROUAN, TS","        61","S","        28","S","         5","S","","","","","","","","","","","","","  72.1"," ,S,1006, ","","","","","","","    362.4"," ,S","","","","","",""
"TSE00147773","2014","35.67","10.1","60.0","KAIROUAN, TS","        65","S","        27","S","         3","S","","","","","","","","","","","","","  34.0"," ,S,0316, ","","","","","","","    291.0"," ,S","","","","","",""
"TSE00147773","2017","35.67","10.1","60.0","KAIROUAN, TS","        42","S","        13","S","         1","S","","","","","","","","","","","","","  35.8"," ,S,1005, ","","","","","","","    152.8"," ,S","","","","","",""
"TSE00147773","2018","35.67","10.1","60.0","KAIROUAN, TS","        68","S","        30","S","         3","S","","","","","","","","","","","","","  39.9"," ,S,1018, ","","","","","","","    369.6"," ,S","","","","","",""
"TSE00147773","2019","35.67","10.1","60.0","KAIROUAN, TS","        64","S","        30","S","         1","S","","","","","","","","","","","","","  75.7"," ,S,0321, ","","","","","","","    323.5"," ,S","","","","","",""
"TSE00147773","2022","35.67","10.1","60.0","KAIROUAN, TS","        45","S","        14","S","         1","S","","","","","","","","","","","","","  91.7"," ,S,0320, ","","","","","","","    222.5"," ,S","","","","","",""
"TSE00147773","2023","35.67","10.1","60.0","KAIROUAN, TS","        48","S","        18","S","         3","S","","","","","","","","","","","","","  65.0"," ,S,1218, ","","","","","","","    287.0"," ,S","","","","","",""
"TSE00147773","2024","35.67","10.1","60.0","KAIROUAN, TS","        46","S","        16","S","         2","S","","","","","","","","","","","","","  56.9"," ,S,1023, ","","","","","","","    230.1"," ,S","","","","","",""
