"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00027625","2002","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","",""
"USC00027625","2003","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","","","","","","","","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","",""
"USC00027625","2004","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","",""
"USC00027625","2010","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","",""
"USC00027625","2011","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","        27","K","        20","K","         2","K","","","","","","","","","         0","K","       275","K","       145","K","","","","","","","","","","","  46.2"," ,K,0711, ","   43.9","K,0627, ","","","","","","","","","","","","","","","","","","","","","    301.5"," ,K","","","     27.96","K","",""
"USC00027625","2014","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    518.4"," ,7","","","","","",""
"USC00027625","2017","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","        39","7","        33","7","         1","7","","","","","","","","","","","","","","","","","","","","","","","","","  28.4"," ,7,0824, ","","","","","","","","","","","","","","","","","","","","","","","    369.0"," ,7","","","","","",""
"USC00027625","2018","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","        39","7","        30","7","         6","7","","","","","","","","","","","","","","","","","","","","","","","","","  70.4"," ,7,1001, ","","","","","","","","","","","","","","","","","","","","","","","    449.6"," ,7","","","","","",""
"USC00027625","2022","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","        69","7","        42","7","         4","7","","","","","","","","","","","","","","","","","","","","","","","","","  38.9"," ,7,0814, ","","","","","","","","","","","","","","","","","","","","","","","    455.9"," ,7","","","","","",""
"USC00027625","2023","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","        53","7","        27","7","         2","7","","","","","","","","","","","","","","","","","","","","","","","","","  31.8"," ,7,0811, ","","","","","","","","","","","","","","","","","","","","","","","    306.7"," ,7","","","","","",""
