"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00050052","1985","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","    755.6","","     755.6","a","        75","a","        40","a","         4","a","         0","a","        31","a","         0","a","       212","a","        54","a","   -5.6","a,0802, ","  41.4"," ,a,1208, ","   42.4","a,0128, ","-0.4","a,0524","-3.2","a,0617","-4.9","a,0724","","","-0.6","a,0930","-5.6","a,0802","-5.6","a,0802","    1370.0","0","    1370.0","a","    477.4"," ,a","     16.65","a","     23.94","a","      9.37","a"
"ASN00050052","1986","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        60","a","        34","a","         1","a","         0","a","        29","a","         0","a","       202","a","        78","a","   -5.8","a,0727, ","  29.8"," ,a,0815, ","   41.0","a,1226, ","-1.5","a,0601","-2.5","a,0614","-4.8","a,0726","","","-1.0","a,0831","","","","","","","","","    268.7"," ,a","     16.83","a","     24.40","a","      9.25","a"
"ASN00050052","1987","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        85","a","        40","a","         1","a","         0","a","        25","a","         0","a","       224","a","        63","a","   -3.3","a,0714, ","  58.2"," ,a,0303, ","   42.5","a,1227,+","-1.8","a,0529","-3.1","a,0704","","","","","-1.0","a,0912","","","","","    1292.9","9","    1292.9","a","    461.6"," ,a","     17.11","a","     24.23","a","      9.99","a"
"ASN00050052","1988","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","    948.6","","     948.6","a","        79","a","        48","a","         5","a","         0","a","        14","a","         0","a","       222","a","        76","a","   -2.8","a,0811, ","  66.0"," ,a,1226, ","   41.8","a,0111, ","-0.4","a,0623","","","","","","","0.0","a,0914","-2.8","a,0811","","","    1163.0","0","    1163.0","a","    602.2"," ,a","     17.81","a","     24.72","a","     10.91","a"
"ASN00050052","1989","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","    798.5","","     798.5","a","        85","a","        44","a","         0","a","         0","a","        16","a","         0","a","       215","a","        67","a","   -3.5","a,0715, ","  25.0"," ,a,0315, ","   41.4","a,1231, ","-1.4","a,0601","-2.6","a,0626","","","","","-2.1","a,1003","-2.6","a,0814","","","    1295.3","3","    1295.3","a","    428.7"," ,a","     17.04","a","     23.95","a","     10.13","a"
"ASN00050052","1990","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","    950.6","","     950.6","a","        92","a","        56","a","         6","a","         0","a","        13","a","         0","a","       205","a","        85","a","   -3.6","a,0527, ","  46.8"," ,a,0419, ","   45.5","a,0103, ","-0.4","a,0521","-3.6","a,0527","","","","","-0.2","a,0908","-2.8","a,0827","","","    1297.7","7","    1297.7","a","    627.2"," ,a","     17.46","a","     24.20","a","     10.73","a"
"ASN00050052","1991","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","   1007.6","","    1007.6","a","        67","a","        34","a","         3","a","         0","a","        20","a","         0","a","       242","a","        80","a","   -1.8","a,0817, ","  48.8"," ,a,0124, ","   43.4","a,1227, ","-1.7","a,0423","","","","","","","-0.1","a,0924","","","","","    1170.8","8","    1170.8","a","    391.2"," ,a","     17.62","a","     25.25","a","      9.98","a"
"ASN00050052","1992","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","    696.5","","     696.5","a","        93","a","        47","a","         8","a","         0","a","        35","a","         0","a","       198","a","        32","a","   -2.9","a,0803, ","  61.0"," ,a,0208, ","   44.1","a,0121, ","0.0","a,0524","-2.4","a,0716","","","","","-0.6","a,0921","-2.9","a,0803","","","    1410.6","6","    1410.6","a","    711.4"," ,a","     16.23","a","     22.94","a","      9.51","a"
"ASN00050052","1993","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","    730.2","","     730.2","a","        75","a","        43","a","         3","a","         0","a","        15","a","         0","a","       222","a","        61","a","   -3.5","a,0626, ","  48.2"," ,a,0725, ","   44.1","a,0204, ","0.0","a,0605","-3.5","a,0626","","","","","-0.5","a,0904","","","","","    1233.4","4","    1233.4","a","    467.4"," ,a","     17.18","a","     24.31","a","     10.04","a"
"ASN00050052","1994","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","    708.7","","     708.7","a","        50","a","        27","a","         2","a","         0","a","        43","a","         0","a","       235","a","        69","a","   -5.9","a,0810, ","  49.3"," ,a,0309, ","   43.7","a,1221, ","0.0","a,0516","-2.5","a,0629","-4.5","a,0718","","","-1.0","a,0922","-2.2","a,0824","-5.9","a,0810","    1241.0","0","    1241.0","a","    260.6"," ,a","     17.40","a","     25.01","a","      9.78","a"
"ASN00050052","1995","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","    863.4","","     863.4","a","        73","a","        41","a","         2","a","         0","a","        28","a","         0","a","       220","a","        45","a","   -5.2","a,0813, ","  61.6"," ,a,0120, ","   39.8","a,1230, ","-0.1","a,0620","-2.5","a,0705","","","","","-2.7","a,0908","-2.7","a,0908","-5.2","a,0813","    1290.9","9","    1290.9","a","    541.4"," ,a","     16.85","a","     23.57","a","     10.12","a"
"ASN00050052","1996","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","    792.3","","     792.3","a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASN00050052","1997","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        50","a","        29","a","         2","a","         0","a","        32","a","         0","a","       207","a","        91","a","   -7.0","a,0713, ","  58.0"," ,a,0902, ","   43.0","a,1126, ","-2.5","a,0601","-2.5","a,0601","-4.6","a,0711","-7.0","a,0713","0.0","a,0829","-3.0","a,0802","","","","","","","    316.2"," ,a","     17.69","a","     25.10","a","     10.28","a"
"ASN00050052","1998","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","   1009.2","","    1009.2","a","        87","a","        50","a","         4","a","         0","a","        14","a","         0","a","       193","a","        76","a","   -5.5","a,0619, ","  42.5"," ,a,0422, ","   41.5","a,0118, ","-1.0","a,0611","-2.9","a,0617","-5.5","a,0619","","","0.0","a,0830","","","","","","","","","    566.0"," ,a","     17.33","a","     24.07","a","     10.58","a"
"ASN00050052","1999","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        88","a","        47","a","         1","a","         0","a","        26","a","","","","","","","   -4.2","a,0804, ","  30.0"," ,a,1227, ","","","-4.0","a,0425","-4.0","a,0425","","","","","0.0","a,0920","-3.5","a,0805","","","","","","","    568.4"," ,a","","","","","     10.19","a"
"ASN00050052","2000","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        90","a","        44","a","         3","a","","","","","         0","a","       204","a","        61","a","","","  36.8"," ,a,0503,+","   39.5","a,1222,+","","","","","","","","","","","","","","","","","","","    504.8"," ,a","","","     23.90","a","",""
"ASN00050052","2001","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        72","a","        27","a","         4","a","","","","","         0","a","       215","a","        70","a","","","  42.6"," ,a,1107, ","   45.6","a,0115, ","","","","","","","","","","","","","","","","","","","    340.2"," ,a","","","     24.79","a","",""
"ASN00050052","2002","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","    778.3","","     778.3","a","        48","a","        20","a","         4","a","         0","a","        24","a","         0","a","       237","a","        80","a","   -4.6","a,0702, ","  57.0"," ,a,0216, ","   41.5","a,1222, ","0.0","a,0620","-3.0","a,0627","-4.6","a,0702","","","-0.5","a,0912","-2.7","a,0815","","","    1001.8","8","    1001.8","a","    307.0"," ,a","     18.18","a","     25.85","a","     10.52","a"
"ASN00050052","2003","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","   1059.7","","    1059.7","a","        58","a","        31","a","         4","a","         0","a","         4","a","         0","a","       224","a","        77","a","   -2.4","a,0810, ","  32.2"," ,a,0221, ","   45.1","a,0130, ","","","","","","","","","-0.5","a,0930","-2.4","a,0810","","","","","","","    346.9"," ,a","     18.15","a","     24.96","a","     11.34","a"
"ASN00050052","2004","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        59","a","        34","a","         2","a","         0","a","        14","a","         0","a","       228","a","        76","a","   -3.8","a,0720, ","  43.0"," ,a,1001, ","   45.3","a,0215, ","-0.1","a,0506","-2.8","a,0719","","","","","-0.6","a,0905","","","","","    1152.5","5","    1152.5","a","    387.7"," ,a","     17.89","a","     25.07","a","     10.71","a"
"ASN00050052","2005","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","   1016.6","","    1016.6","a","","","","","","","         0"," ","        12","a","         0"," ","       240"," ","        75"," ","   -1.1","a,0817, ","","","   43.8"," ,0114, ","-0.5","a,0601","","","","","","","-0.3","a,0824","","","","","    1040.7","7","    1040.7"," ","","","     18.30","a","     25.50"," ","     11.10","a"
"ASN00050052","2006","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","   1083.1","","    1083.1","a","        40","a","        16","a","         0","a","         0","a","        40","a","         0","a","       227","a","        98","a","   -3.4","a,0530, ","  13.0"," ,a,0910, ","   45.0","a,0101, ","-1.1","a,0509","-3.4","a,0530","","","","","-1.5","a,0905","-3.2","a,0808","","","    1290.8","8","    1290.8","a","    150.6"," ,a","     18.09","a","     25.92","a","     10.26","a"
"ASN00050052","2007","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","   1128.7","","    1128.7","a","        72","a","        39","a","         4","a","         0","a","        16","a","         0","a","       249","a","        85","a","   -3.3","a,0721, ","  53.6"," ,a,1123, ","   41.8","a,0206,+","-1.0","a,0614","-3.0","a,0720","","","","","-1.5","a,0814","","","","","    1045.2","2","    1045.2","a","    498.1"," ,a","     18.63","a","     25.43","a","     11.82","a"
"ASN00050052","2008","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","    951.5","","     951.5","a","        72","a","        32","a","         1","a","         0","a","        15","a","         0","a","       233","a","        70","a","   -3.6","a,0824, ","  37.2"," ,a,0204, ","   40.0","a,0116, ","-0.3","a,0627","","","","","","","-1.5","a,0910","-2.2","a,0825","","","    1120.9","9","    1120.9","a","    321.8"," ,a","     17.69","a","     24.78","a","     10.60","a"
"ASN00050052","2009","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","   1056.0","","    1056.0","a","        70","a","        33","a","         1","a","         0","a","         7","a","         0","a","       239","a","       104","a","   -3.4","a,0809, ","  50.0"," ,a,1228, ","   44.9","a,0206, ","-0.5","a,0612","","","","","","","-0.6","a,0819","-3.4","a,0809","","","","","","","    364.6"," ,a","     18.94","a","     25.98","a","     11.90","a"
"ASN00050052","2010","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        97","a","        54","a","         5","a","         0"," ","        21","a","","","","","","","   -2.5","a,0807, ","  69.6"," ,a,0214, ","","","-1.3","a,0613","","","","","","","-2.0","a,0930","-2.5","a,0807","","","","","","","    647.9"," ,a","","","","","     10.85","a"
"ASN00050052","2011","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        80","a","        54","a","         1","a","","","","","","","","","","","","","  45.0"," ,a,1227, ","","","","","","","","","","","","","","","","","","","","","    547.0"," ,a","","","","","",""
"ASN00050052","2012","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        67","a","        34","a","         3","a","         0","a","        39","a","         0","a","       223","a","        55","a","   -3.5","a,0807,+","  48.0"," ,a,0203, ","   41.0","a,1224, ","-1.8","a,0515","-2.4","a,0609","","","","","0.0","a,0930","-3.0","a,0903","","","    1288.5","5","    1288.5","a","    456.3"," ,a","     16.86","a","     24.43","a","      9.29","a"
"ASN00050052","2013","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","   1059.0","","    1059.0","a","        64","a","        29","a","         3","a","         0","a","        11","a","         0","a","       245","a","        89","a","   -2.0","a,0709, ","  66.2"," ,a,0602, ","   44.6","a,0118, ","-0.3","a,0505","","","","","","","-0.6","a,0820","","","","","    1071.7","7","    1071.7","a","    346.4"," ,a","     18.22","a","     25.83","a","     10.62","a"
"ASN00050052","2014","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","    996.5","","     996.5"," ","        68","a","        35","a","         3","a","","","","","         0","a","       237","a","        87","a","","","  42.2"," ,a,0601,+","   44.4","a,1123, ","","","","","","","","","","","","","","","","","","","    459.6"," ,a","","","     25.92","a","",""
"ASN00050052","2015","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        73","a","        40","a","         2","a","         0","a","        21","a","         0","a","       222","a","        86","a","   -4.2","a,0604, ","  44.4"," ,a,1031, ","   40.7","a,1220, ","-0.5","a,0524","-3.1","a,0603","","","","","-0.6","a,0924","","","","","    1202.7","7","    1202.7","a","    454.5"," ,a","     17.88","a","     24.79","a","     10.96","a"
"ASN00050052","2016","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","   1173.7","","    1173.7","a","        98","a","        52","a","         9","a","         0","a","         8","a","         0","a","       217","a","        81","a","   -2.0","a,0827, ","  46.2"," ,a,0604, ","   43.1","a,0113, ","0.0","a,0615","","","","","","","0.0","a,0828","","","","","    1141.1","1","    1141.1","a","    698.4"," ,a","     17.99","a","     24.56","a","     11.41","a"
