"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"TSM00060715","2005","36.851","10.227","6.7","CARTHAGE, TS","        95","S","        38","S","         1","S","","","","","","","  43.4"," ,S,1214, ","","","","","","","    449.7"," ,S","",""
"TSM00060715","2006","36.851","10.227","6.7","CARTHAGE, TS","        85","S","        41","S","         7","S","","","","","","","  50.5"," ,S,1217, ","","","","","","","    525.5"," ,S","",""
"TSM00060715","2007","36.851","10.227","6.7","CARTHAGE, TS","        98","S","        45","S","         4","S","","","","","","","  92.7"," ,S,1014, ","","","","","","","    599.9"," ,S","",""
"TSM00060715","2008","36.851","10.227","6.7","CARTHAGE, TS","        74","S","        28","S","         2","S","","","","","","","  25.9"," ,S,0914, ","","","","","","","    270.1"," ,S","",""
"TSM00060715","2009","36.851","10.227","6.7","CARTHAGE, TS","       109","S","        56","S","         4","S","","","","","","","  62.5"," ,S,0113, ","","","","","","","    609.4"," ,S","",""
"TSM00060715","2010","36.851","10.227","6.7","CARTHAGE, TS","       104","S","        46","S","         4","S","","","","","","","  44.2"," ,S,1014, ","","","","","","","    488.3"," ,S","",""
"TSM00060715","2011","36.851","10.227","6.7","CARTHAGE, TS","        93","S","        48","S","         5","S","","","","","",""," 101.3"," ,S,0113, ","","","","","","","    657.3"," ,S","",""
"TSM00060715","2012","36.851","10.227","6.7","CARTHAGE, TS","        92","S","        40","S","         3","S","","","","","","","  42.7"," ,S,1115, ","","","","","","","    420.3"," ,S","",""
"TSM00060715","2013","36.851","10.227","6.7","CARTHAGE, TS","       110","S","        46","S","         1","S","","","","","","","  30.5"," ,S,0424, ","","","","","","","    457.3"," ,S","",""
"TSM00060715","2014","36.851","10.227","6.7","CARTHAGE, TS","       102","S","        39","S","         1","S","","","","","","","  77.7"," ,S,1005, ","","","","","","","    390.9"," ,S","",""
"TSM00060715","2015","36.851","10.227","6.7","CARTHAGE, TS","        93","S","        46","S","         3","S","","","","","","","  44.7"," ,S,0309, ","","","","","","","    518.6"," ,S","",""
"TSM00060715","2017","36.851","10.227","6.7","CARTHAGE, TS","        78","S","        35","S","         1","S","","","","","","","  31.5"," ,S,0606, ","","","","","","","    318.4"," ,S","",""
"TSM00060715","2018","36.851","10.227","6.7","CARTHAGE, TS","       103","S","        33","S","         3","S","","","","","",""," 108.5"," ,S,1018, ","","","","","","","    491.3"," ,S","",""
"TSM00060715","2019","36.851","10.227","6.7","CARTHAGE, TS","       105","S","        42","S","         3","S","","","","","","","  77.7"," ,S,1028, ","","","","","","","    530.5"," ,S","",""
"TSM00060715","2022","36.851","10.227","6.7","CARTHAGE, TS","        78","S","        25","S","         0","S","","","","","","","  22.1"," ,S,1105, ","","","","","","","    243.5"," ,S","",""
"TSM00060715","2023","36.851","10.227","6.7","CARTHAGE, TS","        92","S","        35","S","         0","S","","","","","","","  18.3"," ,S,0403, ","","","","","","","    304.8"," ,S","",""
"TSM00060715","2024","36.851","10.227","6.7","CARTHAGE, TS","        84","S","        37","S","         0","S","","","","","","","  21.6"," ,S,1112, ","","","","","","","    257.8"," ,S","",""
