"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00020040","1981","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    304.1","","     304.1","m","        91","m","        73","m","        10","m","         0","m","         0","m","         0","m","       320","m","         9","m","    1.7","m,1125,+","  60.7"," ,m,0725, ","   35.0","m,0517, ","","","","","","","","","","","     424.7","7","     424.7","m","    962.2"," ,m","     17.91","m","     25.24","m","     10.59","m"
"MXN00020040","1982","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    201.6","","     201.6","m","        73","m","        49","m","         4","m","         0","m","         0","m","         0","m","       342","m","        10","m","    2.2","m,1109, ","  38.1"," ,m,0922, ","   33.9","m,0411, ","","","","","","","","","","","     449.7","7","     449.7","m","    570.9"," ,m","     17.67","m","     25.61","m","      9.74","m"
"MXN00020040","1983","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    316.1","","     316.1","m","        69","m","        56","m","         4","m","         0","m","         0","m","         0","m","       334","m","        29","m","    1.7","m,0303,+","  43.9"," ,m,0719, ","   36.1","m,0521, ","","","","","","","","","","","     508.9","9","     508.9","m","    606.8"," ,m","     17.86","m","     26.09","m","      9.63","m"
"MXN00020040","1984","17.2667","-96.5333","1925.7","IXTEPEJI, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     478.8","8","     478.8","m","","","","","","","",""
"MXN00020040","1987","17.2667","-96.5333","1925.7","IXTEPEJI, MX","   1569.3","","    1569.3","m","        72","m","        54","m","         5","m","         0","m","         0","m","         0","m","       365","m","       148","m","    1.7","m,0128, ","  46.7"," ,m,0706, ","   36.7","m,0325, ","","","","","","","","","","","","","","","    654.3"," ,m","     22.61","m","     31.45","m","     13.77","m"
"MXN00020040","1991","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    221.2","","     221.2","m","        62","m","        58","m","         3","m","         0","m","         1","m","         0","m","       283","m","        12","m","    0.0","m,0212, ","  39.9"," ,m,1009,+","   36.7","m,0313, ","","","","","0.0","m,0212","","","","","","","","","    644.8"," ,m","     17.18","m","     24.62","m","      9.73","m"
"MXN00020040","1992","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    102.3","","     102.3","m","        75","m","        52","m","         1","m","         0","m","         0","m","         0","m","       296","m","         0","m","    1.7","m,1214, ","  31.0"," ,m,0909, ","   30.6","m,0409,+","","","","","","","","","","","     702.5","5","     702.5","m","    567.2"," ,m","     16.85","m","     23.93","m","      9.78","m"
"MXN00020040","1993","17.2667","-96.5333","1925.7","IXTEPEJI, MX","     79.0","","      79.0","m","","","","","","","         0","m","         1","m","         0","m","       268","m","         0","m","    0.0","m,0122, ","","","   31.7","m,0606, ","","","","","0.0","m,0122","","","","","     710.9","9","     710.9","m","","","     16.42","m","     23.30","m","      9.53","m"
"MXN00020040","2000","17.2667","-96.5333","1925.7","IXTEPEJI, MX","     60.3","","      60.3","m","       102","m","        80","m","         3","m","         0","m","         0","m","         0","m","       274","m","         0","m","    0.6","m,0211,+","  34.3"," ,m,0829, ","   31.7","m,0423,+","","","","","","","","","","","","","","","    779.0"," ,m","     16.27","m","     23.53","m","      9.02","m"
"MXN00020040","2001","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    104.3","","     104.3","m","        96","m","        65","m","         4","m","         0","m","         0","m","         0","m","       278","m","         2","m","    0.6","m,0124,+","  45.0"," ,m,0603, ","   32.8","m,0521,+","","","","","","","","","","","     729.5","5","     729.5","m","    670.6"," ,m","     16.71","m","     23.71","m","      9.70","m"
"MXN00020040","2002","17.2667","-96.5333","1925.7","IXTEPEJI, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     651.1","1","     651.1","m","","","","","","","",""
"MXN00020040","2004","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    181.8","","     181.8","m","        84","m","        49","m","         2","m","         0","m","         0","m","         0","m","       312","m","         2","m","    1.7","m,1231,+","  26.9"," ,m,0327, ","   33.9","m,1213, ","","","","","","","","","","","","","","","    460.3"," ,m","     17.48","m","     24.94","m","     10.02","m"
"MXN00020040","2005","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    262.8","","     262.8","m","        98","m","        68","m","         5","m","         0","m","         0","m","         0","m","       279","m","        12","m","    1.7","m,0121,+"," 127.0"," ,m,1004, ","   33.9","m,0322, ","","","","","","","","","","","     425.4","4","     425.4","m","    831.9"," ,m","     17.62","m","     24.67","m","     10.58","m"
"MXN00020040","2006","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    148.0","","     148.0","m","        98","m","        61","m","         5","m","         0","m","         3","m","         0","m","       296","m","         6","m","   -1.1","m,1227, ","  42.9"," ,m,0804, ","   37.8","m,1222, ","0.0","m,1123","","","","","","","","","     598.6","6","     598.6","m","    697.6"," ,m","     17.14","m","     24.39","m","      9.89","m"
"MXN00020040","2007","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    164.0","","     164.0","m","        83","m","        55","m","         2","m","         0","m","         0","m","         0","m","       311","m","         3","m","    1.7","m,0319,+","  37.8"," ,m,0607, ","   37.8","m,1219, ","","","","","","","","","","","     470.7","7","     470.7","m","    568.5"," ,m","     17.45","m","     25.10","m","      9.80","m"
"MXN00020040","2008","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    222.1","","     222.1","m","        96","m","        60","m","         6","m","         0","m","         2","m","         0","m","       293","m","        19","m","    0.0","m,1204,+","  41.9"," ,m,0923, ","   35.6","m,0108, ","0.0","m,1203","","","","","","","","","     466.2","2","     466.2","m","    737.7"," ,m","     17.32","m","     25.09","m","      9.55","m"
"MXN00020040","2009","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    220.6","","     220.6","m","        98","m","        63","m","         4","m","         0","m","         4","m","         0","m","       303","m","        14","m","    0.0","m,0304,+","  45.0"," ,m,0830, ","   35.0","m,0412, ","","","","","0.0","m,0304","","","","","     747.5","5","     747.5","m","    673.4"," ,m","     17.28","m","     25.13","m","      9.43","m"
"MXN00020040","2010","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    297.6","","     297.6","m","       114","m","        87","m","        15","m","         0","m","         2","m","         0","m","       300","m","        32","m","    0.0","m,1107,+"," 102.9"," ,m,0927, ","   36.7","m,0502, ","0.0","m,1106","","","","","","","","","     487.9","9","     487.9","m","   1402.3"," ,m","     17.33","m","     25.21","m","      9.45","m"
