"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00027480","1941","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","        82","6","        50","6","         5","6","","","","","","","","","","","","","","","","","","","","","","","","","  65.5"," ,6,0723, ","","","","","","","","","","","","","","","","","","","","","","","","","    1180.4","4","    1180.4","6","","","","","    655.9"," ,6","","","","","","","","","",""
"USC00027480","1942","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","        46","6","        29","6","         1","6","","","","","","","","","","","","","","","","","","","","","","","","","  25.9"," ,6,0102, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    295.1"," ,6","","","","","","","","","",""
"USC00027480","1943","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","        41","6","        21","6","         2","6","","","","","","","","","         0","6","       226","6","       109","6","","","","","","","","","","","  38.6"," ,6,0926, ","   41.7","6,0726, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    280.0"," ,6","","","","","     26.76","6","","","",""
"USC00027480","1944","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1305.9","","    1305.9","6","        62","6","        34","6","         1","6","","","","","         0","6","        50","6","         0","6","       228","6","       112","6","","","","","   -3.3","6,0115,+","","","","","  55.6"," ,6,0809, ","   42.2","6,0804,+","","","-1.7","6,1126","-2.2","6,1220","","","","","","","-0.6","6,0221","-3.3","6,0115","","","","","","","    1403.6","6","    1403.6","6","","","","","    431.0"," ,6","","","     17.90","6","     25.59","6","     10.21","6","",""
"USC00027480","1945","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1479.0","","    1479.0","6","        46","6","        26","6","         1","6","","","","","         0","6","        50","6","         0","6","       248","6","       132","6","","","","","   -4.4","6,1219,+","","","","","  29.2"," ,6,0731, ","   42.8","6,0906, ","","","-0.6","6,1110","-2.2","6,1122","-4.4","6,1216","","","","","0.0","6,0411","-2.2","6,0101","","","","","","","    1391.6","6","    1391.6","6","","","","","    276.1"," ,6","","","     18.57","6","     26.74","6","     10.40","6","",""
"USC00027480","1946","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1481.7","","    1481.7","6","        61","6","        29","6","         2","6","","","","","         0","6","        45","6","         0","6","       258","6","       134","6","","","","","   -6.1","6,0202,+","","","","","  31.8"," ,6,0919, ","   42.2","6,0802, ","","","0.0","6,1106","","","","","","","","","-0.6","6,0219","-2.8","6,0216","-4.4","6,0210","","","","","    1344.4","4","    1344.4","6","","","","","    329.5"," ,6","","","     18.65","6","     26.85","6","     10.45","6","",""
"USC00027480","1947","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1572.1","","    1572.1","6","        46","6","        22","6","         1","6","","","","","         0","6","        54","6","         0","6","       257","6","       149","6","","","","","   -5.0","6,1214,+","","","","","  27.9"," ,6,0809, ","   44.4","6,0702, ","","","-1.7","6,1107","-2.8","6,1210","-5.0","6,1214","","","","","0.0","6,0221","-2.8","6,0201","-4.4","6,0107","","","","","    1237.0","0","    1237.0","6","","","","","    241.6"," ,6","","","     18.94","6","     27.11","6","     10.78","6","",""
"USC00027480","1948","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1581.9","","    1581.9","0","        48","0","        25","0","         2","0","","","","","         0","0","        77","0","         0","0","       237","0","       151","0","","","","","   -8.3","0,0129, ","","","","","  45.7"," ,0,1223, ","   42.2","0,0903,+","","","0.0","0,1106","-2.2","0,1111","-5.6","0,1130","","","","","0.0","6,0323","-2.2","6,0306","-5.6","6,0214","-7.2","6,0130","","","    1492.9","9","    1492.9","0","","","","","    283.3"," ,0","","","     18.46","0","     26.66","0","     10.26","0","",""
"USC00027480","1949","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","        63","0","        34","0","         0","0","        0","","         0","0","","","","","","","","","","","         1"," ","","","","","     0"," ,0,1231,+","     0","T,0,1221,+","  21.6"," ,0,0402, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    296.1"," ,0","        0","T,0","","","","","","","",""
"USC00027480","1950","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1145.8","8","    1145.8","0","","","","","","","","","","","","","","","",""
"USC00027480","1951","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027480","1952","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1544.2","","    1544.2","0","        58","0","        37","0","         3","0","        0","","         0","0","         0","0","        50","0","         0","0","       232","0","       151","0","","","         2"," ","   -3.9","0,1227,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  46.0"," ,0,0114, ","   41.7","0,0906,+","    2303.9","0","0.0","0,1120","-2.8","0,1126","","","","","","","0.0","0,0322","-2.2","0,0221","","","","","","","","","","","","","","","    387.8"," ,0","        0"," ,0","     18.46","0","     26.39","0","     10.52","0","     21305","0"
"USC00027480","1953","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1428.1","","    1428.1","0","        42","0","        22","0","         0","0","        0","","         0","0","         0","0","        71","0","         0","0","       257","0","       129","0","","","","","   -6.7","0,1225,+","     0"," ,0,1231,+","     0","T,0,0310, ","  24.9"," ,0,0828, ","   43.3","0,0703,+","    2408.7","0","-1.1","0,1119","-2.8","0,1120","-5.6","0,1206","-6.7","0,1207","","","0.0","0,0306","-4.4","0,0222","-4.4","0,0222","","","","","    1377.4","4","    1377.4","0","","","","","    209.6"," ,0","        0","T,0","     18.38","0","     26.89","0","      9.87","0","     22909","0"
"USC00027480","1954","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1521.1","","    1521.1","0","        47","0","        31","0","         4","0","        0","","         0","0","         0","0","        35","0","         0","0","       276","0","       143","0","","","","","   -7.8","0,0105, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  86.4"," ,0,0323, ","   42.2","0,0728,+","    2315.4","0","0.0","0,1212","-3.3","0,1218","-5.0","0,1229","-6.7","0,1230","","","-1.1","0,0314","-3.3","0,0119","-5.0","0,0106","-7.8","0,0105","","","    1266.9","9","    1266.9","0","","","","","    479.6"," ,0","        0"," ,0","     19.46","0","     27.59","0","     11.32","0","     23175","0"
"USC00027480","1955","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1352.7","","    1352.7","0","        47","0","        32","0","         3","0","        0","","         0","0","         0","0","        55","0","         0","0","       256","0","       127","0","","","","","   -5.6","0,0204, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  34.8"," ,0,0825, ","   43.3","0,0609, ","    2286.8","0","0.0","0,1116","","","","","","","","","-0.6","0,0323","-2.2","0,0322","-4.4","0,0223","","","","","    1355.5","5","    1355.5","0","","","","","    420.1"," ,0","        0"," ,0","     18.27","0","     26.41","0","     10.12","0","     22275","0"
"USC00027480","1956","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1575.6","","    1575.6","0","        35","0","        15","0","         1","0","        0","","         0","0","         0","0","        68","0","         0","0","       249","0","       152","0","         2"," ","","","   -6.1","0,1227,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  45.0"," ,0,0129, ","   42.8","0,0709, ","    2588.2","0","-1.1","0,1102","-3.3","0,1104","-4.4","0,1121","","","","","-1.1","0,0314","-2.2","0,0218","-5.0","0,0204","","","","","    1226.2","2","    1226.2","0","","","","","    186.8"," ,0","        0"," ,0","     18.69","0","     27.31","0","     10.06","0","     22750","0"
"USC00027480","1957","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","        67","0","        38","0","         1","0","        0","","         0","0","","","","","","","","","","","         4"," ","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  33.0"," ,0,1012, ","","","    2305.0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    339.8"," ,0","        0"," ,0","","","","","","","",""
"USC00027480","1958","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1658.0","","    1658.0","0","        65","0","        38","0","         2","0","        0","","         0","0","         0","0","        40","0","         0","0","       234","0","       130","0","","","","","   -4.4","0,1231, ","     0"," ,0,1231,+","     0","T,0,0307, ","  48.3"," ,0,0205, ","   46.1","0,0713,+","","","0.0","0,1117","-3.9","0,1118","-4.4","0,1231","","","","","-0.6","0,0310","-2.8","0,0125","","","","","","","    1408.7","7","    1408.7","0","","","","","    439.8"," ,0","        0","T,0","     19.20","0","     26.81","0","     11.59","0","",""
"USC00027480","1959","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1584.8","","    1584.8","0","        48","0","        31","0","         3","0","        0","","         0","0","         0","0","        36","0","         0","0","       260","0","       146","0","","","","","   -4.4","0,0101, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  39.1"," ,0,1225, ","   42.8","0,0618, ","","","0.0","0,1127","","","","","","","","","-1.1","0,0307","-2.2","0,0122","-4.4","0,0101","","","","","    1153.0","0","    1153.0","0","","","","","    360.9"," ,0","        0"," ,0","     19.35","0","     27.29","0","     11.41","0","",""
"USC00027480","1960","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","        38","0","        26","0","         3","0","","","         1","0","         0","0","        64","0","","","","","","","","","","","   -5.0","0,0118, ","","","    51"," ,0,1208, ","  35.6"," ,0,1017, ","","","","","0.0","0,1117","-2.2","0,1128","-4.4","0,1207","","","","","-0.6","0,0227","-3.3","0,0226","-4.4","0,0119","","","","","","","","","","","","","    296.8"," ,0","       51"," ,0","","","","","     10.49","0","",""
"USC00027480","1961","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1399.0","","    1399.0","0","        52","0","        35","0","         1","0","        0","","         0","0","         0","0","        40","0","         0","0","       241","0","       128","0","","","","","   -3.3","0,0113, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  32.0"," ,0,1216, ","   43.3","0,0624,+","","","0.0","0,1119","","","","","","","","","0.0","0,0228","-2.2","0,0225","","","","","","","    1334.6","6","    1334.6","0","","","","","    330.8"," ,0","        0"," ,0","     18.33","0","     26.40","0","     10.27","0","",""
"USC00027480","1962","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1448.8","","    1448.8","0","        47","0","        34","0","         1","0","        0","","         1","0","         0","0","        22","0","         0","0","       253","0","       133","0","","","","","  -10.0","0,0112,+","     0"," ,0,1231,+","    25"," ,0,0114, ","  30.7"," ,0,0926, ","   43.9","0,0812, ","","","0.0","0,1223","","","","","","","","","0.0","0,0316","-2.2","0,0301","-4.4","0,0116","-10.0","0,0112","-10.0","0,0112","    1448.3","3","    1448.3","0","","","","","    304.3"," ,0","       25"," ,0","     18.94","0","     26.90","0","     10.97","0","     20806","0"
