"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00053592","1950","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      0.0","","       0.0","0","       125","0","        47","0","         1","0","      137","","        29","0","        31","0","       238","0","        36","0","       108","0","         0","0","","","  -32.2","0,0203, ","   381"," ,0,0131,+","   279"," ,0,0124, ","  27.2"," ,0,0124, ","   28.3","0,0904,+","0.0","0,0801","-3.3","0,0926","-4.4","0,1002","-11.1","0,1005","-11.1","0,1005","-0.6","0,0731","-3.9","0,0609","-5.6","0,0526","-6.7","0,0509","-9.4","0,0430","    5060.9","9","    5060.9","0","    348.0"," ,0","     2130"," ,0","      4.21","0","     13.23","0","     -4.81","0","",""
"USC00053592","1951","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      7.8","","       7.8","0","","","","","","","","","","","        32","0","       234","0","        45","0","       108","0","         1","0","","","  -42.2","0,0201, ","","","","","","","   33.3","0,0704, ","-2.2","0,0823","-2.2","0,0823","-4.4","0,0901","-7.8","0,1004","-12.2","0,1022","0.0","0,0624","-2.2","0,0605","-5.6","0,0503","-9.4","0,0416","-9.4","0,0416","    5072.2","2","    5072.2","0","","","","","      3.88","0","     12.53","0","     -4.76","0","     36110","0"
"USC00053592","1952","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      1.7","","       1.7","0","       111","0","        51","0","         1","0","      164","","        29","0","        55","0","       235","0","        81","0","       122","0","         2","0","","","  -38.9","0,0103, ","   914"," ,0,0326,+","   178"," ,0,0319,+","  33.0"," ,0,0725, ","   35.0","0,0906, ","-1.7","0,0902","-2.2","0,0922","-7.8","0,1007","-7.8","0,1007","-12.2","0,1015","-0.6","0,0617","-2.2","0,0517","-5.0","0,0510","-7.8","0,0414","-11.1","0,0410","    5428.8","8","    5428.8","0","    359.0"," ,0","     2036"," ,0","      3.06","0","     11.84","0","     -5.71","0","     36848","0"
"USC00053592","1953","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      7.6","","       7.6","0","        97","0","        44","0","         0","0","","","","","        22","0","       238","0","        34","0","       133","0","         2","0","","","  -28.3","0,0221, ","","","","","  17.3"," ,0,0520, ","   33.3","0,0702,+","-0.6","0,0904","-2.2","0,0924","-6.7","0,1004","-6.7","0,1004","-12.2","0,1108","-0.6","0,0625","-2.2","0,0522","-5.0","0,0515","-6.7","0,0512","-11.1","0,0511","    5148.7","7","    5148.7","0","    322.8"," ,0","","","      5.17","0","     13.88","0","     -3.55","0","",""
"USC00053592","1954","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","     86.4","","      86.4","0","       110","0","        53","0","         0","0","","","","","        13","0","       197","0","        29","0","       132","0","        11","0","","","  -28.9","0,1229, ","","","","","  17.5"," ,0,0502, ","   36.1","0,0713, ","-1.7","0,0921","-4.4","0,1014","-4.4","0,1014","-6.7","0,1015","-11.7","0,1027","0.0","0,0612","-3.3","0,0603","-5.6","0,0503","-6.7","0,0502","-12.8","0,0331","    4270.8","8","    4270.8","0","    376.7"," ,0","","","      6.97","0","     15.71","0","     -1.77","0","     44777","0"
"USC00053592","1955","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      5.8","","       5.8","0","       117","0","        44","0","         0","0","","","","","        37","0","       225","0","        57","0","       123","0","         0","0","","","  -30.6","0,0118, ","","","","","  16.8"," ,0,0814, ","   30.0","0,0710, ","0.0","0,0911","-2.2","0,0927","-6.1","0,1007","-10.6","0,1024","-10.6","0,1024","0.0","0,0611","-3.9","0,0529","-5.6","0,0517","-10.0","0,0428","-10.0","0,0428","    4876.5","5","    4876.5","0","    318.9"," ,0","","","      4.48","0","     12.72","0","     -3.76","0","",""
"USC00053592","1956","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      7.6","","       7.6","0","       132","0","        43","0","         0","0","","","","","        39","0","       215","0","        53","0","       144","0","         1","0","","","  -32.8","0,0202, ","","","","","  20.8"," ,0,0523, ","   34.4","0,0717, ","-1.1","0,0901","-4.4","0,0923","-4.4","0,0923","-9.4","0,1020","-9.4","0,1020","-0.6","0,0517","-2.8","0,0515","-9.4","0,0415","-9.4","0,0415","-9.4","0,0415","    4561.0","0","    4561.0","0","    339.4"," ,0","","","      4.97","0","     13.95","0","     -4.01","0","     51517","0"
"USC00053592","1957","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","     19.3","","      19.3","0","       171","0","        59","0","         2","0","","","","","        33","0","       221","0","        40","0","       106","0","         0","0","","","  -33.3","0,0119, ","","","","","  29.2"," ,0,0509, ","   31.1","0,0803,+","-0.6","0,0911","-5.6","0,0922","-5.6","0,0922","-7.2","0,1026","-12.2","0,1109","0.0","0,0622","-2.2","0,0523","-5.6","0,0429","-7.8","0,0428","-13.9","0,0426","    5013.4","4","    5013.4","0","    516.1"," ,0","","","      4.63","0","     12.87","0","     -3.61","0","     39019","0"
"USC00053592","1958","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","     35.5","","      35.5","0","       111","0","        42","0","         0","0","","","","","        33","0","       228","0","        42","0","       143","0","         1","0","","","  -27.8","0,0122, ","","","","","  15.2"," ,0,0409, ","   32.2","0,0809, ","-1.7","0,0824","-2.2","0,0825","-4.4","0,1018","-10.6","0,1022","-10.6","0,1022","-1.1","0,0515","-2.2","0,0503","-5.0","0,0430","-8.3","0,0426","-12.2","0,0424","    4872.3","3","    4872.3","0","    301.8"," ,0","","","      5.61","0","     14.57","0","     -3.36","0","     34836","0"
"USC00053592","1959","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","     12.4","","      12.4","0","       126","0","        56","0","         2","0","","","","","        27","0","       227","0","        36","0","       117","0","         2","0","","","  -28.3","0,0201, ","","","","","  38.1"," ,0,0927, ","   32.2","0,0725,+","0.0","0,0902","-5.0","0,0928","-5.0","0,0928","-6.7","0,1008","-14.4","0,1105","0.0","0,0717","-2.8","0,0524","-8.9","0,0422","-8.9","0,0422","-8.9","0,0422","    4671.3","3","    4671.3","0","    518.1"," ,0","","","      4.94","0","     13.65","0","     -3.76","0","",""
"USC00053592","1960","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","     27.2","","      27.2","0","       117","0","        41","0","         1","0","","","","","        28","0","       223","0","        48","0","       131","0","         2","0","","","  -28.9","0,0229, ","","","","","  33.3"," ,0,0505, ","   32.2","0,0727,+","0.0","0,0910","-2.2","0,1006","-6.1","0,1015","-12.2","0,1030","-12.2","0,1030","0.0","0,0613","-3.3","0,0520","-4.4","0,0501","-8.3","0,0430","-11.1","0,0417","    4762.1","1","    4762.1","0","    333.8"," ,0","","","      5.43","0","     14.18","0","     -3.33","0","     33518","0"
"USC00053592","1961","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","     14.8","","      14.8","0","       147","0","        57","0","         0","0","","","","","        38","0","       231","0","        33","0","       117","0","         0","0","","","  -29.4","0,0128, ","","","","","  23.9"," ,0,0924, ","   31.1","0,0805, ","0.0","0,0902","-2.2","0,0913","-9.4","0,0925","-9.4","0,0925","-9.4","0,0925","0.0","0,0604","-3.9","0,0517","-6.1","0,0427","-7.8","0,0426","-12.2","0,0415","    4774.4","4","    4774.4","0","    520.0"," ,0","","","      4.69","0","     13.40","0","     -4.03","0","",""
"USC00053592","1963","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","     41.2","","      41.2","0","       115","0","        47","0","         3","0","","","","","        25","0","       193","0","        41","0","       139","0","         3","0","","","  -40.6","0,0113, ","","","","","  35.6"," ,0,0616, ","   32.8","0,0720, ","0.0","0,0925","-2.2","0,1017","-8.9","0,1101","-8.9","0,1101","-8.9","0,1101","0.0","0,0610","-2.8","0,0513","-5.0","0,0425","-7.8","0,0423","-8.9","0,0404","    4554.7","7","    4554.7","0","    412.0"," ,0","","","      6.27","0","     15.05","0","     -2.51","0","",""
"USC00053592","1964","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","     25.2","","      25.2","0","       129","0","        52","0","         0","0","      156","","","","        54","0","       233","0","        74","0","       122","0","         2","0","","","  -33.9","0,0113, ","   737"," ,0,0327, ","","","  17.8"," ,0,1224, ","   32.8","0,0701, ","-2.2","0,0828","-2.2","0,0828","-7.2","0,1012","-7.2","0,1012","-9.4","0,1019","-0.6","0,0623","-2.2","0,0531","-5.6","0,0512","-6.7","0,0504","-9.4","0,0412","    4998.7","7","    4998.7","0","    376.2"," ,0","","","      3.80","0","     12.59","0","     -5.00","0","",""
"USC00053592","1965","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      1.2","","       1.2","0","       143","0","        55","0","         0","0","      137","","","","        43","0","       223","0","        62","0","       103","0","         0","0","","","  -28.9","0,0103, ","   610"," ,0,0325,+","","","  19.6"," ,0,0817, ","   29.4","0,0812, ","-2.2","0,0901","-2.2","0,0901","-6.7","0,1021","-6.7","0,1021","-17.8","0,1128","-0.6","0,0602","-2.8","0,0516","-5.0","0,0428","-9.4","0,0414","-9.4","0,0414","    5143.6","6","    5143.6","0","    448.7"," ,0","","","      4.15","0","     12.34","0","     -4.05","0","",""
"USC00053592","1966","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","     20.2","","      20.2","0","        98","0","        34","0","         1","0","      106","","","","        46","0","       216","0","        61","0","       121","0","         0","0","","","  -29.4","0,1224, ","   356"," ,0,1207,+","","","  30.5"," ,0,1206, ","   31.1","0,0731,+","0.0","0,0822","-5.0","0,1001","-5.0","0,1001","-10.6","0,1015","-10.6","0,1015","-1.1","0,0613","-2.8","0,0602","-8.9","0,0428","-8.9","0,0428","-8.9","0,0428","    4920.4","4","    4920.4","0","    288.2"," ,0","","","      4.68","0","     13.35","0","     -3.99","0","",""
"USC00053592","1967","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      7.5","","       7.5","0","       147","0","        59","0","         0","0","      120","","","","        34","0","       215","0","        51","0","       105","0","         0","0","","","  -30.0","0,0221, ","   559"," ,0,0226, ","","","  16.3"," ,0,0919, ","   30.0","0,0731,+","-1.7","0,0913","-2.8","0,1007","-7.2","0,1016","-7.2","0,1016","-9.4","0,1030","-1.7","0,0601","-3.9","0,0530","-4.4","0,0514","-6.7","0,0504","-8.9","0,0502","    4955.7","7","    4955.7","0","    411.6"," ,0","","","      4.83","0","     13.04","0","     -3.38","0","",""
"USC00053592","1968","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      7.8","","       7.8","0","       130","0","        46","0","         0","0","      141","","","","        42","0","       234","0","        66","0","       107","0","         0","0","","","  -26.1","0,0113, ","   483"," ,0,0228,+","","","  16.0"," ,0,1008, ","   29.4","0,0722,+","-1.1","0,0824","-3.3","0,0923","-4.4","0,1009","-6.7","0,1017","-11.7","0,1018","0.0","0,0701","-3.9","0,0524","-6.1","0,0507","-10.0","0,0428","-10.0","0,0428","    5146.3","3","    5146.3","0","    315.8"," ,0","","","      3.71","0","     11.83","0","     -4.40","0","",""
"USC00053592","1969","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","     38.7","","      38.7","0","       139","0","        55","0","         1","0","      143","","","","        35","0","       212","0","        50","0","       115","0","         0","0","","","  -31.7","0,1229, ","   356"," ,0,1226,+","","","  28.4"," ,0,1003, ","   31.7","0,0809, ","-1.1","0,0923","-2.2","0,1004","-5.0","0,1007","-10.0","0,1013","-10.0","0,1013","-1.7","0,0602","-5.0","0,0506","-5.0","0,0506","-7.2","0,0428","-11.1","0,0327","    5075.3","3","    5075.3","0","    493.0"," ,0","","","      4.75","0","     12.93","0","     -3.43","0","",""
"USC00053592","1970","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","     14.3","","      14.3","0","       132","0","        56","0","         2","0","      153","","","","        24","0","       228","0","        41","0","       112","0","         0","0","","","  -30.6","0,0106, ","   356"," ,0,0119,+","","","  38.1"," ,0,1007, ","   31.1","0,0802, ","-0.6","0,0910","-2.2","0,0923","-6.7","0,0926","-6.7","0,0926","-13.9","0,1008","-1.1","0,0602","-2.2","0,0601","-5.6","0,0515","-9.4","0,0514","-9.4","0,0514","    5013.4","4","    5013.4","0","    447.8"," ,0","","","      4.47","0","     12.36","0","     -3.42","0","",""
"USC00053592","1971","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","     11.5","","      11.5","0","       127","0","        49","0","         0","0","      101","","        34","0","        27","0","       229","0","        55","0","       109","0","         0","0","","","  -32.8","0,0107, ","   381"," ,0,1227, ","   254"," ,0,1227, ","  15.2"," ,0,1227, ","   31.1","0,0717,+","0.0","0,0915","-3.9","0,0917","-8.9","0,0918","-8.9","0,0918","-8.9","0,0918","-1.1","0,0605","-3.9","0,0524","-5.6","0,0428","-8.9","0,0406","-8.9","0,0406","    4896.4","4","    4896.4","0","    360.5"," ,0","     2098"," ,0","      4.72","0","     12.80","0","     -3.36","0","",""
"USC00053592","1972","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      5.8","","       5.8","0","       137","0","        57","0","         0","0","      120","","        32","0","        33","0","       211","0","        52","0","       114","0","         0","0","","","  -32.8","0,0104, ","   330"," ,0,0225,+","   254"," ,0,0225, ","  14.7"," ,0,0507, ","   30.0","0,0814,+","-2.8","0,0921","-2.8","0,0921","-5.6","0,1024","-10.6","0,1030","-10.6","0,1030","0.0","0,0529","-2.2","0,0523","-6.7","0,0502","-6.7","0,0502","-8.9","0,0501","    4779.6","6","    4779.6","0","    389.2"," ,0","     2413"," ,0","      4.91","0","     12.84","0","     -3.01","0","",""
"USC00053592","1973","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      3.9","","       3.9","0","       123","0","        54","0","         0","0","      149","","        34","0","        53","0","       240","0","        60","0","        96","0","         0","0","","","  -31.1","0,0128,+","   457"," ,0,0316,+","   381"," ,0,1102, ","  19.6"," ,0,1102, ","   31.1","0,0706, ","-1.7","0,0903","-2.2","0,0917","-6.1","0,0927","-7.2","0,1025","-12.2","0,1105","-1.7","0,0619","-3.3","0,0605","-5.0","0,0528","-7.2","0,0421","-11.7","0,0416","    5638.9","9","    5638.9","0","    438.6"," ,0","     2839"," ,0","      3.20","0","     11.83","0","     -5.42","0","",""
"USC00053592","1974","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      0.3","","       0.3","0","       115","0","        53","0","         0","0","      105","","        33","0","        46","0","       235","0","        60","0","       122","0","         0","0","","","  -35.0","0,0104, ","   381"," ,0,0224,+","   152"," ,0,0331, ","  14.5"," ,0,0607, ","   30.0","0,0628,+","-2.2","0,0903","-2.2","0,0903","-4.4","0,0930","-8.3","0,1105","-10.0","0,1106","0.0","0,0611","-2.2","0,0523","-5.0","0,0522","-7.2","0,0420","-9.4","0,0416","    5084.4","4","    5084.4","0","    354.0"," ,0","     2221"," ,0","      4.01","0","     12.73","0","     -4.71","0","",""
"USC00053592","1975","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      0.9","","       0.9","0","       108","0","        50","0","         1","0","      139","","        40","0","        41","0","       237","0","        55","0","       106","0","         0","0","","","  -31.1","0,0112, ","   381"," ,0,0221, ","   356"," ,0,1023, ","  30.5"," ,0,1023, ","   30.0","0,0702,+","-0.6","0,0919","-3.3","0,0920","-4.4","0,0928","-6.7","0,1001","-10.6","0,1024","-1.7","0,0626","-3.3","0,0530","-4.4","0,0526","-7.2","0,0501","-10.6","0,0429","    5253.1","1","    5253.1","0","    342.7"," ,0","     2812"," ,0","      4.04","0","     12.52","0","     -4.44","0","",""
"USC00053592","1976","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      8.5","","       8.5","0","       111","0","        57","0","         0","0","      123","","        29","0","        36","0","       242","0","        49","0","       107","0","         0","0","","","  -28.9","0,0102, ","   330"," ,0,0305,+","   178"," ,0,0304,+","  24.4"," ,0,0802, ","   31.7","0,0712,+","0.0","0,0828","-2.2","0,0909","-8.3","0,1007","-8.3","0,1007","-10.0","0,1019","0.0","0,0625","-3.9","0,0614","-5.0","0,0501","-10.6","0,0405","-10.6","0,0405","    5088.8","8","    5088.8","0","    391.2"," ,0","     1900"," ,0","      4.10","0","     12.77","0","     -4.56","0","",""
"USC00053592","1977","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","     13.4","","      13.4","0","       115","0","        50","0","         0","0","      120","","        31","0","        24","0","       218","0","        39","0","       122","0","         0","0","","","  -25.0","0,0109, ","   178"," ,0,1205,+","   152"," ,0,1205,+","  16.5"," ,0,0819, ","   30.6","0,0718,+","-1.1","0,0918","-3.3","0,0924","-4.4","0,1001","-10.0","0,1011","-10.0","0,1011","0.0","0,0606","-5.0","0,0528","-5.0","0,0528","-6.7","0,0406","-12.8","0,0403","    4984.1","1","    4984.1","0","    359.4"," ,0","     2171"," ,0","      5.71","0","     14.18","0","     -2.76","0","",""
"USC00053592","1978","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","     12.2","","      12.2","0","       130","0","        42","0","         0","0","      124","","        36","0","        30","0","       235","0","        44","0","       116","0","         0","0","","","  -30.6","0,1208, ","   508"," ,0,0303, ","   305"," ,0,0303, ","  20.3"," ,0,0303, ","   30.6","0,0727,+","-1.1","0,0815","-3.9","0,0819","-4.4","0,0821","-6.7","0,0921","-8.9","0,1030","-1.1","0,0602","-3.3","0,0519","-7.8","0,0509","-7.8","0,0509","-9.4","0,0422","    4575.7","7","    4575.7","0","    342.0"," ,0","     2736"," ,0","      5.04","0","     13.49","0","     -3.41","0","",""
"USC00053592","1979","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","     14.3","","      14.3","0","       120","0","        46","0","         1","0","      152","","        47","0","        55","0","       219","0","        76","0","       130","0","         3","0","","","  -33.3","0,0108,+","   483"," ,0,0318, ","   279"," ,0,0507, ","  28.7"," ,0,0609, ","   32.8","0,0807,+","0.0","0,0913","-3.3","0,0915","-9.4","0,1022","-9.4","0,1022","-9.4","0,1022","-1.7","0,0610","-2.8","0,0601","-5.6","0,0512","-6.7","0,0413","-13.3","0,0403","    5169.4","4","    5169.4","0","    398.6"," ,0","     3412"," ,0","      3.82","0","     12.12","0","     -4.48","0","",""
