"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00418169","2001","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","","","","","        88","0","        49","0","        10","0","        0","","         0","0","","","","","         0","0","       268","0","       111","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 101.6"," ,0,0423, ","   40.0","0,0722, ","","","","","","","","","","","","","","","","","","","","","","","","","    954.4"," ,0","        0"," ,0","","","     26.83","0","","","     12404","0"
"USC00418169","2002","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","","","","","        79","0","        52","0","        13","0","","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","  72.1"," ,0,1025, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    889.6"," ,0","        0"," ,0","","","","","","","",""
"USC00418169","2003","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","","","","","       113","0","        49","0","        10","0","","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","  77.0"," ,0,0112, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    849.5"," ,0","        0"," ,0","","","","","","","",""
"USC00418169","2004","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","","","","","       109","0","        54","0","        17","0","","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","  75.7"," ,0,0424, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1307.3"," ,0","        0"," ,0","","","","","","","",""
"USC00418169","2005","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","","","","","        58","0","        37","0","         6","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  41.9"," ,0,0727, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    579.2"," ,0","        0"," ,0","","","","","","","",""
"USC00418169","2006","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","","","","","        47","0","        35","0","         3","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  87.4"," ,0,0911, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    432.4"," ,0","        0"," ,0","","","","","","","",""
"USC00418169","2007","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","","","","","        85","0","        58","0","        18","0","","","         0","0","         0","0","        22","0","","","","","","","","","   -4.4","0,0218,+","","","     0"," ,0,1231,+"," 170.4"," ,0,0816, ","","","","","0.0","0,1216","","","","","","","","","0.0","0,0309","-4.4","0,0218","-4.4","0,0218","","","","","","","   1405.1"," ,0","        0"," ,0","","","","","     13.99","0","",""
"USC00418169","2008","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    299.2"," ,0","        0"," ,0","","","","","","","",""
"USC00418169","2009","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","","","","","        60","0","        37","0","        11","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  50.8"," ,0,0312, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    615.4"," ,0","        0"," ,0","","","","","","","",""
"USC00418169","2010","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","   1684.9","","    1684.9","0","        58","0","        37","0","         9","0","        0","","         0","0","         0","0","        18","0","         0","0","       282","0","       109","0","         1"," ","   -7.8","0,0109, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  52.1"," ,0,0417, ","   40.0","0,0824, ","","","-1.7","0,1103","-6.7","0,1129","-6.7","0,1129","-6.7","0,1129","","","-2.2","0,0328","-2.2","0,0328","-5.6","0,0110","-7.8","0,0109","","","","","    622.1"," ,0","        0"," ,0","     20.50","0","     26.60","0","     14.40","0","",""
"USC00418169","2011","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","   2156.1","","    2156.1","K","        44","K","        25","K","         2","K","","","","","         0","K","        14","K","         0","K","       294","K","       151","K","         1"," ","   -7.8","K,0203, ","","","","","  77.0"," ,K,1009, ","   42.2","K,0828,+","","","0.0","K,1206","-3.9","K,1207","","","","","","","-2.8","K,0211","-2.8","K,0211","-5.6","K,0210","-7.8","K,0203","     769.9","9","     769.9","K","    348.9"," ,K","","","     22.13","K","     28.61","K","     15.65","K","",""
