"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0009G09S","2008","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","      21.6","T","      0.0","","       0.0","T","       110","T","       110","T","         1","T","      234","","        71","T","       270","T","        88","T","        57","T","         0","T","  -32.0","T,0101, ","  1473"," ,T,0327, ","  30.5"," ,T,1225, ","   26.1","T,0801, ","-0.5","T,0812","-2.2","T,0827","-5.7","T,1010","-11.7","T,1012","-11.7","T,1012","-0.9","T,0712","-5.1","T,0611","-5.1","T,0611","-7.8","T,0513","-10.0","T,0502","    6566.4","4","    6566.4","T","    582.6"," ,T","     -0.01","T","      7.92","T","     -7.93","T"
"USS0009G09S","2009","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","       0.5","T","      0.0","","       0.0","T","       104","T","       104","T","         0","T","      232","","        58","T","       255","T","        85","T","        37","T","         0","T","  -33.1","T,0103, ","  1321"," ,T,0416,+","  22.9"," ,T,1014,+","   26.0","T,0822, ","-0.8","T,0808","-2.2","T,0817","-5.8","T,0922","-9.1","T,1001","-9.1","T,1001","-0.4","T,0619","-4.2","T,0521","-6.1","T,0516","-7.0","T,0513","-10.1","T,0509","    6334.5","5","    6334.5","T","    661.6"," ,T","      0.36","T","      7.93","T","     -7.22","T"
"USS0009G09S","2010","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.0","","       0.0","T","       109","T","       109","T","         3","T","      219","","        42","T","       263","T","        90","T","        41","T","         0","T","  -32.7","T,1231, ","  1270"," ,T,0406, ","  25.4"," ,T,1219,+","   27.0","T,0726, ","0.0","T,0812","-2.3","T,0831","-5.0","T,1019","-15.0","T,1026","-15.0","T,1026","-0.4","T,0705","-3.1","T,0618","-5.1","T,0530","-11.1","T,0513","-11.1","T,0513","    6628.4","4","    6628.4","T","    625.9"," ,T","      0.71","T","      8.27","T","     -6.86","T"
"USS0009G09S","2011","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.0","","       0.0","T","       120","T","       120","T","         0","T","      255","","        67","T","       267","T","        88","T","        45","T","         0","T","  -38.9","T,0202, ","  1626"," ,T,0409,+","  20.3"," ,T,1006,+","   26.0","T,0703, ","-0.3","T,0816","-3.2","T,0918","-6.0","T,1010","-7.6","T,1018","-10.6","T,1026","-1.4","T,0627","-2.3","T,0618","-5.0","T,0617","-6.9","T,0603","-12.4","T,0505","    6660.6","6","    6660.6","T","    638.0"," ,T","      0.00","T","      7.64","T","     -7.64","T"
"USS0009G09S","2012","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.0","","       0.0","T","        86","T","        86","T","         2","T","      204","","        54","T","       258","T","        85","T","        65","T","         0","T","  -28.9","T,0117, ","  1397"," ,T,0229, ","  48.3"," ,T,0121, ","   28.2","T,0713, ","-0.2","T,0825","-2.5","T,0912","-6.7","T,1003","-6.7","T,1003","-9.3","T,1004","-2.0","T,0621","-2.8","T,0620","-5.0","T,0511","-10.3","T,0506","-10.3","T,0506","    6157.1","1","    6157.1","T","    532.1"," ,T","      1.74","T","      9.60","T","     -6.12","T"
"USS0009G09S","2013","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.0","","       0.0","T","        96","T","        96","T","         0","T","      231","","        60","T","       251","T","        81","T","        67","T","         0","T","  -36.2","T,1209, ","  1168"," ,T,0417, ","  20.3"," ,T,0926, ","   26.8","T,0628, ","-1.9","T,0918","-5.6","T,0919","-5.6","T,0919","-6.8","T,1004","-11.5","T,1005","-3.0","T,0623","-3.0","T,0623","-8.3","T,0503","-8.3","T,0503","-16.3","T,0502","    6288.4","4","    6288.4","T","    437.2"," ,T","      0.77","T","      8.47","T","     -6.93","T"
"USS0009G09S","2014","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.0","","       0.0","T","       113","T","       113","T","         2","T","      211","","        44","T","       261","T","        70","T","        35","T","         0","T","  -32.0","T,0205, ","  1702"," ,T,0301, ","  33.0"," ,T,0301,+","   26.4","T,0723, ","-1.2","T,0901","-7.3","T,0911","-7.3","T,0911","-7.3","T,0911","-10.9","T,0912","-1.6","T,0701","-2.2","T,0619","-8.0","T,0514","-8.0","T,0514","-14.3","T,0513","    6350.9","9","    6350.9","T","    648.4"," ,T","      0.92","T","      8.35","T","     -6.51","T"
"USS0009G09S","2015","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.0","","       0.0","T","        98","T","        98","T","         0","T","      208","","        42","T","       235","T","        53","T","        42","T","         0","T","  -30.4","T,0223, ","  1270"," ,T,0303, ","  17.8"," ,T,1221,+","   27.0","T,0627, ","-0.7","T,0818","-2.2","T,0908","-4.8","T,1024","-7.5","T,1027","-9.3","T,1028","-1.8","T,0729","-4.7","T,0517","-4.7","T,0517","-8.1","T,0420","-8.9","T,0410","    5901.7","7","    5901.7","T","    485.7"," ,T","      2.05","T","      9.59","T","     -5.50","T"
"USS0009G09S","2016","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.0","","       0.0","T","       120","T","       120","T","         2","T","      239","","        50","T","       255","T","        76","T","        57","T","         0","T","  -31.6","T,1206, ","  1295"," ,T,0331, ","  35.6"," ,T,1003, ","   25.9","T,0721, ","-0.2","T,0820","-2.9","T,0909","-5.8","T,1004","-8.7","T,1005","-11.1","T,1006","-2.3","T,0712","-2.3","T,0712","-7.4","T,0523","-7.4","T,0523","-11.3","T,0511","    6109.4","4","    6109.4","T","    785.4"," ,T","      1.55","T","      9.18","T","     -6.09","T"
"USS0009G09S","2017","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.0","","       0.0","T","       124","T","       124","T","         2","T","      225","","        41","T","       259","T","        68","T","        57","T","         0","T","  -31.4","T,0106, ","  1930"," ,T,0227, ","  27.9"," ,T,0210,+","   26.7","T,0708, ","-0.1","T,0915","-3.1","T,0916","-4.7","T,0917","-7.3","T,0926","-10.3","T,1003","-1.3","T,0630","-3.6","T,0613","-4.9","T,0523","-8.4","T,0520","-14.0","T,0430","    6191.4","4","    6191.4","T","    729.2"," ,T","      1.61","T","      8.93","T","     -5.70","T"
"USS0009G09S","2018","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.2","","       0.2","T","       102","T","       102","T","         1","T","      207","","        57","T","       244","T","        85","T","        57","T","         0","T","  -33.5","T,0221, ","  1295"," ,T,0226, ","  33.0"," ,T,0712, ","   28.6","T,0811, ","-2.3","T,0828","-2.3","T,0828","-7.3","T,0925","-7.3","T,0925","-13.7","T,1014","-0.7","T,0624","-2.3","T,0611","-4.8","T,0504","-10.0","T,0501","-10.0","T,0501","    6113.0","0","    6113.0","T","    554.0"," ,T","      1.13","T","      8.82","T","     -6.57","T"
"USS0009G09S","2019","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.0","","       0.0","T","        93","T","        93","T","         0","T","      245","","        54","T","       270","T","        85","T","        48","T","         0","T","  -30.7","T,0101, ","  1448"," ,T,0306, ","  22.9"," ,T,0911,+","   27.4","T,0723, ","-0.9","T,0813","-3.2","T,0918","-5.5","T,0930","-8.8","T,1002","-9.6","T,1003","-0.4","T,0625","-4.2","T,0621","-7.1","T,0609","-7.1","T,0609","-10.9","T,0510","    6494.2","2","    6494.2","T","    595.7"," ,T","      0.40","T","      7.95","T","     -7.16","T"
"USS0009G09S","2020","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.0","","       0.0","T","        92","T","        92","T","         1","T","      206","","        61","T","       260","T","        90","T","        61","T","         0","T","  -28.7","T,0204, ","  1168"," ,T,0402,+","  43.2"," ,T,0606, ","   27.7","T,0818, ","-2.2","T,0831","-2.2","T,0831","-5.1","T,0908","-7.9","T,0928","-9.6","T,1015","-0.3","T,0701","-4.2","T,0618","-5.2","T,0524","-9.1","T,0424","-9.1","T,0424","    6505.7","7","    6505.7","T","    460.7"," ,T","      1.02","T","      8.90","T","     -6.86","T"
"USS0009G09S","2021","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.8","","       0.8","T","       100","T","       100","T","         1","T","      215","","        55","T","       255","T","        77","T","        65","T","         0","T","  -29.3","T,0228, ","  1067"," ,T,0310, ","  33.0"," ,T,1006, ","   29.0","T,0719,+","-0.7","T,0810","-4.9","T,0920","-4.9","T,0920","-7.4","T,1013","-8.9","T,1014","-0.4","T,0612","-4.0","T,0611","-7.5","T,0512","-7.5","T,0512","-11.1","T,0509","    6194.0","0","    6194.0","T","    518.5"," ,T","      1.63","T","      9.23","T","     -5.97","T"
"USS0009G09S","2022","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.0","","       0.0","T","       108","T","       108","T","         1","T","      219","","        70","T","       260","T","        90","T","        68","T","         0","T","  -34.6","T,1222, ","  1118"," ,T,0424,+","  25.4"," ,T,0914, ","   27.8","T,0810, ","-0.5","T,0909","-3.0","T,0910","-5.0","T,1016","-12.3","T,1023","-12.3","T,1023","-2.7","T,0621","-2.7","T,0621","-4.4","T,0614","-7.4","T,0522","-9.1","T,0521","    6220.5","5","    6220.5","T","    576.9"," ,T","      0.68","T","      8.61","T","     -7.26","T"
"USS0009G09S","2023","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.0","","       0.0","T","       115","T","       115","T","         1","T","      211","","        63","T","       242","T","        80","T","        35","T","         0","T","  -34.2","T,0130, ","  1651"," ,T,0404, ","  25.4"," ,T,1202, ","   26.4","T,0717, ","-0.4","T,0831","-4.4","T,0924","-4.4","T,0924","-11.4","T,1026","-11.4","T,1026","-0.7","T,0617","-2.3","T,0512","-6.2","T,0509","-6.8","T,0508","-11.0","T,0428","    6474.5","5","    6474.5","T","    665.9"," ,T","      0.86","T","      8.52","T","     -6.81","T"
"USS0009G09S","2024","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    6039.9","9","    6039.9","T","","","","","","","",""
