"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00417481","1958","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","","","","","        63","0","        35","0","         3","0","        0","","         2","0","         0","0","        68","0","         0","0","       228","0","       116","0","  -11.1","0,1230, ","     0"," ,0,1231,+","   140"," ,0,0105, ","  42.9"," ,0,0927, ","   43.9","0,0714, ","","","-3.3","0,1118","-3.3","0,1118","-5.6","0,1119","-7.2","0,1214","-8.9","0,1215","0.0","0,0320","-4.4","0,0315","-4.4","0,0315","-6.7","0,0102","-8.9","0,0101","    1599.7","7","    1599.7","0","","","","","    428.0"," ,0","      254"," ,0","     17.59","0","     25.43","0","      9.75","0","",""
"USC00417481","1959","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1296.5","","    1296.5","0","        46","0","        21","0","         1","0","        0","","         0","0","         0","0","        80","0","         1","0","       253","0","       135","0","  -12.2","0,0104, ","     0"," ,0,1231,+","     0","T,0,0219,+","  30.0"," ,0,0629, ","   41.1","0,0611, ","","","-5.0","0,1106","-5.0","0,1106","-5.0","0,1106","-8.3","0,1128","","","-0.6","0,0414","-2.8","0,0413","-4.4","0,0306","-9.4","0,0122","-9.4","0,0122","","","","","","","","","    228.0"," ,0","        0","T,0","     17.74","0","     26.51","0","      8.96","0","",""
"USC00417481","1960","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","","","","","        43","0","        27","0","         4","0","","","         3","0","","","","","","","","","","","","","","","   140"," ,0,1209, ","  54.4"," ,0,0707, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    410.4"," ,0","      306"," ,0","","","","","","","",""
"USC00417481","1961","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","","","","","        35","0","        19","0","         1","0","        1","","         0","0","         0","0","        83","0","         2","0","       251","0","       130","0","   -9.4","0,0129, ","    25"," ,0,1114, ","    13"," ,0,1114,+","  41.9"," ,0,0615, ","   40.6","0,0625, ","","","-0.6","0,1104","-5.6","0,1115","-5.6","0,1115","-7.2","0,1228","","","0.0","0,0416","-2.8","0,0320","-5.0","0,0228","-7.2","0,0207","-9.4","0,0129","    1550.6","6","    1550.6","0","","","","","    214.9"," ,0","       26"," ,0","     17.40","0","     26.20","0","      8.61","0","",""
"USC00417481","1962","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","","","","","        33","0","        20","0","         0","0","        0","","         1","0","","","","","         2","0","       267","0","       145","0","","","     0"," ,0,1231,+","    38"," ,0,0110, ","  21.8"," ,0,0905, ","   40.6","0,0807, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    161.0"," ,0","       38"," ,0","","","     27.03","0","","","",""
"USC00417481","1963","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1433.4","","    1433.4","0","        38","0","        17","0","         2","0","        1","","         0","0","         0","0","        76","0","         4","0","       270","0","       131","0","  -16.1","0,0113, ","    25"," ,0,0113, ","    20"," ,0,0113, ","  44.2"," ,0,0830, ","   41.7","0,0716, ","","","-1.1","0,1123","-3.3","0,1124","-5.0","0,1129","-6.7","0,1203","-10.0","0,1223","-1.1","0,0320","-4.4","0,0307","-4.4","0,0307","-7.2","0,0222","-11.7","0,0213","","","","","","","","","    191.7"," ,0","       44"," ,0","     18.33","0","     26.94","0","      9.73","0","     51120","0"
"USC00417481","1964","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1335.5","","    1335.5","0","        27","0","        15","0","         1","0","        0","","         0","0","         0","0","        72","0","         0","0","       264","0","       128","0","  -15.6","0,0113, ","     0"," ,0,1231,+","     0","T,0,1219,+","  33.3"," ,0,0624, ","   42.2","0,0721, ","    3031.1","0","-0.6","0,1106","-5.0","0,1120","-5.0","0,1120","-9.4","0,1214","-9.4","0,1214","-1.7","0,0326","-2.8","0,0315","-4.4","0,0305","-8.3","0,0228","-9.4","0,0222","    1507.4","4","    1507.4","0","","","","","    163.4"," ,0","        0","T,0","     17.97","0","     26.87","0","      9.06","0","",""
"USC00417481","1965","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","","","","","        28","0","        15","0","         2","0","        1","","         1","0","","","","","         0","0","       277","0","       132","0","","","    25"," ,0,0209, ","    46"," ,0,0209, ","  50.8"," ,0,0610, ","   40.6","0,0709, ","    2774.9","0","","","","","","","","","","","","","","","","","","","","","    1356.1","1","    1356.1","0","","","","","    210.0"," ,0","       46"," ,0","","","     26.77","0","","","     50802","0"
"USC00417481","1966","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1261.0","","    1261.0","0","        25","0","        17","0","         2","0","        0","","         1","0","         0","0","        77","0","         0","0","       258","0","       106","0","  -11.7","0,1224, ","     0"," ,0,1231,+","    30"," ,0,0118, ","  55.1"," ,0,0610, ","   41.7","0,0801, ","    2538.3","0","-3.3","0,1102","-3.3","0,1102","-4.4","0,1128","-8.3","0,1210","-8.9","0,1212","-0.6","0,0308","-3.9","0,0306","-9.4","0,0305","-9.4","0,0305","-9.4","0,0305","","","","","","","","","    241.5"," ,0","       50"," ,0","     17.64","0","     25.78","0","      9.50","0","     48004","0"
"USC00417481","1967","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1279.1","","    1279.1","0","        34","0","        19","0","         0","0","        0","","         1","0","         0","0","        52","0","         2","0","       281","0","       121","0","  -12.8","0,0109, ","     0"," ,0,1231,+","    25"," ,0,1214, ","  20.1"," ,0,0720, ","   40.6","0,0707, ","    2769.3","0","-1.1","0,1031","-3.3","0,1104","-7.2","0,1210","-7.2","0,1210","","","-3.3","0,0309","-3.3","0,0309","-4.4","0,0308","-8.9","0,0119","-8.9","0,0119","    1176.6","6","    1176.6","0","","","     23.70","0","    157.5"," ,0","       25"," ,0","     18.51","0","     27.00","0","     10.01","0","     53788","0"
"USC00417481","1968","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1176.5","","    1176.5","0","        49","0","        30","0","         0","0","        1","","         1","0","         0","0","        62","0","         1","0","       251","0","       111","0","   -9.4","0,1223, ","    25"," ,0,0213, ","    33"," ,0,0213, ","  23.6"," ,0,0923, ","   42.8","0,0628, ","","","-1.1","0,1109","-2.2","0,1119","-5.0","0,1204","-9.4","0,1223","-9.4","0,1223","0.0","0,0323","-2.2","0,0322","-6.1","0,0222","-7.2","0,0113","","","    1425.5","5","    1425.5","0","","","     23.50","0","    272.8"," ,0","       33"," ,0","     17.58","0","     25.61","0","      9.56","0","     49472","0"
"USC00417481","1969","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1414.2","","    1414.2","0","        38","0","        26","0","         4","0","        3","","         1","0","         0","0","        61","0","         0","0","       254","0","       122","0","   -9.4","0,1230, ","    25"," ,0,1229,+","   102"," ,0,0315, ","  60.2"," ,0,0922, ","   42.2","0,0621, ","    2534.9","0","0.0","0,1103","-5.0","0,1119","-5.0","0,1119","-9.4","0,1230","-9.4","0,1230","-1.1","0,0326","-3.9","0,0317","-5.6","0,0312","-6.7","0,0105","","","    1371.1","1","    1371.1","0","","","     24.33","0","    365.7"," ,0","      102"," ,0","     18.44","0","     26.39","0","     10.48","0","     48916","0"
"USC00417481","1970","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1177.0","","    1177.0","0","        37","0","        18","0","         2","0","        0","","         0","0","         0","0","        73","0","         0","0","       265","0","       114","0","  -11.1","0,0107, ","     0"," ,0,1231,+","     0","T,0,0320, ","  47.8"," ,0,0917, ","   41.7","0,0616, ","","","-1.1","0,1028","-2.8","0,1029","-5.6","0,1115","-6.7","0,1124","","","0.0","0,0405","-2.8","0,0317","-6.1","0,0131","-7.8","0,0130","-11.1","0,0107","    1443.8","8","    1443.8","0","","","     24.01","0","    285.5"," ,0","        0","T,0","     17.51","0","     26.14","0","      8.88","0","     40111","0"
"USC00417481","1971","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1161.4","","    1161.4","0","        29","0","        19","0","         4","0","        0","","         0","0","         0","0","        66","0","         3","0","       285","0","       108","0","  -15.6","0,0105, ","     0","T,0,0222,+","     8"," ,0,0222, ","  76.7"," ,0,0816, ","   41.7","0,0705,+","","","-0.6","0,1119","-5.0","0,1120","-5.0","0,1120","","","","","0.0","0,0407","-5.0","0,0308","-5.0","0,0308","-7.2","0,0307","-11.1","0,0303","    1362.8","8","    1362.8","0","","","","","    326.7"," ,0","        8"," ,0","     17.97","0","     26.54","0","      9.39","0","     49972","0"
"USC00417481","1973","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1125.3","","    1125.3","0","        46","0","        32","0","         1","0","","","","","         0","0","        67","0","         1","0","       276","0","       129","0","  -13.3","0,1220, ","","","","","  29.0"," ,0,0715, ","   41.1","0,0521, ","","","-0.6","0,1116","-7.2","0,1128","-7.2","0,1128","-7.2","0,1128","-13.3","0,1220","-3.9","0,0409","-3.9","0,0409","-6.7","0,0210","-6.7","0,0210","-10.6","0,0209","","","","","     10.47","0","     24.37","0","    239.2"," ,0","","","     17.60","0","     26.92","0","      8.29","0","     51538","0"
"USC00417481","1976","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1108.7","","    1108.7","0","        28","0","        22","0","         3","0","        1","","         3","0","         0","0","        86","0","         1","0","       282","0","       111","0","  -14.4","0,1129, ","    25"," ,0,0126, ","   127"," ,0,1113,+","  38.1"," ,0,0909, ","   42.2","0,0615, ","","","0.0","0,1008","-4.4","0,1112","-4.4","0,1112","-13.9","0,1114","-13.9","0,1114","-0.6","0,0401","-3.3","0,0331","-5.0","0,0314","-7.8","0,0223","-8.9","0,0127","","","","","","","","","    278.9"," ,0","      318"," ,0","     17.40","0","     26.44","0","      8.37","0","",""
"USC00417481","1977","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1555.1","","    1555.1","0","        29","0","        21","0","         1","0","","","","","         0","0","        71","0","         0","0","       293","0","       144","0","  -13.3","0,0110, ","","","","","  45.7"," ,0,0624, ","   43.9","0,0630, ","","","-0.6","0,1102","-5.0","0,1110","-5.0","0,1110","-8.9","0,1221","-8.9","0,1221","-0.6","0,0404","-2.8","0,0314","-6.1","0,0303","-6.7","0,0228","-13.3","0,0110","    1602.6","6","    1602.6","0","","","     24.97","0","    200.6"," ,0","","","     19.14","0","     28.40","0","      9.87","0","     56509","0"
"USC00417481","1978","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1441.6","","    1441.6","0","        38","0","        28","0","         8","0","        0","","         0","0","         0","0","        70","0","         0","0","       256","0","       133","0","  -12.2","0,1209, ","     0"," ,0,1231,+","    13"," ,0,0303, "," 108.0"," ,0,0925, ","   43.9","0,0622, ","","","0.0","0,1117","-2.8","0,1207","-6.1","0,1208","-12.2","0,1209","-12.2","0,1209","-3.3","0,0317","-3.3","0,0317","-5.6","0,0222","-6.7","0,0219","","","    1184.5","5","    1184.5","0","","","     25.58","0","    603.8"," ,0","       16"," ,0","     18.53","0","     26.94","0","     10.13","0","     56686","0"
"USC00417481","1979","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","","","","","        33","0","        22","0","         3","0","        2","","         2","0","","","","","","","","","","","","","   152"," ,0,0205, ","   152"," ,0,0205, ","  44.5"," ,0,0601, ","","","","","","","","","","","","","","","","","","","","","","","","","    1398.6","6","    1398.6","0","","","","","    301.6"," ,0","      190"," ,0","","","","","","","",""
"USC00417481","1980","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","","","","","        27","0","        17","0","         3","0","","","","","","","","","","","","","","","","","","","",""," 116.6"," ,0,0926, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    298.7"," ,0","","","","","","","","","",""
"USC00417481","1981","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","","","","","        49","0","        41","0","         4","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  82.6"," ,0,0414, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    530.1"," ,0","        0"," ,0","","","","","","","",""
"USC00417481","1982","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","","","","","        28","0","        24","0","         2","0","        0","","         0","0","         0","0","        65","0","","","","","","","  -11.1","0,0114,+","     0"," ,0,1231,+","     0","T,0,0225, ","  57.2"," ,0,0701, ","","","","","-1.1","0,1029","-2.8","0,1115","-4.4","0,1226","-6.7","0,1227","","","0.0","0,0422","-5.6","0,0307","-5.6","0,0307","-7.8","0,0206","-9.4","0,0205","","","","","","","","","    293.7"," ,0","        0","T,0","","","","","     10.07","0","",""
"USC00417481","1986","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","","","","","        44","0","        38","0","         8","0","","","","","","","","","","","","","","","","","","","","","  78.0"," ,0,0623, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    582.8"," ,0","","","","","","","","","",""
"USC00417481","1987","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","","","","","","","","","","","        0","","         1","0","","","","","","","","","","","","","     0"," ,0,1231,+","    51"," ,0,0117, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       51"," ,0","","","","","","","",""
"USC00417481","1988","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","","","","","","","","","","","","","         0","0","","","","","","","","","","","","","","","     0","T,0,1210,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    1312.7","7","    1312.7","0","","","","","","","        0","T,0","","","","","","","",""
"USC00417481","1989","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00417481","1993","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1491.1","","    1491.1","0","        38","0","        14","0","         0","0","        0","","         0","0","         0","0","        61","0","         0","0","       274","0","       159","0","   -9.4","0,1126, ","     0"," ,0,1231,+","     3"," ,0,0129, ","  21.3"," ,0,0724, ","   43.3","0,0611, ","","","-1.1","0,1022","-3.3","0,1030","-4.4","0,1107","-9.4","0,1126","-9.4","0,1126","-1.1","0,0314","-8.9","0,0313","-8.9","0,0313","-8.9","0,0313","-8.9","0,0313","    1234.3","3","    1234.3","0","     11.63","0","     25.31","0","    163.4"," ,0","        3"," ,0","     19.04","0","     28.20","0","      9.88","0","     46151","0"
"USC00417481","1994","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","","","","","        35","0","        19","0","         0","0","        0","","         0","0","         0","0","        52","0","","","","","","","   -9.4","0,0119, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  23.4"," ,0,0613, ","","","","","-5.6","0,1128","-5.6","0,1128","-5.6","0,1128","-7.8","0,1130","","","-0.6","0,0406","-6.1","0,0310","-6.1","0,0310","-8.9","0,0202","-8.9","0,0202","    1154.6","6","    1154.6","0","","","","","    191.8"," ,0","        0"," ,0","","","","","     10.39","0","     42767","0"
"USC00417481","1995","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1351.0","","    1351.0","0","        35","0","        20","0","         4","0","        0","","         0","0","         0","0","        56","0","         0","0","       290","0","       145","0","   -7.8","0,1210, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  45.2"," ,0,0915, ","   46.1","0,0806, ","","","0.0","0,1125","-3.9","0,1209","-7.8","0,1210","-7.8","0,1210","","","0.0","0,0420","-4.4","0,0308","-4.4","0,0308","","","","","","","","","","","","","    264.2"," ,0","        0"," ,0","     18.90","0","     28.03","0","      9.77","0","",""
"USC00417481","1996","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","","","","","        40","0","        26","0","         2","0","        0","","         0","0","","","","","         2","0","       296","0","       143","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  65.3"," ,0,0716, ","   43.9","0,0607, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    340.5"," ,0","        0"," ,0","","","     28.23","0","","","",""
"USC00417481","1997","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1421.6","","    1421.6","0","        49","0","        26","0","         1","0","        0","","         0","0","         0","0","        82","0","         4","0","       276","0","       145","0","  -11.7","0,1212, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  29.5"," ,0,0608, ","   42.2","0,0702,+","","","-2.2","0,1026","-2.2","0,1026","-5.6","0,1116","-11.7","0,1212","-11.7","0,1212","-3.3","0,0413","-3.3","0,0413","-5.0","0,0215","-9.4","0,0115","-9.4","0,0115","    1232.1","1","    1232.1","0","","","     24.80","0","    245.0"," ,0","        0"," ,0","     18.21","0","     27.56","0","      8.87","0","     46225","0"
"USC00417481","1998","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1761.8","","    1761.8","0","        25","0","        10","0","         2","0","","","         0","0","         0","0","        62","0","         0","0","       288","0","       181","0","   -8.3","0,1225,+","","","     0"," ,0,1231,+","  34.5"," ,0,1031, ","   45.6","0,0627,+","    2992.5","0","-5.0","0,1208","-5.0","0,1208","-5.0","0,1208","-8.3","0,1222","","","-0.6","0,0404","-2.8","0,0313","-5.0","0,0312","-7.2","0,0301","","","    1365.8","8","    1365.8","0","","","     25.83","0","    153.4"," ,0","        0"," ,0","     19.95","0","     29.36","0","     10.55","0","",""
"USC00417481","1999","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","   1465.3","","    1465.3","0","        28","0","        16","0","         5","0","        0","","         0","0","         0","0","        58","0","         0","0","       314","0","       155","0","  -10.0","0,1216, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  98.6"," ,0,0710, ","   44.4","0,0702,+","    2593.9","0","-0.6","0,1019","-6.1","0,1125","-6.1","0,1125","-6.7","0,1205","-10.0","0,1216","-1.7","0,0405","-2.8","0,0314","-5.6","0,0213","-7.2","0,0212","-8.9","0,0104","     932.3","3","     932.3","0","","","     25.78","0","    373.9"," ,0","        0"," ,0","     19.62","0","     29.40","0","      9.85","0","     44558","0"
"USC00417481","2000","31.895","-103.91833","867.8","RED BLUFF DAM, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     967.1","1","     967.1","0","","","","","","","","","","","","","","","",""
