"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00241919","1923","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    152.5","","     152.5","0","        86","0","        59","0","         0","0","        10","0","       176","0","        40","0","       125","0","        15","0","","","  -32.8","0,1231, ","  19.1"," ,0,0531, ","   36.1","0,0724, ","-1.7","0,0918","-5.6","0,1025","-5.6","0,1025","-6.7","0,1026","-10.0","0,1029","0.0","0,0531","-5.6","0,0503","-5.6","0,0503","-7.2","0,0407","-13.9","0,0318","    4217.0","0","    4217.0","0","    390.8"," ,0","      7.31","0","     13.92","0","      0.70","0"
"USC00241919","1924","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    138.7","","     138.7","0","        83","0","        64","0","         2","0","        20","0","       187","0","        48","0","       127","0","        21","0","","","  -33.9","0,1218,+","  85.3"," ,0,0607, ","   37.2","0,0702, ","-3.3","0,0831","-3.3","0,0831","-5.6","0,1011","-6.7","0,1106","-13.3","0,1112","0.0","0,0607","-3.3","0,0506","-6.1","0,0425","-7.2","0,0401","-10.0","0,0221","    3957.4","4","    3957.4","0","    527.0"," ,0","      6.81","0","     13.77","0","     -0.16","0"
"USC00241919","1925","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3925.9","9","    3925.9"," ","","","","","","","",""
"USC00241919","1926","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    166.0","","     166.0","0","        64","0","        46","0","         4","0","         3","0","       164","0","        31","0","       115","0","        26","0","","","  -23.9","0,1214, ","  42.4"," ,0,0831, ","   37.2","0,0824, ","-0.6","0,0922","-4.4","0,0923","-4.4","0,0923","-11.1","0,0924","-11.1","0,0924","-2.2","0,0620","-2.2","0,0620","-4.4","0,0421","-7.8","0,0406","-9.4","0,0402","","","","","    471.5"," ,0","      8.06","0","     14.60","0","      1.52","0"
"USC00241919","1927","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    117.7","","     117.7","0","       103","0","        85","0","         2","0","        14","0","       158","0","        47","0","       104","0","         7","0","","","  -28.9","0,1231, ","  32.8"," ,0,0521, ","   36.7","0,0722, ","-0.6","0,0916","-4.4","0,1011","-4.4","0,1011","-6.7","0,1101","-11.1","0,1205","0.0","0,0507","-2.8","0,0430","-6.1","0,0421","-11.7","0,0420","-11.7","0,0420","    4147.1","1","    4147.1","0","    651.8"," ,0","      6.50","0","     12.33","0","      0.67","0"
"USC00241919","1928","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    116.8","","     116.8","0","        79","0","        59","0","         0","0","        10","0","       181","0","        38","0","       114","0","        11","0","","","  -28.9","0,0103, ","  23.1"," ,0,0629, ","   37.2","0,0810, ","-0.6","0,0909","-4.4","0,0919","-4.4","0,0919","-7.8","0,1021","-11.1","0,1102","-0.6","0,0504","-2.8","0,0503","-4.4","0,0412","-7.2","0,0408","-11.1","0,0305","    4245.3","3","    4245.3","0","    453.0"," ,0","      7.04","0","     13.81","0","      0.27","0"
"USC00241919","1929","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    145.4","","     145.4","0","        69","0","        47","0","         1","0","        17","0","       179","0","        55","0","       112","0","        27","0","","","  -31.7","0,0207, ","  26.4"," ,0,1028, ","   36.1","0,0731, ","-0.6","0,0904","-2.8","0,0929","-5.6","0,1011","-6.7","0,1018","-8.9","0,1103","0.0","0,0621","-5.0","0,0424","-5.0","0,0424","-6.7","0,0418","-10.0","0,0324","    4276.4","4","    4276.4","0","    346.4"," ,0","      6.19","0","     13.26","0","     -0.87","0"
"USC00241919","1931","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    136.3","","     136.3","0","        63","0","        44","0","         0","0","         4","0","       174","0","        47","0","       123","0","        22","0","","","  -20.6","0,1123, ","  24.9"," ,0,0703, ","   35.6","0,0726, ","-2.2","0,0923","-2.2","0,0923","-4.4","0,1004","-10.0","0,1119","-10.0","0,1119","0.0","0,0612","-3.3","0,0510","-8.9","0,0423","-8.9","0,0423","-8.9","0,0423","","","","","    353.8"," ,0","      7.27","0","     14.13","0","      0.42","0"
"USC00241919","1932","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    102.2","","     102.2","0","        99","0","        75","0","         0","0","        27","0","       172","0","        50","0","       126","0","         9","0","","","  -25.6","0,1208,+","  19.1"," ,0,0811, ","   35.0","0,0817,+","-4.4","0,0909","-4.4","0,0909","-4.4","0,0909","-6.7","0,1009","-21.7","0,1207","-1.1","0,0605","-2.2","0,0515","-6.7","0,0330","-6.7","0,0330","-19.4","0,0313","    4492.4","4","    4492.4","0","    554.1"," ,0","      6.24","0","     12.92","0","     -0.45","0"
"USC00241919","1933","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    114.7","","     114.7","0","       105","0","        75","0","         0","0","        10","0","       187","0","        30","0","       116","0","        14","0","","","  -37.8","0,0209, ","  20.3"," ,0,1211, ","   35.6","0,0726, ","-0.6","0,0907","-5.0","0,0926","-5.0","0,0926","-7.2","0,1104","-9.4","0,1201","0.0","0,0730","-2.2","0,0520","-5.6","0,0507","-7.2","0,0409","-12.2","0,0309","    4403.7","7","    4403.7","0","    552.8"," ,0","      6.84","0","     13.50","0","      0.18","0"
"USC00241919","1934","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","","","","","        91","0","        45","0","         1","0","","","","","","","","","","","","","","","  27.9"," ,0,0626, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    367.0"," ,0","","","","","",""
"USC00241919","1935","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    103.8","","     103.8","0","        99","0","        49","0","         2","0","         9","0","       191","0","        46","0","       123","0","        11","0","","","  -30.6","0,0120, ","  27.9"," ,0,1029,+","   36.1","0,0714, ","-1.1","0,0815","-3.3","0,0927","-8.3","0,1023","-8.3","0,1023","-12.2","0,1029","-2.2","0,0525","-2.2","0,0525","-11.1","0,0414","-11.1","0,0414","-11.1","0,0414","","","","","    408.7"," ,0","      6.35","0","     13.04","0","     -0.34","0"
