"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00007099","1977","16.0333","-92.0833","719.9","ZAPALUTA, MX","    399.6","","     399.6","m","        85","m","        59","m","        11","m","         0","m","         0","m","         0","m","       332","m","         0","m","    4.4","m,0121,+","  49.8"," ,m,0605, ","   31.1","m,0403,+","     232.4","4","     232.4","m","    822.8"," ,m","     18.89","m","     24.68","m","     13.10","m"
"MXN00007099","1978","16.0333","-92.0833","719.9","ZAPALUTA, MX","    456.1","","     456.1","m","        92","m","        63","m","        10","m","         0","m","         0","m","         0","m","       330","m","         2","m","    3.3","m,0207, ","  82.8"," ,m,0825, ","   32.8","m,0420, ","     226.4","4","     226.4","m","    888.6"," ,m","     18.92","m","     24.82","m","     13.01","m"
"MXN00007099","1979","16.0333","-92.0833","719.9","ZAPALUTA, MX","    474.4","","     474.4","m","        94","m","        71","m","         9","m","         0","m","         0","m","         0","m","       328","m","         1","m","    2.8","m,0107, ","  55.9"," ,m,0610, ","   38.9","m,0402, ","     201.6","6","     201.6","m","    934.1"," ,m","     19.06","m","     25.00","m","     13.11","m"
"MXN00007099","1980","16.0333","-92.0833","719.9","ZAPALUTA, MX","    435.8","","     435.8","m","        93","m","        76","m","         9","m","         0","m","         0","m","         0","m","       321","m","         0","m","    2.8","m,1231,+","  68.8"," ,m,1029, ","   31.7","m,0504, ","     199.4","4","     199.4","m","   1014.3"," ,m","     18.93","m","     24.90","m","     12.96","m"
"MXN00007099","1981","16.0333","-92.0833","719.9","ZAPALUTA, MX","    459.2","","     459.2","m","       113","m","        81","m","        13","m","         0","m","         0","m","         0","m","       336","m","         0","m","    2.8","m,0128,+","  88.9"," ,m,0614, ","   31.7","m,0518, ","     269.3","3","     269.3","m","   1215.5"," ,m","     18.96","m","     24.76","m","     13.15","m"
"MXN00007099","1982","16.0333","-92.0833","719.9","ZAPALUTA, MX","    544.0","","     544.0","m","        85","m","        69","m","        12","m","         0","m","         0","m","         0","m","       357","m","         1","m","    5.6","m,0118,+","  48.8"," ,m,0921,+","   33.9","m,0503, ","     137.8","8","     137.8","m","   1000.4"," ,m","     19.47","m","     25.53","m","     13.41","m"
"MXN00007099","1983","16.0333","-92.0833","719.9","ZAPALUTA, MX","","","","","        90","m","        71","m","         7","m","         0","m","         0","m","","","","","","","    1.7","m,0308, ","  75.9"," ,m,0906, ","","","","","","","    910.4"," ,m","","","","","     13.09","m"
"MXN00007099","1988","16.0333","-92.0833","719.9","ZAPALUTA, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","     296.3","3","     296.3","m","","","","","","","",""
"MXN00007099","1990","16.0333","-92.0833","719.9","ZAPALUTA, MX","","","","","        56","m","        48","m","         6","m","","","","","","","","","","","","","  54.9"," ,m,0805, ","","","","","","","    591.0"," ,m","","","","","",""
"MXN00007099","1991","16.0333","-92.0833","719.9","ZAPALUTA, MX","    461.6","","     461.6","m","        82","m","        61","m","        12","m","         0","m","         0","m","         0","m","       330","m","         0","m","    2.8","m,0306,+","  90.9"," ,m,0628, ","   31.1","m,0601, ","","","","","    967.1"," ,m","     18.93","m","     25.51","m","     12.34","m"
"MXN00007099","1992","16.0333","-92.0833","719.9","ZAPALUTA, MX","    319.4","","     319.4","m","        79","m","        61","m","         6","m","         0","m","         0","m","         0","m","       348","m","         0","m","    5.6","m,1230,+","  47.8"," ,m,0624, ","   30.6","m,0411,+","     280.8","8","     280.8","m","    734.7"," ,m","     18.61","m","     25.17","m","     12.05","m"
"MXN00007099","1993","16.0333","-92.0833","719.9","ZAPALUTA, MX","    300.8","","     300.8","m","        80","m","        62","m","        10","m","         0","m","         0","m","         0","m","       356","m","         0","m","    1.7","m,1226,+","  79.8"," ,m,0816, ","   31.7","m,0504, ","     292.5","5","     292.5","m","    801.8"," ,m","     18.12","m","     25.45","m","     10.80","m"
"MXN00007099","1994","16.0333","-92.0833","719.9","ZAPALUTA, MX","    389.3","","     389.3","m","        73","m","        48","m","         9","m","         0","m","         0","m","         0","m","       360","m","         0","m","    1.7","m,0110,+","  47.8"," ,m,0610, ","   31.7","m,0428,+","     342.5","5","     342.5","m","    682.2"," ,m","     18.71","m","     26.26","m","     11.16","m"
"MXN00007099","1995","16.0333","-92.0833","719.9","ZAPALUTA, MX","    464.5","","     464.5","m","        93","m","        80","m","        12","m","         0","m","         0","m","         0","m","       343","m","         1","m","    1.7","m,0212,+","  73.9"," ,m,0619, ","   32.8","m,0421, ","     274.9","9","     274.9","m","   1184.8"," ,m","     18.63","m","     25.94","m","     11.33","m"
"MXN00007099","1996","16.0333","-92.0833","719.9","ZAPALUTA, MX","    359.1","","     359.1","m","        85","m","        73","m","        12","m","         0","m","         0","m","         0","m","       326","m","         1","m","    1.7","m,0212,+"," 149.9"," ,m,0820, ","   32.2","m,0412, ","     419.7","7","     419.7","m","   1133.9"," ,m","     18.06","m","     25.56","m","     10.56","m"
"MXN00007099","1997","16.0333","-92.0833","719.9","ZAPALUTA, MX","    230.1","","     230.1","m","        94","m","        65","m","         6","m","         0","m","         0","m","         0","m","       336","m","         0","m","    2.8","m,0112,+","  38.4"," ,m,0704, ","   30.6","m,0504,+","     409.5","5","     409.5","m","    729.5"," ,m","     18.05","m","     24.38","m","     11.72","m"
"MXN00007099","1998","16.0333","-92.0833","719.9","ZAPALUTA, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","     350.0","0","     350.0","m","","","","","","","",""
