"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094173","2013","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","       1.1","W","      0.0","","       0.0","W","       159","W","        67","W","         0","W","        70","W","       265","W","       118","W","        74","W","         0","W","","","","","  -33.8","W,0113, ","  19.8"," ,W,0317, ","   29.4","W,0702, ","0.0","W,0918","-3.2","W,0920","-5.5","W,1003","-11.0","W,1004","-11.0","W,1004","0.0","W,0624","-2.7","W,0622","-7.1","W,0503","-7.1","W,0503","-14.3","W,0502","    6489.1","1","    6489.1","W","    524.3"," ,W","      0.02","W","      7.40","W","     -7.35","W","       280","W","       320","W","       9.8","W","      17.9","W"
"USW00094173","2015","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","       1.2","W","      0.6","","       0.6","W","       157","W","        61","W","         0","W","        43","W","       262","W","        89","W","        59","W","         0","W","","","","","  -32.7","W,0223, ","  19.3"," ,W,0105, ","   28.3","W,0629, ","0.0","W,0816","-2.7","W,0823","-5.5","W,1027","-7.7","W,1028","-14.9","W,1106","-2.1","W,0729","-7.7","W,0511","-7.7","W,0511","-7.7","W,0511","-9.3","W,0413","","","","","    509.2"," ,W","      1.53","W","      8.92","W","     -5.87","W","       270","W","","","      11.2","W","",""
"USW00094173","2016","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","       1.3","W","      0.0","","       0.0","W","       159","W","        73","W","         0","W","        46","W","       278","W","        96","W","        59","W","         0","W","","","","","  -33.2","W,1217, ","  22.4"," ,W,1215, ","   27.8","W,0802,+","-0.5","W,0804","-2.7","W,0820","-7.7","W,1011","-7.7","W,1011","-14.9","W,1117","-1.0","W,0717","-3.2","W,0531","-5.5","W,0512","-7.1","W,0502","-10.5","W,0416","    6213.8","8","    6213.8","W","    614.5"," ,W","      1.31","W","      8.57","W","     -5.95","W","       280","W","       290","W","      12.5","W","      21.0","W"
"USW00094173","2017","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","       1.3","W","      0.0","","       0.0","W","       175","W","        86","W","         1","W","        43","W","       274","W","       106","W","        66","W","         0","W","","","","","  -35.5","W,0105, ","  30.2"," ,W,0206, ","   27.8","W,0724, ","-0.5","W,0905","-2.7","W,0916","-4.9","W,1002","-7.1","W,1008","-9.9","W,1009","-1.6","W,0630","-2.7","W,0623","-6.6","W,0519","-7.7","W,0503","-10.5","W,0429","    6446.1","1","    6446.1","W","    858.5"," ,W","      0.56","W","      7.36","W","     -6.25","W","       280","W","       280","W","      11.6","W","      18.8","W"
"USW00094173","2018","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    6510.5","5","    6510.5","W","","","","","","","","","","","","","","","",""
"USW00094173","2019","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","","","","","","","","","","","","","","","","","","","","","","","         1"," ","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094173","2020","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","       1.2","W","      0.0","","       0.0","W","       179","W","        75","W","         0","W","        64","W","       272","W","       122","W","        73","W","         0","W","","","","","  -31.6","W,0204, ","  22.1"," ,W,1107, ","   29.4","W,0817, ","-0.5","W,0830","-3.8","W,0907","-6.0","W,0908","-7.7","W,0909","-17.1","W,1022","-0.5","W,0715","-2.7","W,0615","-4.9","W,0609","-7.1","W,0424","-9.9","W,0420","    6803.6","6","    6803.6","W","    589.1"," ,W","      0.19","W","      7.75","W","     -7.37","W","       290","W","       270","W","       9.8","W","      18.3","W"
"USW00094173","2021","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","","","","","","","","","","","","","","","","","","","","","","","         1"," ","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094173","2022","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094173","2023","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","","","","","","","","","","","","","","","","","","","","","","","","","         9"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094173","2024","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","","","","","","","","","","","","","","","","","","","","","","","","","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
