"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00053005","1905","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    118.3","","     118.3","0","        86","0","        38","0","         5","0","","","        15","0","        19","0","       186","0","        24","0","       141","0","        11","0","","","","","  -32.8","0,0213, ","","","   127"," ,0,1030,+","  44.2"," ,0,0401, ","   33.9","0,0817, ","-0.6","0,0919","-2.2","0,1001","-7.8","0,1010","-7.8","0,1010","-9.4","0,1030","-0.6","0,0516","-6.1","0,0421","-6.1","0,0421","-11.1","0,0412","-11.1","0,0412","    3668.7","7","    3668.7","0","    505.4"," ,0","      942"," ,0","      7.80","0","     16.18","0","     -0.59","0","","","","","",""
"USC00053005","1906","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    100.6","","     100.6","0","        82","0","        45","0","         2","0","","","        16","0","        10","0","       167","0","        24","0","       135","0","         7","0","","","","","  -28.3","0,0317,+","","","   262"," ,0,1021, ","  43.2"," ,0,0426, ","   33.9","0,0720, ","-3.3","0,1005","-3.3","0,1005","-6.7","0,1021","-6.7","0,1021","-11.7","0,1118","-2.2","0,0428","-2.2","0,0428","-5.6","0,0403","-15.0","0,0322","-15.0","0,0322","    3797.5","5","    3797.5","0","    504.9"," ,0","     1449"," ,0","      8.01","0","     16.16","0","     -0.13","0","","","","","",""
"USC00053005","1907","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    108.5","","     108.5","0","        79","0","        29","0","         1","0","","","        13","0","         7","0","       186","0","        22","0","       145","0","        11","0","","","","","  -20.6","0,1218,+","","","   300"," ,0,0419, ","  30.7"," ,0,0726, ","   34.4","0,0704,+","-0.6","0,0910","-2.2","0,1016","-4.4","0,1021","-6.7","0,1108","-16.1","0,1111","0.0","0,0515","-5.0","0,0503","-5.0","0,0503","-7.2","0,0501","-14.4","0,0430","    3563.4","4","    3563.4","0","    298.4"," ,0","     1357"," ,0","      8.40","0","     16.99","0","     -0.20","0","","","","","",""
"USC00053005","1908","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","","","","","        70","0","        41","0","         4","0","","","        10","0","","","","","","","","","","","","","","","","","","","   292"," ,0,0504, ","  49.0"," ,0,0730, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    437.0"," ,0","     1022"," ,0","","","","","","","","","","","",""
"USC00053005","1909","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    225.7","","     225.7","0","        84","0","        36","0","         2","0","","","        18","0","        18","0","       192","0","        37","0","       143","0","        15","0","","","","","  -28.3","0,1205, ","","","   216"," ,0,0319, ","  42.7"," ,0,0324, ","   34.4","0,0718,+","0.0","0,0922","-8.9","0,1009","-8.9","0,1009","-8.9","0,1009","-8.9","0,1009","-1.7","0,0515","-4.4","0,0509","-4.4","0,0509","-10.0","0,0408","-10.0","0,0408","    3873.8","8","    3873.8","0","    413.3"," ,0","     1487"," ,0","      8.01","0","     15.92","0","      0.10","0","","","","","",""
"USC00053005","1910","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    217.9","","     217.9","0","        63","0","        24","0","         5","0","","","         5","0","        10","0","       169","0","        17","0","       171","0","        23","0","","","","","  -29.4","0,0105, ","","","    76"," ,0,0104, ","  37.6"," ,0,0512, ","   37.8","0,0726, ","0.0","0,0825","-4.4","0,1020","-4.4","0,1020","-6.7","0,1021","-8.9","0,1028","-0.6","0,0522","-2.2","0,0517","-6.1","0,0416","-7.8","0,0405","-11.1","0,0310","    3579.9","9","    3579.9","0","    328.8"," ,0","      299"," ,0","      9.57","0","     18.25","0","      0.89","0","","","","","",""
"USC00053005","1911","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    129.2","","     129.2","0","        71","0","        31","0","         1","0","","","        17","0","        18","0","       170","0","        31","0","       141","0","         4","0","","","","","  -27.8","0,0103, ","","","   305"," ,0,0227, ","  29.5"," ,0,0429, ","   35.0","0,0808, ","0.0","0,0921","-3.3","0,1017","-9.4","0,1021","-9.4","0,1021","-9.4","0,1021","-2.8","0,0511","-2.8","0,0511","-4.4","0,0416","-8.9","0,0415","-8.9","0,0415","    3193.0","0","    3193.0","0","    277.1"," ,0","     1191"," ,0","      8.40","0","     16.55","0","      0.25","0","","","","","",""
"USC00053005","1912","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","     74.9","","      74.9","0","        85","0","        51","0","         4","0","","","        20","0","        20","0","       207","0","        37","0","       115","0","         1","0","","","","","  -26.7","0,0204, ","","","   147"," ,0,0320, ","  33.5"," ,0,0617, ","   32.2","0,0826, ","-0.6","0,0914","-2.8","0,0921","-5.0","0,0929","-7.2","0,1016","-11.7","0,1031","-5.6","0,0514","-5.6","0,0514","-5.6","0,0514","-12.8","0,0325","-12.8","0,0325","    4309.6","6","    4309.6","0","    499.6"," ,0","     1308"," ,0","      6.37","0","     14.17","0","     -1.43","0","","","","","",""
"USC00053005","1913","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    161.4","","     161.4","0","        82","0","        35","0","         3","0","","","        15","0","        33","0","       187","0","        43","0","       134","0","        11","0","","","","","  -34.4","0,0107, ","","","   381"," ,0,1201, ","  44.5"," ,0,1201, ","   34.4","0,0707,+","-1.1","0,0920","-2.2","0,0925","-5.6","0,1016","-9.4","0,1026","-9.4","0,1026","-2.2","0,0504","-2.2","0,0504","-5.0","0,0424","-7.8","0,0411","-13.3","0,0327","    4087.5","5","    4087.5","0","    395.8"," ,0","     1727"," ,0","      6.96","0","     15.07","0","     -1.15","0","","","","","",""
"USC00053005","1914","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    138.9","","     138.9","0","        70","0","        39","0","         2","0","","","         5","0","        12","0","       173","0","        30","0","       143","0","         2","0","","","","","  -27.8","0,0206, ","","","    69"," ,0,0222, ","  36.6"," ,0,0615, ","   35.0","0,0816, ","-3.3","0,0914","-3.3","0,0914","-5.0","0,1014","-8.9","0,1108","-8.9","0,1108","0.0","0,0512","-3.9","0,0412","-7.8","0,0409","-7.8","0,0409","-8.9","0,0408","    3928.4","4","    3928.4","0","    363.6"," ,0","      252"," ,0","      8.22","0","     16.13","0","      0.31","0","","","","","",""
"USC00053005","1915","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","     40.4","","      40.4","0","        97","0","        60","0","         3","0","","","        16","0","        12","0","       166","0","        27","0","       125","0","         2","0","","","","","  -25.6","0,0123, ","","","   198"," ,0,0221, ","  46.5"," ,0,0518, ","   33.3","0,0831, ","-3.3","0,1005","-3.3","0,1005","-4.4","0,1008","-7.8","0,1112","-12.8","0,1113","-1.7","0,0521","-2.8","0,0519","-5.0","0,0327","-11.1","0,0326","-11.1","0,0326","    3878.6","6","    3878.6","0","    568.7"," ,0","      987"," ,0","      7.61","0","     14.98","0","      0.25","0","","","","","",""
"USC00053005","1916","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    140.2","","     140.2","0","        78","0","        31","0","         3","0","","","        14","0","        25","0","       181","0","        39","0","       138","0","        10","0","","","","","  -31.1","0,0129, ","","","   114"," ,0,1112,+","  56.6"," ,0,0520, ","   33.9","0,0629,+","-0.6","0,0928","-2.8","0,0929","-5.6","0,1018","-6.7","0,1020","-10.6","0,1108","0.0","0,0607","-3.3","0,0516","-5.0","0,0503","-7.2","0,0501","-9.4","0,0331","    3791.2","2","    3791.2","0","    334.4"," ,0","     1099"," ,0","      7.26","0","     15.40","0","     -0.89","0","","","","","",""
"USC00053005","1917","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    142.0","","     142.0","0","        80","0","        38","0","         0","0","","","        15","0","        18","0","       185","0","        34","0","       142","0","        11","0","","","","","  -27.8","0,0122, ","","","   249"," ,0,0228, ","  24.4"," ,0,0505, ","   34.4","0,0629, ","-0.6","0,0927","-3.9","0,1012","-6.1","0,1018","-7.8","0,1023","-10.6","0,1028","0.0","0,0613","-2.8","0,0507","-11.1","0,0506","-11.1","0,0506","-11.1","0,0506","    4176.8","8","    4176.8","0","    347.5"," ,0","     1722"," ,0","      7.56","0","     15.62","0","     -0.50","0","","","","","",""
"USC00053005","1918","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    155.8","","     155.8","0","        94","0","        50","0","         3","0","","","        19","0","        19","0","       166","0","        28","0","       138","0","        10","0","","","","","  -29.4","0,0111, ","","","   356"," ,0,0227, ","  71.6"," ,0,0709, ","   35.0","0,0801, ","-0.6","0,0916","-7.2","0,1027","-7.2","0,1027","-7.2","0,1027","-9.4","0,1121","-0.6","0,0511","-3.3","0,0430","-6.7","0,0421","-6.7","0,0421","-9.4","0,0316","    3497.8","8","    3497.8","0","    552.4"," ,0","     1413"," ,0","      8.05","0","     15.92","0","      0.17","0","","","","","",""
"USC00053005","1919","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    237.6","","     237.6","0","        78","0","        31","0","         0","0","","","        16","0","        16","0","       178","0","        22","0","       136","0","        27","0","","","","","  -37.2","0,1209, ","","","   140"," ,0,1126, ","  24.6"," ,0,0325, ","   35.0","0,0726,+","-0.6","0,1005","-6.1","0,1010","-6.1","0,1010","-8.9","0,1028","-8.9","0,1028","-1.1","0,0603","-5.6","0,0417","-5.6","0,0417","-7.2","0,0316","-10.0","0,0310","    3709.9","9","    3709.9","0","    277.2"," ,0","      934"," ,0","      8.02","0","     15.98","0","      0.07","0","","","","","",""
"USC00053005","1920","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    130.8","","     130.8","0","        82","0","        29","0","         2","0","","","        16","0","        12","0","       183","0","        30","0","       128","0","         3","0","","","","","  -24.4","0,1227, ","","","   279"," ,0,0411, ","  29.5"," ,0,0417, ","   33.3","0,0703, ","-3.3","0,0926","-3.3","0,0926","-8.9","0,1024","-8.9","0,1024","-8.9","0,1024","0.0","0,0501","-2.2","0,0427","-6.7","0,0423","-6.7","0,0423","-12.8","0,0412","    3893.9","9","    3893.9","0","    292.0"," ,0","     1412"," ,0","      7.75","0","     15.36","0","      0.14","0","","","","","",""
"USC00053005","1921","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    183.1","","     183.1","0","        60","0","        35","0","         2","0","","","        12","0","         9","0","       172","0","        21","0","       157","0","         9","0","","","","","  -24.4","0,0112, ","","","   114"," ,0,1223, ","  37.1"," ,0,0604, ","   34.4","0,0628, ","-1.7","0,0921","-3.3","0,0930","-5.6","0,1102","-8.3","0,1110","-12.8","0,1118","-1.1","0,0502","-2.8","0,0429","-8.3","0,0417","-8.3","0,0417","-10.6","0,0331","    3660.4","4","    3660.4","0","    370.5"," ,0","      850"," ,0","      9.22","0","     17.24","0","      1.19","0","","","","","",""
"USC00053005","1922","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    244.6","","     244.6","0","        69","0","        32","0","         0","0","","","        13","0","        16","0","       184","0","        28","0","       154","0","        19","0","","","","","  -32.8","0,0119, ","","","   127"," ,0,0227, ","  21.3"," ,0,0426, ","   37.2","0,0715, ","-2.2","0,1007","-2.2","0,1007","-5.6","0,1018","-6.7","0,1023","-9.4","0,1030","-0.6","0,0601","-2.2","0,0516","-9.4","0,0418","-9.4","0,0418","-9.4","0,0418","    3643.7","7","    3643.7","0","    254.2"," ,0","      880"," ,0","      8.32","0","     16.72","0","     -0.09","0","","","","","",""
"USC00053005","1923","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    142.2","","     142.2","0","       101","0","        46","0","         7","0","","","        16","0","        12","0","       183","0","        30","0","       124","0","         3","0","","","","","  -29.4","0,1231, ","","","   229"," ,0,0314,+","  58.4"," ,0,0609, ","   32.8","0,0730,+","-0.6","0,0929","-3.9","0,1013","-5.0","0,1014","-6.7","0,1020","-9.4","0,1027","-2.2","0,0516","-2.2","0,0516","-4.4","0,0421","-7.8","0,0328","-10.0","0,0327","    3826.6","6","    3826.6","0","    700.9"," ,0","     1748"," ,0","      7.65","0","     15.09","0","      0.21","0","","","","","",""
"USC00053005","1924","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    168.5","","     168.5","0","        71","0","        34","0","         1","0","","","        20","0","        25","0","       183","0","        40","0","       132","0","        20","0","","","","","  -34.4","0,1224, ","","","   114"," ,0,0425, ","  35.1"," ,0,0527, ","   36.1","0,0802, ","-0.6","0,0919","-2.2","0,1005","-6.1","0,1031","-10.0","0,1107","-10.0","0,1107","-2.2","0,0515","-2.2","0,0515","-4.4","0,0507","-10.6","0,0426","-10.6","0,0426","    4015.7","7","    4015.7","0","    270.4"," ,0","     1162"," ,0","      7.40","0","     15.63","0","     -0.84","0","","","","","",""
"USC00053005","1925","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    220.9","","     220.9","0","        82","0","        42","0","         2","0","","","        16","0","        12","0","       165","0","        23","0","       148","0","        13","0","","","","","  -26.1","0,1215, ","","","   241"," ,0,1213, ","  43.2"," ,0,0913, ","   38.9","0,0715, ","0.0","0,1009","-2.2","0,1015","-4.4","0,1017","-6.7","0,1019","-8.9","0,1027","0.0","0,0505","-2.2","0,0501","-5.6","0,0429","-6.7","0,0327","-12.2","0,0318","    3453.1","1","    3453.1","0","    369.2"," ,0","     1109"," ,0","      8.87","0","     16.64","0","      1.11","0","","","","","",""
"USC00053005","1926","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    138.3","","     138.3","0","        96","0","        36","0","         2","0","","","        12","0","        12","0","       168","0","        27","0","       152","0","         9","0","","","","","  -27.8","0,1215, ","","","   178"," ,0,1029, ","  29.7"," ,0,0421, ","   35.0","0,0801, ","-1.7","0,0924","-6.7","0,0925","-6.7","0,0925","-6.7","0,0925","-13.3","0,1030","-0.6","0,0425","-2.2","0,0424","-7.8","0,0403","-7.8","0,0403","-14.4","0,0331","    3761.9","9","    3761.9","0","    345.2"," ,0","      734"," ,0","      8.46","0","     16.10","0","      0.83","0","","","","","",""
"USC00053005","1927","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    114.2","","     114.2","0","        95","0","        52","0","         1","0","","","        11","0","        10","0","       173","0","        19","0","       141","0","         4","0","","","","","  -26.7","0,1231, ","","","   165"," ,0,0414, ","  29.2"," ,0,0411, ","   33.9","0,0623, ","0.0","0,0925","-2.2","0,0926","-5.6","0,1106","-8.9","0,1115","-8.9","0,1115","0.0","0,0530","-4.4","0,0422","-4.4","0,0422","-8.3","0,0421","-18.3","0,0321","    3468.4","4","    3468.4","0","    397.8"," ,0","      858"," ,0","      8.29","0","     15.94","0","      0.64","0","","","","","",""
"USC00053005","1928","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    112.7","","     112.7","0","        82","0","        36","0","         1","0","","","        11","0","         7","0","       177","0","        26","0","       129","0","         7","0","","","","","  -26.7","0,0101, ","","","   279"," ,0,0315, ","  33.5"," ,0,0603, ","   35.0","0,0819, ","0.0","0,0921","-3.3","0,1017","-5.6","0,1022","-8.3","0,1102","-10.6","0,1103","-0.6","0,0504","-10.0","0,0422","-10.0","0,0422","-10.0","0,0422","-10.0","0,0422","    3667.6","6","    3667.6","0","    343.9"," ,0","     1155"," ,0","      7.84","0","     15.47","0","      0.21","0","","","","","",""
"USC00053005","1929","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","","","","","        82","0","        40","0","         2","0","","","        21","0","        23","0","       171","0","        39","0","       130","0","        15","0","","","","","  -30.0","0,0208, ","","","   152"," ,0,0324, ","  31.8"," ,0,0803,+","   36.7","0,0716, ","-2.2","0,0909","-2.2","0,0909","-9.4","0,1024","-9.4","0,1024","-9.4","0,1024","-0.6","0,0506","-4.4","0,0502","-4.4","0,0502","-7.8","0,0411","-11.7","0,0325","    3909.2","2","    3909.2","0","    348.5"," ,0","     1156"," ,0","      7.26","0","     14.79","0","     -0.26","0","","","","","",""
"USC00053005","1930","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    198.4","","     198.4","0","        87","0","        36","0","         2","0","","","         9","0","        24","0","       184","0","        37","0","       139","0","        14","0","","","","","  -38.9","0,0117, ","","","   102"," ,0,1118, ","  39.6"," ,0,0517, ","   36.1","0,0702, ","-3.3","0,0926","-3.3","0,0926","-7.2","0,1017","-7.2","0,1017","-11.7","0,1122","-1.7","0,0523","-2.2","0,0506","-4.4","0,0403","-7.2","0,0330","-10.0","0,0329","","","","","    385.2"," ,0","      566"," ,0","      7.95","0","     15.91","0","     -0.01","0","","","","","",""
"USC00053005","1931","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    283.9","","     283.9","0","        64","0","        32","0","         1","0","","","        15","0","         3","0","       163","0","        17","0","       151","0","        17","0","","","","","  -19.4","0,1213, ","","","    97"," ,0,0425, ","  31.5"," ,0,0605, ","   36.1","0,0725,+","0.0","0,1013","-2.2","0,1016","-4.4","0,1027","-7.8","0,1030","-15.0","0,1121","-1.7","0,0522","-2.2","0,0520","-4.4","0,0426","-8.9","0,0421","-8.9","0,0421","    3619.5","5","    3619.5","0","    251.7"," ,0","      775"," ,0","      9.24","0","     17.30","0","      1.17","0","","","","","",""
"USC00053005","1932","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    238.4","","     238.4","0","        73","0","        27","0","         2","0","","","        12","0","        28","0","       174","0","        39","0","       153","0","        15","0","","","","","  -34.4","0,1212, ","","","   241"," ,0,0307, ","  48.0"," ,0,0816, ","   34.4","0,0809,+","-4.4","0,1005","-4.4","0,1005","-4.4","0,1005","-8.9","0,1020","-8.9","0,1020","-1.1","0,0501","-2.8","0,0427","-4.4","0,0426","-7.8","0,0407","-8.9","0,0330","    3594.6","6","    3594.6","0","    325.0"," ,0","      885"," ,0","      8.08","0","     16.17","0","     -0.01","0","","","","","",""
"USC00053005","1933","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    270.9","","     270.9","0","        55","0","        32","0","         2","0","","","        10","0","         8","0","       166","0","        12","0","       155","0","        14","0","","","","","  -35.0","0,0210, ","","","   152"," ,0,0510, ","  49.0"," ,0,0802, ","   35.6","0,0728, ","0.0","0,1012","-2.2","0,1016","-7.2","0,1102","-7.2","0,1102","-9.4","0,1104","0.0","0,0515","-4.4","0,0415","-4.4","0,0415","-9.4","0,0414","-9.4","0,0414","    3797.3","3","    3797.3","0","    396.4"," ,0","      650"," ,0","      9.77","0","     17.89","0","      1.65","0","","","","","",""
"USC00053005","1935","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    229.8","","     229.8","0","        77","0","        38","0","         2","0","","","         8","0","         5","0","       169","0","        10","0","       133","0","        15","0","","","","","  -31.7","0,0121, ","","","   178"," ,0,0224, ","  44.7"," ,0,0518, ","   34.4","0,0728,+","0.0","0,0927","-2.8","0,1018","-5.6","0,1023","-7.2","0,1031","-9.4","0,1102","-2.2","0,0505","-2.2","0,0505","-7.2","0,0407","-7.2","0,0407","-9.4","0,0328","    3246.5","5","    3246.5","0","    405.6"," ,0","      589"," ,0","      8.95","0","     16.83","0","      1.07","0","","","","","",""
