"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00042580","1966","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","        49","0","        34","0","         5","0","        0","","         0","0","         0","0","        14","0","         0","0","       165","0","         8","0","   -3.9","0,0124, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  48.8"," ,0,0105, ","   38.3","0,0615, ","","","-0.6","0,1228","0.0","0,0408","-3.9","0,0124","    1761.0","0","    1761.0","0","      8.85","0","     22.22","0","    472.7"," ,0","        0"," ,0","     13.83","0","     20.44","0","      7.23","0","",""
"USC00042580","1967","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","        57","0","        42","0","         6","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  80.0"," ,0,0121, ","","","","","","","","","","","","","","","","","","","    660.7"," ,0","        0"," ,0","","","","","","","",""
"USC00042580","1968","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","    541.7"," ,0","        0"," ,0","","","","","","","",""
"USC00042580","1969","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","    617.6"," ,0","        0"," ,0","","","","","","","",""
"USC00042580","1970","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","        74","0","        52","0","         8","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  70.1"," ,0,0121, ","","","","","","","","","","","","","","","","","","","    766.6"," ,0","        0"," ,0","","","","","","","",""
"USC00042580","1971","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","        68","0","        31","0","         2","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  30.5"," ,0,1226, ","","","","","","","","","","","","","","","","","","","    326.1"," ,0","        0"," ,0","","","","","","","",""
"USC00042580","1972","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","        78","0","        42","0","         2","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  69.9"," ,0,1114, ","","","","","","","","","","","","","","","","","","","    485.6"," ,0","        0"," ,0","","","","","","","",""
"USC00042580","1973","38.2","-122.3","6.1","DUTTONS LANDING, CA US","    138.1","","     138.1","0","        87","0","        63","0","         9","0","        0","","         0","0","         0","0","         9","0","         0","0","       150","0","        14","0","   -3.3","0,0106, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  67.1"," ,0,1106, ","   37.8","0,0609, ","    1631.1","0","","","0.0","0,0127","-2.2","0,0107","","","","","      9.28","0","     22.52","0","    863.9"," ,0","        0"," ,0","     13.90","0","     19.53","0","      8.26","0","     42383","0"
"USC00042580","1974","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","        60","0","        32","0","         1","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  31.2"," ,0,0104, ","","","","","","","","","","","","","","","","","","","    422.3"," ,0","        0"," ,0","","","","","","","",""
"USC00042580","1975","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","        58","0","        33","0","         4","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  31.0"," ,0,0322, ","","","","","","","","","","","","","","","","","","","    420.0"," ,0","        0"," ,0","","","","","","","",""
"USC00042580","1976","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","        39","0","        21","0","         0","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  20.8"," ,0,0302, ","","","","","","","","","","","","","","","","","","","    193.2"," ,0","        0"," ,0","","","","","","","",""
