"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TUM00017234","2001","37.85","27.85","56.0","AYDIN, TU","","","","","","","","","","","         0","S","       228","S","       113","S","","","","","   43.3","S,0810, ","","","","","","","","","","","","","     25.67","S","",""
"TUM00017234","2005","37.85","27.85","56.0","AYDIN, TU","        82","S","        43","S","         8","S","","","","","","","","","","","","","  53.1"," ,S,1126, ","","","","","","","","","","","","","    684.9"," ,S","","","",""
"TUM00017234","2006","37.85","27.85","56.0","AYDIN, TU","        66","S","        41","S","         3","S","","","","","         0","S","       216","S","       106","S","","","  37.8"," ,S,1031, ","   42.0","S,0821, ","","","","","","","","","","","    502.7"," ,S","     24.59","S","",""
"TUM00017234","2007","37.85","27.85","56.0","AYDIN, TU","        73","S","        40","S","         7","S","","","","","         0","S","       221","S","       119","S","","","  60.5"," ,S,1023, ","   44.5","S,0724, ","","","","","","","","","","","    635.4"," ,S","     25.86","S","",""
"TUM00017234","2008","37.85","27.85","56.0","AYDIN, TU","        66","S","        40","S","         0","S","","","","","         0","S","       225","S","       110","S","","","  24.9"," ,S,1219, ","   42.5","S,0720, ","","","","","","","","","","","    411.2"," ,S","     25.71","S","",""
"TUM00017234","2009","37.85","27.85","56.0","AYDIN, TU","       100","S","        67","S","        10","S","","","","","         0","S","       211","S","       102","S","","","  93.7"," ,S,0104, ","   42.6","S,0725, ","","","","","","","","","","","    967.4"," ,S","     24.95","S","",""
"TUM00017234","2010","37.85","27.85","56.0","AYDIN, TU","        98","S","        57","S","         5","S","","","","","         0","S","       245","S","       104","S","","","  46.2"," ,S,1020, ","   42.9","S,0813, ","","","","","","","","","","","    684.4"," ,S","     25.62","S","",""
"TUM00017234","2011","37.85","27.85","56.0","AYDIN, TU","        81","S","        50","S","         5","S","","","","","         0","S","       200","S","        94","S","","","  40.1"," ,S,1208, ","   40.1","S,0720, ","","","","","","","","","","","    587.4"," ,S","     23.95","S","",""
"TUM00017234","2012","37.85","27.85","56.0","AYDIN, TU","        93","S","        58","S","         9","S","","","","","         0","S","       228","S","       111","S","","","  45.2"," ,S,1210, ","   42.2","S,0716, ","","","","","","","","","","","    844.6"," ,S","     25.13","S","",""
"TUM00017234","2019","37.85","27.85","56.0","AYDIN, TU","        94","S","        58","S","         2","S","","","","","         0","S","       237","S","       118","S","","","  48.0"," ,S,1224, ","   41.7","S,0812, ","","","","","","","","","","","    661.1"," ,S","     26.21","S","",""
"TUM00017234","2020","37.85","27.85","56.0","AYDIN, TU","        74","S","        42","S","         3","S","","","","","         0","S","       237","S","       125","S","","","  41.7"," ,S,1213, ","   42.8","S,0801, ","","","","","","","","","","","    533.7"," ,S","     26.71","S","",""
"TUM00017234","2021","37.85","27.85","56.0","AYDIN, TU","","","","","","","","","","","         0","S","       241","S","       119","S","","","","","   45.1","S,0803, ","","","","","","","","","","","","","     26.54","S","",""
"TUM00017234","2023","37.85","27.85","56.0","AYDIN, TU","","","","","","","","","","","         0","S","       245","S","       112","S","","","","","   44.2","S,0726, ","","","","","","","","","","","","","     26.76","S","",""
"TUM00017234","2024","37.85","27.85","56.0","AYDIN, TU","        56","S","        38","S","         4","S","","","","","","","","","","","","","  83.1"," ,S,0117, ","","","","","","","","","","","","","    509.4"," ,S","","","",""
