"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013824","1960","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","","","","","","","","","","","","","","","","","","","","","","","","","       156"," ","        47"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1229.2","2","    1229.2","X","","","","","","","","","","","","","",""
"USW00013824","1962","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","","","","","","","","","","","","","","","","","","","","","","","","","        71"," ","        27"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013824","1963","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","   1230.3","","    1230.3","X","       107","X","        72","X","        19","X","        0","","         0","X","         0","X","        36","X","         0","X","       251","X","        51","X","       139"," ","        71"," ","   -7.2","X,0124, ","     0"," ,X,1231,+","     0","T,X,0204, "," 107.2"," ,X,0625, ","   37.2","X,0614, ","0.0","X,1103","-2.8","X,1204","-6.1","X,1219","","","-1.1","X,0228","-2.8","X,0223","-6.7","X,0125","-6.7","X,0125","","","","","","","   1391.2"," ,X","        0","T,X","     18.35","X","     23.61","X","     13.08","X","       315","X","      24.7","X"
"USW00013824","1964","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","   1174.6","","    1174.6","X","       111","X","        77","X","        24","X","        0","","         0","X","         0","X","        22","X","         0","X","       241","X","        31","X","       178"," ","        62"," ","   -7.8","X,0115, ","     0"," ,X,1231,+","     0","T,X,0113, "," 149.1"," ,X,0829, ","   37.2","X,0616, ","-2.8","X,1201","-2.8","X,1201","","","","","-2.2","X,0331","-2.2","X,0331","-7.8","X,0115","-7.8","X,0115","","","    1248.4","4","    1248.4","X","   1914.7"," ,X","        0","T,X","     18.61","X","     23.64","X","     13.58","X","","","",""
"USW00013824","1965","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","   1194.9","","    1194.9","X","       121","X","        78","X","        19","X","        0","","         0","X","         0","X","        21","X","         0","X","       246","X","        29","X","       163"," ","        82"," ","   -5.0","X,0119, ","     0"," ,X,1231,+","     0","T,X,0401,+","  64.3"," ,X,0707, ","   35.0","X,0826, ","-0.6","X,1130","-2.8","X,1202","-4.4","X,1208","","","0.0","X,0227","-2.2","X,0226","-5.0","X,0119","","","","","     972.5","5","     972.5","X","   1322.5"," ,X","        0","T,X","     18.80","X","     23.92","X","     13.67","X","","","",""
"USW00013824","1966","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","   1100.1","","    1100.1","X","       116","X","        83","X","        13","X","        0","","         0","X","         0","X","        26","X","         0","X","       239","X","        31","X","       158"," ","        54"," ","  -11.1","X,0130, ","     0"," ,X,1231,+","     3"," ,X,0127, "," 116.6"," ,X,0716, ","   35.6","X,0712, ","-3.9","X,1104","-3.9","X,1104","-5.0","X,1225","","","-2.2","X,0307","-2.2","X,0307","-6.1","X,0206","-7.2","X,0131","-11.1","X,0130","    1130.6","6","    1130.6","X","   1254.5"," ,X","        3"," ,X","     18.05","X","     23.20","X","     12.89","X","","","",""
"USW00013824","1967","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","","","","","","","","","","","","","","","","","","","","","","","","","        80"," ","        10"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013824","1968","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","","","","","","","","","","","","","","","","","","","","","","","","","       185"," ","        44"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013824","1969","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","   1237.4","","    1237.4","X","       125","X","        73","X","        19","X","        0","","         0","X","         0","X","        33","X","         0","X","       231","X","        38","X","       228"," ","        62"," ","   -4.4","X,0102, ","     0"," ,X,1231,+","     0","T,X,0214, ","  89.7"," ,X,0515, ","   36.1","X,0707, ","-3.3","X,1115","-3.3","X,1115","","","","","-1.1","X,0312","-3.9","X,0115","-4.4","X,0102","","","","","","","","","   1448.7"," ,X","        0","T,X","     18.21","X","     23.17","X","     13.25","X","        70","X","      20.6","X"
"USW00013824","1970","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","   1152.7","","    1152.7","X","       105","X","        76","X","        18","X","        0","","         0","X","         0","X","        36","X","         1","X","       246","X","        34","X","       236"," ","        59"," ","  -12.8","X,0109, ","     0"," ,X,1231,+","     0","T,X,0711,+"," 120.7"," ,X,0808, ","   35.0","X,0901, ","-1.7","X,1117","-5.6","X,1124","-5.6","X,1124","-7.8","X,1125","0.0","X,0315","-4.4","X,0227","-4.4","X,0227","-8.3","X,0204","-10.6","X,0110","    1410.0","0","    1410.0","X","   1444.8"," ,X","        0","T,X","     17.98","X","     23.24","X","     12.71","X","       260","X","      25.7","X"
