"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00043384","1958","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","        76","0","        68","0","        22","0","","","         6","0","","","","","","","","","","","","","","","","","","","   178"," ,0,0401, "," 110.5"," ,0,0403, ","","","","","","","","","","","","","","","   1566.8"," ,0","      610"," ,0","","","","","",""
"USC00043384","1959","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","        45","0","        37","0","        11","0","","","         3","0","","","","","","","","","","","","","","","","","","","   381"," ,0,0211, ","  70.4"," ,0,0426, ","","","","","","","","","","","","","","","    864.1"," ,0","      622"," ,0","","","","","",""
"USC00043384","1960","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","        74","0","        60","0","        19","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 169.2"," ,0,0208, ","","","","","","","","","","","","","","","   1405.7"," ,0","        0"," ,0","","","","","",""
"USC00043384","1961","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","        69","0","        54","0","         9","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  68.8"," ,0,1130, ","","","","","","","","","","","","","","","    850.1"," ,0","        0"," ,0","","","","","",""
"USC00043384","1963","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","        77","0","        62","0","        18","0","        1","","         0","0","","","","","","","","","","","","","         1"," ","","","   102"," ,0,0401, ","     0","T,0,0323, "," 174.0"," ,0,0201, ","","","","","","","","","","","","","","","   1522.5"," ,0","        0","T,0","","","","","",""
"USC00043384","1964","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","        78","0","        61","0","        23","0","","","","","","","","","","","","","","","","","         4"," ","","","","","",""," 200.9"," ,0,1223, ","","","","","","","","","","","","","","","   1672.8"," ,0","","","","","","","",""
"USC00043384","1965","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","        68","0","        46","0","        17","0","       13","","         9","0","","","","","","","","","","","","","         2"," ","","","   406"," ,0,0410, ","   406"," ,0,0410, ","  80.5"," ,0,1118, ","","","","","","","","","","","","","","","   1188.8"," ,0","     1023"," ,0","","","","","",""
"USC00043384","1966","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","        59","0","        46","0","        14","0","        8","","         3","0","","","","","","","","","","","","","         2"," ","","","   279"," ,0,0104,+","   178"," ,0,0130, ","  66.0"," ,0,1120, ","","","","","","","","","","","","","","","    906.9"," ,0","      254"," ,0","","","","","",""
"USC00043384","1967","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","        80","0","        65","0","        22","0","","","","","","","","","","","","","","","","","         3"," ","","","","","",""," 114.3"," ,0,0122, ","","","","","","","","","","","","","","","   1520.1"," ,0","","","","","","","",""
"USC00043384","1968","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","        68","0","        53","0","        15","0","","","","","","","","","","","","","","","","","         1"," ","","","","","","","  70.1"," ,0,1226, ","","","","","","","","","","","","","","","   1203.5"," ,0","","","","","","","",""
"USC00043384","1969","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","        11"," ","","","","","","","","","","","","","","","","","","","","","","","   1891.2"," ,0","","","","","","","",""
"USC00043384","1970","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","   1852.5"," ,0","","","","","","","",""
"USC00043384","1971","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","   1060.9"," ,0","","","","","","","",""
"USC00043384","1972","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","        61","0","        47","0","         6","0","","","         6","0","","","","","","","","","","","","","         4"," ","","","","","   394"," ,0,0127, ","  57.7"," ,0,0225, ","","","","","","","","","","","","","","","    867.7"," ,0","      940"," ,0","","","","","",""
"USC00043384","1973","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","         3"," ","","","","","","","","","","","","","","","","","","","","","","","   1805.7"," ,0","","","","","","","",""
"USC00043384","1974","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","   1564.0"," ,0","","","","","","","",""
"USC00043384","1975","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","         6"," ","","","","","","","","","","","","","","","","","","","","","","","   1351.2"," ,0","","","","","","","",""
"USC00043384","1976","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","         5"," ","","","","","","","","","","","","","","","","","","","","","","","    393.5"," ,0","","","","","","","",""
"USC00043384","1977","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","        53","0","        33","0","         8","0","","","         6","0","","","","","","","","","","","","","         2"," ","","","","","   147"," ,0,0314, "," 106.2"," ,0,1215, ","","","","","","","","","","","","","","","    928.5"," ,0","      452"," ,0","","","","","",""
"USC00043384","1978","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","   1479.5"," ,0","        0"," ,0","","","","","",""
"USC00043384","1979","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1443.0"," ,0","","","","","","","",""
"USC00043384","1981","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","    610.7","","     610.7","0","        78","0","        69","0","        27","0","        0","","         0","0","         0","0","        48","0","         0","0","       165","0","        66","0","","","","","   -4.4","0,1222,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 157.2"," ,0,1220, ","   40.6","0,0809, ","-2.2","0,1012","-2.2","0,1012","-4.4","0,1128","0.0","0,0420","-2.2","0,0330","-4.4","0,0131","   1896.1"," ,0","        0"," ,0","     14.01","0","     21.11","0","      6.90","0"
"USC00043384","1983","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   2542.8"," ,0","","","","","","","",""
"USC00043384","1984","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","         0","0","","","","","","","","","","","","","         3"," ","","","","","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","   1068.5"," ,0","        0"," ,0","","","","","",""
"USC00043384","1986","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","   1592.7"," ,0","","","","","","","",""
"USC00043384","1987","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    998.1"," ,0","","","","","","","",""
"USC00043384","1989","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00043384","1991","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1097.8"," ,0","","","","","","","",""
"USC00043384","1992","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","",""
"USC00043384","1993","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","   1419.4"," ,0","        0"," ,0","","","","","",""
"USC00043384","1994","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","      104"," ,0","","","","","",""
"USC00043384","1997","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","",""
"USC00043384","1998","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","         0","0","","","","","","","","","","","","","","","","","","","    13"," ,0,1221, ","","","","","","","","","","","","","","","","","   1970.6"," ,0","       13"," ,0","","","","","",""
"USC00043384","1999","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","         1","0","","","","","","","","","","","","","","","","","","","    33"," ,0,0408, ","","","","","","","","","","","","","","","","","","","       53"," ,0","","","","","",""
"USC00043384","2000","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","",""
"USC00043384","2001","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","        63","0","        51","0","        17","0","","","         0","0","","","","","","","","","","","","","         1"," ","","","","","     0"," ,0,1231,+","  88.6"," ,0,0213, ","","","","","","","","","","","","","","","   1129.3"," ,0","        0"," ,0","","","","","",""
"USC00043384","2002","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00043384","2003","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00043384","2004","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","         2"," ","","","","","     0","T,0,1115,+","     0","T,0,1115,+","","","","","","","","","","","","","","","","","   1050.1"," ,0","        0","T,0","","","","","",""
"USC00043384","2005","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","   1401.4"," ,0","","","","","","","",""
"USC00043384","2006","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","",""
"USC00043384","2007","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","    809.5"," ,0","        0"," ,0","","","","","",""
"USC00043384","2009","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00043384","2010","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","","","","","","","","","         1","0","","","","","","","","","","","","","","","","","","","   107"," ,0,0331, ","","","","","","","","","","","","","","","","","","","      326"," ,0","","","","","",""
"USC00043384","2017","38.933","-120.8008","914.7","GEORGETOWN RANGER STATION, CA US","","","","","        82","7","        67","7","        27","7","","","","","","","","","","","","","","","","","","","","","","","",""," 112.3"," ,7,1116, ","","","","","","","","","","","","","","","   2149.3"," ,7","","","","","","","",""
