"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00014755","1958","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       252","0","       172","0","        24","0","      183","","        85","0","        58","0","       255","0","       179","0","         0","0","         0","0","       328"," ","","","        18"," ","  -31.1","0,0210,+","   762"," ,0,0415,+","   452"," ,0,0115, ","  86.4"," ,0,0115, ","   19.4","0,0831, ","-0.6","0,0818","-2.8","0,0911","-4.4","0,0912","-9.4","0,1002","-9.4","0,1002","0.0","0,0717","-3.9","0,0618","-4.4","0,0616","-6.7","0,0606","-12.2","0,0510","    7644.4","4","    7644.4","0","   2475.2"," ,0","","","     9105"," ,0","     -3.40","0","      0.21","0","     -7.00","0","","","","","       293","X","","","     102.3","X"
"USW00014755","1959","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       215","0","       135","0","        18","0","      181","","        59","0","        69","0","       235","0","       175","0","         0","0","         0","0","       302"," ","","","        12"," ","  -38.9","0,0106, ","   406"," ,0,0104,+","   411"," ,0,0312, "," 169.2"," ,0,1024, ","   20.6","0,0730,+","0.0","0,0801","-3.3","0,0802","-5.0","0,0913","-7.8","0,0914","-9.4","0,0916","-0.6","0,0619","-2.2","0,0616","-4.4","0,0615","-7.2","0,0518","-8.9","0,0517","    8031.6","6","    8031.6","0","   1856.4"," ,0","","","     5335"," ,0","     -2.60","0","      1.33","0","     -6.54","0","","","","","","","","","",""
"USW00014755","1960","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       191","0","       133","0","        16","0","      157","","        61","0","        65","0","       227","0","       162","0","         0","0","         0","0","       324"," ","","","        11"," ","  -36.7","0,0109, ","   406"," ,0,0108, ","   533"," ,0,0219, "," 120.1"," ,0,0912, ","   19.4","0,0909, ","0.0","0,0809","-7.2","0,1001","-7.2","0,1001","-7.2","0,1001","-8.9","0,1009","0.0","0,0705","-2.8","0,0609","-5.6","0,0608","-9.4","0,0502","-9.4","0,0502","    7307.1","1","    7307.1","0","   2062.7"," ,0","","","     6543"," ,0","     -2.69","0","      0.93","0","     -6.32","0","","","","","","","","","",""
"USW00014755","1961","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       173","0","       125","0","        13","0","      187","","        57","0","        62","0","       238","0","       164","0","         0","0","         0","0","       321"," ","","","        16"," ","  -36.7","0,0201,+","   406"," ,0,0421,+","   396"," ,0,1121, ","  59.7"," ,0,1121, ","   18.9","0,0724, ","-0.6","0,0813","-5.0","0,0916","-5.0","0,0916","-10.0","0,1005","-10.0","0,1005","-0.6","0,0705","-3.3","0,0616","-11.1","0,0531","-11.1","0,0531","-11.1","0,0531","    7924.9","9","    7924.9","0","   1527.0"," ,0","","","     5711"," ,0","     -2.49","0","      1.21","0","     -6.20","0","","","","","","","","","",""
"USW00014755","1962","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       184","0","       131","0","        28","0","      194","","        52","0","        62","0","       250","0","       176","0","         0","0","         0","0","       311"," ","","","        17"," ","  -40.6","0,1230, ","   356"," ,0,0313,+","   330"," ,0,0312, "," 121.9"," ,0,1006, ","   17.8","0,0519, ","0.0","0,0819","-5.0","0,0906","-5.0","0,0906","-7.8","0,0920","-8.9","0,0921","-1.1","0,0706","-2.8","0,0705","-5.0","0,0527","-7.2","0,0512","-10.0","0,0510","    7400.4","4","    7400.4","0","   2287.1"," ,0","","","     5318"," ,0","     -3.38","0","      0.42","0","     -7.17","0","","","","","","","","","",""
"USW00014755","1963","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       185","0","       147","0","        19","0","      174","","        62","0","        72","0","       244","0","       168","0","         1","0","         0","0","       324"," ","","","        18"," ","  -37.2","0,0204, ","   483"," ,0,0320,+","   292"," ,0,1203, ","  93.5"," ,0,1107, ","   21.1","0,0702, ","-0.6","0,0815","-6.1","0,0913","-6.1","0,0913","-6.7","0,0922","-8.9","0,0923","0.0","0,0709","-6.7","0,0610","-6.7","0,0610","-6.7","0,0610","-10.0","0,0512","    8028.0","0","    8028.0","0","   2183.2"," ,0","","","     6107"," ,0","     -3.59","0","      0.25","0","     -7.42","0","","","","","","","","","",""
"USW00014755","1964","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       213","0","       156","0","        15","0","      155","","        66","0","        66","0","       260","0","       168","0","         0","0","         0","0","       290"," ","","","        19"," ","  -30.6","0,0112,+","   254"," ,0,1209,+","   305"," ,0,0216, ","  54.6"," ,0,0823, ","   19.4","0,0718, ","-1.1","0,0806","-2.2","0,0809","-4.4","0,0912","-7.2","0,0928","-8.9","X,1005","-1.7","0,0731","-5.0","0,0617","-5.0","0,0617","-7.2","0,0616","-10.0","0,0521","    7847.1","1","    7847.1","0","   1946.7"," ,0","","","     5916"," ,0","     -2.96","0","      1.02","0","     -6.95","0","","","","","","","","","",""
"USW00014755","1965","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       201","0","       149","0","        11","0","      197","","        71","0","        88","0","       255","0","       189","0","         0","0","         0","0","       292"," ","       289"," ","        21"," ","  -38.9","0,0114, ","   432"," ,0,1229,+","   320"," ,0,1028, ","  81.8"," ,0,0924, ","   20.0","0,0816, ","-1.7","0,0828","-5.6","0,0829","-5.6","0,0829","-6.7","0,0830","-10.6","0,0927","-0.6","0,0720","-2.2","0,0706","-4.4","0,0530","-7.8","0,0514","-14.4","0,0425","    8046.8","8","    8046.8","0","   1813.1"," ,0","      30.7","X","     5446"," ,0","     -4.01","0","     -0.15","0","     -7.87","0","    85884","X","","","","","","","",""
"USW00014755","1966","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       208","0","       144","0","        16","0","      177","","        65","0","        56","0","       242","0","       161","0","         0","0","         0","0","       311"," ","       306"," ","        15"," ","  -37.8","0,0221, ","   381"," ,0,0409, ","   561"," ,0,0225, ","  65.5"," ,0,0225, ","   18.3","0,0703, ","-0.6","0,0904","-4.4","0,0915","-4.4","0,0915","-7.8","0,0916","-8.9","0,1006","-0.6","0,0727","-3.9","0,0611","-5.0","0,0531","-7.2","0,0513","-10.0","0,0512","    7933.4","4","    7933.4","0","   1928.6"," ,0","      33.1","X","     6705"," ,0","     -2.88","0","      0.90","0","     -6.66","0","    89892","X","","","","","","","",""
"USW00014755","1967","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       222","0","       159","0","        16","0","      191","","        81","0","        76","0","       245","0","       190","0","         0","0","         0","0","       316"," ","       315"," ","         9"," ","  -40.6","0,0212, ","   178"," ,0,0513,+","   434"," ,0,0223, ","  73.2"," ,0,0526, ","   16.7","0,0722,+","-0.6","0,0823","-3.3","0,0831","-5.0","0,0902","-7.2","0,0925","-9.4","0,1006","-1.1","0,0601","-6.7","0,0531","-6.7","0,0531","-6.7","0,0531","-8.9","0,0525","    7854.7","7","    7854.7","0","   2083.1"," ,0","      31.6","X","     7183"," ,0","     -3.53","0","      0.26","0","     -7.32","0","    86412","X","","","","","","","",""
"USW00014755","1968","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       212","0","       147","0","        24","0","      129","","        66","0","        74","0","       246","0","       169","0","         0","0","         0","0","       330"," ","       327"," ","        18"," ","  -43.3","0,0108, ","   508"," ,0,1229, ","   953"," ,0,1215, "," 153.7"," ,0,1215, ","   19.4","0,0718, ","0.0","0,0810","-2.8","0,0811","-4.4","0,0929","-8.9","0,1005","-8.9","0,1005","-1.1","0,0730","-2.2","0,0628","-5.0","0,0621","-6.7","0,0526","-13.9","0,0507","    7831.1","1","    7831.1","0","   2366.8"," ,0","      31.6","X","     8325"," ,0","     -3.35","0","      0.42","0","     -7.11","0","    86268","X","","","","","","","",""
"USW00014755","1969","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       208","0","       147","0","        30","0","      183","","        77","0","        56","0","       242","0","       172","0","         0","0","         0","0","       320"," ","       317"," ","        16"," ","  -32.2","0,0101, ","   813"," ,0,0404,+","  1252"," ,0,0225, "," 148.3"," ,0,0729, ","   20.0","0,0613, ","-3.3","0,0820","-3.3","0,0820","-4.4","0,0919","-7.2","0,1014","-11.1","0,1015","-2.2","0,0708","-2.2","0,0708","-8.9","0,0527","-8.9","0,0527","-8.9","0,0527","    7769.3","3","    7769.3","0","   2904.4"," ,0","      32.4","X","    12582"," ,0","     -2.58","0","      0.96","0","     -6.12","0","    88704","X","","","","","","","",""
"USW00014755","1970","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       208","0","       155","0","        31","0","      177","","        83","0","        76","0","       235","0","       165","0","         0","0","         0","0","       324"," ","       313"," ","        19"," ","  -36.1","0,0121, ","  1067"," ,0,0316, ","   556"," ,0,0321, "," 149.9"," ,0,0210, ","   19.4","0,0728,+","0.0","0,0818","-4.4","0,0901","-4.4","0,0901","-11.1","0,1016","-11.1","0,1016","-0.6","0,0628","-2.2","0,0627","-5.6","0,0528","-8.3","0,0508","-12.8","0,0507","    7779.2","2","    7779.2","0","   2872.4"," ,0","      35.2","X","     9782"," ,0","     -2.85","0","      1.10","0","     -6.80","0","    96414","X","","","","","","","",""
"USW00014755","1971","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       206","0","       156","0","        31","0","      196","","        81","0","        71","0","       226","0","       169","0","         0","0","         0","0","       325"," ","       320"," ","        16"," ","  -37.8","0,0128,+","   838"," ,0,0309,+","   587"," ,0,0407, ","  99.1"," ,0,1125, ","   18.9","0,0819, ","-3.3","0,0823","-3.3","0,0823","-5.0","0,0924","-6.7","0,1007","-9.4","0,1013","-1.7","0,0703","-2.2","0,0610","-7.8","0,0605","-7.8","0,0605","-8.9","0,0523","    7757.6","6","    7757.6","0","   2547.3"," ,0","","","     9992"," ,0","     -2.92","0","      0.90","0","     -6.73","0","","","","","","","","","",""
"USW00014755","1972","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       232","0","       183","0","        33","0","      204","","        99","0","        75","0","       248","0","       183","0","         0","0","         0","0","       332"," ","       329"," ","        15"," ","  -37.8","0,0223,+","   711"," ,0,1201, ","   518"," ,0,1128, "," 100.3"," ,0,0213, ","   18.9","0,0718,+","-1.1","0,0804","-2.2","0,0909","-4.4","0,0910","-7.2","0,0923","-12.2","0,1009","0.0","0,0706","-4.4","0,0612","-4.4","0,0612","-7.2","0,0611","-10.6","0,0510","    7713.0","0","    7713.0","0","   3089.8"," ,0","      31.1","X","    11419"," ,0","     -3.44","0","      0.48","0","     -7.36","0","    85182","X","","","","","","","",""
"USW00014755","1973","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       207","0","       157","0","        36","0","      198","","        80","0","        57","0","       252","0","       156","0","         0","0","         0","0","       325"," ","       320"," ","        21"," ","  -37.2","0,0131, ","   559"," ,0,0406,+","   594"," ,0,0319, "," 136.7"," ,0,0630, ","   19.4","0,0708, ","0.0","0,0823","-2.2","0,0908","-4.4","0,0910","-6.7","0,0920","-9.4","0,0921","-0.6","0,0712","-2.8","0,0617","-5.0","0,0603","-6.7","0,0602","-14.4","0,0414","    7588.9","9","    7588.9","0","   3083.8"," ,0","      31.5","X","     9193"," ,0","     -1.90","0","      1.58","0","     -5.37","0","    84150","X","","","","","","","",""
"USW00014755","1974","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       227","0","       189","0","        34","0","      193","","        98","0","        66","0","       246","0","       186","0","         0","0","         0","0","       325"," ","       324"," ","        23"," ","  -32.8","0,0113, ","   381"," ,0,0223, ","   592"," ,0,0424, ","  77.0"," ,0,0424, ","   17.8","0,0813,+","-1.7","0,0914","-2.2","0,0916","-4.4","0,0922","-9.4","0,0923","-9.4","0,0923","-2.2","0,0613","-2.2","0,0613","-4.4","0,0528","-10.0","0,0520","-10.0","0,0520","    7690.2","2","    7690.2","0","   3074.9"," ,0","      29.2","X","    10083"," ,0","     -3.40","0","      0.35","0","     -7.16","0","    78996","X","","","","","","","",""
"USW00014755","1975","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.6","","       0.6","0","       230","0","       175","0","        30","0","      172","","        80","0","        57","0","       236","0","       163","0","         2","0","         0","0","       337"," ","       332"," ","        20"," ","  -35.6","0,1219, ","   813"," ,0,0411,+","   488"," ,0,0405, ","  96.0"," ,0,0320, ","   22.2","0,0802, ","-1.1","0,0819","-2.2","0,0909","-5.0","0,0910","-9.4","0,1002","-9.4","0,1002","-2.8","0,0610","-2.8","0,0610","-5.0","0,0609","-6.7","0,0505","-11.1","0,0429","    7804.3","3","    7804.3","0","   2885.7"," ,0","      31.1","X","     9956"," ,0","     -2.66","0","      1.04","0","     -6.36","0","    84822","X","","","","","","","",""
"USW00014755","1976","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       243","0","       183","0","        35","0","      206","","        99","0","        95","0","       250","0","       183","0","         0","0","         0","0","       341"," ","       339"," ","        21"," ","  -42.2","0,0122, ","   559"," ,0,1208, ","   450"," ,0,1207, "," 101.6"," ,0,0810, ","   20.0","0,0822, ","0.0","0,0802","-5.0","0,0830","-5.0","0,0830","-6.7","0,0831","-10.0","0,1010","-1.7","0,0725","-2.8","0,0613","-5.0","0,0612","-6.7","0,0523","-8.9","0,0509","    7544.9","9","    7544.9","0","   3083.6"," ,0","      29.2","X","    10422"," ,0","     -3.85","0","      0.14","0","     -7.85","0","    82242","X","","","","","","","",""
"USW00014755","1977","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       230","0","       183","0","        34","0","      186","","        85","0","        67","0","       250","0","       158","0","         0","0","         0","0","       341"," ","       340"," ","        11"," ","  -34.4","0,1212,+","   635"," ,0,0227,+","   602"," ,0,0324, "," 118.4"," ,0,0225, ","   20.6","0,0720, ","-1.1","0,0819","-2.2","0,0911","-5.0","0,0925","-7.2","0,1007","-9.4","0,1022","-0.6","0,0727","-2.2","0,0609","-5.6","0,0529","-7.2","0,0515","-10.6","0,0514","    8234.9","9","    8234.9","0","   2974.2"," ,0","      28.9","X","    11349"," ,0","     -3.24","0","      0.32","0","     -6.80","0","    78186","X","","","","","","","",""
"USW00014755","1978","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       213","0","       145","0","        27","0","      178","","        70","0","        88","0","       254","0","       181","0","         0","0","         0","0","       323"," ","       318"," ","        12"," ","  -34.4","0,0110, ","   762"," ,0,0420, ","   594"," ,0,0120, ","  94.0"," ,0,0322, ","   19.4","0,0708, ","0.0","0,0824","-3.9","0,0907","-6.1","0,0909","-8.3","0,0925","-10.6","0,1008","-0.6","0,0711","-2.2","0,0701","-5.6","0,0615","-6.7","0,0610","-10.0","0,0504","    8070.1","1","    8070.1","0","   2347.1"," ,0","      36.8","X","     7998"," ,0","     -4.01","0","     -0.32","0","     -7.70","0","   100398","X","","","","","","","",""
"USW00014755","1979","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       212","0","       140","0","        16","0","      172","","        61","0","        57","0","       233","0","       155","0","         0","0","         0","0","       339"," ","       332"," ","        13"," ","  -38.9","0,0214, ","   381"," ,0,0201, ","   340"," ,0,0121, ","  72.4"," ,0,0906, ","   18.3","0,0714, ","-2.2","0,0809","-2.2","0,0809","-4.4","0,0911","-9.4","0,0919","-9.4","0,0919","-1.7","0,0706","-2.8","0,0705","-4.4","0,0613","-7.2","0,0507","-11.1","0,0506","    7706.7","7","    7706.7","0","   1812.4"," ,0","      32.1","X","     4561"," ,0","     -2.29","0","      1.28","0","     -5.85","0","    87078","X","","","       135","X","","","      77.6","X"
"USW00014755","1980","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       213","0","       148","0","        11","0","      201","","        65","0","        75","0","       258","0","       183","0","         0","0","         0","0","       332"," ","       327"," ","        20"," ","  -38.3","0,1225, ","   279"," ,0,1203, ","   325"," ,0,1118, "," 100.8"," ,0,1128, ","   17.2","0,0805,+","0.0","0,0907","-6.1","0,0912","-6.1","0,0912","-6.7","0,0926","-10.0","0,0927","0.0","0,0713","-2.2","0,0628","-4.4","0,0612","-6.7","0,0611","-10.6","0,0609","    7742.6","6","    7742.6","0","   1886.0"," ,0","      32.0","X","     5280"," ,0","     -3.87","0","     -0.14","0","     -7.60","0","    87660","X","","","       315","X","","","      79.7","X"
