"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00040798","1955","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        39","0","        27","0","         4","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  61.0"," ,0,0430, ","","","","","","","","","","","    509.9"," ,0","        0"," ,0","","","","","",""
"USC00040798","1957","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        49","0","        42","0","         7","0","        0","","         2","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","    76"," ,0,0127, ","  86.4"," ,0,0113, ","","","","","","","","","","","    710.3"," ,0","      140"," ,0","","","","","",""
"USC00040798","1959","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        23","0","        12","0","         3","0","","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+"," 115.6"," ,0,0211, ","","","","","","","","","","","    386.8"," ,0","        0"," ,0","","","","","",""
"USC00040798","1960","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        38","0","        25","0","         5","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  44.7"," ,0,1106, ","","","","","","","","","","","    385.7"," ,0","        0"," ,0","","","","","",""
"USC00040798","1961","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        21","0","        12","0","         4","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  70.4"," ,0,1202, ","","","","","","","","","","","    271.4"," ,0","        0"," ,0","","","","","",""
"USC00040798","1962","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        37","0","        26","0","         9","0","        3","","         0","0","","","","","","","","","","","","","","","   102"," ,0,0121, ","     0"," ,0,1231,+"," 145.0"," ,0,0211, ","","","","","","","","","","","    598.5"," ,0","        0"," ,0","","","","","",""
"USC00040798","1963","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        37","0","        24","0","         5","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 110.5"," ,0,0210, ","","","","","","","","","","","    514.7"," ,0","        0"," ,0","","","","","",""
"USC00040798","1964","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        40","0","        26","0","         5","0","        0","","         0","0","","","","","","","","","","","","","","","     0","T,0,1117, ","     0","T,0,1117, ","  60.7"," ,0,0121, ","","","","","","","","","","","    436.6"," ,0","        0","T,0","","","","","",""
"USC00040798","1965","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        48","0","        34","0","        12","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0","T,0,1222,+"," 208.0"," ,0,1229, ","","","","","","","","","","","   1242.9"," ,0","        0","T,0","","","","","",""
"USC00040798","1966","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        25","0","        17","0","         5","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 147.3"," ,0,1206, ","","","","","","","","","","","    560.7"," ,0","        0"," ,0","","","","","",""
"USC00040798","1967","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        47","0","        33","0","        12","0","        1","","         0","0","","","","","","","","","","","","","","","    25"," ,0,1219, ","    13"," ,0,1219, "," 116.3"," ,0,1119, ","","","","","","","","","","","    973.3"," ,0","       13"," ,0","","","","","",""
"USC00040798","1968","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        30","0","        20","0","         3","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  62.7"," ,0,0308, ","","","","","","","","","","","    268.5"," ,0","        0"," ,0","","","","","",""
"USC00040798","1969","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        44","0","        30","0","        14","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 292.6"," ,0,0125, ","","","","","","","","","","","   1531.9"," ,0","        0"," ,0","","","","","",""
"USC00040798","1970","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        40","0","        23","0","         9","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 216.4"," ,0,1129, ","","","","","","","","","","","    779.8"," ,0","        0"," ,0","","","","","",""
"USC00040798","1971","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        33","0","        22","0","         6","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  90.2"," ,0,1224, ","","","","","","","","","","","    383.8"," ,0","        0"," ,0","","","","","",""
"USC00040798","1972","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        27","0","        17","0","         2","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  28.4"," ,0,1117, ","","","","","","","","","","","    204.2"," ,0","        0"," ,0","","","","","",""
"USC00040798","1973","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        42","0","        27","0","         9","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 200.9"," ,0,0211, ","","","","","","","","","","","    763.4"," ,0","        0"," ,0","","","","","",""
"USC00040798","1974","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        34","0","        26","0","         7","0","","","","","","","","","","","","","","","","","","","","","","","  89.2"," ,0,0308, ","","","","","","","","","","","    634.3"," ,0","","","","","","","",""
"USC00040798","1975","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        44","0","        25","0","         3","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  96.3"," ,0,0306, ","","","","","","","","","","","    380.9"," ,0","        0"," ,0","","","","","",""
"USC00040798","1976","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        35","0","        24","0","         6","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  81.0"," ,0,0911, ","","","","","","","","","","","    554.9"," ,0","        0"," ,0","","","","","",""
"USC00040798","1977","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        29","0","        22","0","        12","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 106.7"," ,0,0508, ","","","","","","","","","","","    585.4"," ,0","        0"," ,0","","","","","",""
"USC00040798","1978","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        65","0","        49","0","        19","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 210.1"," ,0,0210, ","","","","","","","","","","","   1491.0"," ,0","        0"," ,0","","","","","",""
"USC00040798","1981","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        33","0","        24","0","         8","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  65.5"," ,0,1128, ","","","","","","","","","","","    499.8"," ,0","        0"," ,0","","","","","",""
"USC00040798","1982","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        51","0","        40","0","        11","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","    23"," ,0,0211, ","  92.2"," ,0,1223, ","","","","","","","","","","","    952.0"," ,0","       23"," ,0","","","","","",""
"USC00040798","1983","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        76","0","        58","0","        20","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 223.8"," ,0,0302, ","","","","","","","","","","","   1492.9"," ,0","        0"," ,0","","","","","",""
"USC00040798","1984","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        30","0","        24","0","         4","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  56.9"," ,0,1220, ","","","","","","","","","","","    397.9"," ,0","        0"," ,0","","","","","",""
"USC00040798","1985","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        38","0","        21","0","         3","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  77.5"," ,0,1111, ","","","","","","","","","","","    343.4"," ,0","        0"," ,0","","","","","",""
"USC00040798","1986","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        34","0","        27","0","         7","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  84.6"," ,0,0130, ","","","","","","","","","","","    609.0"," ,0","        0"," ,0","","","","","",""
"USC00040798","1988","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","","","","","","","","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","","","","","","","","","","","","","","","        0"," ,0","","","","","",""
"USC00040798","1989","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        26","0","        17","0","         2","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  40.6"," ,0,0204, ","","","","","","","","","","","    240.1"," ,0","        0"," ,0","","","","","",""
"USC00040798","1990","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        28","0","        18","0","         4","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  55.9"," ,0,0217, ","","","","","","","","","","","    339.4"," ,0","        0"," ,0","","","","","",""
"USC00040798","1991","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        33","0","        24","0","        10","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 142.2"," ,0,0301, ","","","","","","","","","","","    779.4"," ,0","        0"," ,0","","","","","",""
"USC00040798","1992","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        49","0","        39","0","        15","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 222.3"," ,0,0211, ","","","","","","","","","","","   1204.0"," ,0","        0"," ,0","","","","","",""
"USC00040798","1993","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        42","0","        33","0","        15","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 132.3"," ,0,0219, ","","","","","","","","","","","   1226.2"," ,0","        0"," ,0","","","","","",""
"USC00040798","1994","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        39","0","        30","0","         5","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  59.4"," ,0,0208, ","","","","","","","","","","","    455.6"," ,0","        0"," ,0","","","","","",""
"USC00040798","1995","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        39","0","        37","0","        14","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 157.5"," ,0,0110, ","","","","","","","","","","","   1009.5"," ,0","        0"," ,0","","","","","",""
"USC00040798","1996","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        33","0","        32","0","        12","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 127.0"," ,0,0220, ","","","","","","","","","","","    858.0"," ,0","        0"," ,0","","","","","",""
"USC00040798","1997","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        36","0","        22","0","         6","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  36.6"," ,0,1205,+","","","","","","","","","","","    388.4"," ,0","        0"," ,0","","","","","",""
"USC00040798","1999","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","        0"," ,0","","","","","",""
"USC00040798","2006","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","        0"," ,0","","","","","",""
"USC00040798","2008","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        30","0","        21","0","         8","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  94.5"," ,0,0104, ","","","","","","","","","","","    585.0"," ,0","        0"," ,0","","","","","",""
"USC00040798","2009","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        18","0","        17","0","         5","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  62.5"," ,0,1212, ","","","","","","","","","","","    409.1"," ,0","        0"," ,0","","","","","",""
"USC00040798","2013","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        24","7","        16","7","         1","7","","","","","","","","","","","","","","","","","","","","","","","  27.7"," ,7,0124, ","","","","","","","","","","","    189.2"," ,7","","","","","","","",""
"USC00040798","2014","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        23","7","        15","7","         5","7","","","","","","","","","","","","","","","","","","","","","","","  99.1"," ,7,0301, ","","","","","","","","","","","    383.7"," ,7","","","","","","","",""
"USC00040798","2015","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        36","7","        21","7","         4","7","","","","","","","","","","","","","","","","","","","","","","","  47.5"," ,7,0720, ","","","","","","","","","","","    294.3"," ,7","","","","","","","",""
"USC00040798","2016","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        42","7","        27","7","         6","7","","","","","","","","","","","","","","","","","","","","","","","  82.0"," ,7,0107, ","","","","","","","","","","","    561.9"," ,7","","","","","","","",""
"USC00040798","2018","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        28","7","        19","7","         6","7","","","","","","","","","","","","","","","","","","","","","","","  73.7"," ,7,0109, ","","","","","","","","","","","    481.0"," ,7","","","","","","","",""
"USC00040798","2019","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        64","7","        47","7","        11","7","","","","","","","","","","","","","","","","","","","","","",""," 101.1"," ,7,0203, ","","","","","","","","","","","    929.2"," ,7","","","","","","","",""
"USC00040798","2020","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        29","7","        22","7","         4","7","","","","","","","","","","","","","","","","","","","","","","","  82.3"," ,7,0406, ","","","","","","","","","","","    398.4"," ,7","","","","","","","",""
"USC00040798","2021","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        35","7","        23","7","         8","7","","","","","","","","","","","","","","","","","","","","","","","  91.4"," ,7,1224, ","","","","","","","","","","","    598.4"," ,7","","","","","","","",""
"USC00040798","2022","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        33","7","        17","7","         4","7","","","","","","","","","","","","","","","","","","","","","","","  85.3"," ,7,1211, ","","","","","","","","","","","    329.6"," ,7","","","","","","","",""
"USC00040798","2023","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        56","7","        37","7","        13","7","","","","","","","","","","","","","","","","","","","","","",""," 122.7"," ,7,0821, ","","","","","","","","","","","   1388.8"," ,7","","","","","","","",""
"USC00040798","2024","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","   1181.9","","    1181.9","7","        37","7","        26","7","        10","7","","","","","         0","7","         3","7","         0","7","       244","7","       104","7","","","   -2.2","7,0108, ","","","",""," 119.1"," ,7,0205, ","   45.6","7,0706, ","-1.1","7,0207","-2.2","7,0108","    1093.5","5","    1093.5","7","    667.2"," ,7","","","     18.59","7","     25.77","7","     11.40","7"
