"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00412364","1933","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        63","6","        22","6","         0","6","","","","","","","","","","","","","","","","","  19.8"," ,6,0613, ","","","","","","","","","","","","","","","","","    176.9"," ,6","","","","","","","",""
"USC00412364","1934","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        51","6","        20","6","         5","6","","","","","","","","","","","","","","","","","  44.2"," ,6,1017, ","","","","","","","","","","","","","","","","","    333.0"," ,6","","","","","","","",""
"USC00412364","1935","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        84","6","        41","6","         7","6","","","","","","","","","","","","","","","",""," 225.6"," ,6,0614, ","","","","","","","","","","","","","","","","","    905.3"," ,6","","","","","","","",""
"USC00412364","1936","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        70","6","        38","6","         4","6","","","","","","","","","","","","","","","","","  79.5"," ,6,0629, ","","","","","","","","","","","","","","","","","    466.7"," ,6","","","","","","","",""
"USC00412364","1937","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        62","6","        25","6","         2","6","","","","","","","","","","","","","","","","","  43.4"," ,6,1103, ","","","","","","","","","","","","","","","","","    271.3"," ,6","","","","","","","",""
"USC00412364","1938","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        53","6","        23","6","         1","6","","","","","","","","","","","","","","","","","  36.8"," ,6,0723, ","","","","","","","","","","","","","","","","","    226.2"," ,6","","","","","","","",""
"USC00412364","1939","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        64","6","        36","6","         1","6","","","","","","","","","","","","","","","","","  55.1"," ,6,0805, ","","","","","","","","","","","","","","","","","    410.5"," ,6","","","","","","","",""
"USC00412364","1940","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        64","6","        34","6","         9","6","","","","","","","","","","","","","","","","","  47.2"," ,6,0609, ","","","","","","","","","","","","","","","","","    566.4"," ,6","","","","","","","",""
"USC00412364","1941","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        80","6","        38","6","         6","6","","","","","","","","","","","","","","","",""," 136.9"," ,6,1024, ","","","","","","","","","","","","","","","","","    618.5"," ,6","","","","","","","",""
"USC00412364","1942","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        54","6","        19","6","         4","6","","","","","","","","","","","","","","","",""," 100.6"," ,6,0519, ","","","","","","","","","","","","","","","","","    429.6"," ,6","","","","","","","",""
"USC00412364","1946","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","   1820.7","","    1820.7","6","","","","","","","         0","6","        17","6","         0","6","       293","6","       116","6","","","","","   -3.9","6,1231,+","","","   41.1","6,0731,+","   23324.9","6","-0.6","6,1220","-2.8","6,1230","0.0","6,0215","-3.9","6,0210","","","","","","","     21.20","6","     27.60","6","     14.80","6","     42881","6"
"USC00412364","1947","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        63","6","        30","6","         5","6","","","","","","","","","","","         2"," ","         8"," ","","","  56.6"," ,6,0812, ","","","","","","","","","","","","","    1015.8","8","    1015.8","6","    481.2"," ,6","","","","","","","",""
"USC00412364","1948","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","","","","","","","","","","","","","","","","","        38"," ","        19"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00412364","1949","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","","","","","","","","","","","","","","","","","         4"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
