"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TH000048550","1979","9.467","100.05","7.0","KO SAMUI, TH","       137","S","        81","S","        14","S","","","","","         0","I","       365","I","         0","I","",""," 230.1"," ,S,1119, ","   29.6","I,0410, ","","","","","   1500.5"," ,S","     25.60","I","",""
"TH000048550","1980","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","I","       366","I","         0","I","","","","","   29.1","I,0415,+","","","","","","","     25.51","I","",""
"TH000048550","1984","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","S","       342","S","       105","S","","","","","   35.2","S,0503, ","","","","","","","     31.01","S","",""
"TH000048550","1988","9.467","100.05","7.0","KO SAMUI, TH","       154","S","       107","S","        23","S","","","","","","","","","","","",""," 464.1"," ,S,1124, ","","","","","","","   2701.6"," ,S","","","",""
"TH000048550","1989","9.467","100.05","7.0","KO SAMUI, TH","       142","S","        83","S","        17","S","","","","","         0","S","       341","S","       100","S","",""," 121.9"," ,S,1022, ","   35.6","S,0506, ","","","","","   1459.6"," ,S","     30.94","S","",""
"TH000048550","1990","9.467","100.05","7.0","KO SAMUI, TH","       128","S","        81","S","        16","S","","","","","         0","S","       344","S","       131","S","",""," 134.1"," ,S,1111, ","   39.5","S,0923, ","","","","","   1732.4"," ,S","     31.47","S","",""
"TH000048550","1991","9.467","100.05","7.0","KO SAMUI, TH","       140","S","        92","S","        12","S","","","","","         0","S","       351","S","        99","S","","","  90.9"," ,S,1231, ","   35.2","S,0324, ","","","","","   1383.0"," ,S","     31.09","S","",""
"TH000048550","1992","9.467","100.05","7.0","KO SAMUI, TH","       129","S","        91","S","        22","S","","","","","","","","","","","",""," 163.1"," ,S,1116, ","","","","","","","   2248.2"," ,S","","","",""
"TH000048550","1993","9.467","100.05","7.0","KO SAMUI, TH","       115","S","        76","S","        19","S","","","","","         0","S","       350","S","        89","S","",""," 197.1"," ,S,1130, ","   34.8","S,0816,+","","","","","   1676.0"," ,S","     30.59","S","",""
"TH000048550","1994","9.467","100.05","7.0","KO SAMUI, TH","       140","S","        93","S","        14","S","","","","","         0","S","       347","S","        79","S","",""," 156.0"," ,S,1022, ","   35.3","S,0503, ","","","","","   1709.7"," ,S","     30.61","S","",""
"TH000048550","1995","9.467","100.05","7.0","KO SAMUI, TH","       120","S","        84","S","        20","S","","","","","         0","S","       350","S","        74","S","",""," 165.1"," ,S,1117, ","   38.9","S,0228, ","","","","","   1715.8"," ,S","     30.49","S","",""
"TH000048550","1996","9.467","100.05","7.0","KO SAMUI, TH","       146","S","        99","S","        27","S","","","","","","","","","","","",""," 102.1"," ,S,1120, ","","","","","","","   2026.1"," ,S","","","",""
"TH000048550","1997","9.467","100.05","7.0","KO SAMUI, TH","       138","S","        99","S","        15","S","","","","","         0","S","       345","S","        87","S","","","  94.0"," ,S,0821, ","   37.0","S,0310, ","","","","","   1560.5"," ,S","     30.97","S","",""
"TH000048550","1998","9.467","100.05","7.0","KO SAMUI, TH","       175","S","       110","S","        26","S","","","","","","","","","","","",""," 210.1"," ,S,1022, ","","","","","","","   2443.5"," ,S","","","",""
"TH000048550","1999","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","S","       330","S","        98","S","","","","","   35.0","S,0501, ","","","","","","","     30.89","S","",""
"TH000048550","2001","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","S","       341","S","       101","S","","","","","   35.0","S,0420, ","","","","","","","     30.96","S","",""
"TH000048550","2003","9.467","100.05","7.0","KO SAMUI, TH","       167","S","       111","S","        20","S","","","","","         0","S","       348","S","       107","S","",""," 129.5"," ,S,1113, ","   36.0","S,0612, ","","","","","   1943.8"," ,S","     31.01","S","",""
"TH000048550","2004","9.467","100.05","7.0","KO SAMUI, TH","       148","S","        97","S","        15","S","","","","","","","","","","","","","  93.2"," ,S,0913, ","","","","","","","   1552.0"," ,S","","","",""
"TH000048550","2006","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","S","       357","S","        99","S","","","","","   36.5","S,0114, ","","","","","","","     31.09","S","",""
"TH000048550","2007","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","S","       361","S","       107","S","","","","","   35.3","S,0611, ","","","","","","","     31.10","S","",""
"TH000048550","2008","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","S","       364","S","       116","S","","","","","   34.8","S,0521, ","","","","","","","     30.94","S","",""
"TH000048550","2009","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","S","       364","S","       121","S","","","","","   35.8","S,0813,+","","","","","","","     31.39","S","",""
"TH000048550","2010","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","S","       360","S","       140","S","","","","","   36.3","S,0531, ","","","","","","","     31.32","S","",""
"TH000048550","2011","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","S","       362","S","       112","S","","","","","   35.3","S,0808, ","","","","","","","     30.92","S","",""
"TH000048550","2012","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","S","       360","S","       139","S","","","","","   36.7","S,0501, ","","","","","","","     31.60","S","",""
"TH000048550","2014","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","         0","S","         0","S","","","","","","","   17.8","S,0203, ","","","","","","","","","","","","","     24.08","S"
"TH000048550","2015","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","         0","S","         0","S","","","","","","","   19.6","S,1102, ","","","","","","","","","","","","","     23.44","S"
"TH000048550","2016","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","","","","","","","","","","","","","       0.0","0","       0.0"," ","","","","","",""
"TH000048550","2020","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","S","       335","S","       105","S","","","","","   36.5","S,0527,+","","","","","","","     31.30","S","",""
