"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00048557","1908","37.95","-121.26667","6.1","STOCKTON 2, CA US","    442.1","","     442.1","6","        43","6","        26","6","         1","6","","","         0","6","        14","6","         0","6","       198","6","        41","6","","","","","   -3.3","6,1218, ","","","  49.8"," ,6,0114, ","   39.4","6,0801, ","-1.1","6,1127","-3.3","6,1218","","","","","0.0","6,0306","","","","","","","    1547.9","9","    1547.9","6","    250.2"," ,6","","","     14.78","6","     21.38","6","      8.18","6"
"USC00048557","1909","37.95","-121.26667","6.1","STOCKTON 2, CA US","    440.3","","     440.3","6","","","","","","","","","         0","6","        14","6","         0","6","       186","6","        37","6","","","","","   -3.3","6,1204, ","","","","","   38.9","6,0623, ","-1.1","6,1115","-2.2","6,1116","","","","","-2.8","6,0312","-2.8","6,0312","","","","","    1656.9","9","    1656.9","6","","","","","     15.10","6","     21.33","6","      8.88","6"
"USC00048557","1910","37.95","-121.26667","6.1","STOCKTON 2, CA US","    433.0","","     433.0","6","","","","","","","","","         0","6","        21","6","         0","6","       186","6","        40","6","","","","","   -3.9","6,0105, ","","","","","   38.9","6,0530, ","0.0","6,1126","-3.3","6,1228","","","","","0.0","6,0206","-2.2","6,0203","","","","","    1701.5","5","    1701.5","6","","","","","     14.94","6","     21.41","6","      8.47","6"
"USC00048557","1911","37.95","-121.26667","6.1","STOCKTON 2, CA US","    313.5","","     313.5","6","        49","6","        35","6","         6","6","","","         0","6","        30","6","         0","6","       167","6","        30","6","","","","","   -3.9","6,1226, ","","","  43.7"," ,6,0112, ","   36.7","6,0725, ","-1.7","6,1112","-3.9","6,1226","","","","","-0.6","6,0216","","","","","","","    1672.1","1","    1672.1","6","    495.4"," ,6","","","     14.28","6","     20.95","6","      7.61","6"
"USC00048557","1912","37.95","-121.26667","6.1","STOCKTON 2, CA US","    414.4","","     414.4","6","","","","","","","","","         0","6","        24","6","         0","6","       163","6","        34","6","","","","","   -6.7","6,1227, ","","","","","   40.6","6,0603, ","0.0","6,1122","-2.8","6,1206","-5.0","6,1224","-6.7","6,1227","0.0","6,0228","-2.2","6,0106","","","","","    1649.6","6","    1649.6","6","","","","","     14.83","6","     21.55","6","      8.11","6"
"USC00048557","1913","37.95","-121.26667","6.1","STOCKTON 2, CA US","    614.8","","     614.8","6","","","","","","","","","         0","6","        27","6","         0","6","       208","6","        48","6","","","","","   -6.1","6,0106, ","","","","","   42.2","6,0711, ","-0.6","6,1123","","","","","","","0.0","6,0326","-2.2","6,0222","-5.6","6,0119","","","    1738.6","6","    1738.6","6","","","","","     15.58","6","     22.28","6","      8.87","6"
"USC00048557","1914","37.95","-121.26667","6.1","STOCKTON 2, CA US","","","","","        54","6","        31","6","         3","6","","","","","","","         0","6","       205","6","        35","6","","","","","","","","","  35.1"," ,6,0101, ","   38.9","6,0801, ","","","","","","","","","","","","","","","","","    1413.0","0","    1413.0","6","    412.8"," ,6","","","","","     22.09","6","",""
"USC00048557","1915","37.95","-121.26667","6.1","STOCKTON 2, CA US","    525.6","","     525.6","6","","","","","","","","","         0","6","         9","6","         0","6","       190","6","        46","6","","","","","   -4.4","6,1231, ","","","","","   37.8","6,0830,+","-1.1","6,1227","-4.4","6,1231","-4.4","6,1231","","","-0.6","6,0123","","","","","","","","","","","","","","","     15.79","6","     22.27","6","      9.31","6"
"USC00048557","1916","37.95","-121.26667","6.1","STOCKTON 2, CA US","    425.3","","     425.3","6","","","","","","","","","         0","6","        24","6","         0","6","       200","6","        39","6","","","","","   -3.9","6,1113, ","","","","","   38.9","6,0722, ","-3.9","6,1113","-3.9","6,1113","","","","","0.0","6,0131","-3.3","6,0101","","","","","    1398.6","6","    1398.6","6","","","","","     15.04","6","     21.61","6","      8.46","6"
"USC00048557","1917","37.95","-121.26667","6.1","STOCKTON 2, CA US","    611.2","","     611.2","6","","","","","","","","","         0","6","        26","6","         0","6","       194","6","        56","6","","","","","   -5.6","6,0118, ","","","","","   40.6","6,0720, ","-0.6","6,1206","","","","","","","0.0","6,0303","-2.8","6,0201","-5.6","6,0118","","","    1876.3","3","    1876.3","6","","","","","     15.51","6","     22.66","6","      8.35","6"
"USC00048557","1918","37.95","-121.26667","6.1","STOCKTON 2, CA US","    487.7","","     487.7","6","","","","","","","","","         0","6","        21","6","         0","6","       200","6","        42","6","","","","","   -3.3","6,1231, ","","","","","   39.4","6,0611, ","0.0","6,1126","-2.8","6,1224","","","","","-1.1","6,0131","","","","","","","    1442.8","8","    1442.8","6","","","","","     15.25","6","     21.92","6","      8.57","6"
"USC00048557","1919","37.95","-121.26667","6.1","STOCKTON 2, CA US","    412.6","","     412.6","6","","","","","","","","","         0","6","        21","6","         0","6","       188","6","        37","6","","","","","   -4.4","6,0101, ","","","","","   38.9","6,0814, ","-1.1","6,1209","-2.8","6,1213","","","","","-1.1","6,0203","-2.8","6,0108","-4.4","6,0101","","","    1663.2","2","    1663.2","6","","","","","     14.83","6","     21.56","6","      8.10","6"
"USC00048557","1920","37.95","-121.26667","6.1","STOCKTON 2, CA US","    499.4","","     499.4","6","","","","","","","","","         0","6","        11","6","         0","6","       174","6","        47","6","","","","","   -3.3","6,0109, ","","","","","   42.2","6,0620, ","","","","","","","","","0.0","6,0225","-2.2","6,0110","","","","","    1691.6","6","    1691.6","6","","","","","     15.18","6","     21.86","6","      8.51","6"
"USC00048557","1921","37.95","-121.26667","6.1","STOCKTON 2, CA US","    528.7","","     528.7","6","","","","","","","","","         0","6","        13","6","         0","6","       196","6","        50","6","","","","","   -3.3","6,0111, ","","","","","   41.7","6,0707, ","-1.1","6,1118","","","","","","","0.0","6,0122","-3.3","6,0111","","","","","    1607.4","4","    1607.4","6","","","","","     15.70","6","     22.44","6","      8.96","6"
"USC00048557","1922","37.95","-121.26667","6.1","STOCKTON 2, CA US","    590.6","","     590.6","6","","","","","","","","","         0","6","        25","6","         0","6","       188","6","        58","6","","","","","   -5.0","6,0121, ","","","","","   41.1","6,0715, ","","","","","","","","","-0.6","6,0214","-2.2","6,0124","-5.0","6,0121","","","    1639.0","0","    1639.0","6","","","","","     15.14","6","     21.65","6","      8.63","6"
"USC00048557","1923","37.95","-121.26667","6.1","STOCKTON 2, CA US","    473.0","","     473.0","6","","","","","","","","","         0","6","        24","6","         0","6","       218","6","        45","6","","","","","   -2.2","6,1211, ","","","","","   40.6","6,0727, ","-1.1","6,1209","-2.2","6,1211","","","","","-0.6","6,0304","","","","","","","    1586.7","7","    1586.7","6","","","","","     15.44","6","     22.19","6","      8.68","6"
"USC00048557","1924","37.95","-121.26667","6.1","STOCKTON 2, CA US","    508.6","","     508.6","6","","","","","","","","","         0","6","        25","6","         0","6","       205","6","        49","6","","","","","   -3.9","6,1219, ","","","","","   38.9","6,0620, ","-2.2","6,1218","-2.2","6,1218","","","","","-1.1","6,0124","-2.8","6,0122","","","","","    1397.3","3","    1397.3","6","","","","","     15.60","6","     22.54","6","      8.66","6"
"USC00048557","1925","37.95","-121.26667","6.1","STOCKTON 2, CA US","    433.7","","     433.7","6","","","","","","","","","         0","6","         7","6","         0","6","       198","6","        33","6","        10"," ","","","   -2.2","6,1215, ","","","","","   41.1","6,0624, ","-1.1","6,1213","-2.2","6,1215","","","","","-0.6","6,0117","","","","","","","    1469.5","5","    1469.5","6","","","","","     15.71","6","     22.11","6","      9.31","6"
"USC00048557","1926","37.95","-121.26667","6.1","STOCKTON 2, CA US","    665.9","","     665.9","6","","","","","","","","","         0","6","        26","6","         0","6","       256","6","        80","6","        12"," ","","","   -2.2","6,1230, ","","","","","   40.6","6,0605, ","0.0","6,1213","-2.2","6,1230","","","","","-0.6","6,0223","","","","","","","    1335.5","5","    1335.5","6","","","","","     16.71","6","     24.49","6","      8.94","6"
"USC00048557","1927","37.95","-121.26667","6.1","STOCKTON 2, CA US","    455.5","","     455.5","6","        58","6","        35","6","         2","6","","","         0","6","        16","6","         0","6","       210","6","        52","6","","","","","   -2.8","6,1219, ","","","  37.1"," ,6,1030, ","   39.4","6,0712, ","0.0","6,1124","-2.8","6,1219","","","","","-1.1","6,0210","","","","","","","    1380.0","0","    1380.0","6","    386.1"," ,6","","","     15.53","6","     22.94","6","      8.12","6"
"USC00048557","1928","37.95","-121.26667","6.1","STOCKTON 2, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1456.5","5","    1456.5","6","","","","","","","","","",""
"USC00048557","1930","37.95","-121.26667","6.1","STOCKTON 2, CA US","","","","","        44","6","        26","6","         1","6","","","","","","","","","","","","","","","","","","","","","  30.0"," ,6,0115, ","","","","","","","","","","","","","","","","","","","","","","","    291.9"," ,6","","","","","","","",""
"USC00048557","1931","37.95","-121.26667","6.1","STOCKTON 2, CA US","    773.0","","     773.0","6","","","","","","","","","         0","6","        17","6","         0","6","       233","6","        74","6","","","","","   -3.3","6,1123, ","","","","","   41.1","6,0725, ","-1.1","6,1122","-3.3","6,1123","","","","","0.0","6,0120","","","","","","","    1215.5","5","    1215.5","6","","","","","     17.09","6","     24.46","6","      9.72","6"
"USC00048557","1932","37.95","-121.26667","6.1","STOCKTON 2, CA US","    677.6","","     677.6","6","","","","","","","","","         0","6","        21","6","         0","6","       243","6","        70","6","","","","","   -7.8","6,1212, ","","","","","   39.4","6,0824,+","-2.2","6,1209","-2.2","6,1209","-7.2","6,1211","-7.2","6,1211","-0.6","6,0218","","","","","","","    1463.5","5","    1463.5","6","","","","","     16.22","6","     23.93","6","      8.51","6"
"USC00048557","1933","37.95","-121.26667","6.1","STOCKTON 2, CA US","    647.6","","     647.6","6","","","","","","","","","         0","6","        12","6","         0","6","       220","6","        66","6","","","","","   -1.1","6,0210,+","","","","","   41.1","6,0727, ","-0.6","6,1201","","","","","","","-1.1","6,0210","","","","","","","    1557.0","0","    1557.0","6","","","","","     15.85","6","     23.26","6","      8.43","6"
"USC00048557","1934","37.95","-121.26667","6.1","STOCKTON 2, CA US","    748.6","","     748.6","6","        39","6","        25","6","         1","6","","","         0","6","         4","6","         0","6","       245","6","        71","6","","","","","   -1.7","6,1206, ","","","  28.7"," ,6,1213, ","   39.4","6,0818,+","0.0","6,1203","","","","","","","","","","","","","","","    1145.0","0","    1145.0","6","    234.5"," ,6","","","     17.36","6","     24.43","6","     10.29","6"
"USC00048557","1935","37.95","-121.26667","6.1","STOCKTON 2, CA US","    677.5","","     677.5","6","        49","6","        28","6","         2","6","","","         0","6","        27","6","         0","6","       207","6","        64","6","","","","","   -3.3","6,1219,+","","","  33.5"," ,6,1228, ","   40.6","6,0717, ","-0.6","6,1031","-2.2","6,1105","","","","","-0.6","6,0225","","","","","","","    1359.3","3","    1359.3","6","    324.5"," ,6","","","     15.98","6","     23.44","6","      8.53","6"
"USC00048557","1936","37.95","-121.26667","6.1","STOCKTON 2, CA US","    778.1","","     778.1","6","        53","6","        40","6","         2","6","","","         0","6","        28","6","         0","6","       228","6","        85","6","","","","","   -3.9","6,1202, ","","","  30.7"," ,6,0221, ","   41.1","6,0719, ","-0.6","6,1130","-3.9","6,1202","","","","","-0.6","6,0210","-2.2","6,0205","","","","","    1442.5","5","    1442.5","6","    474.2"," ,6","","","     16.65","6","     24.14","6","      9.16","6"
"USC00048557","1937","37.95","-121.26667","6.1","STOCKTON 2, CA US","","","","","        61","6","        41","6","         4","6","","","         0","6","        26","6","         0","6","       212","6","        71","6","","","","","   -7.8","6,0121, ","","","  45.2"," ,6,0321, ","   40.0","6,0703,+","-0.6","6,1226","","","","","","","0.0","6,0211","-3.9","6,0124","-6.1","6,0123","-7.2","6,0122","    1694.7","7","    1694.7","6","    522.5"," ,6","","","     15.92","6","     22.65","6","      9.19","6"
"USC00048557","1938","37.95","-121.26667","6.1","STOCKTON 2, CA US","","","","","        60","6","        42","6","         2","6","","","","","","","         0","6","       196","6","        56","6","","","","","","","","","  29.2"," ,6,0301, ","   38.9","6,0721,+","","","","","","","","","","","","","","","","","","","","","    396.0"," ,6","","","","","     22.38","6","",""
"USC00048557","1939","37.95","-121.26667","6.1","STOCKTON 2, CA US","","","","","        40","6","        26","6","         1","6","","","","","","","","","","","","","","","","","","","","","  30.5"," ,6,0309, ","","","","","","","","","","","","","","","","","","","","","","","    243.0"," ,6","","","","","","","",""
"USC00048557","1940","37.95","-121.26667","6.1","STOCKTON 2, CA US","    696.2","","     696.2","6","        61","6","        46","6","         6","6","","","         0","6","         5","6","         0","6","       210","6","        51","6","","","","","   -5.0","6,1214, ","","","  39.9"," ,6,0227, ","   39.4","6,0707, ","0.0","6,1211","-4.4","6,1213","-4.4","6,1213","","","-1.1","6,0116","","","","","","","","","","","    605.9"," ,6","","","     17.06","6","     23.50","6","     10.63","6"
"USC00048557","1941","37.95","-121.26667","6.1","STOCKTON 2, CA US","    518.8","","     518.8","6","        76","6","        52","6","         0","6","","","         0","6","         8","6","         0","6","       218","6","        40","6","","","","","   -1.1","6,1126,+","","","  24.9"," ,6,0405, ","   37.8","6,0722,+","-1.1","6,1119","","","","","","","0.0","6,0102","","","","","","","    1187.1","1","    1187.1","6","    473.3"," ,6","","","     16.41","6","     22.91","6","      9.90","6"
"USC00048557","1943","37.95","-121.26667","6.1","STOCKTON 2, CA US","","","","","        46","6","        33","6","         4","6","","","         0","6","        18","6","","","","","","","","","","","   -4.4","6,0119, ","","","  30.5"," ,6,0123, ","","","-1.7","6,1215","","","","","","","-1.1","6,0210","-4.4","6,0119","-4.4","6,0119","","","","","","","    327.0"," ,6","","","","","","","      9.14","6"
"USC00048557","1944","37.95","-121.26667","6.1","STOCKTON 2, CA US","    544.3","","     544.3","6","        57","6","        39","6","         2","6","","","         0","6","         7","6","         0","6","       203","6","        42","6","","","","","   -1.1","6,1229, ","","","  44.5"," ,6,0203, ","   38.9","6,0908,+","-0.6","6,1212","","","","","","","-0.6","6,0315","","","","","","","    1417.9","9","    1417.9","6","    420.9"," ,6","","","     15.88","6","     22.46","6","      9.30","6"
"USC00048557","1945","37.95","-121.26667","6.1","STOCKTON 2, CA US","    623.6","","     623.6","6","        52","6","        35","6","         3","6","","","         0","6","         9","6","         0","6","       207","6","        60","6","","","","","   -2.2","6,1214,+","","","  46.5"," ,6,1008, ","   38.3","6,0726, ","0.0","6,1210","-2.2","6,1214","","","","","0.0","6,0128","-2.2","6,0121","","","","","    1428.7","7","    1428.7","6","    402.0"," ,6","","","     16.13","6","     22.66","6","      9.60","6"
"USC00048557","1946","37.95","-121.26667","6.1","STOCKTON 2, CA US","    520.2","","     520.2","6","        34","6","        25","6","         1","6","         0","6","         0","6","        17","6","         0","6","       203","6","        44","6","","","","","   -2.2","6,0112, ","     0"," ,6,1231,+","  43.7"," ,6,1120, ","   38.9","6,0802, ","0.0","6,1111","","","","","","","0.0","6,0213","-2.2","6,0112","","","","","    1442.5","5","    1442.5","6","    229.0"," ,6","        0"," ,6","     15.47","6","     22.33","6","      8.61","6"
"USC00048557","1947","37.95","-121.26667","6.1","STOCKTON 2, CA US","    745.3","","     745.3","6","        32","6","        19","6","         1","6","         0","6","         0","6","        18","6","         0","6","       208","6","        76","6","","","","","   -2.8","6,0104, ","     0"," ,6,1231,+","  26.4"," ,6,0310, ","   38.9","6,0905, ","0.0","6,1121","-2.2","6,1209","","","","","-0.6","6,0122","-2.8","6,0104","","","","","    1446.6","6","    1446.6","6","    190.5"," ,6","        0"," ,6","     16.50","6","     23.18","6","      9.81","6"
"USC00048557","1948","37.95","-121.26667","6.1","STOCKTON 2, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1560.2","2","    1560.2"," ","","","","","","","","","",""
