"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00368361","2012","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","    308.9","","     308.9","7","       169","7","       112","7","         8","7","       50","","        23","7","         2","7","       141","7","        28","7","       140","7","        10","7","       131"," ","        16"," ","  -21.7","7,0115, ","   381"," ,7,0103, ","   305"," ,7,1222, ","  56.4"," ,7,1030, ","   33.9","7,0708,+","0.0","7,1009","-2.2","7,1013","-4.4","7,1107","-7.2","7,1223","-9.4","7,1229","0.0","K,0518","-3.9","K,0430","-4.4","K,0429","-7.2","K,0306","-8.9","K,0305","    3111.4","4","      23.9","7,3,2","      24.4","7,5,2","    3111.4","7","      31.7","7,3,2","      27.2","7,5,2","       0.0","7,3,2","       0.0","7,5,2","       0.0","7,3,2","       0.0","7,5,2","      10.7","7,3,2","      10.8","7,5,2","      13.4","7,3,2","      13.1","7,5,2","   1256.6"," ,7","     2411"," ,7","     10.10","7","     15.57","7","      4.63","7","","","",""
"USC00368361","2013","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","    262.3","","     262.3","7","       198","7","       113","7","        10","7","      102","","        41","7","         1","7","       153","7","        56","7","       132","7","         1","7","       108"," ","        19"," ","  -20.6","7,1217, ","   356"," ,7,0124, ","   356"," ,7,0123, ","  50.3"," ,7,0922, ","   32.2","7,0911, ","0.0","7,1024","-3.9","7,1104","-6.1","7,1120","-7.2","7,1124","-10.0","7,1125","-0.6","7,0525","-4.4","7,0422","-4.4","7,0422","-7.2","7,0407","-10.6","7,0325","    3713.9","9","      26.1","7,3,2","      25.6","7,5,2","    3713.9","7","      28.9","7,3,2","      27.8","7,5,2","      -0.6","7,3,2","      -0.6","7,5,2","      -0.6","7,3,2","      -0.6","7,5,2","      10.3","7,3,2","      10.2","7,5,2","      11.9","7,3,2","      11.9","7,5,2","   1354.6"," ,7","     3776"," ,7","      8.42","7","     13.44","7","      3.40","7","","","",""
"USC00368361","2014","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","    202.8","","     202.8","7","       195","7","       113","7","         9","7","       91","","        32","7","        29","7","       148","7","        64","7","       119","7","         0","7","       100"," ","        24"," ","  -27.8","7,0212, ","   305"," ,7,0210,+","   218"," ,7,1114, ","  49.5"," ,7,0626, ","   30.6","7,0702,+","-1.7","7,1012","-3.9","7,1114","-6.1","7,1116","-11.7","7,1118","-11.7","7,1118","-0.6","7,0507","-4.4","7,0425","-4.4","7,0425","-7.8","7,0417","-15.6","7,0327","    4299.1","1","","","","","    4299.1","7","","","","","","","","","","","","","","","","","","","","","   1287.9"," ,7","     2709"," ,7","      7.14","7","     12.60","7","      1.68","7","","","",""
"USC00368361","2015","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","    246.2","","     246.2","7","       181","7","       104","7","         6","7","       91","","        30","7","        28","7","       137","7","        60","7","       137","7","         2","7","       114"," ","        25"," ","  -35.0","7,0221,+","   533"," ,7,0221,+","   305"," ,7,1219, ","  48.3"," ,7,0628, ","   32.2","7,0909,+","-2.8","7,1019","-2.8","7,1019","-4.4","7,1124","-6.7","7,1130","-11.1","7,1220","-0.6","7,0523","-2.8","7,0426","-9.4","7,0330","-9.4","7,0330","-9.4","7,0330","    4274.3","3","","","","","    4274.3","7","","","","","","","","","","","","","","","","","","","","","   1105.9"," ,7","     2540"," ,7","      8.10","7","     13.96","7","      2.24","7","","","",""
"USC00368361","2016","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","    312.0","","     312.0","7","       190","7","       114","7","         7","7","       72","","        33","7","         4","7","       140","7","        46","7","       141","7","         1","7","        88"," ","        30"," ","  -22.8","7,0219, ","   330"," ,7,1215, ","   203"," ,7,1210,+","  42.4"," ,7,0707, ","   32.2","7,0814, ","0.0","7,1011","-2.2","7,1027","-4.4","7,1124","-7.2","7,1211","-12.8","7,1215","0.0","7,0516","-3.3","7,0415","-5.0","7,0414","-8.9","7,0411","-8.9","7,0411","    3424.6","6","","","","","    3424.6","7","","","","","","","","","","","","","","","","","","","","","   1140.4"," ,7","     2873"," ,7","      9.43","7","     15.05","7","      3.82","7","","","",""
"USC00368361","2017","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","    214.4","","     214.4","7","       209","7","       103","7","         5","7","       65","","        40","7","         2","7","       120","7","        47","7","       138","7","         0","7","        64"," ","        27"," ","  -20.6","7,0107, ","   381"," ,7,0315, ","   249"," ,7,0315, ","  44.5"," ,7,1119, ","   31.7","7,0925, ","-0.6","7,1001","-2.8","7,1108","-10.0","7,1111","-10.0","7,1111","-10.0","7,1111","-0.6","7,0510","-2.2","7,0509","-9.4","7,0324","-9.4","7,0324","-9.4","7,0324","    3309.2","2","","","","","    3309.2","7","","","","","","","","","","","","","","","","","","","","","   1201.1"," ,7","     2717"," ,7","      9.39","7","     14.70","7","      4.09","7","","","",""
"USC00368361","2018","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","    337.2","","     337.2","7","       213","7","       115","7","        12","7","       95","","        35","7","         6","7","       151","7","        46","7","       140","7","         4","7","        47"," ","        29"," ","  -26.7","7,0107, ","   457"," ,7,0107,+","   203"," ,7,0302, ","  58.4"," ,7,0910, ","   32.8","7,0906, ","-0.6","7,1019","-5.0","7,1110","-5.0","7,1110","-7.8","7,1122","-12.8","7,1209","-2.8","7,0501","-2.8","7,0501","-4.4","7,0422","-6.7","7,0410","-8.9","7,0325","    3846.9","9","","","","","    3846.9","7","","","","","","","","","","","","","","","","","","","","","   1388.2"," ,7","     2849"," ,7","      8.74","7","     13.79","7","      3.70","7","","","",""
"USC00368361","2019","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","    243.4","","     243.4","7","       210","7","       101","7","        11","7","       70","","        27","7","         9","7","       140","7","        48","7","       141","7","         2","7","        56"," ","        27"," ","  -23.9","7,0201, ","   381"," ,7,0120, ","   254"," ,7,0120, ","  44.2"," ,7,1101, ","   32.2","7,0721,+","-0.6","7,1019","-2.2","7,1107","-5.0","7,1112","-7.8","7,1113","-11.1","7,1212","-1.7","7,0430","-2.2","7,0416","-4.4","7,0402","-7.8","7,0328","-9.4","7,0310","    3772.3","3","","","","","    3772.3","7","","","","","","","","","","","","","","","","","","","","","   1296.3"," ,7","     1704"," ,7","      8.74","7","     14.10","7","      3.39","7","","","",""
"USC00368361","2020","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","       1.7","7","    278.5","","     278.5","7","       198","7","       113","7","         8","7","       67","","        27","7","         3","7","       141","7","        30","7","       128","7","         2","7","        65"," ","        23"," ","  -21.7","7,0215, ","   330"," ,7,1226, ","   244"," ,7,0208, ","  42.7"," ,7,0627, ","   33.3","7,0710, ","0.0","7,0919","-3.9","7,1122","-5.0","7,1124","-10.6","7,1226","-10.6","7,1226","-2.2","7,0514","-2.2","7,0514","-7.8","7,0323","-7.8","7,0323","-13.3","7,0302","    3562.5","5","      25.0","7,3,2","      24.4","7,5,2","    3562.5","7","      28.3","7,3,2","      27.2","7,5,2","       0.0","7,3,2","       0.0","7,5,2","       0.0","7,3,2","       0.0","7,5,2","      10.5","7,3,2","      10.6","7,5,2","      12.9","7,3,2","      12.5","7,5,2","   1187.0"," ,7","     2151"," ,7","      9.47","7","     14.71","7","      4.23","7","       270","7","      22.4","7"
"USC00368361","2021","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","    348.4","","     348.4","7","       197","7","       107","7","        11","7","       57","","        18","7","         4","7","       144","7","        43","7","       147","7","         1","7","        84"," ","        29"," ","  -22.2","7,0222,+","   254"," ,7,0219,+","    81"," ,7,1119, ","  46.2"," ,7,0717, ","   32.2","7,0630, ","-0.6","7,1104","-3.3","7,1106","-4.4","7,1124","-7.2","7,1208","","","-1.1","7,0514","-3.9","7,0427","-5.0","7,0426","-7.2","7,0403","-8.9","7,0316","    3543.1","1","","","","","    3543.1","7","","","","","","","","","","","","","","","","","","","","","   1157.3"," ,7","     1036"," ,7","      9.84","7","     14.96","7","      4.73","7","","","",""
"USC00368361","2022","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","    273.9","","     273.9","7","       205","7","       102","7","        11","7","       74","","        28","7","        12","7","       132","7","        49","7","       138","7","         1","7","        70"," ","        32"," ","  -26.1","7,0122, ","   508"," ,7,0204, ","   356"," ,7,0117, ","  55.4"," ,7,0926, ","   33.3","7,0616, ","-2.8","7,1003","-2.8","7,1003","-7.8","7,1118","-7.8","7,1118","-20.0","7,1224","0.0","7,0501","-2.8","7,0430","-11.1","7,0330","-11.1","7,0330","-11.1","7,0330","    3508.2","2","","","","","    3508.2","7","","","","","","","","","","","","","","","","","","","","","   1255.0"," ,7","     2433"," ,7","      8.99","7","     14.42","7","      3.57","7","","","",""
"USC00368361","2023","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","    189.6","","     189.6","7","       183","7","       105","7","         8","7","       37","","        16","7","         0","7","       125","7","        17","7","       135","7","         0","7","        91"," ","        26"," ","  -15.0","7,0204, ","   254"," ,7,1128, ","   254"," ,7,1128, ","  54.9"," ,7,0727, ","   31.1","7,0906,+","-1.1","7,1023","-2.2","7,1112","-5.0","7,1120","-8.3","7,1129","","","0.0","7,0526","-2.2","7,0519","-5.6","7,0409","-10.0","7,0331","-10.0","7,0331","    3385.6","6","","","","","    3385.6","7","","","","","","","","","","","","","","","","","","","","","   1150.7"," ,7","     1303"," ,7","      9.78","7","     15.15","7","      4.41","7","","","",""
"USC00368361","2024","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","       1.5","7","    301.5","","     301.5","7","       198","7","       114","7","        10","7","       53","","        22","7","         0","7","       113","7","        29","7","       155","7","         3","7","       105"," ","        27"," ","  -16.7","7,0122,+","   381"," ,7,1206,+","   320"," ,7,1130, ","  39.9"," ,7,0627, ","   32.8","7,0619, ","0.0","7,1011","-2.2","7,1103","-5.6","7,1130","-8.3","7,1213","-11.1","7,1214","-2.2","7,0426","-2.2","7,0426","-7.2","7,0325","-7.2","7,0325","-9.4","7,0225","    3136.0","0","      23.9","7,3,2","      23.9","7,5,2","    3136.0","7","      26.7","7,3,2","      25.6","7,5,2","      -0.6","7,3,2","      -0.6","7,5,2","       0.0","7,3,2","       0.0","7,5,2","      11.6","7,3,2","      11.5","7,5,2","      13.4","7,3,2","      13.0","7,5,2","   1202.7"," ,7","     2015"," ,7","     10.62","7","     15.83","7","      5.40","7","       180","7","      18.8","7"
"USC00368361","2025","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","","","","","","","","","","","","","","","","","","","","","","","","","        12"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
