"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00094850","1970","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    152.1","","     152.1","0","       138","0","        71","0","         8","0","      152","","        31","0","        45","0","       191","0","       108","0","        87","0","         1","0","       152"," ","        36"," ","        29"," ","  -33.3","0,0214, ","   838"," ,0,0110, ","   424"," ,0,1203, ","  46.7"," ,0,0530, ","   33.3","0,0629, ","-1.1","0,0928","-3.3","0,1004","-5.6","0,1019","-10.0","0,1122","-10.0","0,1122","0.0","0,0620","-5.6","0,0506","-5.6","0,0506","-9.4","0,0412","-9.4","0,0412","    5455.0","0","    5455.0","0","    889.6"," ,0","","","     3007"," ,0","      3.89","0","      9.43","0","     -1.66","0","","","","","","","","","",""
"USW00094850","1971","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","     98.8","","      98.8","0","       162","0","        92","0","         7","0","      155","","        44","0","        45","0","       188","0","       106","0","        81","0","         2","0","       143"," ","        39"," ","        25"," ","  -31.7","0,0208, ","  1422"," ,0,0206, ","   475"," ,0,0104, ","  47.2"," ,0,0104, ","   32.8","0,0628,+","-0.6","0,0924","-3.3","0,1101","-8.3","0,1106","-8.3","0,1106","-12.2","0,1107","0.0","0,0609","-2.8","0,0514","-5.6","0,0430","-8.3","0,0415","-11.1","0,0414","    5420.8","8","    5420.8","0","   1005.2"," ,0","","","     4570"," ,0","      3.77","0","      9.26","0","     -1.72","0","","","","","","","","","",""
"USW00094850","1972","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","     81.6","","      81.6","0","       149","0","        69","0","         6","0","      175","","        43","0","        54","0","       213","0","       126","0","        72","0","         1","0","       152"," ","        37"," ","        23"," ","  -32.2","0,0115, ","  1346"," ,0,0307, ","   274"," ,0,0304, ","  49.0"," ,0,1102, ","   32.2","0,0519, ","0.0","0,0903","-3.3","0,1009","-5.0","0,1015","-6.7","0,1017","-9.4","0,1119","-1.1","0,0617","-2.8","0,0510","-5.6","0,0427","-12.8","0,0425","-12.8","0,0425","    5525.1","1","    5525.1","0","    936.6"," ,0","","","     4326"," ,0","      2.38","0","      7.92","0","     -3.16","0","","","","","","","","","",""
"USW00094850","1973","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    135.9","","     135.9","0","       152","0","        83","0","         7","0","      135","","        28","0","        26","0","       188","0","        97","0","        83","0","         3","0","       158"," ","        64"," ","        32"," ","  -28.3","0,1217,+","   787"," ,0,1219, ","   236"," ,0,1218, ","  69.3"," ,0,0501, ","   35.0","0,0827, ","-0.6","0,0917","-2.2","0,1103","-5.6","0,1104","-7.8","0,1105","-9.4","0,1108","-2.2","0,0530","-2.2","0,0530","-6.7","0,0429","-6.7","0,0429","-12.8","0,0413","    5341.7","7","    5341.7","0","   1085.0"," ,0","","","     2837"," ,0","      4.93","0","      9.89","0","     -0.02","0","","","","","","","","","",""
"USW00094850","1974","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","     81.0","","      81.0","0","       146","0","        73","0","         8","0","      161","","        27","0","        36","0","       202","0","       109","0","        69","0","         2","0","       148"," ","        37"," ","        28"," ","  -31.1","0,0108, ","   864"," ,0,0226,+","   305"," ,0,0404, ","  60.7"," ,0,0803, ","   33.9","0,0713, ","-1.1","0,0918","-2.8","0,0922","-5.6","0,0923","-6.7","0,1114","-11.1","0,1116","-1.1","0,0527","-3.3","0,0509","-5.6","0,0508","-7.8","0,0507","-12.2","0,0419","    5411.4","4","    5411.4","0","    908.4"," ,0","","","     2469"," ,0","      3.42","0","      8.77","0","     -1.92","0","","","","","","","","","",""
"USW00094850","1975","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    173.9","","     173.9","0","       157","0","        74","0","         6","0","      160","","        33","0","        32","0","       194","0","       116","0","        81","0","         6","0","       145"," ","        42"," ","        31"," ","  -27.8","0,0209, ","  1270"," ,0,0326, ","   503"," ,0,0324, ","  50.3"," ,0,0324, ","   36.1","0,0730, ","-1.1","0,0909","-3.9","0,0925","-4.4","0,1002","-10.0","0,1114","-10.0","0,1114","-1.1","0,0516","-2.2","0,0512","-8.9","0,0421","-8.9","0,0421","-8.9","0,0421","    5240.5","5","    5240.5","0","    947.2"," ,0","","","     4187"," ,0","      4.36","0","      9.72","0","     -1.00","0","","","","","","","","","",""
"USW00094850","1976","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    124.4","","     124.4","0","       154","0","        71","0","         3","0","      166","","        58","0","        45","0","       208","0","       113","0","        99","0","         5","0","       100"," ","        22"," ","        19"," ","  -31.7","0,1230, ","  1499"," ,0,0313, ","   386"," ,0,0312, ","  46.0"," ,0,0613, ","   35.0","0,0819, ","-0.6","0,0830","-3.3","0,0902","-4.4","0,1014","-7.8","0,1018","-9.4","0,1107","0.0","0,0526","-2.2","0,0519","-6.1","0,0506","-8.9","0,0412","-8.9","0,0412","    5194.6","6","    5194.6","0","    733.5"," ,0","","","     5118"," ,0","      3.36","0","      8.98","0","     -2.26","0","","","","","","","","","",""
"USW00094850","1977","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    113.5","","     113.5","0","       182","0","       103","0","        12","0","      135","","        36","0","        42","0","       179","0","       103","0","        82","0","         1","0","       162"," ","        46"," ","        30"," ","  -35.6","0,0109, ","  1194"," ,0,1209, ","   579"," ,0,1209, ","  62.7"," ,0,0714, ","   37.2","0,0719, ","0.0","0,1003","-2.8","0,1007","-4.4","0,1105","-6.7","0,1111","-13.3","0,1112","0.0","0,0609","-3.3","0,0510","-5.6","0,0509","-12.2","0,0409","-12.2","0,0409","    5534.4","4","    5534.4","0","   1209.0"," ,0","","","     4519"," ,0","      4.26","0","      9.47","0","     -0.95","0","","","","","","","","","",""
"USW00094850","1978","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    109.5","","     109.5","0","       150","0","        75","0","        10","0","      150","","        42","0","        38","0","       201","0","       121","0","        87","0","         0","0","       136"," ","        27"," ","        25"," ","  -28.9","0,0203, ","  1143"," ,0,0129, ","   282"," ,0,0126, ","  66.3"," ,0,0911, ","   31.7","0,0526, ","-0.6","0,0922","-2.2","0,1013","-5.6","0,1028","-8.3","0,1107","-10.0","0,1116","-0.6","0,0614","-2.2","0,0507","-4.4","0,0430","-8.9","0,0422","-8.9","0,0422","    5502.7","7","    5502.7","0","    968.1"," ,0","","","     3540"," ,0","      3.44","0","      8.61","0","     -1.74","0","","","","","","","","","",""
"USW00094850","1979","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","     81.2","","      81.2","0","       184","0","        86","0","        11","0","      174","","        47","0","        45","0","       197","0","       103","0","        76","0","         0","0","       107"," ","        35"," ","        31"," ","  -36.7","0,0217, ","  1245"," ,0,0209, ","   358"," ,0,0324, ","  54.1"," ,0,1022, ","   31.7","0,0712, ","0.0","0,0923","-2.2","0,1005","-5.6","0,1018","-10.6","0,1108","-10.6","0,1108","-0.6","0,0522","-3.3","0,0516","-6.1","0,0501","-7.2","0,0429","-9.4","0,0411","    5730.3","3","    5730.3","0","   1040.3"," ,0","","","     4590"," ,0","      2.98","0","      8.19","0","     -2.24","0","","","","","","","","","",""
"USW00094850","1980","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    108.4","","     108.4","0","       182","0","        85","0","         5","0","      162","","        58","0","        43","0","       201","0","       104","0","        90","0","         2","0","        97"," ","        22"," ","        34"," ","  -30.0","0,0109, ","   787"," ,0,0301,+","   163"," ,0,0106, ","  41.7"," ,0,0804, ","   33.3","0,0422, ","-1.7","0,0927","-2.8","0,0928","-6.7","0,1028","-6.7","0,1028","-11.1","0,1108","0.0","0,0608","-4.4","0,0424","-4.4","0,0424","-13.9","0,0416","-13.9","0,0416","    5335.0","0","    5335.0","0","    862.1"," ,0","      41.9","X","     3822"," ,0","      3.72","0","      9.05","0","     -1.62","0","   121056","X","","","       315","X","","","      19.7","X"
"USW00094850","1981","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","     88.4","","      88.4","0","       163","0","        84","0","         4","0","      139","","        48","0","        30","0","       199","0","        84","0","        83","0","         3","0","       115"," ","        44"," ","        26"," ","  -35.6","0,0212, ","   889"," ,0,1219, ","   424"," ,0,1218, ","  43.9"," ,0,0603, ","   33.3","0,0708,+","0.0","0,0921","-3.9","0,0923","-5.6","0,1003","-8.3","0,1023","-8.9","0,1024","0.0","0,0531","-4.4","0,0518","-4.4","0,0518","-8.3","0,0421","-8.9","0,0406","    5253.6","6","    5253.6","0","    877.7"," ,0","      43.1","X","     5635"," ,0","      4.48","0","      9.91","0","     -0.95","0","   121866","X","","","       360","X","","","      15.2","X"
"USW00094850","1982","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","     75.1","","      75.1","0","       179","0","        81","0","         7","0","      153","","        44","0","        45","0","       182","0","       107","0","        81","0","         0","0","       132"," ","        44"," ","        31"," ","  -31.7","0,0117, ","  1118"," ,0,0125, ","   312"," ,0,0104, ","  47.8"," ,0,0711, ","   30.0","0,0706,+","-1.7","0,0907","-2.8","0,1017","-5.0","0,1022","-7.8","0,1112","-12.8","0,1113","-1.7","0,0603","-2.2","0,0508","-4.4","0,0428","-8.3","0,0422","-12.8","0,0421","    5456.9","9","    5456.9","0","    934.2"," ,0","      47.2","X","     4100"," ,0","      3.46","0","      8.97","0","     -2.06","0","   132576","X","","","       315","X","","","      19.7","X"
"USW00094850","1983","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    245.6","","     245.6","0","       166","0","        91","0","        11","0","      159","","        51","0","        29","0","       203","0","       101","0","        95","0","         8","0","       138"," ","        34"," ","        25"," ","  -33.3","0,1220, ","  1194"," ,0,1216, ","   467"," ,0,0203, ","  73.7"," ,0,0529, ","   35.0","0,0715,+","-0.6","0,0923","-3.3","0,1009","-4.4","0,1020","-6.7","0,1104","-10.0","0,1105","-0.6","0,0528","-2.8","0,0527","-6.1","0,0517","-8.3","0,0509","-10.6","0,0420","    5137.9","9","    5137.9","0","   1178.7"," ,0","      43.1","X","     6302"," ,0","      4.59","0","      9.87","0","     -0.68","0","   124374","X","","","       270","X","","","      15.6","X"
"USW00094850","1984","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    100.6","","     100.6","0","       151","0","        74","0","         7","0","      148","","        35","0","        33","0","       196","0","        85","0","        84","0","         0","0","       113"," ","        33"," ","        25"," ","  -31.1","0,0121, ","  1016"," ,0,0323, ","   432"," ,0,0321, ","  50.0"," ,0,0321, ","   30.6","0,0828,+","0.0","0,0905","-2.2","0,0929","-5.0","0,1028","-7.2","0,1029","-10.0","0,1031","-1.1","0,0527","-2.2","0,0516","-5.0","0,0504","-6.7","0,0408","-10.6","0,0403","    5291.3","3","    5291.3","0","    825.8"," ,0","","","     4013"," ,0","      4.44","0","     10.00","0","     -1.12","0","   119559","X","","","       135","X","","","      17.0","X"
"USW00094850","1985","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","     67.2","","      67.2","0","       179","0","        89","0","        12","0","      160","","        48","0","        48","0","       188","0","       111","0","        85","0","         0","0","       101"," ","        21"," ","        28"," ","  -32.8","0,0201, ","   889"," ,0,0305, ","   602"," ,0,1201, ","  78.5"," ,0,0419, ","   30.0","0,0713,+","-1.7","0,0913","-2.2","0,1007","-5.0","0,1011","-7.8","0,1110","-11.1","0,1120","-1.7","0,0521","-2.8","0,0502","-5.0","0,0417","-12.2","0,0409","-12.2","0,0409","    5167.6","6","    5167.6","0","   1311.8"," ,0","","","     6847"," ,0","      3.43","0","      8.94","0","     -2.08","0","   122314","X","","","       270","X","","","      16.5","X"
"USW00094850","1986","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","     96.1","","      96.1","0","       153","0","        79","0","         5","0","      150","","        40","0","        36","0","       192","0","       100","0","        89","0","         5","0","       125"," ","        18"," ","        16"," ","  -25.6","0,0108,+","  1245"," ,0,0320, ","   457"," ,0,0319, ","  38.6"," ,0,0319, ","   35.0","0,0717, ","-1.1","0,0907","-5.0","0,1009","-5.0","0,1009","-8.9","0,1109","-8.9","0,1109","-0.6","0,0617","-2.2","0,0602","-5.0","0,0503","-10.0","0,0422","-10.0","0,0422","    5325.7","7","    5325.7","0","    772.6"," ,0","","","     3853"," ,0","      4.35","0","     10.06","0","     -1.37","0","   123900","X","","","","","","","",""
"USW00094850","1987","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    187.6","","     187.6","0","       163","0","        85","0","         7","0","      136","","        41","0","        14","0","       188","0","        73","0","       104","0","         2","0","       112"," ","        32"," ","        37"," ","  -26.7","0,0124, ","   483"," ,0,0305,+","   279"," ,0,1215, ","  58.4"," ,0,0801, ","   32.2","0,0717,+","0.0","0,1002","-5.0","0,1010","-5.0","0,1010","-6.7","0,1025","-8.9","0,1106","0.0","0,0604","-5.0","0,0504","-5.0","0,0504","-10.6","0,0404","-10.6","0,0404","    4823.9","9","    4823.9","0","    922.6"," ,0","","","     3717"," ,0","      6.08","0","     11.71","0","      0.45","0","","","","","","","","","",""
"USW00094850","1988","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    210.7","","     210.7","0","       171","0","        90","0","         8","0","      158","","        52","0","        44","0","       205","0","        93","0","        97","0","        13","0","        98"," ","         7"," ","        36"," ","  -28.3","0,0208, ","  1067"," ,0,0315, ","   582"," ,0,0120, ","  56.1"," ,0,0120, ","   37.2","0,0728, ","0.0","0,1002","-7.2","0,1012","-7.2","0,1012","-7.2","0,1012","-9.4","0,1201","-1.7","0,0525","-2.8","0,0518","-7.2","0,0422","-7.2","0,0422","-11.1","0,0324","    5199.3","3","    5199.3","0","   1062.2"," ,0","","","     6104"," ,0","      4.22","0","     10.02","0","     -1.58","0","","","","","","","","","",""
"USW00094850","1989","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    124.3","","     124.3","0","       163","0","        79","0","         5","0","      162","","        59","0","        54","0","       201","0","       115","0","        99","0","         8","0","       103"," ","        13"," ","        27"," ","  -30.0","0,0302, ","   813"," ,0,0315,+","   432"," ,0,0314, ","  47.5"," ,0,0608, ","   32.8","0,0804,+","-3.9","0,0923","-3.9","0,0923","-4.4","0,1007","-6.7","0,1009","-11.7","0,1102","0.0","0,0605","-3.9","0,0511","-5.6","0,0506","-10.0","0,0413","-10.0","0,0413","    5459.5","5","    5459.5","0","    750.9"," ,0","","","     6259"," ,0","      3.26","0","      9.09","0","     -2.56","0","","","","","","","","","",""
"USW00094850","1990","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    105.4","","     105.4","0","       160","0","        75","0","         5","0","      136","","        36","0","        25","0","       191","0","        76","0","        78","0","         0","0","       108"," ","        27"," ","        29"," ","  -27.8","0,1226, ","   864"," ,0,0217, ","   442"," ,0,0216, ","  49.5"," ,0,0510, ","   31.7","0,0703,+","-2.2","0,1007","-2.2","0,1007","-4.4","0,1107","-6.7","0,1108","-9.4","0,1125","-0.6","0,0604","-2.8","0,0513","-5.0","0,0511","-6.7","0,0413","-10.0","0,0407","    5143.9","9","    5143.9","0","    832.1"," ,0","","","     4017"," ,0","      4.97","0","     10.61","0","     -0.67","0","   136582","X","","","","","","","",""
"USW00094850","1991","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    174.9","","     174.9","0","       168","0","        88","0","         4","0","      141","","        45","0","        34","0","       199","0","        93","0","       108","0","         7","0","       101"," ","        32"," ","        29"," ","  -28.9","0,0130, ","   838"," ,0,1204, ","   460"," ,0,1123, ","  39.4"," ,0,1123, ","   34.4","0,0627, ","0.0","0,0919","-3.9","0,0927","-4.4","0,0928","-10.0","0,1102","-10.0","0,1102","-2.8","0,0519","-2.8","0,0519","-5.0","0,0424","-6.7","0,0422","-10.0","0,0411","    4995.6","6","    4995.6","0","    942.4"," ,0","","","     4421"," ,0","      4.80","0","     10.38","0","     -0.79","0","","","","","","","","","",""
"USW00094850","1992","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","     46.7","","      46.7","0","       168","0","        83","0","         1","0","      175","","        54","0","        22","0","       208","0","       102","0","        70","0","         0","0","       117"," ","        24"," ","        25"," ","  -27.2","0,0212, ","   940"," ,0,0229, ","   290"," ,0,0207, ","  51.1"," ,0,0702, ","   31.1","0,0612, ","-1.1","0,0911","-2.2","0,0922","-5.0","0,1016","-7.2","0,1031","-9.4","0,1106","0.0","0,0622","-2.8","0,0526","-7.8","0,0506","-7.8","0,0506","-15.6","0,0413","    5327.2","2","    5327.2","0","    794.9"," ,0","","","     4837"," ,0","      3.69","0","      9.00","0","     -1.62","0","","","","","","","","","",""
"USW00094850","1993","46.5313","-87.5491","431.3","MARQUETTE WEATHER FORECAST OFFICE, MI US","    109.1","","     109.1","0","       146","0","        85","0","         5","0","      168","","        50","0","        31","0","       207","0","        98","0","        77","0","         0","0","       104"," ","        27"," ","        20"," ","  -27.2","0,1226, ","   584"," ,0,0313,+","   320"," ,0,0416, ","  40.4"," ,0,0913, ","   31.1","0,0825, ","-0.6","0,0918","-2.8","0,0919","-4.4","0,0930","-11.1","0,1101","-11.1","0,1101","0.0","0,0604","-7.2","0,0426","-7.2","0,0426","-7.2","0,0426","-15.0","0,0323","    5432.6","6","    5432.6","0","    838.3"," ,0","","","     4328"," ,0","      3.88","0","      8.98","0","     -1.23","0","   125192","X","","","","","","","",""
