"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00400137","1986","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","   1032.4","","    1032.4","0","       106","0","        68","0","        14","0","        0","","         0","0","         0","0","        73","0","         5","0","       213","0","        81","0","","","  -13.3","0,0128,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 113.0"," ,0,1108, ","   38.3","0,0801,+","-6.7","0,1113","-6.7","0,1113","-6.7","0,1113","-6.7","0,1113","-8.9","0,1114","0.0","0,0423","-4.4","0,0323","-4.4","0,0323","-7.8","0,0322","-9.4","0,0301","    1813.3","3","      31.1","0,0,2","","","    1813.3","0","      39.4","0,0,2","","","       1.7","0,0,2","","","       1.7","0,0,2","","","      16.0","0,0,2","","","      21.5","0,0,2","","","   1180.3"," ,0","        0"," ,0","     15.91","0","     22.27","0","      9.56","0"
"USC00400137","1987","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","    932.6","","     932.6","0","","","","","","","","","","","         0","0","        81","0","         2","0","       213","0","        77","0","","","  -10.6","0,0127, ","","","","","","","   37.8","0,0805,+","-2.2","0,1004","-2.2","0,1004","-4.4","0,1112","-6.7","0,1121","","","-1.1","0,0405","-3.9","0,0404","-5.6","0,0312","-6.7","0,0210","-10.6","0,0127","    1907.7","7","      30.6","0,0,2","","","    1907.7","0","      37.8","0,0,2","","","       2.2","0,0,2","","","       2.2","0,0,2","","","      15.6","0,0,2","","","      21.4","0,0,2","","","","","","","     15.64","0","     22.43","0","      8.84","0"
"USC00400137","1988","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","    861.9","","     861.9","0","        95","0","        74","0","        19","0","","","         0","0","         2","0","        81","0","         8","0","       202","0","        74","0","","","  -18.3","0,0212,+","","","     0","T,0,1209, ","  69.6"," ,0,0904, ","   37.2","0,0630,+","-2.8","0,1117","-2.8","0,1117","-5.6","0,1202","-7.8","0,1216","-8.9","0,1218","-0.6","0,0320","-2.2","0,0319","-5.6","0,0316","-6.7","0,0315","-13.9","0,0214","    2095.1","1","      31.1","0,0,2","","","    2095.1","0","      38.9","0,0,2","","","       1.1","0,0,2","","","       1.7","0,0,2","","","      15.1","0,0,2","","","      21.0","0,0,2","","","   1374.2"," ,0","        0","T,0","     14.65","0","     21.63","0","      7.66","0"
"USC00400137","1989","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","    813.9","","     813.9","0","       122","0","        88","0","        21","0","","","         0","0","         3","0","        88","0","        19","0","       206","0","        47","0","","","  -22.2","0,1224,+","","","     0","T,0,1225,+","  94.5"," ,0,0702, ","   35.6","0,0829,+","-1.1","0,1020","-7.2","0,1117","-7.2","0,1117","-7.2","0,1117","-13.3","0,1213","0.0","0,0413","-3.9","0,0412","-4.4","0,0411","-10.6","0,0225","-10.6","0,0225","    2043.1","1","      29.4","0,0,2","","","    2043.1","0","      37.2","0,0,2","","","      -5.6","0,0,2","","","      -2.8","0,0,2","","","      14.2","0,0,2","","","      19.7","0,0,2","","","   1683.9"," ,0","        0","T,0","     14.49","0","     20.83","0","      8.15","0"
"USC00400137","1990","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","    890.3","","     890.3","0","        98","0","        75","0","        24","0","        0","","         0","0","         0","0","        67","0","         2","0","       216","0","        72","0","","","  -13.3","0,1225,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  72.4"," ,0,0203, ","   38.3","0,0828, ","0.0","0,1019","-3.3","0,1026","-4.4","0,1130","-6.7","0,1208","-13.3","0,1224","-1.1","0,0413","-2.8","0,0409","-4.4","0,0226","-6.7","0,0114","","","    1993.6","6","      31.1","0,0,2","","","    1993.6","0","      38.3","0,0,2","","","       1.7","0,0,2","","","       3.9","0,0,2","","","      15.4","0,0,2","","","      21.4","0,0,2","","","   1670.0"," ,0","        0"," ,0","     16.01","0","     23.07","0","      8.96","0"
"USC00400137","1991","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","    985.2","","     985.2","0","       113","0","        89","0","        23","0","        0","","         0","0","         0","0","        77","0","         3","0","       209","0","        64","0","","","  -11.7","0,0216, ","     0"," ,0,1231,+","    10"," ,0,1108, ","  78.7"," ,0,1201, ","   36.7","0,0808,+","-0.6","0,1007","-2.2","0,1103","-8.3","0,1104","-8.3","0,1104","","","-3.3","0,0331","-3.3","0,0331","-4.4","0,0310","-8.3","0,0217","-11.7","0,0216","    1815.8","8","      31.1","0,0,2","","","    1815.8","0","      38.9","0,0,2","","","       1.7","0,0,2","","","       3.3","0,0,2","","","      16.0","0,0,2","","","      21.1","0,0,2","","","   1632.0"," ,0","       10"," ,0","     15.89","0","     22.17","0","      9.61","0"
"USC00400137","1992","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","    739.3","","     739.3","0","       125","0","        80","0","        14","0","        0","","         0","0","         0","0","        69","0","         0","0","       207","0","        36","0","","","  -11.1","0,0117,+","     0"," ,0,1231,+","     0","T,0,0226, ","  87.4"," ,0,0310, ","   35.0","0,0714, ","-3.9","0,1107","-3.9","0,1107","-6.1","0,1129","","","","","-1.1","0,0404","-3.9","0,0403","-4.4","0,0312","-7.8","0,0120","-11.1","0,0117","    1877.7","7","      28.9","0,0,2","","","    1877.7","0","      35.0","0,0,2","","","       1.1","0,0,2","","","       1.7","0,0,2","","","      15.1","0,0,2","","","      20.3","0,0,2","","","   1285.5"," ,0","        0","T,0","     15.06","0","     21.38","0","      8.74","0"
"USC00400137","1993","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","    921.4","","     921.4","0","       121","0","        90","0","        12","0","        0","","         0","0","         0","0","        89","0","         1","0","       191","0","        74","0","","","  -10.0","0,0219, ","     0"," ,0,1231,+","     0","T,0,1101,+","  86.4"," ,0,1204, ","   37.2","0,0821, ","-0.6","0,1028","-6.1","0,1101","-6.1","0,1101","-8.3","0,1107","-8.9","0,1224","-0.6","0,0423","-2.2","0,0403","-5.0","0,0315","-9.4","0,0314","-9.4","0,0314","    2046.7","7","      30.6","0,0,2","","","    2046.7","0","      38.9","0,0,2","","","       1.7","0,0,2","","","       3.3","0,0,2","","","      15.2","0,0,2","","","      20.5","0,0,2","","","   1238.8"," ,0","        0","T,0","     14.91","0","     21.28","0","      8.54","0"
"USC00400137","1994","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0","T,0,0114,+","","","","","","","","","","","","","","","","","","","","","","","","","    2045.6","6","      29.4","0,0,2","","","    2045.6","0","      36.7","0,0,2","","","       0.0","0,0,2","","","       1.1","0,0,2","","","      15.6","0,0,2","","","      20.5","0,0,2","","","","","        0","T,0","","","","","",""
"USC00400137","1995","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","    986.5","","     986.5","0","       105","0","        74","0","        12","0","        0","","         0","0","         0","0","        78","0","         6","0","       221","0","        64","0","","","  -12.8","0,1210,+","     0","T,0,1115, ","     0","T,0,1115, ","  89.9"," ,0,0805, ","   37.2","0,0901,+","0.0","0,1025","-3.3","0,1104","-4.4","0,1112","-7.8","0,1209","-12.8","0,1210","-1.7","0,0401","-4.4","0,0310","-4.4","0,0310","-8.9","0,0213","-8.9","0,0213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1229.7"," ,0","        0","T,0","     15.62","0","     22.04","0","      9.20","0"
"USC00400137","1996","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","    939.1","","     939.1","0","       103","0","        74","0","        26","0","","","         0","0","         0","0","        83","0","        14","0","       216","0","        50","0","         1"," ","  -16.7","0,0204, ","","","     3"," ,0,0107, ","  65.0"," ,0,0731, ","   35.6","0,0722, ","-3.3","0,1103","-3.3","0,1103","-4.4","0,1127","-10.0","0,1219","-10.0","0,1219","-1.1","0,0411","-2.8","0,0322","-6.1","0,0311","-9.4","0,0310","-9.4","0,0310","    2137.5","5","","","","","    2137.5","0","","","","","","","","","","","","","","","","","","","","","   1645.6"," ,0","        3"," ,0","     15.30","0","     21.53","0","      9.06","0"
"USC00400137","1997","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","    845.6","","     845.6","0","       111","0","        81","0","        19","0","        0","","         0","0","         0","0","        69","0","         7","0","       201","0","        51","0","","","  -16.1","0,0111, ","     0","T,0,0115,+","     3"," ,0,0111,+","  97.3"," ,0,0924, ","   37.2","0,0728, ","-1.1","0,1028","-4.4","0,1116","-4.4","0,1116","-7.8","0,1117","","","0.0","0,0419","-2.2","0,0414","-4.4","0,0131","-8.3","0,0130","-8.9","0,0119","    1862.7","7","      30.6","0,0,2","","","    1862.7","0","      38.3","0,0,2","","","      -3.9","0,0,2","","","       2.8","0,0,2","","","      15.2","0,0,2","","","      20.4","0,0,2","","","   1493.1"," ,0","        6"," ,0","     15.11","0","     21.31","0","      8.91","0"
"USC00400137","1998","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","   1221.6","","    1221.6","0","       110","0","        84","0","        15","0","","","         0","0","         0","0","        51","0","         2","0","       234","0","        92","0","         1"," ","   -9.4","0,0312, ","","","     3"," ,0,1223, ","  86.4"," ,0,0428, ","   37.8","0,0708,+","-3.9","0,1106","-3.9","0,1106","-6.7","0,1222","-6.7","0,1222","","","-2.2","0,0322","-2.2","0,0322","-8.9","0,0313","-8.9","0,0313","-8.9","0,0313","    1897.9","9","","","","","    1897.9","0","","","","","","","","","","","","","","","","","","","","","   1444.2"," ,0","        3"," ,0","     17.13","0","     23.33","0","     10.93","0"
"USC00400137","1999","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","   1070.8","","    1070.8","0","        87","0","        59","0","        18","0","","","         0","0","         0","0","        70","0","         3","0","       230","0","        74","0","","","  -14.4","0,0105, ","","","     0","T,0,0223,+","  72.1"," ,0,0123, ","   38.3","0,0731,+","-1.1","0,1025","-2.8","0,1201","-7.2","0,1222","-7.2","0,1222","","","0.0","0,0419","-2.2","0,0327","-4.4","0,0304","-8.3","0,0111","-10.6","0,0110","    1609.5","5","","","","","    1609.5","0","","","","","","","","","","","","","","","","","","","","","   1194.2"," ,0","        0","T,0","     16.71","0","     23.62","0","      9.80","0"
"USC00400137","2000","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1649.3","3","      31.1","0,0,2","","","    1649.3","0","      37.8","0,0,2","","","       0.6","0,0,2","","","       1.1","0,0,2","","","      16.4","0,0,2","","","      21.9","0,0,2","","","","","","","","","","","",""
"USC00400137","2001","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","      31.1","0,0,2","","","","","      38.9","0,0,2","","","       0.0","0,0,2","","","       1.1","0,0,2","","","      16.3","0,0,2","","","      21.3","0,0,2","","","","","","","","","","","",""
"USC00400137","2002","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","   1086.6","","    1086.6","0","       124","0","        86","0","        19","0","","","         0","0","         0","0","        76","0","         1","0","       197","0","        70","0","","","  -10.6","0,0105,+","","","     0","T,0,0227, "," 149.1"," ,0,0927, ","   36.1","0,0807,+","0.0","0,1102","-2.2","0,1117","-6.7","0,1128","-6.7","0,1128","","","0.0","0,0406","-5.6","0,0323","-5.6","0,0323","-8.9","0,0305","-8.9","0,0305","","","      31.7","0,0,2","","","","","      38.3","0,0,2","","","       2.2","0,0,2","","","       2.8","0,0,2","","","      16.6","0,0,2","","","      20.9","0,0,2","","","   1735.9"," ,0","        0","T,0","     15.94","0","     21.96","0","      9.91","0"
"USC00400137","2004","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","","","       135","0","        90","0","        21","0","        3","","         3","0","","","","","         4","0","       216","0","        38","0","","","","","   127"," ,0,0216, ","   127"," ,0,0216, ","  57.9"," ,0,0125, ","   35.6","0,0715, ","","","","","","","","","","","","","","","","","","","","","    1768.7","7","","","","","    1768.7","0","","","","","","","","","","","","","","","","","","","","","   1555.7"," ,0","      267"," ,0","","","     22.08","0","",""
"USC00400137","2005","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","","","       109","0","        71","0","        14","0","        0","","         0","0","","","","","         2","0","       210","0","        75","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  92.2"," ,0,0830, ","   38.3","0,0821, ","","","","","","","","","","","","","","","","","","","","","","","      31.7","0,3,1","      32.8","0,3,2","","","      41.1","0,3,1","      40.0","0,3,2","       0.6","0,3,1","       2.2","0,3,2","       0.6","0,3,1","       3.9","0,3,2","      14.2","0,3,1","      17.4","0,3,2","      22.7","0,3,1","      22.1","0,3,2","   1211.0"," ,0","        0"," ,0","","","     22.66","0","",""
"USC00400137","2006","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","   1052.4","","    1052.4","0","       110","0","        71","0","        11","0","        3","","         1","0","         0","0","        77","0","         2","0","       221","0","        79","0","","","  -11.7","0,1208, ","   102"," ,0,0211, ","    89"," ,0,0211, ","  94.5"," ,0,0123, ","   38.9","0,0811, ","-1.1","0,1013","-3.9","0,1103","-5.0","0,1121","-8.3","0,1204","-11.7","0,1208","-4.4","0,0327","-4.4","0,0327","-4.4","0,0327","-8.9","0,0220","-8.9","0,0220","    1786.4","4","      28.9","0,3,1","      32.2","0,3,2","    1786.4","0","      40.0","0,3,1","      38.9","0,3,2","       0.0","0,3,1","       2.8","0,3,2","       0.0","0,3,1","       3.3","0,3,2","      13.7","0,3,1","      17.0","0,3,2","      22.5","0,3,1","      22.0","0,3,2","   1187.1"," ,0","      104"," ,0","     16.36","0","     23.09","0","      9.63","0"
"USC00400137","2007","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","   1207.1","","    1207.1","0","        98","0","        66","0","        13","0","        1","","         1","0","         0","0","        74","0","         3","0","       231","0","        95","0","","","  -11.1","0,0201,+","    25"," ,0,0202, ","    25"," ,0,0202, ","  77.5"," ,0,1023, ","   41.1","0,0816, ","-3.3","0,1107","-3.3","0,1107","-5.0","0,1217","","","","","-5.6","0,0409","-5.6","0,0409","-5.6","0,0409","-7.2","0,0219","-9.4","0,0216","    1783.8","8","      32.2","0,3,1","      32.8","0,3,2","    1783.8","0","      41.7","0,3,1","      39.4","0,3,2","      -0.6","0,3,1","       2.2","0,3,2","       0.0","0,3,1","       3.9","0,3,2","      14.2","0,3,1","      17.7","0,3,2","      24.0","0,3,1","      23.0","0,3,2","   1052.3"," ,0","       25"," ,0","     16.92","0","     23.70","0","     10.13","0"
"USC00400137","2008","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","","","","","       122","0","        84","0","        15","0","        2","","         1","0","","","","","         6","0","       215","0","        59","0","","","","","    76"," ,0,0308, ","    76"," ,0,0308, "," 118.6"," ,0,1210, ","   37.8","0,0805,+","","","","","","","","","","","","","","","","","","","","","    1813.7","7","      27.8","0,3,1","      31.7","0,3,2","    1813.7","0","      40.6","0,3,1","      38.9","0,3,2","      -1.1","0,3,1","       2.8","0,3,2","      -0.6","0,3,1","       3.3","0,3,2","      12.8","0,3,1","      16.1","0,3,2","      22.5","0,3,1","      21.7","0,3,2","   1532.9"," ,0","       76"," ,0","","","     22.06","0","",""
"USC00400137","2009","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","    884.8","","     884.8","0","       140","0","        95","0","        23","0","        1","","         1","0","         0","0","        72","0","         3","0","       210","0","        51","0","","","  -13.9","0,0117,+","   152"," ,0,0301, ","   152"," ,0,0301, ","  71.1"," ,0,1209, ","   36.1","0,0809,+","0.0","0,1019","-2.8","0,1127","-6.7","0,1205","-6.7","0,1205","","","0.0","0,0313","-5.6","0,0304","-5.6","0,0304","-7.2","0,0303","-8.9","0,0206","","","      28.9","0,3,1","      30.6","0,3,2","","","      41.1","0,3,1","      38.9","0,3,2","      -2.2","0,3,1","       2.2","0,3,2","      -1.1","0,3,1","       2.2","0,3,2","      13.2","0,3,1","      16.3","0,3,2","      21.9","0,3,1","      21.1","0,3,2","   1708.4"," ,0","      152"," ,0","     15.38","0","     21.56","0","      9.19","0"
"USC00400137","2010","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","   1230.0","","    1230.0","0","       105","0","        67","0","        16","0","        5","","         1","0","         0","0","        87","0","        12","0","       224","0","       102","0","","","  -12.2","0,0111,+","   102"," ,0,0210,+","   102"," ,0,0209, "," 181.6"," ,0,0502, ","   38.9","0,0804, ","-1.1","0,1030","-3.9","0,1106","-7.8","0,1206","-7.8","0,1206","-8.9","0,1209","-2.8","0,0307","-2.8","0,0307","-5.0","0,0305","-6.7","0,0226","-12.2","0,0111","    2069.2","2","      40.0","0,3,1","      32.2","0,3,2","    2069.2","0","      42.8","0,3,1","      40.6","0,3,2","      -1.7","0,3,1","       1.1","0,3,2","      -0.6","0,3,1","       1.7","0,3,2","      14.0","0,3,1","      17.2","0,3,2","      22.9","0,3,1","      22.0","0,3,2","   1392.0"," ,0","      136"," ,0","     15.95","0","     22.59","0","      9.31","0"
"USC00400137","2011","35.11458","-89.21254","165.5","AMES PLANTATION, TN US","   1107.8","","    1107.8","7","       119","7","        87","7","        17","7","","","","","         0","7","        73","7","         6","7","       221","7","        89","7","","","  -15.0","7,0211,+","","","",""," 106.9"," ,7,0427, ","   40.0","7,0804, ","-0.6","7,1021","-3.9","7,1111","-4.4","7,1118","","","","","-2.2","K,0312","-2.2","K,0312","-13.9","K,0212","-13.9","K,0212","-13.9","K,0212","    1950.4","4","      36.1","7,3,1","      32.2","7,3,2","    1950.4","7","      41.7","7,3,1","      40.0","7,3,2","       0.6","7,3,1","       2.8","7,3,2","       0.6","7,3,1","       2.8","7,3,2","      13.7","7,3,1","      16.7","7,3,2","      23.1","7,3,1","      22.3","7,3,2","   1451.7"," ,7","","","     16.17","7","     22.85","7","      9.50","7"
