"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00120026","1964","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    342.9","","     342.9","E","        67","E","        52","E","         4","E","         0","E","         0","E","         0","E","       150","E","         0","E","    4.0","E,1227, ","  43.0"," ,E,0116, ","   31.0","E,0809,+","","","","","     986.5","5","     986.5","E","    573.0"," ,E","     16.14","E","     19.48","E","     12.80","E"
"SPE00120026","1965","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    330.6","","     330.6","E","","","","","","","         0","E","         0","E","         0","E","       143","E","         1","E","    3.0","E,0105, ","","","   33.4","E,0814, ","","","","","    1265.4","4","    1265.4","E","","","     16.10","E","     19.55","E","     12.65","E"
"SPE00120026","1966","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    304.8","","     304.8","E","        49","E","        38","E","         2","E","         0","E","         0","E","         0","E","       145","E","         0","E","    6.5","E,1224, "," 104.0"," ,E,0216, ","   31.4","E,0807, ","","","","","     860.3","3","     860.3","E","    419.0"," ,E","     16.47","E","     19.89","E","     13.05","E"
"SPE00120026","1967","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    373.9","","     373.9","E","","","","","","","         0","E","         0","E","         0","E","       142","E","         1","E","    1.0","E,0416, ","","","   32.4","E,0720, ","","","","","    1450.5","5","    1450.5","E","","","     15.54","E","     19.70","E","     11.39","E"
"SPE00120026","1968","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    443.8","","     443.8","E","","","","","","","         0","E","         0","E","         0","E","       180","E","         1","E","    0.6","E,1223, ","","","   33.0","E,0824, ","","","","","    1019.9","9","    1019.9","E","","","     16.86","E","     20.63","E","     13.08","E"
"SPE00120026","1970","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    338.2","","     338.2","E","        62","E","        42","E","        14","E","         0","E","         0","E","         0","E","       147","E","         4","E","    2.8","E,1231,+","  92.0"," ,E,0327, ","   32.6","E,0809,+","","","","","    1217.5","5","    1217.5","E","    947.0"," ,E","     15.85","E","     19.66","E","     12.03","E"
"SPE00120026","1971","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    377.5","","     377.5","E","","","","","","","         0","E","         1","E","         0","E","       141","E","         0","E","    0.0","E,0102, ","","","   30.8","E,0831, ","","","0.0","E,0102","    1403.2","2","    1403.2","E","","","     15.37","E","     18.97","E","     11.77","E"
"SPE00120026","1972","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    329.3","","     329.3","E","","","","","","","         0","E","         0","E","         0","E","       147","E","         0","E","    3.5","E,0124,+","","","   29.6","E,0811,+","","","","","    1474.2","2","    1474.2","E","","","     15.48","E","     19.56","E","     11.40","E"
"SPE00120026","1973","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","","","","","","","","","","","         0","E","         0","E","","","","","","","    3.0","E,1224,+","","","","","","","","","    1290.6","6","    1290.6"," ","","","","","","","     10.79","E"
"SPE00120026","1974","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","","","","","","","","","","","         0","E","         0","E","","","","","","","    3.6","E,0311,+","","","","","","","","","","","","","","","","","","","     10.69","E"
"SPE00120026","1975","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    201.9","","     201.9","E","        51","E","        44","E","         3","E","         0","E","         0","E","         0","E","       137","E","         0","E","    4.0","E,1215,+","  37.0"," ,E,0222, ","   29.8","E,0808, ","","","","","","","","","    539.1"," ,E","     14.95","E","     19.32","E","     10.58","E"
"SPE00120026","1976","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    288.8","","     288.8","E","        69","E","        53","E","        10","E","         0","E","         0","E","         0","E","       152","E","         0","E","    2.0","E,1221, ","  75.0"," ,E,0416, ","   31.8","E,0809, ","","","","","    1448.3","3","    1448.3","E","    930.0"," ,E","     15.10","E","     19.76","E","     10.43","E"
"SPE00120026","1977","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    164.7","","     164.7","E","        63","E","        51","E","         7","E","         0","E","         0","E","         0","E","       167","E","         0","E","    3.2","E,0107, ","  51.0"," ,E,1025, ","   29.6","E,0815, ","","","","","    1326.1","1","    1326.1","E","    701.5"," ,E","     15.67","E","     20.37","E","     10.97","E"
"SPE00120026","1978","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    261.6","","     261.6","E","        66","E","        52","E","         4","E","         0","E","         0","E","         0","E","       152","E","         0","E","    3.6","E,0501, ","  66.0"," ,E,1011, ","   30.5","E,0718, ","","","","","    1095.0","0","    1095.0","E","    577.2"," ,E","     16.06","E","     20.66","E","     11.46","E"
"SPE00120026","1979","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    403.3","","     403.3","E","        60","E","        45","E","         5","E","         0","E","         0","E","         0","E","       159","E","         2","E","    1.0","E,0217, ","  56.5"," ,E,0117, ","   32.8","E,0731, ","","","","","     936.4","4","     936.4","E","    653.1"," ,E","     16.69","E","     20.64","E","     12.74","E"
"SPE00120026","1980","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    446.1","","     446.1","E","        48","E","        34","E","         6","E","         0","E","         0","E","         0","E","       162","E","         3","E","    4.2","E,0115, ","  64.7"," ,E,0219, ","   36.4","E,0824, ","","","","","     980.1","1","     980.1","E","    475.3"," ,E","     16.85","E","     20.78","E","     12.93","E"
"SPE00120026","1981","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    446.5","","     446.5","E","        43","E","        30","E","         4","E","         0","E","         0","E","         0","E","       171","E","         0","E","    4.0","E,0112, ","  73.2"," ,E,0429, ","   29.6","E,0820,+","","","","","     953.9","9","     953.9","E","    506.7"," ,E","     17.42","E","     20.94","E","     13.89","E"
"SPE00120026","1982","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    354.5","","     354.5","E","        40","E","        36","E","         3","E","         0","E","         0","E","         0","E","       160","E","         0","E","    5.2","E,1222, ","  64.6"," ,E,0415, ","   30.8","E,0727, ","","","","","     707.3","3","     707.3","E","    480.2"," ,E","     16.79","E","     20.70","E","     12.87","E"
"SPE00120026","1983","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    572.1","","     572.1","E","        40","E","        34","E","         7","E","         0","E","         0","E","         0","E","       171","E","         0","E","    4.0","E,0213, ","  66.4"," ,E,1115, ","   32.0","E,0925, ","","","","","    1077.0","0","    1077.0","E","    515.7"," ,E","     17.61","E","     20.71","E","     14.51","E"
"SPE00120026","1984","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    437.5","","     437.5","E","        52","E","        30","E","         6","E","         0","E","         0","E","         0","E","       140","E","         2","E","    7.2","E,0301, ","  35.0"," ,E,0227, ","   33.6","E,0808, ","","","","","     645.8","8","     645.8","E","    404.4"," ,E","     17.67","E","     20.37","E","     14.97","E"
"SPE00120026","1985","35.8919","-5.2892","200.0","CEUTA MONTE HACHO, SP","    620.0","","     620.0","E","        64","E","        36","E","         4","E","         0","E","         0","E","         0","E","       179","E","         0","E","    5.0","E,0116, ","  56.7"," ,E,0220, ","   31.4","E,0805, ","","","","","     624.2","2","     624.2","E","    487.0"," ,E","     18.28","E","     21.14","E","     15.42","E"
