"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BC005847300","1946","-24.667","25.917","1000.0","GABORONE, BC","        64","Q","        42","Q","         7","Q","","","","","","","  58.9"," ,Q,0211, ","","","","","","","","","    562.5"," ,Q","",""
"BC005847300","1947","-24.667","25.917","1000.0","GABORONE, BC","        45","Q","        32","Q","         4","Q","","","","","","","  33.0"," ,Q,0328, ","","","","","","","","","    362.0"," ,Q","",""
"BC005847300","1948","-24.667","25.917","1000.0","GABORONE, BC","        69","Q","        43","Q","         4","Q","","","","","","","  35.6"," ,Q,1010, ","","","","","","","","","    532.0"," ,Q","",""
"BC005847300","1949","-24.667","25.917","1000.0","GABORONE, BC","        47","Q","        31","Q","         5","Q","","","","","","","  72.1"," ,Q,1218, ","","","","","","","","","    515.5"," ,Q","",""
"BC005847300","1950","-24.667","25.917","1000.0","GABORONE, BC","        55","Q","        41","Q","         7","Q","","","","","","","  53.1"," ,Q,1214, ","","","","","","","","","    554.1"," ,Q","",""
"BC005847300","1951","-24.667","25.917","1000.0","GABORONE, BC","        58","Q","        34","Q","         2","Q","","","","","","","  44.5"," ,Q,0515, ","","","","","","","","","    444.7"," ,Q","",""
"BC005847300","1952","-24.667","25.917","1000.0","GABORONE, BC","        54","Q","        45","Q","         5","Q","","","","","","","  31.0"," ,Q,1213, ","","","","","","","","","    506.9"," ,Q","",""
"BC005847300","1953","-24.667","25.917","1000.0","GABORONE, BC","        45","Q","        35","Q","         2","Q","","","","","","","  42.5"," ,Q,0317, ","","","","","","","","","    324.6"," ,Q","",""
"BC005847300","1954","-24.667","25.917","1000.0","GABORONE, BC","        55","Q","        36","Q","         3","Q","","","","","","","  65.9"," ,Q,0411, ","","","","","","","","","    545.5"," ,Q","",""
"BC005847300","1955","-24.667","25.917","1000.0","GABORONE, BC","        52","Q","        41","Q","         8","Q","","","","","","","  62.9"," ,Q,1122, ","","","","","","","","","    753.9"," ,Q","",""
"BC005847300","1956","-24.667","25.917","1000.0","GABORONE, BC","        42","Q","        32","Q","         5","Q","","","","","","","  88.0"," ,Q,0225, ","","","","","","","","","    529.2"," ,Q","",""
"BC005847300","1957","-24.667","25.917","1000.0","GABORONE, BC","        65","Q","        42","Q","         7","Q","","","","","","","  49.1"," ,Q,0702, ","","","","","","","","","    633.0"," ,Q","",""
"BC005847300","1958","-24.667","25.917","1000.0","GABORONE, BC","        62","Q","        48","Q","         3","Q","","","","","","","  50.1"," ,Q,0110, ","","","","","","","","","    607.8"," ,Q","",""
"BC005847300","1959","-24.667","25.917","1000.0","GABORONE, BC","        54","Q","        33","Q","         3","Q","","","","","","","  47.0"," ,Q,0512, ","","","","","","","","","    387.3"," ,Q","",""
"BC005847300","1960","-24.667","25.917","1000.0","GABORONE, BC","        59","Q","        39","Q","         5","Q","","","","","","","  58.0"," ,Q,1220, ","","","","","","","","","    513.8"," ,Q","",""
"BC005847300","1961","-24.667","25.917","1000.0","GABORONE, BC","        60","Q","        38","Q","         5","Q","         0"," ","         0","Q","    0.3","Q,0709, ","  69.0"," ,Q,0409, ","","","","","","","","","    478.2"," ,Q","     12.92","Q"
"BC005847300","1962","-24.667","25.917","1000.0","GABORONE, BC","        60","Q","        35","Q","         3","Q","         0"," ","         6","Q","   -1.9","Q,0615, ","  35.5"," ,Q,1107, ","-0.7","Q,0614","","","","","","","    408.9"," ,Q","     12.82","Q"
"BC005847300","1963","-24.667","25.917","1000.0","GABORONE, BC","        45","Q","        32","Q","         3","Q","         0"," ","         3","Q","   -1.3","Q,0715, ","  50.5"," ,Q,1118, ","-1.2","Q,0714","","","","","","","    348.7"," ,Q","     13.15","Q"
"BC005847300","1964","-24.667","25.917","1000.0","GABORONE, BC","        55","Q","        32","Q","         3","Q","         0"," ","        14","Q","   -3.7","Q,0627, ","  37.5"," ,Q,1031, ","-1.7","Q,0622","-2.2","Q,0626","","","","","    404.2"," ,Q","     13.21","Q"
"BC005847300","1965","-24.667","25.917","1000.0","GABORONE, BC","        43","Q","        25","Q","         1","Q","         0"," ","         0","Q","    0.5","Q,0626, ","  49.0"," ,Q,0413, ","","","","","","","","","    267.8"," ,Q","     13.58","Q"
"BC005847300","1966","-24.667","25.917","1000.0","GABORONE, BC","        53","Q","        31","Q","         4","Q","         0"," ","         0","Q","    0.5","Q,0701,+"," 192.0"," ,Q,0220, ","","","","","","","","","    575.9"," ,Q","     13.44","Q"
"BC005847300","1967","-24.667","25.917","1000.0","GABORONE, BC","        72","Q","        55","Q","        15","Q","         0"," ","         8","Q","   -2.1","Q,0613, ","  70.5"," ,Q,0409, ","-0.6","Q,0612","","","","","","","    923.8"," ,Q","     12.31","Q"
"BC005847300","1968","-24.667","25.917","1000.0","GABORONE, BC","","","","","","","         0"," ","        13","Q","   -3.5","Q,0616, ","","","-0.5","Q,0604","-2.2","Q,0613","-0.3","Q,0810","","","","","     12.23","Q"
"BC005847300","1969","-24.667","25.917","1000.0","GABORONE, BC","        67","Q","        38","Q","         3","Q","         0"," ","         1","Q","   -1.2","Q,0618, ","  36.7"," ,Q,0217, ","-1.2","Q,0618","","","","","","","    475.3"," ,Q","     13.32","Q"
"BC005847300","1970","-24.667","25.917","1000.0","GABORONE, BC","        61","Q","        36","Q","         1","Q","         0"," ","         1","Q","    0.0","Q,0510, ","  36.4"," ,Q,0307, ","0.0","Q,0510","","","","","","","    346.7"," ,Q","     13.49","Q"
"BC005847300","1971","-24.667","25.917","1000.0","GABORONE, BC","        73","Q","        47","Q","         6","Q","","","","","","","  96.5"," ,Q,1113, ","","","","","","","","","    632.2"," ,Q","",""
"BC005847300","1972","-24.667","25.917","1000.0","GABORONE, BC","        59","Q","        38","Q","         5","Q","         0"," ","        12","Q","   -2.2","Q,0803, ","  57.0"," ,Q,0111, ","0.0","Q,0612","","","-2.0","Q,0804","-2.2","Q,0803","    469.3"," ,Q","     12.64","Q"
"BC005847300","1973","-24.667","25.917","1000.0","GABORONE, BC","        73","Q","        39","Q","         5","Q","         0"," ","         0","Q","    0.4","Q,0705, ","  41.7"," ,Q,1016, ","","","","","","","","","    494.4"," ,Q","     13.39","Q"
"BC005847300","1974","-24.667","25.917","1000.0","GABORONE, BC","        76","Q","        54","Q","         7","Q","         0"," ","         3","Q","   -1.6","Q,0728, ","  38.6"," ,Q,1225, ","-1.6","Q,0728","","","-0.5","Q,0802","","","    759.9"," ,Q","     12.53","Q"
"BC005847300","1975","-24.667","25.917","1000.0","GABORONE, BC","        79","Q","        57","Q","         7","Q","","","","","","","  45.1"," ,Q,1216, ","","","","","","","","","    752.2"," ,Q","",""
"BC005847300","1976","-24.667","25.917","1000.0","GABORONE, BC","        72","Q","        56","Q","         7","Q","","","","","","","  60.2"," ,Q,0127, ","","","","","","","","","    860.4"," ,Q","",""
"BC005847300","1977","-24.667","25.917","1000.0","GABORONE, BC","        63","Q","        45","Q","         9","Q","","","","","","","  56.8"," ,Q,1230, ","","","","","","","","","    663.6"," ,Q","",""
"BC005847300","1978","-24.667","25.917","1000.0","GABORONE, BC","        59","Q","        43","Q","         8","Q","","","","","","","  95.8"," ,Q,0127, ","","","","","","","","","    705.8"," ,Q","",""
"BC005847300","1979","-24.667","25.917","1000.0","GABORONE, BC","        64","Q","        37","Q","         5","Q","         0"," ","         3","Q","   -2.2","Q,0726, ","  55.5"," ,Q,0130, ","-1.0","Q,0705","-2.2","Q,0726","","","","","    470.2"," ,Q","     13.39","Q"
"BC005847300","1980","-24.667","25.917","1000.0","GABORONE, BC","        74","Q","        48","Q","         5","Q","","","","","","","  55.9"," ,Q,0122, ","","","","","","","","","    565.2"," ,Q","",""
"BC005847300","1981","-24.667","25.917","1000.0","GABORONE, BC","        73","Q","        45","Q","         8","Q","         0","Q","         5","Q","   -2.5","Q,0619,+","  76.0"," ,Q,0304, ","-0.2","Q,0610","-2.5","Q,0617","","","","","    724.4"," ,Q","     12.23","Q"
"BC005847300","1982","-24.667","25.917","1000.0","GABORONE, BC","        54","Q","        39","Q","         3","Q","         0"," ","         1","Q","   -1.8","Q,0617, "," 119.8"," ,Q,1122, ","-1.8","Q,0617","","","","","","","    502.3"," ,Q","     13.07","Q"
"BC005847300","1983","-24.667","25.917","1000.0","GABORONE, BC","        57","Q","        29","Q","         1","Q","         0"," ","         1","Q","   -2.0","Q,0627, ","  42.6"," ,Q,0117, ","-2.0","Q,0627","","","","","","","    328.1"," ,Q","     14.02","Q"
"BC005847300","1984","-24.667","25.917","1000.0","GABORONE, BC","        44","Q","        20","Q","         4","Q","         0","Q","         0","Q","    1.0","Q,0619, ","  44.1"," ,Q,0323, ","","","","","","","","","    289.5"," ,Q","     14.29","Q"
"BC005847300","1985","-24.667","25.917","1000.0","GABORONE, BC","        40","Q","        25","Q","         0","Q","         0"," ","         0","Q","    2.0","Q,0713, ","  18.6"," ,Q,1030, ","","","","","","","","","    234.5"," ,Q","     14.53","Q"
"BC005847300","1986","-24.667","25.917","1000.0","GABORONE, BC","        56","Q","        36","Q","         4","Q","         0"," ","         0","Q","    2.7","Q,0625, ","  74.1"," ,Q,0130, ","","","","","","","","","    479.9"," ,Q","     14.29","Q"
"BC005847300","1987","-24.667","25.917","1000.0","GABORONE, BC","        54","Q","        33","Q","         2","Q","","","","","","","  54.1"," ,Q,0316, ","","","","","","","","","    384.4"," ,Q","",""
"BC005847300","1988","-24.667","25.917","1000.0","GABORONE, BC","        62","Q","        43","Q","        10","Q","","","","","","","  55.3"," ,Q,0215, ","","","","","","","","","    692.5"," ,Q","",""
"BC005847300","1989","-24.667","25.917","1000.0","GABORONE, BC","        78","Q","        50","Q","         7","Q","         0"," ","         3","Q","   -0.6","Q,0703, ","  80.4"," ,Q,0222, ","-0.6","Q,0703","","","","","","","    699.9"," ,Q","     12.88","Q"
"BC005847300","1990","-24.667","25.917","1000.0","GABORONE, BC","        46","Q","        25","Q","         3","Q","","","","","","","  37.9"," ,Q,0114, ","","","","","","","","","    358.5"," ,Q","",""
"BC005847300","1991","-24.667","25.917","1000.0","GABORONE, BC","        73","Q","        48","Q","        10","Q","","","","","",""," 100.0"," ,Q,0105, ","","","","","","","","","    707.5"," ,Q","",""
"BC005847300","1992","-24.667","25.917","1000.0","GABORONE, BC","        52","Q","        30","Q","         1","Q","","","","","","","  26.0"," ,Q,1104, ","","","","","","","","","    367.0"," ,Q","",""
