"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013904","1959","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1655.9","","    1655.9","X","        85","X","        50","X","        14","X","        0","","         0","X","         0","X","        21","X","         0","X","       246","X","       113","X","       113"," ","","","        45"," ","   -8.9","X,0104, ","     0"," ,X,1231,+","     0","T,X,1114,+"," 107.4"," ,X,1004, ","   37.8","X,0804,+","0.0","X,1106","-3.3","X,1118","","","","","","","-1.1","X,0123","-4.4","X,0122","-4.4","X,0122","-8.9","X,0104","-8.9","X,0104","    1021.8","8","    1021.8","X","    982.9"," ,X","        0","T,X","     19.93","X","     25.37","X","     14.50","X","","","","","","","","","","","","","",""
"USW00013904","1960","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1681.1","","    1681.1","X","        88","X","        53","X","         9","X","        0","","         0","X","         0","X","        18","X","         0","X","       254","X","       112","X","       114"," ","","","        35"," ","   -4.4","X,0225, ","     0"," ,X,1231,+","     0","T,X,0224,+"," 109.2"," ,X,1029, ","   40.0","X,0729,+","-1.1","X,1217","-2.2","X,1221","","","","","","","-1.1","X,0304","-3.3","X,0226","-4.4","X,0225","","","","","    1169.0","0","    1169.0","X","    979.5"," ,X","        0","T,X","     19.83","X","     24.99","X","     14.67","X","","","","","","","","","","","","","",""
"USW00013904","1961","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1528.7","","    1528.7","X","        75","X","        40","X","         9","X","        0","","         0","X","         0","X","        18","X","         1","X","       268","X","       100","X","        97"," ","","","        33"," ","   -3.3","X,1229,+","     0","T,X,0128, ","     3"," ,X,0125, "," 100.6"," ,X,0709, ","   38.3","X,0804, ","-1.1","X,1212","-3.3","X,1213","","","","","","","0.0","X,0208","-3.3","X,0129","","","","","","","     962.6","6","     962.6","X","    827.2"," ,X","        3"," ,X","     19.74","X","     25.37","X","     14.10","X","","","","","","","","","","","","","",""
"USW00013904","1962","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1695.8","","    1695.8","X","        69","X","        38","X","         9","X","        0","","         0","X","         0","X","        26","X","         4","X","       274","X","       111","X","        88"," ","","","        45"," ","  -11.1","X,0112, ","     0","T,X,0123,+","     0","T,X,0314,+","  92.5"," ,X,0908, ","   41.1","X,0809, ","-0.6","X,1211","-3.9","X,1212","-4.4","X,1213","","","","","0.0","X,0316","-3.3","X,0302","-7.8","X,0113","-7.8","X,0113","-11.1","X,0112","    1049.5","5","    1049.5","X","    730.2"," ,X","        0","T,X","     20.18","X","     26.19","X","     14.16","X","","","","","","","","","","","","","",""
"USW00013904","1963","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1798.5","","    1798.5","X","        66","X","        32","X","         3","X","        0","","         1","X","         0","X","        38","X","         3","X","       267","X","       125","X","        92"," ","","","        34"," ","  -10.0","X,0124, ","     0","T,X,1222,+","    25"," ,X,0211, ","  54.9"," ,X,0405, ","   39.4","X,0908, ","-1.1","X,1124","-2.8","X,1215","-4.4","X,1222","","","","","-1.7","X,0222","-5.0","X,0213","-5.0","X,0213","-6.7","X,0125","-10.0","X,0124","    1095.8","8","    1095.8","X","    406.8"," ,X","       25"," ,X","     20.04","X","     26.16","X","     13.92","X","","","","","","","       360","X","","","","","      21.1","X"
"USW00013904","1964","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1638.6","","    1638.6","X","        75","X","        39","X","         8","X","        0","","         1","X","         0","X","        23","X","         0","X","       275","X","       106","X","        96"," ","","","        41"," ","  -11.7","X,0114, ","     0"," ,X,1231,+","    53"," ,X,0221, "," 109.7"," ,X,0616, ","   39.4","X,0725, ","0.0","X,1122","-2.8","X,1206","","","","","","","-1.7","X,0222","-3.3","X,0117","-11.7","X,0114","-11.7","X,0114","-11.7","X,0114","    1097.8","8","    1097.8","X","    792.7"," ,X","       53"," ,X","     20.04","X","     25.86","X","     14.23","X","","","","","","","        80","X","","","","","      24.2","X"
"USW00013904","1965","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1540.4","","    1540.4","X","        97","X","        54","X","        16","X","        0","","         0","X","         0","X","        20","X","         0","X","       256","X","        97","X","       143"," ","","","        43"," ","   -4.4","X,0320,+","     0"," ,X,1231,+","    15"," ,X,0303, "," 121.2"," ,X,0121, ","   37.2","X,0728, ","0.0","X,1130","","","","","","","","","-3.3","X,0321","-3.3","X,0321","-4.4","X,0320","","","","","    1070.7","7","    1070.7","X","   1273.6"," ,X","       15"," ,X","     19.83","X","     25.07","X","     14.58","X","","","","","","","       310","X","","","","","      35.0","X"
"USW00013904","1966","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1432.7","","    1432.7","X","        80","X","        50","X","         7","X","        1","","         2","X","         0","X","        35","X","         0","X","       263","X","        82","X","       139"," ","","","        40"," ","   -8.3","X,0130, ","   127"," ,X,0223, ","    81"," ,X,0222, "," 150.6"," ,X,0803, ","   37.8","X,0731, ","-1.1","X,1103","-3.3","X,1211","-6.1","X,1213","","","","","-1.1","X,0307","-2.2","X,0306","-8.3","X,0130","-8.3","X,0130","","","    1000.6","6","    1000.6","X","    786.7"," ,X","      127"," ,X","     19.20","X","     24.72","X","     13.68","X","","","","","","","","","","","","","",""
"USW00013904","1967","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1611.4","","    1611.4","X","        77","X","        50","X","         9","X","        1","","         1","X","         0","X","        25","X","         0","X","       280","X","        88","X","       115"," ","","","        28"," ","   -7.2","X,0207, ","    25"," ,X,0207, ","   102"," ,X,0206, ","  69.1"," ,X,0520, ","   39.4","X,0810, ","-1.1","X,1222","-3.3","X,1223","","","","","","","0.0","X,0308","-2.8","X,0223","-7.2","X,0207","-7.2","X,0207","","","     889.8","8","     889.8","X","    777.7"," ,X","      102"," ,X","     20.15","X","     26.01","X","     14.29","X","","","","","","","","","","","","","",""
"USW00013904","1968","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1378.6","","    1378.6","X","       101","X","        52","X","        11","X","        0","","         0","X","         0","X","        28","X","         2","X","       254","X","        76","X","       139"," ","","","        58"," ","   -5.6","X,0107, ","     0"," ,X,1231,+","     0","T,X,1108,+","  57.9"," ,X,1130, ","   36.7","X,0816,+","-0.6","X,1112","-2.2","X,1215","-4.4","X,1224","","","","","-1.1","X,0323","-2.2","X,0313","-5.0","X,0114","","","","","    1168.7","7","    1168.7","X","    957.6"," ,X","        0","T,X","     18.83","X","     24.17","X","     13.50","X","","","","","","","       280","X","","","","","      21.6","X"
"USW00013904","1969","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1532.3","","    1532.3","X","        83","X","        51","X","        14","X","        0","","         0","X","         0","X","        14","X","         0","X","       266","X","       109","X","       125"," ","","","        49"," ","   -6.7","X,0105, ","     0"," ,X,1231,+","     0","T,X,0219, "," 114.3"," ,X,0412, ","   40.6","X,0811, ","-1.1","X,1115","-2.8","X,1231","","","","","","","0.0","X,0312","-2.2","X,0112","-6.7","X,0105","-6.7","X,0105","","","    1047.9","9","    1047.9","X","   1142.0"," ,X","        0","T,X","     19.78","X","     25.40","X","     14.17","X","","","","","","","","","","","","","",""
"USW00013904","1970","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1478.0","","    1478.0","X","        77","X","        43","X","         7","X","        0","","         0","X","         0","X","        24","X","         0","X","       260","X","        80","X","        97"," ","","","        35"," ","   -8.3","X,0107, ","     0"," ,X,1231,+","     0","T,X,0220,+","  77.7"," ,X,0515, ","   38.3","X,0704, ","-1.7","X,1116","-2.2","X,1124","","","","","","","0.0","X,0322","-2.2","X,0204","-5.0","X,0108","-8.3","X,0107","","","    1079.7","7","    1079.7","X","    700.3"," ,X","        0","T,X","     19.49","X","     24.87","X","     14.12","X","","","","","","","       310","X","","","","","      24.7","X"
"USW00013904","1993","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","","","        0","","         0","Z","","","","","","","","","","","","","","","","","","","     0"," ,Z,1231,+","     0","T,Z,1221,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0","T,Z","","","","","","","","","","","","","","","","","","","",""
"USW00013904","1994","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","","","","","","","         0","Z","        11","Z","","","","","","","","","","","","","   -6.1","Z,0108, ","","","","","","","","","-0.6","Z,1201","","","","","","","","","0.0","Z,0214","-3.3","Z,0211","-4.4","Z,0202","","","","","","","","","","","","","","","","","     15.06","Z","","","","","","","","","","","","","",""
"USW00013904","1998","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","","","   1771.5","","    1771.5","W","","","","","","","","","","","         0","W","        30","W","         0","W","       271","W","       131","W","","","","","","","   -7.2","W,1226, ","","","","","","","   42.8","W,0614, ","-0.6","W,1213","-2.2","W,1222","-5.6","W,1225","-7.2","W,1226","","","0.0","M,0322","-3.9","M,0311","","","","","","","","","","","","","","","     20.57","W","     27.19","W","     13.96","W","","","","","","","","","","","","","",""
"USW00013904","1999","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","       3.4","X","   1562.0","","    1562.0","Z","        62","X","        36","X","         7","X","","","","","         0","X","        38","Z","         0","X","       306","X","       122","X","        14"," ","        11"," ","        23"," ","   -7.2","Z,1206, ","","","","","  63.5"," ,X,0517, ","   40.6","X,0820, ","-1.7","X,1103","-2.8","X,1126","-7.2","X,1206","-7.2","X,1206","","","-0.6","Z,0417","-2.8","W,0222","-4.4","W,0214","","","","","     833.4","4","     833.4","X","    653.6"," ,X","","","     20.35","Z","     27.85","X","     12.85","Z","","","       180","X","        10","X","","","      14.8","X","      18.3","X","",""
"USW00013904","2000","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","       3.8","X","   1736.2","","    1736.2","X","        87","X","        50","X","         7","X","        0","","         0","X","         0","X","        35","X","         1","X","       278","X","       126","X","        18"," ","        15"," ","        47"," ","  -10.0","X,0105, ","     0"," ,X,1231,+","     0","T,X,1226,+","  77.7"," ,X,0501, ","   44.4","X,0905, ","0.0","X,1109","-2.2","X,1114","-5.6","X,1217","","","","","0.0","X,0320","-2.8","X,0206","-6.7","X,0130","-6.7","X,0130","-10.0","X,0105","     800.6","6","     800.6","X","    801.9"," ,X","        0","T,X","     20.22","X","     26.97","X","     13.48","X","","","        30","X","        10","X","","","      17.9","X","      20.6","X","",""
"USW00013904","2001","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","       3.4","X","   1455.1","","    1455.1","0","        91","0","        52","0","        11","0","        0","","         0","0","         0","0","        36","0","         0","0","       263","0","       101","0","       162"," ","        29"," ","        49"," ","   -5.6","0,0120, ","     0","T,0,1129, ","     0","T,0,1231,+"," 220.5"," ,0,1115, ","   39.4","0,0805, ","0.0","0,1128","-2.8","0,1210","-4.4","0,1224","","","","","0.0","X,0320","-2.2","X,0218","-4.4","X,0121","","","","","    1306.1","1","    1306.1","0","   1096.0"," ,0","        0","T,0","     19.28","0","     25.76","0","     12.79","0","   128879","X","       250","X","       240","X","","","      20.6","X","      27.7","X","",""
"USW00013904","2002","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","       3.7","X","   1577.5","","    1577.5","0","        87","0","        50","0","        12","0","        0","","         0","0","         0","0","        49","0","         0","0","       268","0","       122","0","       176"," ","        15"," ","        46"," ","  -10.6","0,0227, ","     0","T,0,0102,+","     0","T,0,1021,+","  80.0"," ,0,1104, ","   38.3","0,0826, ","0.0","0,1123","-2.2","0,1206","","","","","","","-0.6","0,0323","-8.3","0,0305","-8.3","0,0305","-8.3","0,0305","-10.6","0,0227","    1057.4","4","    1057.4","0","    946.4"," ,0","        0","T,0","     19.50","0","     26.09","0","     12.92","0","","","       180","X","       180","X","","","      17.0","X","      20.6","X","",""
"USW00013904","2003","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","       3.5","X","   1525.3","","    1525.3","0","        81","0","        38","0","         5","0","        0","","         0","0","         0","0","        37","0","         1","0","       274","0","       106","0","       211"," ","        26"," ","        38"," ","   -7.2","0,0118, ","     0","T,0,0325,+","    10"," ,0,0224,+","  89.7"," ,0,0220, ","   42.2","0,0808, ","-3.3","0,1124","-3.3","0,1124","-5.0","0,1125","","","","","-0.6","0,0330","-3.9","0,0225","-5.6","0,0124","-7.2","0,0118","","","    1175.5","5","    1175.5","0","    594.8"," ,0","       20"," ,0","     19.52","0","     26.26","0","     12.79","0","   154423","X","       120","X","       300","X","","","      16.5","X","      21.5","X","",""
"USW00013904","2004","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","       3.5","X","   1509.6","","    1509.6","0","       101","0","        66","0","        16","0","        1","","         0","0","         0","0","        33","0","         0","0","       278","0","       107","0","       178"," ","        17"," ","        54"," ","   -7.2","0,1215, ","    25"," ,0,0214, ","    18"," ,0,0214, "," 110.7"," ,0,1122, ","   37.8","0,0805, ","-0.6","0,1130","-3.3","0,1201","-5.6","0,1214","-7.2","0,1215","","","-3.3","0,0227","-3.3","0,0227","-6.1","0,0207","","","","","     909.8","8","     909.8","0","   1318.8"," ,0","       18"," ,0","     19.89","0","     26.10","0","     13.67","0","","","        20","X","       240","X","","","      17.9","X","      25.9","X","",""
"USW00013904","2005","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","       3.2","X","   1735.9","","    1735.9","0","        75","0","        49","0","         5","0","        0","","         0","0","         0","0","        26","0","         0","0","       293","0","       135","0","       175"," ","        12"," ","        40"," ","   -6.7","0,1206, ","     0"," ,0,1231,+","     0","T,0,1216,+","  34.3"," ,0,0127, ","   42.2","0,0925, ","0.0","0,1025","-3.3","0,1117","-6.7","0,1206","-6.7","0,1206","","","-1.1","0,0317","-3.9","0,0117","","","","","","","     881.0","0","     881.0","0","    545.1"," ,0","        0","T,0","     20.60","0","     27.61","0","     13.58","0","   171454","X","        10","X","       340","X","","","      18.3","X","      23.7","X","",""
"USW00013904","2006","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","       3.7","W","   1792.7","","    1792.7","0","        69","0","        39","0","         9","0","        0","","         0","0","         0","0","        36","0","         0","0","       306","0","       147","0","       160"," ","        22"," ","        42"," ","   -5.0","0,0212, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  49.8"," ,0,0506, ","   39.4","0,0817,+","-2.2","0,1117","-2.2","0,1117","","","","","","","-0.6","0,0326","-2.2","0,0325","-5.0","0,0212","","","","","     811.5","5","     811.5","0","    692.4"," ,0","        0"," ,0","     21.05","0","     28.44","0","     13.66","0","","","       340","X","       340","X","","","      23.7","X","      33.1","X","",""
"USW00013904","2007","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","       3.2","W","   1428.7","","    1428.7","0","       107","0","        68","0","        15","0","        0","","         0","0","         0","0","        46","0","         2","0","       281","0","        94","0","       277"," ","        35"," ","        61"," ","   -6.7","0,0216, ","     0","T,0,0117,+","     3"," ,0,0116, "," 108.7"," ,0,0113, ","   37.2","0,0813,+","0.0","0,1116","-3.9","0,1204","-4.4","0,1216","","","","","-2.2","0,0306","-2.2","0,0306","-5.0","0,0305","-6.7","0,0216","","","    1061.7","7","    1061.7","0","   1166.4"," ,0","        3"," ,0","     19.22","0","     25.52","0","     12.92","0","","","        10","X","        10","X","","","      20.6","X","      25.0","X","",""
"USW00013904","2008","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","       3.9","W","   1652.8","","    1652.8","0","        66","0","        35","0","         3","0","        0","","         0","0","         0","0","        48","0","         0","0","       301","0","       140","0","       157"," ","        19"," ","        32"," ","   -9.4","0,0120, ","     0","T,0,1210, ","     0","T,0,1210,+","  45.7"," ,0,0310, ","   39.4","0,0810,+","-0.6","0,1115","-3.3","0,1116","-5.6","0,1206","","","","","-1.1","0,0414","-3.3","0,0308","-5.0","0,0227","-6.7","0,0201","-9.4","0,0120","    1012.9","9","    1012.9","0","    406.1"," ,0","        0","T,0","     20.08","0","     27.87","0","     12.29","0","","","        40","X","       360","X","","","      17.4","X","      23.2","X","",""
"USW00013904","2009","30.18311","-97.67989","146.5","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","       3.7","W","   1750.9","","    1750.9","0","        77","0","        48","0","        14","0","        0","","         0","0","         0","0","        41","0","         0","0","       284","0","       126","0","       165"," ","        26"," ","        46"," ","   -7.8","0,0114, ","     0"," ,0,1231,+","     0","T,0,1204, ","  59.9"," ,0,1026, ","   41.7","0,0625, ","0.0","0,1118","-5.0","0,1204","-5.0","0,1204","-7.2","0,1205","","","-2.2","0,0407","-2.2","0,0407","-4.4","0,0223","-7.2","0,0203","","","     888.6","6","     888.6","0","    866.7"," ,0","        0","T,0","     20.39","0","     27.53","0","     13.25","0","","","        10","X","       190","X","","","      17.4","X","      21.9","X","",""
