"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00023195","1965","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2070.4","","    2070.4","0","        27","0","        14","0","         1","0","        0","","         0","0","         0","0","         1","0","         0","0","       291","0","       168","0","         6"," ","         2"," ","         7"," ","   -0.6","0,0212, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  27.2"," ,0,0403, ","   45.0","0,0704, ","","","","","-0.6","0,0212","","","","","     641.2","2","     641.2","0","    123.5"," ,0","      86.0","X","        0"," ,0","     22.35","0","     29.73","0","     14.96","0","   231978","X","","","       135","X","","","      20.1","X"
"USW00023195","1966","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2347.3","","    2347.3","0","        16","0","         3","0","         0","0","        0","","         0","0","         0","0","         3","0","         0","0","       305","0","       186","0","         1"," ","         1"," ","         9"," ","   -0.6","0,1231, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   9.1"," ,0,0117, ","   45.0","0,0706, ","-0.6","0,1231","","","0.0","0,0124","","","","","     641.2","2","     641.2","0","     25.8"," ,0","      87.7","X","        0"," ,0","     23.03","0","     30.59","0","     15.47","0","   235170","X","","","       225","X","","","      18.8","X"
"USW00023195","1967","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2130.3","","    2130.3","0","        18","0","         8","0","         2","0","        0","","         0","0","         0","0","         1","0","         0","0","       312","0","       160","0","         1"," ","","","         7"," ","    0.0","0,0101, ","     0"," ,0,1231,+","     0","T,0,1216,+","  37.8"," ,0,0902, ","   44.4","0,0827, ","","","","","0.0","0,0101","","","","","     508.7","7","     508.7","0","    121.3"," ,0","      87.0","X","        0","T,0","     22.59","0","     29.95","0","     15.24","0","   233046","X","","","        90","X","","","      21.9","X"
"USW00023195","1968","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2137.9","","    2137.9","0","        10","0","         5","0","         0","0","        0","","         0","0","         0","0","         3","0","         0","0","       314","0","       166","0","         2"," ","","","         7"," ","   -2.8","0,1222, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  13.7"," ,0,0706, ","   46.7","0,0621, ","-1.1","0,1219","-2.2","0,1221","","","","","","","     481.2","2","     481.2","0","     42.4"," ,0","      91.7","X","        0"," ,0","     22.78","0","     30.55","0","     15.00","0","   246438","X","","","       135","X","","","      17.4","X"
"USW00023195","1969","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2271.9","","    2271.9","0","        16","0","         8","0","         0","0","        0","","         0","0","         0","0","         0","0","         0","0","       307","0","       164","0","        10"," ","         5"," ","         5"," ","    0.6","0,1231,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.3"," ,0,1109, ","   46.1","0,0822,+","","","","","","","","","","","     581.0","0","     581.0","0","     87.2"," ,0","      87.3","X","        0"," ,0","     23.13","0","     30.34","0","     15.92","0","   235560","X","","","       135","X","","","      18.8","X"
"USW00023195","1970","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2139.5","","    2139.5","0","        12","0","         4","0","         1","0","        0","","         0","0","         0","0","         2","0","         0","0","       309","0","       160","0","         1"," ","","","         8"," ","    0.0","0,0105,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  29.0"," ,0,0826, ","   46.1","0,0625, ","","","","","0.0","0,0105","","","","","     525.0","0","     525.0","0","     67.7"," ,0","      86.7","X","        0"," ,0","     22.59","0","     30.10","0","     15.08","0","   233772","X","","","        90","X","","","      18.3","X"
"USW00023195","1971","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   1970.8","","    1970.8","0","        14","0","         6","0","         1","0","        0","","         0","0","         0","0","         7","0","         0","0","       286","0","       150","0","         1"," ","         1"," ","         8"," ","   -4.4","0,0108, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  32.3"," ,0,0929, ","   45.6","0,0912, ","0.0","0,1209","","","0.0","0,0110","-4.4","0,0108","-4.4","0,0108","     621.5","5","     621.5","0","     62.6"," ,0","      88.0","X","        0"," ,0","     21.63","0","     29.09","0","     14.17","0","   236214","X","","","       270","X","","","      18.8","X"
"USW00023195","1972","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2251.9","","    2251.9","0","        17","0","         5","0","         1","0","        0","","         0","0","         0","0","         3","0","         0","0","       315","0","       178","0","         2"," ","","","         6"," ","   -1.1","0,1231,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  54.9"," ,0,1006, ","   46.7","0,0801, ","-1.1","0,1212","","","0.0","0,0106","","","","","     662.3","3","     662.3","0","     83.6"," ,0","      89.4","X","        0"," ,0","     22.87","0","     30.41","0","     15.32","0","   240402","X","","","       135","X","","","      17.9","X"
"USW00023195","1973","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2198.4","","    2198.4","0","        16","0","         6","0","         0","0","        0","","         0","0","         0","0","         2","0","         0","0","       294","0","       177","0","         1"," ","","","         8"," ","   -1.1","0,0107, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  15.7"," ,0,0311, ","   45.0","0,0710,+","","","","","0.0","0,0121","","","","","     687.1","1","     687.1","0","     48.2"," ,0","      87.7","X","        0"," ,0","     22.67","0","     30.40","0","     14.95","0","   236154","X","","","       135","X","","","      26.8","X"
"USW00023195","1974","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2363.4","","    2363.4","0","        15","0","         5","0","         0","0","        0","","         0","0","         0","0","         4","0","         0","0","       306","0","       176","0","         1"," ","         1"," ","        10"," ","   -0.6","0,1228,+","     0"," ,0,1231,+","     0"," ,0,1231,+","   6.1"," ,0,0107, ","   46.7","0,0627, ","0.0","0,1224","","","-0.6","0,0103","","","","","     522.5","5","     522.5","0","     30.4"," ,0","      92.3","X","        0"," ,0","     23.24","0","     30.65","0","     15.82","0","   246990","X","","","       270","X","","","      16.1","X"
"USW00023195","1975","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2064.6","","    2064.6","0","        13","0","         5","0","         0","0","        0","","         0","0","         0","0","         1","0","         0","0","       295","0","       149","0","         4"," ","         2"," ","         6"," ","   -0.6","0,0102, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   6.6"," ,0,0409, ","   45.6","0,0804, ","","","","","-0.6","0,0102","","","","","     664.1","1","     664.1","0","     30.5"," ,0","      92.1","X","        0"," ,0","     22.16","0","     29.72","0","     14.60","0","   246180","X","","","        45","X","","","      21.0","X"
"USW00023195","1976","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2150.2","","    2150.2","0","        20","0","        10","0","         0","0","        0","","         0","0","         0","0","         2","0","         0","0","       317","0","       164","0","         3"," ","         1"," ","        13"," ","   -2.8","0,0101, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.3"," ,0,1231, ","   45.6","0,0706,+","","","","","-0.6","0,0102","-2.8","0,0101","","","     523.4","4","     523.4","0","     93.9"," ,0","      88.5","X","        0"," ,0","     22.87","0","     30.16","0","     15.57","0","   237804","X","       135","X","        90","X","      33.9","X","      25.5","X"
"USW00023195","1977","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2291.1","","    2291.1","0","        19","0","         7","0","         1","0","        0","","         0","0","         0","0","         0","0","         0","0","       317","0","       166","0","        10"," ","         5"," ","         5"," ","    1.7","0,0110, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  52.1"," ,0,0815, ","   45.0","0,0629, ","","","","","","","","","","","     509.3","3","     509.3","0","    112.8"," ,0","      89.8","X","        0"," ,0","     23.41","0","     30.75","0","     16.07","0","   240648","X","","","       180","X","","","      25.0","X"
"USW00023195","1978","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2427.8","","    2427.8","0","        27","0","        12","0","         0","0","        0","","         0","0","         0","0","         3","0","         0","0","       285","0","       167","0","        10"," ","         5"," ","         7"," ","   -1.1","0,1207, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  14.2"," ,0,1217, ","   45.6","0,0719,+","-1.1","0,1207","","","","","","","","","     351.9","9","     351.9","0","    108.0"," ,0","      87.1","X","        0"," ,0","     23.46","0","     30.48","0","     16.43","0","   236082","X","        90","X","        90","X","      19.5","X","      16.1","X"
"USW00023195","1979","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2400.9","","    2400.9","0","        20","0","         9","0","         1","0","        0","","         0","0","         0","0","         0","0","         0","0","       306","0","       183","0","         4"," ","         1"," ","         7"," ","    0.6","0,0130,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  30.7"," ,0,0116, ","   46.7","0,0627,+","","","","","","","","","","","     669.2","2","     669.2","0","    113.5"," ,0","      91.5","X","        0"," ,0","     23.42","0","     31.04","0","     15.81","0","   245676","X","","","       360","X","","","      14.3","X"
"USW00023195","1980","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2378.3","","    2378.3","0","        22","0","        11","0","         0","0","        0","","         0","0","         0","0","         0","0","         0","0","       347","0","       174","0","","","","","","","    3.9","0,0211, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   5.6"," ,0,0109, ","   46.1","0,0727,+","","","","","","","","","","","     319.0","0","     319.0","0","     52.7"," ,0","      89.7","X","        0"," ,0","     24.12","0","     31.76","0","     16.48","0","   240936","X","","","       360","X","","","      18.3","X"
"USW00023195","1981","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2632.8","","    2632.8","0","        15","0","         4","0","         0","0","        0","","         0","0","         0","0","         0","0","         0","0","       346","0","       195","0","","","","","","","    1.7","0,0201, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  12.2"," ,0,0301, ","   48.9","0,0827, ","","","","","","","","","","","     226.5","5","     226.5","0","     39.5"," ,0","      90.3","X","        0"," ,0","     24.88","0","     32.78","0","     16.97","0","   242454","X","","","","","","","",""
"USW00023195","1982","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2273.6","","    2273.6","0","        28","0","        13","0","         1","0","        0","","         0","0","         0","0","         0","0","         0","0","       310","0","       173","0","","","","","","","    1.7","0,0122,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  44.5"," ,0,1209, ","   46.1","0,0902,+","","","","","","","","","","","     342.4","4","     342.4","0","    138.8"," ,0","      84.7","X","        0"," ,0","     23.28","0","     30.57","0","     15.99","0","   228276","X","","","        45","X","","","      17.0","X"
"USW00023195","1983","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2424.1","","    2424.1","0","        25","0","        15","0","         1","0","        0","","         0","0","         0","0","         0","0","         0","0","       327","0","       168","0","","","","","","","    2.8","0,0121, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  28.2"," ,0,0815, ","   46.7","0,0528, ","","","","","","","","","","","     417.1","1","     417.1","0","    136.0"," ,0","      89.3","X","        0"," ,0","     23.96","0","     31.12","0","     16.79","0","   239718","X","","","       135","X","","","      18.8","X"
"USW00023195","1984","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2451.8","","    2451.8","0","        30","0","        15","0","         1","0","        0","","         0","0","         0","0","         0","0","         0","0","       319","0","       171","0","","","","","","","    1.7","0,1215, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  35.8"," ,0,0721, ","   46.1","0,0829,+","","","","","","","","","","","     311.8","8","     311.8","0","    157.5"," ,0","","","        0"," ,0","     23.97","0","     31.25","0","     16.69","0","   240103","X","","","       360","X","","","      17.4","X"
"USW00023195","1985","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2472.7","","    2472.7","0","        21","0","         8","0","         0","0","        0","","         0","0","         0","0","         0","0","         0","0","       315","0","       181","0","","","","","","","    1.1","0,0206,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  13.5"," ,0,0918, ","   48.3","0,0824, ","","","","","","","","","","","     510.6","6","     510.6","0","     68.2"," ,0","","","        0"," ,0","     23.71","0","     31.24","0","     16.17","0","   246146","X","","","       315","X","","","      20.1","X"
"USW00023195","1986","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2501.9","","    2501.9","0","        19","0","         7","0","         0","0","        0","","         0","0","         0","0","         0","0","         0","0","       345","0","       186","0","","","","","","","    0.6","0,0210, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   7.1"," ,0,0208, ","   46.1","0,0804,+","","","","","","","","","","","     298.5","5","     298.5","0","     44.0"," ,0","","","        0"," ,0","     24.49","0","     32.10","0","     16.88","0","   242067","X","","","        45","X","","","      15.2","X"
"USW00023195","1987","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2556.8","","    2556.8","0","        16","0","         6","0","         1","0","        0","","         0","0","         0","0","         3","0","         0","0","       318","0","       183","0","","","","","","","   -1.7","0,1227,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  25.7"," ,0,1031, ","   45.6","0,0714, ","-1.7","0,1226","","","-1.7","0,0118","","","","","     400.7","7","     400.7","0","     93.3"," ,0","","","        0"," ,0","     23.94","0","     31.43","0","     16.45","0","   249567","X","","","","","","","",""
"USW00023195","1988","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2614.0","","    2614.0","0","        14","0","         9","0","         0","0","        0","","         0","0","         0","0","         3","0","         0","0","       324","0","       195","0","","","","","","","    0.0","0,1231,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  14.2"," ,0,0820, ","   46.1","0,0623, ","0.0","0,1228","","","","","","","","","     436.8","8","     436.8","0","     69.1"," ,0","","","        0"," ,0","     24.38","0","     32.00","0","     16.77","0","   253163","X","","","","","","","",""
"USW00023195","1989","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2732.7","","    2732.7","0","         9","0","         5","0","         2","0","        0","","         0","0","         0","0","         0","0","         0","0","       315","0","       202","0","","","","","","","    1.1","0,0114, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  86.9"," ,0,0809, ","   46.7","0,0704,+","","","","","","","","","","","     444.2","2","     444.2","0","    171.6"," ,0","","","        0"," ,0","     24.70","0","     32.50","0","     16.91","0","   249760","X","","","        45","X","","","      27.3","X"
"USW00023195","1990","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2631.3","","    2631.3","0","        13","0","         3","0","         0","0","        0","","         0","0","         0","0","         3","0","         0","0","       310","0","       192","0","","","","","","","   -1.1","0,1223,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  24.1"," ,0,1001, ","   50.0","0,0626, ","-1.1","0,1223","","","-1.1","0,0216","","","","","     427.6","6","     427.6","0","     49.8"," ,0","","","        0"," ,0","     24.07","0","     31.72","0","     16.43","0","   241643","X","","","        45","X","","","      18.8","X"
"USW00023195","1991","32.66667","-114.6","62.8","YUMA INTERNATIONAL AIRPORT, AZ US","   2400.3","","    2400.3","0","        24","0","        11","0","         0","0","        0","","         0","0","         0","0","         0","0","         0","0","       310","0","       176","0","","","","","","","    0.6","0,1202, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  15.5"," ,0,0105, ","   43.9","0,0823,+","","","","","","","","","","","     437.6","6","     437.6","0","     80.4"," ,0","","","        0"," ,0","     23.82","0","     31.04","0","     16.60","0","   231673","X","","","       135","X","","","      15.2","X"
