"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00024257","1996","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       3.1","X","   1055.9","","    1055.9","0","        97","0","        72","0","        11","0","","","","","         0","0","        16","0","         0","0","       208","0","       103","0","        98"," ","        15"," ","        13"," ","   -3.3","0,0225, ","","","","","  52.6"," ,0,0116, ","   43.9","0,0812, ","0.0","0,1116","-2.2","0,1202","","","","","","","-0.6","0,0306","-3.3","0,0225","","","","","","","    1338.6","6","    1338.6","0","   1042.7"," ,0","","","     17.17","0","     24.37","0","      9.98","0","","","","","","","","","","","","","","","","","",""
"USW00024257","1997","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.7","X","    939.3","","     939.3","0","        75","0","        50","0","        11","0","","","","","         0","0","        22","0","         0","0","       212","0","        90","0","        92"," ","        19"," ","         7"," ","   -7.2","0,0114, ","","","","","  68.6"," ,0,1008, ","   43.9","0,0807, ","0.0","0,1202","-2.2","0,1226","","","","","","","-2.2","0,0305","-2.2","0,0305","-7.2","0,0114","-7.2","0,0114","","","    1388.3","3","    1388.3","0","    813.1"," ,0","","","     16.92","0","     23.88","0","      9.96","0","","","","","       170","X","       180","X","","","","","      20.6","X","      24.6","X","",""
"USW00024257","1998","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.6","X","    858.3","","     858.3","0","       138","0","       100","0","        22","0","","","","","         0","0","        23","0","         0","0","       173","0","        74","0","       140"," ","        17"," ","        10"," ","   -6.1","0,1223, ","","","","","  54.6"," ,0,1024, ","   45.0","0,0805, ","-0.6","0,1109","-2.2","0,1204","-6.1","0,1223","","","","","0.0","0,0310","","","","","","","","","    1769.1","1","    1769.1","0","   1565.1"," ,0","","","     15.66","0","     21.80","0","      9.52","0","","","","","       170","X","       170","X","","","","","      22.8","X","      28.2","X","",""
"USW00024257","1999","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.6","X","    978.8","","     978.8","0","        75","0","        48","0","         8","0","","","","","         0","0","        42","0","         0","0","       214","0","       107","0","        98"," ","        17"," ","        10"," ","   -3.3","0,1231,+","","","","","  42.7"," ,0,1110, ","   46.1","0,0712, ","0.0","0,1122","-2.2","0,1216","","","","","","","-2.2","0,0409","-2.2","0,0409","","","","","","","    1737.6","6","    1737.6","0","    617.2"," ,0","","","     16.60","0","     24.01","0","      9.18","0","","","","","       170","X","       170","X","","","","","      21.9","X","      26.4","X","",""
"USW00024257","2000","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.5","X","    936.4","","     936.4","0","        93","0","        63","0","         8","0","","","","","         0","0","        30","0","         0","0","       196","0","        93","0","       114"," ","        21"," ","         2"," ","   -2.8","0,1120,+","","","","","  70.4"," ,0,0901, ","   43.3","0,0731, ","-2.8","0,1111","-2.8","0,1111","","","","","","","0.0","0,0129","-2.2","0,0103","","","","","","","    1469.7","7","    1469.7","0","    932.4"," ,0","","","     16.42","0","     23.35","0","      9.49","0","","","","","       170","X","       170","X","","","","","      21.0","X","      28.2","X","",""
"USW00024257","2001","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.7","X","   1130.9","","    1130.9","0","        82","0","        61","0","        10","0","","","","","         0","0","        30","0","         0","0","       219","0","       111","0","        83"," ","         8"," ","         4"," ","   -2.8","0,0215,+","","","","","  80.5"," ,0,0222, ","   42.2","0,0808,+","-1.1","0,1204","","","","","","","","","0.0","0,0409","-2.8","0,0215","","","","","","","    1654.5","5","    1654.5","0","    974.6"," ,0","","","     17.23","0","     24.24","0","     10.22","0","","","","","       180","X","       180","X","","","","","      21.9","X","      26.4","X","",""
"USW00024257","2002","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.8","X","   1131.4","","    1131.4","0","        61","0","        46","0","         9","0","","","","","         0","0","        32","0","         0","0","       223","0","       109","0","        78"," ","         9"," ","         5"," ","   -3.9","0,0122, ","","","","","  78.0"," ,0,1213, ","   46.1","0,0710, ","0.0","0,1102","","","","","","","","","-0.6","0,0318","-2.2","0,0204","","","","","","","    1467.5","5","    1467.5","0","    713.7"," ,0","","","     17.37","0","     24.71","0","     10.02","0","","","","","       170","X","       170","X","","","","","      25.9","X","      31.7","X","",""
"USW00024257","2003","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.5","X","   1183.0","","    1183.0","0","        95","0","        63","0","        10","0","","","","","         0","0","        19","0","         0","0","       191","0","       116","0","        93"," ","        24"," ","        10"," ","   -3.9","0,0208, ","","","","","  73.4"," ,0,1229, ","   46.7","0,0729, ","-1.1","0,1101","-3.3","0,1227","","","","","","","-0.6","0,0304","-2.8","0,0209","","","","","","","    1495.7","7","    1495.7","0","    932.6"," ,0","","","     17.27","0","     24.18","0","     10.37","0","","","","","       170","X","       170","X","","","","","      20.6","X","      25.0","X","",""
"USW00024257","2004","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.8","X","   1131.4","","    1131.4","0","        81","0","        58","0","         7","0","","","","","         0","0","        21","0","         0","0","       214","0","       111","0","       102"," ","        27"," ","         7"," ","   -3.9","0,0103, ","","","","","  87.6"," ,0,1227, ","   42.2","0,0706, ","0.0","0,1123","-2.8","0,1205","","","","","","","-1.7","0,0212","-2.2","0,0123","","","","","","","    1422.6","6","    1422.6","0","    908.9"," ,0","","","     17.53","0","     24.58","0","     10.47","0","","","","","       170","X","       180","X","","","","","      21.0","X","      26.4","X","",""
"USW00024257","2005","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.5","X","    953.1","","     953.1","0","        88","0","        58","0","        13","0","","","","","         0","0","        17","0","         0","0","       213","0","        90","0","        98"," ","        18"," ","         3"," ","   -4.4","0,1216, ","","","","","  56.9"," ,0,1230, ","   44.4","0,0718, ","-1.1","0,1126","-2.2","0,1203","-4.4","0,1216","","","","","-1.7","0,0114","-2.2","0,0113","","","","","","","    1476.8","8","    1476.8","0","    998.4"," ,0","","","     16.99","0","     24.11","0","      9.88","0","","","","","       180","X","       180","X","","","","","      18.3","X","      23.7","X","",""
"USW00024257","2006","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.6","W","   1149.8","","    1149.8","0","        98","0","        66","0","        10","0","","","","","         0","0","        29","0","         0","0","       208","0","       111","0","       115"," ","        17"," ","         6"," ","   -5.0","0,0216, ","","","","","  64.3"," ,0,0227, ","   47.2","0,0625, ","-0.6","0,1124","-2.2","0,1217","","","","","","","-2.2","0,0310","-2.2","0,0310","-5.0","0,0216","","","","","    1570.6","6","    1570.6","0","    939.0"," ,0","","","     17.00","0","     24.03","0","      9.98","0","","","","","       180","X","       180","X","","","","","      17.0","X","      21.9","X","",""
"USW00024257","2007","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.5","W","    999.4","","     999.4","0","        64","0","        34","0","         7","0","","","","","         0","0","        34","0","         0","0","       219","0","       100","0","        69"," ","         7"," ","         2"," ","   -7.2","0,0114, ","","","","","  59.9"," ,0,0210, ","   45.0","0,0704, ","-2.2","0,1124","-2.2","0,1124","-4.4","0,1201","","","","","-1.1","0,0301","-2.8","0,0202","-6.1","0,0116","-7.2","0,0114","","","    1461.4","4","    1461.4","0","    553.0"," ,0","","","     17.06","0","     24.67","0","      9.45","0","","","","","       170","X","       180","X","","","","","      19.2","X","      22.8","X","",""
"USW00024257","2008","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.4","W","   1124.4","","    1124.4","0","        55","0","        38","0","         5","0","","","","","         0","0","        29","0","         0","0","       225","0","       109","0","        84"," ","        15"," ","         6"," ","   -5.0","0,1218, ","","","","","  49.5"," ,0,0104, ","   45.0","0,0709, ","-2.2","0,1204","-2.2","0,1204","-5.0","0,1218","","","","","0.0","0,0424","","","","","","","","","    1560.2","2","    1560.2","0","    551.2"," ,0","","","     17.17","0","     24.79","0","      9.55","0","","","","","       180","X","       170","X","","","","","      24.6","X","      31.3","X","",""
"USW00024257","2009","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.4","W","   1118.4","","    1118.4","0","        76","0","        43","0","         6","0","","","","","         0","0","        37","0","         0","0","       223","0","       113","0","        86"," ","        10"," ","        12"," ","   -8.9","0,1209, ","","","","","  49.0"," ,0,0217, ","   45.0","0,0727, ","0.0","0,1113","-2.2","0,1205","-6.7","0,1206","-6.7","0,1206","-8.9","0,1209","-0.6","0,0415","-2.8","0,0210","","","","","","","    1471.7","7","    1471.7","0","    586.4"," ,0","","","     17.07","0","     24.51","0","      9.63","0","","","","","       170","X","       180","X","","","","","      17.9","X","      24.6","X","",""
"USW00024257","2010","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.4","W","    950.7","","     950.7","0","       107","0","        67","0","        13","0","","","","","         0","0","        17","0","         0","0","       188","0","        96","0","       122"," ","        17"," ","        10"," ","   -3.3","0,1230,+","","","","","  58.2"," ,0,1024, ","   43.3","0,0825, ","-1.1","0,1123","-2.8","0,1124","","","","","","","0.0","0,0406","","","","","","","","","    1714.7","7","    1714.7","0","   1009.5"," ,0","","","     16.34","0","     22.87","0","      9.81","0","","","","","       170","X","       180","X","","","","","      21.0","X","      27.3","X","",""
"USW00024257","2011","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.4","W","    925.6","","     925.6","X","        81","X","        52","X","         5","X","","","","","         0","X","        34","X","         0","X","       191","X","        94","X","        93"," ","        18"," ","        14"," ","   -4.4","X,1226,+","","","","","  48.5"," ,X,0217, ","   42.2","X,0909, ","-1.1","X,1108","-2.8","X,1119","-4.4","X,1214","","","","","-0.6","X,0301","-2.2","X,0227","","","","","","","    1694.5","5","    1694.5","X","    676.7"," ,X","","","     16.17","X","     23.26","X","      9.08","X","","","","","       160","X","       150","X","","","","","      20.1","X","      26.8","X","",""
"USW00024257","2012","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.4","X","   1062.6","","    1062.6","X","        75","X","        52","X","        13","X","","","","","         0","X","        35","X","         0","X","       206","X","       115","X","        77"," ","         5"," ","         6"," ","   -8.9","X,0117, ","","","","","  61.7"," ,X,0120, ","   44.4","X,0813, ","-1.1","X,1110","-2.8","X,1215","","","","","","","-1.7","X,0406","-8.9","X,0117","-8.9","X,0117","-8.9","X,0117","-8.9","X,0117","    1592.2","2","    1592.2","X","    925.8"," ,X","","","     16.90","X","     24.33","X","      9.46","X","","","","","       170","X","       170","X","","","","","      21.9","X","      29.5","X","",""
"USW00024257","2013","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.4","W","   1087.4","","    1087.4","W","        36","W","        23","W","         3","W","","","","","         0","W","        49","W","         0","W","       244","W","        99","W","        29"," ","         6"," ","         3"," ","   -6.6","W,1206, ","","","","","  33.0"," ,W,1119, ","   46.7","W,0702, ","-1.6","W,1124","-3.2","W,1205","-6.6","W,1206","","","","","-0.6","X,0227","-2.8","X,0122","-4.4","X,0103","","","","","    1417.4","4","    1417.4","W","    325.6"," ,W","","","     17.46","W","     25.50","W","      9.43","W","","","","","       160","W","        20","W","","","","","      18.3","W","      22.8","W","",""
"USW00024257","2014","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.4","W","   1182.5","","    1182.5","W","        84","W","        53","W","        10","W","        0","","         0","W","         0","W","        25","W","         0","W","       241","W","       120","W","        80"," ","         6"," ","         6"," ","   -3.8","W,0205, ","     0"," ,W,1231,+","     0"," ,W,1231,+","  62.2"," ,W,0925, ","   43.9","W,0714,+","-1.6","W,1117","","","","","","","","","-3.8","W,0205","-3.8","W,0205","","","","","","","    1278.9","9","    1278.9","W","    863.1"," ,W","        0"," ,W","     18.31","W","     25.73","W","     10.88","W","","","","","       170","W","       140","W","","","","","      19.7","W","      28.2","W","",""
"USW00024257","2015","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.4","W","   1388.5","","    1388.5","W","        50","W","        29","W","         4","W","        0","","         0","W","         0","W","        13","W","         0","W","       253","W","       124","W","        68"," ","        17"," ","        13"," ","   -5.5","W,1129, ","     0"," ,W,1231,+","     0"," ,W,1231,+","  40.6"," ,W,0206, ","   45.6","W,0730, ","-1.0","W,1128","-5.5","W,1129","-5.5","W,1129","","","","","0.0","W,0114","-2.7","W,0102","","","","","","","     998.9","9","     998.9","W","    438.1"," ,W","        0"," ,W","     19.07","W","     26.65","W","     11.50","W","","","","","       160","W","       170","W","","","","","      21.5","W","      27.3","W","",""
"USW00024257","2016","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.5","W","   1166.8","","    1166.8","W","        91","W","        64","W","        15","W","        0","","         0","W","         0","W","        13","W","         0","W","       222","W","       113","W","        95"," ","        10"," ","        16"," ","   -4.9","W,1226, ","     0"," ,W,1231,+","     0","T,W,1207, ","  71.4"," ,W,0422, ","   43.9","W,0728, ","-0.5","W,1205","-3.2","W,1225","-4.9","W,1226","","","","","","","","","","","","","","","    1233.3","3","    1233.3","W","   1253.9"," ,W","        0","T,W","     18.08","W","     24.95","W","     11.20","W","","","","","       170","W","       170","W","","","","","      21.0","W","      26.4","W","",""
"USW00024257","2017","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.7","W","   1348.7","","    1348.7","W","        85","W","        53","W","        10","W","        0","","         1","W","         0","W","        26","W","         0","W","       211","W","       120","W","        97"," ","        10"," ","        15"," ","   -2.7","W,1212, ","     0"," ,W,1231,+","    76"," ,W,0107, ","  50.8"," ,W,0110, ","   45.6","W,0902, ","0.0","W,1208","-2.7","W,1212","","","","","","","0.0","W,0302","","","","","","","","","    1474.2","2","    1474.2","W","    881.6"," ,W","       76"," ,W","     18.19","W","     25.32","W","     11.06","W","","","","","       170","W","       170","W","","","","","      20.1","W","      25.9","W","",""
"USW00024257","2018","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.4","W","   1183.0","","    1183.0","W","        66","W","        44","W","         6","W","        0","","         0","W","         0","W","        24","W","         0","W","       234","W","       111","W","        74"," ","         9"," ","        11"," ","   -3.8","W,0224,+","     0"," ,W,1231,+","     0"," ,W,1231,+","  66.0"," ,W,0406, ","   45.0","W,0726, ","-0.5","W,1110","","","","","","","","","-1.6","W,0305","-2.7","W,0225","","","","","","","    1316.8","8","    1316.8","W","    645.9"," ,W","        0"," ,W","     18.04","W","     25.67","W","     10.41","W","","","","","       180","W","       170","W","","","","","      17.4","W","      21.9","W","",""
"USW00024257","2019","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.8","W","   1149.3","","    1149.3","W","        93","W","        65","W","         9","W","        1","","         2","W","         0","W","        21","W","         0","W","       221","W","       102","W","        95"," ","        11"," ","        26"," ","   -2.1","W,0210, ","   150"," ,W,0213, ","   152"," ,W,0213, ","  69.1"," ,W,1207, ","   42.8","W,0815, ","-1.0","W,1031","","","","","","","","","-0.5","W,0223","","","","","","","","","    1329.4","4","    1329.4","W","   1093.5"," ,W","      228"," ,W","     17.61","W","     24.53","W","     10.69","W","","","","","       160","W","","","","","","","      21.9","W","","","",""
"USW00024257","2020","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.4","W","   1338.0","","    1338.0","W","        55","W","        33","W","         4","W","        0","","         0","W","         0","W","        17","W","         0","W","       233","W","       129","W","        66"," ","         6"," ","        14"," ","   -3.8","W,1112, ","     0"," ,W,1231,+","     0"," ,W,1231,+","  36.1"," ,W,0317, ","   44.4","W,0907,+","-1.6","W,1110","-3.2","W,1111","","","","","","","-0.5","W,0319","","","","","","","","","    1308.8","8","    1308.8","W","    453.6"," ,W","        0"," ,W","     18.38","W","     26.15","W","     10.62","W","","","","","        20","W","        10","W","","","","","      18.3","W","      22.4","W","",""
"USW00024257","2021","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.5","W","   1324.3","","    1324.3","W","        76","W","        46","W","         7","W","        0","","         1","W","         0","W","        15","W","         0","W","       228","W","       123","W","        79"," ","        17"," ","         7"," ","   -4.3","W,0126, ","     0"," ,W,1231,+","    38"," ,W,0127, ","  75.9"," ,W,1024, ","   46.7","W,0815, ","-0.5","W,1210","","","","","","","","","-1.0","W,0227","-4.3","W,0126","","","","","","","    1306.6","6","    1306.6","W","    610.0"," ,W","       38"," ,W","     18.19","W","     25.66","W","     10.72","W","","","","","       170","W","","","","","","","      21.0","W","","","",""
"USW00024257","2022","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.5","W","   1363.4","","    1363.4","W","        52","W","        30","W","         5","W","        0","","         0","W","         0","W","        33","W","         0","W","       246","W","       120","W","        59"," ","         8"," ","         7"," ","   -4.3","W,0224, ","     0"," ,W,1231,+","     0"," ,W,1231,+","  43.4"," ,W,1230, ","   46.1","W,0906, ","-1.6","W,1120","-2.7","W,1218","","","","","","","-0.5","W,0412","-3.8","W,0225","","","","","","","    1270.3","3","    1270.3","W","    430.3"," ,W","        0"," ,W","     18.43","W","     26.41","W","     10.45","W","","","","","       170","W","       170","W","","","","","      21.5","W","      26.8","W","",""
"USW00024257","2023","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","","","   1266.2","","    1266.2","W","        81","W","        58","W","        14","W","        2","","         2","W","         0","W","        21","W","         0","W","       208","W","       114","W","        84"," ","         6"," ","        14"," ","   -2.7","W,0225, ","   130"," ,W,0224, ","   127"," ,W,0224, ","  74.7"," ,W,0314, ","   45.0","W,0815,+","-1.6","W,1126","","","","","","","","","0.0","W,0404","-2.7","W,0225","","","","","","","    1652.7","7","    1652.7","W","   1019.2"," ,W","      178"," ,W","     17.69","W","     24.65","W","     10.72","W","","","","","","","","","","","","","","","","","",""
