"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00291153","1998","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1381.2","","    1381.2","0","        32","0","        12","0","         0","0","","","         0","0","         0","0","        64","0","         0","0","       247","0","       143","0","  -10.0","0,1223, ","","","     0"," ,0,1231,+","  15.2"," ,0,0813, ","   43.9","0,0628,+","","","-1.1","0,1111","-5.0","0,1208","-5.0","0,1208","-8.9","0,1222","-8.9","0,1222","-0.6","0,0418","-2.2","0,0313","-5.0","0,0311","","","","","    1663.7","7","    1663.7","0","    114.0"," ,0","        0"," ,0","     18.04","0","     26.84","0","      9.23","0"
"USC00291153","1999","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1127.1","","    1127.1","0","        34","0","        25","0","         3","0","        0","","         1","0","         0","0","        68","0","         0","0","       282","0","       115","0","  -10.0","0,0105, ","     0"," ,0,1231,+","    51"," ,0,0129, ","  43.2"," ,0,0825, ","   42.2","0,0701, ","","","-0.6","0,1103","-2.8","0,1124","-5.6","0,1125","-7.8","0,1213","","","0.0","0,0320","-7.2","0,0213","-7.2","0,0213","-7.2","0,0213","-10.0","0,0105","    1181.6","6","    1181.6","0","    291.1"," ,0","       51"," ,0","     17.87","0","     26.83","0","      8.91","0"
"USC00291153","2000","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1348.5","","    1348.5","0","        42","0","        25","0","         2","0","        2","","         1","0","         0","0","        74","0","         0","0","       257","0","       140","0","   -9.4","0,0130,+","    51"," ,0,1118,+","    25"," ,0,1227, ","  37.3"," ,0,1104, ","   42.8","0,0524, ","","","-1.1","0,1108","-2.2","0,1118","-6.7","0,1119","-6.7","0,1119","","","0.0","0,0319","-3.9","0,0317","-4.4","0,0203","-9.4","0,0130","-9.4","0,0130","    1259.7","7","    1259.7","0","    278.7"," ,0","       38"," ,0","     17.98","0","     26.44","0","      9.52","0"
"USC00291153","2001","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1327.3","","    1327.3","0","        44","0","        17","0","         1","0","","","         2","0","         0","0","        73","0","         0","0","       245","0","       136","0","   -7.8","0,1225,+","","","    64"," ,0,0128, ","  27.9"," ,0,0728, ","   41.1","0,0716,+","","","-1.1","0,1120","-5.0","0,1128","-5.0","0,1128","-7.8","0,1129","","","0.0","0,0305","-2.2","0,0211","-4.4","0,0203","-6.7","0,0202","","","    1683.3","3","    1683.3","0","    211.9"," ,0","      110"," ,0","     17.85","0","     26.23","0","      9.47","0"
"USC00291153","2002","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1374.5","","    1374.5","0","        56","0","        25","0","         2","0","        0","","         2","0","         0","0","        76","0","         0","0","       240","0","       133","0","  -10.6","0,0304, ","     0"," ,0,1231,+","    51"," ,0,0101, ","  34.5"," ,0,0704, ","   42.2","0,0828,+","","","-0.6","0,1106","-2.8","0,1127","-5.0","0,1225","","","","","0.0","0,0323","-6.7","0,0305","-6.7","0,0305","-6.7","0,0305","-10.6","0,0304","    1440.0","0","    1440.0","0","    337.7"," ,0","      115"," ,0","     17.63","0","     25.78","0","      9.48","0"
"USC00291153","2003","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1247.9","","    1247.9","0","        34","0","        19","0","         0","0","        0","","         0","0","         0","0","        73","0","         1","0","       264","0","       114","0","   -9.4","0,1224, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  22.4"," ,0,0829, ","   41.7","0,0805, ","","","0.0","0,1119","-5.6","0,1124","-5.6","0,1124","-6.7","0,1128","-9.4","0,1224","0.0","0,0409","-2.2","0,0228","-6.7","0,0226","-6.7","0,0226","","","    1534.2","2","    1534.2","0","    189.7"," ,0","        0"," ,0","     17.81","0","     26.33","0","      9.29","0"
"USC00291153","2004","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1020.1","","    1020.1","0","        80","0","        40","0","         5","0","        0","","         3","0","         0","0","        64","0","         4","0","       224","0","       100","0","  -12.2","0,0214, ","     0"," ,0,1231,+","   102"," ,0,1224, "," 114.3"," ,0,0404, ","   40.6","0,0616, ","","","-1.7","0,1103","-4.4","0,1130","-4.4","0,1130","-9.4","0,1224","-9.4","0,1224","0.0","0,0227","-2.8","0,0218","-11.1","0,0215","-11.1","0,0215","-11.1","0,0215","    1515.6","6","    1515.6","0","    664.4"," ,0","      152"," ,0","     16.29","0","     23.95","0","      8.63","0"
"USC00291153","2005","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1717.6","6","    1717.6","0","","","","","","","","","",""
"USC00291153","2007","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    985.7","","     985.7","0","        62","0","        38","0","         4","0","","","         8","0","         0","0","        90","0","         7","0","       252","0","        86","0","   -8.3","0,1229,+","","","   114"," ,0,0123, ","  53.6"," ,0,0921, ","   41.7","0,0821, ","","","-1.1","0,1023","-3.3","0,1115","-4.4","0,1213","-7.8","0,1216","","","-1.7","0,0409","-2.2","0,0408","-4.4","0,0306","-6.7","0,0304","","","","","","","    505.9"," ,0","      457"," ,0","     16.26","0","     24.50","0","      8.03","0"
"USC00291153","2010","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1071.0","","    1071.0","0","        54","0","        33","0","         5","0","        3","","         2","0","         0","0","        94","0","         1","0","       249","0","       104","0","  -10.6","0,1126, ","    25"," ,0,0223,+","    25"," ,0,0223,+","  67.6"," ,0,0617, ","   44.4","0,0606, ","","","0.0","0,1110","-3.3","0,1113","-10.6","0,1126","-10.6","0,1126","-10.6","0,1126","-1.1","0,0409","-2.2","0,0408","-6.1","0,0225","-6.7","0,0130","-10.0","0,0109","    1839.6","6","    1839.6","0","    457.9"," ,0","       63"," ,0","     16.62","0","     25.20","0","      8.04","0"
"USC00291153","2011","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1414.4","","    1414.4","K","","","","","","","","","","","         3","K","        96","K","         7","K","       264","K","       139","K","  -21.1","K,0204, ","","","","","","","   43.3","K,0625, ","","","-2.8","K,1103","-2.8","K,1103","-7.8","K,1127","-7.8","K,1127","-12.2","K,1206","-0.6","K,0311","-4.4","K,0301","-4.4","K,0301","-11.1","K,0212","-11.1","K,0212","    1535.3","3","    1535.3","K","","","","","     17.45","K","     26.70","K","      8.20","K"
"USC00291153","2016","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","","","","","        41","7","        25","7","         3","7","        1","","         1","7","","","","","","","","","","","","","   203"," ,7,0101, ","    25"," ,7,0101, ","  78.2"," ,7,0908, ","","","    2777.9","7","","","","","","","","","","","","","","","","","","","","","","","","","    321.1"," ,7","       25"," ,7","","","","","",""
"USC00291153","2017","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1191.7","","    1191.7","7","        43","7","        29","7","         2","7","        0","","         0","7","         0","7","        53","7","         1","7","       271","7","       113","7","  -12.2","7,0107, ","     0"," ,7,1231,+","    20"," ,7,1207, ","  40.6"," ,7,0413, ","   42.8","7,0618, ","    2821.7","7","0.0","7,1028","-3.3","7,1119","-4.4","7,1120","-6.7","7,1213","","","0.0","7,0304","-2.2","7,0217","-7.8","7,0128","-7.8","7,0128","-10.0","7,0108","","","","","    346.3"," ,7","       20"," ,7","     18.20","7","     26.54","7","      9.85","7"
"USC00291153","2018","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1354.6","","    1354.6","7","        41","7","        21","7","         2","7","        0","","         0","7","         0","7","        88","7","         3","7","       248","7","       121","7","  -14.4","7,0103, ","     0"," ,7,1231,+","    13"," ,7,1230, ","  35.6"," ,7,1024, ","   42.8","7,0623, ","    3009.3","7","-7.2","7,1113","-7.2","7,1113","-7.2","7,1113","-7.2","7,1113","","","-1.7","7,0308","-5.0","7,0307","-5.0","7,0307","-7.2","7,0226","-8.9","7,0125","    1525.9","9","    1525.9","7","    261.5"," ,7","       13"," ,7","     17.33","7","     25.70","7","      8.97","7"
"USC00291153","2019","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1320.7","","    1320.7","7","        34","7","        23","7","         2","7","        0","","         0","7","         0","7","        64","7","         2","7","       249","7","       122","7","   -8.9","7,1219, ","     0"," ,7,1231,+","     0"," ,7,1231,+","  72.9"," ,7,1001, ","   43.3","7,0827, ","    2881.8","7","-2.2","7,1025","-2.2","7,1025","-7.8","7,1031","-7.8","7,1031","-8.9","7,1219","-7.8","7,0306","-7.8","7,0306","-7.8","7,0306","-7.8","7,0306","","","    1666.0","0","    1666.0","7","    288.6"," ,7","        0"," ,7","     17.44","7","     25.59","7","      9.29","7"
"USC00291153","2020","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1387.0","","    1387.0","7","        33","7","        11","7","         1","7","        0","","         3","7","         0","7","        80","7","         2","7","       248","7","       144","7","  -10.6","7,1224, ","     0","T,7,1231, ","    76"," ,7,0212, ","  34.8"," ,7,0304, ","   44.4","7,0714, ","    3097.8","7","-5.0","7,1027","-5.0","7,1027","-5.0","7,1027","-8.9","7,1203","-8.9","7,1203","-6.1","7,0228","-6.1","7,0228","-6.1","7,0228","-8.3","7,0207","","","    1608.4","4","    1608.4","7","    118.7"," ,7","      165"," ,7","     17.73","7","     26.52","7","      8.94","7"
"USC00291153","2021","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1101.5","","    1101.5","7","        48","7","        24","7","         3","7","        4","","         4","7","         0","7","        76","7","         5","7","       260","7","       100","7","  -15.6","7,0215,+","    25"," ,7,0218,+","    38"," ,7,0219,+","  71.4"," ,7,0630, ","   43.3","7,0611, ","    2632.8","7","0.0","7,1112","-2.8","7,1126","-6.7","7,1212","-6.7","7,1212","","","-3.3","7,0326","-3.3","7,0326","-6.1","7,0303","-12.2","7,0220","-12.2","7,0220","    1784.0","0","    1784.0","7","    367.5"," ,7","      165"," ,7","     17.02","7","     25.50","7","      8.54","7"
"USC00291153","2022","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1309.6","","    1309.6","7","        38","7","        19","7","         2","7","        0","","         0","7","         0","7","       103","7","         2","7","       243","7","       122","7","  -15.0","7,0204, ","     0","T,7,0120, ","    13"," ,7,1125, ","  80.0"," ,7,0821, ","   43.3","7,0612, ","    2799.8","7","0.0","7,1025","-4.4","7,1112","-4.4","7,1112","-8.9","7,1217","-8.9","7,1217","-2.2","7,0325","-2.2","7,0325","-5.0","7,0313","-9.4","7,0312","-9.4","7,0312","    1559.7","7","    1559.7","7","    287.7"," ,7","       18"," ,7","     16.87","7","     25.36","7","      8.39","7"
"USC00291153","2023","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1427.0","","    1427.0","7","        44","7","        16","7","         1","7","        0","","         2","7","         0","7","        77","7","         2","7","       245","7","       122","7","   -8.9","7,0217, ","     0"," ,7,1231,+","    51"," ,7,0124, ","  66.8"," ,7,1003, ","   43.3","7,0720,+","    3067.4","7","0.0","7,1030","-3.3","7,1031","-6.1","7,1210","","","","","0.0","7,0408","-2.8","7,0320","-8.3","7,0218","-8.3","7,0218","-8.9","7,0217","    1647.6","6","    1647.6","7","    207.7"," ,7","       76"," ,7","     18.02","7","     26.53","7","      9.50","7"
"USC00291153","2024","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1430.6","","    1430.6","7","        43","7","        16","7","         0","7","        0","","         0","7","         0","7","        61","7","         0","7","       259","7","       133","7","  -12.8","7,0116, ","     0"," ,7,1231,+","     0"," ,7,1231,+","  23.1"," ,7,0902, ","   41.7","7,0618,+","    2944.7","7","0.0","7,1109","-2.8","7,1201","-6.7","7,1211","-6.7","7,1211","","","0.0","7,0410","-2.2","7,0219","-4.4","7,0218","-10.6","7,0118","-10.6","7,0118","    1497.1","1","    1497.1","7","    173.3"," ,7","        0"," ,7","     18.42","7","     26.73","7","     10.12","7"
