"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003028","2009","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","","","    509.4","","     509.4","W","        70","W","        35","W","         2","W","","","         2","W","       145","W","        16","W","       174","W","        52","W","","","","","  -22.1","W,1209, ","","","  39.1"," ,W,0911, ","   37.8","W,0712, ","0.0","W,1001","-4.9","W,1010","-4.9","W,1010","-7.1","W,1117","-14.3","W,1203","0.0","W,0418","-3.2","W,0408","-6.0","W,0407","-7.1","W,0406","-9.3","W,0328","    2654.6","6","    2654.6","W","    441.9"," ,W","","","     11.77","W","     20.02","W","      3.52","W","","","","","","","",""
"USW00003028","2010","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.3","W","    709.7","","     709.7","W","        77","W","        34","W","         3","W","","","         3","W","       153","W","        11","W","       192","W","        74","W","","","","","  -21.0","W,0108, ","","","  46.2"," ,W,0922, ","   38.9","W,0803,+","-2.7","W,1026","-2.7","W,1026","-4.9","W,1027","-7.1","W,1112","-11.0","W,1123","-0.5","W,0514","-5.5","W,0408","-5.5","W,0408","-8.2","W,0325","-11.0","W,0223","    3124.1","1","    3124.1","W","    391.7"," ,W","","","     12.47","W","     20.81","W","      4.13","W","       180","W","       180","W","      30.0","W","      36.2","W"
"USW00003028","2011","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","","","    833.9","","     833.9","W","        72","W","        18","W","         1","W","","","        12","W","       158","W","        21","W","       195","W","        95","W","","","","","  -27.7","W,0202, ","","","  27.2"," ,W,1219, ","   40.0","W,0629, ","-1.6","W,1019","-6.0","W,1027","-6.0","W,1027","-7.1","W,1103","-10.5","W,1203","-0.5","W,0516","-3.8","W,0502","-6.6","W,0325","-8.2","W,0314","-9.9","W,0305","    2779.6","6","    2779.6","W","    193.5"," ,W","","","     12.40","W","     21.41","W","      3.38","W","","","","","","","",""
"USW00003028","2012","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.2","W","    769.9","","     769.9","W","        54","W","        17","W","         2","W","","","         1","W","       122","W","         9","W","       209","W","        83","W","","","         1"," ","  -18.8","W,1226, ","","","  32.5"," ,W,0926, ","   41.7","W,0627, ","-0.5","W,1008","-5.5","W,1026","-5.5","W,1026","-10.5","W,1112","-10.5","W,1112","0.0","W,0416","-7.7","W,0309","-7.7","W,0309","-7.7","W,0309","-9.9","W,0224","    2651.6","6","    2651.6","W","    217.6"," ,W","","","     13.49","W","     22.19","W","      4.78","W","       360","W","        80","W","      24.1","W","      30.9","W"
"USW00003028","2013","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.2","W","    738.6","","     738.6","W","        65","W","        26","W","         4","W","         0","W","         0","W","       169","W","        19","W","       184","W","        74","W","","","         2"," ","  -17.7","W,1209, ","     0"," ,W,1231,+","  38.1"," ,W,0807, ","   41.7","W,0627, ","-0.5","W,1005","-2.7","W,1006","-5.5","W,1018","-8.8","W,1106","-9.3","W,1124","0.0","W,0506","-4.9","W,0503","-4.9","W,0503","-8.8","W,0424","-10.5","W,0410","    2922.0","0","    2922.0","W","    362.7"," ,W","        0"," ,W","     11.97","W","     20.50","W","      3.45","W","       330","W","       330","W","      31.7","W","      40.2","W"
"USW00003028","2014","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.4","W","    560.6","","     560.6","W","        73","W","        29","W","         2","W","","","         6","W","       158","W","        21","W","       191","W","        53","W","","","         3"," ","  -23.2","W,0106, ","","","  44.5"," ,W,0716, ","   38.9","W,0630, ","-0.5","W,1028","-3.2","W,1031","-7.7","W,1110","-7.7","W,1110","-13.8","W,1111","-1.0","W,0514","-2.7","W,0502","-6.6","W,0415","-7.1","W,0323","-19.9","W,0303","    2941.0","0","    2941.0","W","    359.3"," ,W","","","     11.70","W","     20.27","W","      3.13","W","       350","W","       340","W","      24.6","W","      30.4","W"
"USW00003028","2015","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.1","W","    608.9","","     608.9","W","        85","W","        36","W","         2","W","","","         0","W","       134","W","        23","W","       191","W","        62","W","         1"," ","         2"," ","  -17.7","W,0104, ","","","  55.6"," ,W,0519, ","   38.9","W,0806, ","-1.6","W,1105","-2.7","W,1107","-5.5","W,1111","-7.7","W,1118","-11.0","W,1119","0.0","W,0510","-4.9","W,0410","-4.9","W,0410","-15.5","W,0305","-15.5","W,0305","    2875.7","7","    2875.7","W","    362.7"," ,W","","","     12.27","W","     20.31","W","      4.22","W","       330","W","       280","W","      21.5","W","      28.2","W"
"USW00003028","2016","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.3","W","    562.3","","     562.3","W","","","","","","","","","         4","W","       148","W","        11","W","       201","W","        58","W","","","","","  -25.5","W,1218, ","","","","","   39.4","W,0723, ","-0.5","W,1006","-4.3","W,1007","-5.5","W,1109","-12.1","W,1118","-12.1","W,1118","-1.6","W,0502","-6.6","W,0402","-6.6","W,0402","-7.7","W,0401","-14.9","W,0320","    2795.3","3","    2795.3","W","","","","","     12.33","W","     21.40","W","      3.25","W","       360","W","       160","W","      24.6","W","      65.7","W"
"USW00003028","2017","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.1","W","    457.8","","     457.8","W","","","","","","","","","         2","W","       150","W","        13","W","       204","W","        43","W","","","","","  -22.7","W,0107, ","","","","","   38.3","W,0622, ","-1.6","W,1010","-3.2","W,1015","-4.9","W,1022","-8.8","W,1027","-11.0","W,1205","-0.5","W,0504","-3.2","W,0423","-5.5","W,0313","-7.1","W,0311","-12.1","W,0307","    2665.9","9","    2665.9","W","","","","","     12.13","W","     20.74","W","      3.52","W","       330","W","       330","W","      25.0","W","      31.3","W"
"USW00003028","2018","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.4","W","    593.6","","     593.6","W","        75","W","        24","W","         5","W","","","         3","W","       164","W","        12","W","       186","W","        61","W","","","         1"," ","  -22.1","W,0116, ","","","  36.3"," ,W,0619, ","   40.0","W,0720, ","-4.3","W,1016","-4.3","W,1016","-7.1","W,1108","-7.1","W,1108","-13.2","W,1112","-0.5","W,0503","-2.7","W,0427","-4.9","W,0419","-8.2","W,0407","-9.3","W,0312","    2793.2","2","    2793.2","W","    409.3"," ,W","","","     11.72","W","     20.64","W","      2.81","W","       340","W","       350","W","      26.4","W","      34.0","W"
"USW00003028","2019","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.1","W","    583.3","","     583.3","W","        77","W","        37","W","         1","W","","","         2","W","       176","W","        16","W","       181","W","        66","W","","","         1"," ","  -19.3","W,0304, ","","","  36.8"," ,W,0603, ","   39.4","W,0719, ","0.0","W,1007","-6.6","W,1010","-6.6","W,1010","-12.1","W,1011","-12.1","W,1011","-1.0","W,0522","-3.2","W,0419","-5.5","W,0414","-7.1","W,0412","-18.8","W,0305","    3240.5","5","    3240.5","W","    361.9"," ,W","","","     11.10","W","     19.92","W","      2.28","W","       320","W","       320","W","      24.1","W","      33.1","W"
"USW00003028","2020","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.7","W","    770.3","","     770.3","W","        71","W","        25","W","         0","W","","","         1","W","       144","W","        12","W","       205","W","        97","W","","","         2"," ","  -20.5","W,0205, ","","","  24.6"," ,W,1209, ","   40.0","W,0713,+","0.0","W,0909","-3.8","W,1023","-8.2","W,1025","-8.2","W,1025","-10.5","W,1026","0.0","W,0510","-6.0","W,0417","-6.0","W,0417","-7.7","W,0403","-12.7","W,0226","    2839.9","9","    2839.9","W","    258.3"," ,W","","","     13.05","W","     22.09","W","      4.01","W","       350","W","       320","W","      24.6","W","      33.5","W"
"USW00003028","2021","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003028","2022","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.3","W","    759.2","","     759.2","W","        61","W","        29","W","         1","W","","","         8","W","       153","W","        13","W","       189","W","        78","W","","","","","  -23.2","W,0203, ","","","  51.6"," ,W,0816, ","   41.1","W,0719, ","-1.6","W,1017","-3.8","W,1025","-4.9","W,1104","-9.9","W,1111","-9.9","W,1111","-1.0","W,0424","-4.9","W,0416","-4.9","W,0416","-7.1","W,0414","-11.0","W,0311","    2570.5","5","    2570.5","W","    275.3"," ,W","","","     12.43","W","     21.51","W","      3.35","W","       190","W","       190","W","      24.1","W","      34.0","W"
"USW00003028","2023","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","","","","","","","        67","W","        34","W","         1","W","","","","","","","","","","","","","","","","","","","","","  46.7"," ,W,0812, ","","","","","","","","","","","","","","","","","","","","","","","    2823.1","1","    2823.1"," ","    357.5"," ,W","","","","","","","","","","","","","","","",""
"USW00003028","2024","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","","","","","","","        57","D","        27","D","         2","D","","","","","","","","","","","","","","","         3"," ","","","","","  33.0"," ,D,0917, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    319.2"," ,D","","","","","","","","","","","","","","","",""
