"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"JA000047606","1972","36.8","137.05","13.0","FUSHIKI, JA","    654.4","","     654.4","I","       197","I","       153","I","        28","I","         0","I","        30","I","         0","I","       156","I","        19","I","   -2.9","I,0302, ","  90.0"," ,I,0712, ","   36.2","I,0724, ","-0.6","I,1213","","","","","","","-0.9","I,0403","-2.9","I,0302","","","","","    2168.0","0","    2168.0","I","   2423.0"," ,I","     14.28","I","     18.21","I","     10.35","I"
"JA000047606","1973","36.8","137.05","13.0","FUSHIKI, JA","    765.9","","     765.9","I","       196","I","       148","I","        23","I","         0","I","        50","I","         0","I","       149","I","        25","I","   -4.7","I,1225, ","  67.0"," ,I,1008, ","   36.4","I,0817, ","-0.1","I,1204","-2.3","I,1212","-4.7","I,1225","","","-0.2","I,0327","-2.8","I,0306","","","","","    2150.0","0","    2150.0","I","   2329.5"," ,I","     14.12","I","     17.99","I","     10.25","I"
"JA000047606","1974","36.8","137.05","13.0","FUSHIKI, JA","    589.2","","     589.2","I","       193","I","       145","I","        23","I","         0","I","        54","I","         1","I","       153","I","        12","I","   -5.9","I,0215, "," 110.5"," ,I,0908, ","   36.3","I,0902, ","-0.3","I,1230","","","","","","","-0.3","I,0323","-3.8","I,0314","-4.7","I,0301","","","    2467.5","5","    2467.5","I","   2272.5"," ,I","     13.24","I","     16.95","I","      9.52","I"
"JA000047606","1975","36.8","137.05","13.0","FUSHIKI, JA","    751.8","","     751.8","I","       196","I","       150","I","        19","I","         0","I","        55","I","         1","I","       143","I","        26","I","   -5.5","I,0218, ","  63.5"," ,I,0806, ","   35.7","I,0805, ","-0.6","I,1217","","","","","","","-0.7","I,0326","-2.6","I,0301","-5.0","I,0219","","","    2395.4","4","    2395.4","I","   2032.0"," ,I","     14.01","I","     17.54","I","     10.49","I"
"JA000047606","1976","36.8","137.05","13.0","FUSHIKI, JA","    523.6","","     523.6","I","       185","I","       152","I","        30","I","         0","I","        53","I","         2","I","       140","I","        10","I","   -7.1","I,0116, "," 172.0"," ,I,0814, ","   35.6","I,0724, ","-0.1","I,1207","-2.3","I,1227","-6.8","I,1230","-6.8","I,1230","-0.5","I,0408","-4.1","I,0213","-4.5","I,0124","-7.1","I,0116","    2294.6","6","    2294.6","I","   2797.5"," ,I","     13.12","I","     16.82","I","      9.42","I"
"JA000047606","1977","36.8","137.05","13.0","FUSHIKI, JA","    683.1","","     683.1","I","       177","I","       132","I","        11","I","         0","I","        63","I","        13","I","       145","I","        12","I","   -6.7","I,0116, ","  67.5"," ,I,0808, ","   36.4","I,0804, ","-0.2","I,1221","-2.4","I,1229","","","","","0.0","I,0404","-4.3","I,0306","-5.1","I,0305","-6.7","I,0116","    2518.8","8","    2518.8","I","   1798.0"," ,I","     13.82","I","     17.42","I","     10.21","I"
"JA000047606","1978","36.8","137.05","13.0","FUSHIKI, JA","    832.3","","     832.3","I","       180","I","       130","I","        22","I","         0","I","        54","I","         4","I","       143","I","        39","I","   -8.7","I,0217, "," 112.0"," ,I,0818, ","   39.4","I,0802, ","-0.4","I,1206","-2.9","I,1230","","","","","-0.2","I,0405","-2.2","I,0313","-8.7","I,0217","-8.7","I,0217","    2222.8","8","    2222.8","I","   1873.5"," ,I","     14.18","I","     18.10","I","     10.26","I"
"JA000047606","1979","36.8","137.05","13.0","FUSHIKI, JA","    719.1","","     719.1","I","       183","I","       132","I","        19","I","         0","I","        23","I","         0","I","       164","I","        10","I","   -4.0","I,0120, ","  74.5"," ,I,0702, ","   37.1","I,0818, ","0.0","I,1219","","","","","","","-1.1","I,0319","-4.0","I,0120","","","","","    2138.0","0","    2138.0","I","   1991.5"," ,I","     14.67","I","     18.57","I","     10.77","I"
"JA000047606","1980","36.8","137.05","13.0","FUSHIKI, JA","    538.5","","     538.5","I","       202","I","       150","I","        32","I","         0","I","        53","I","         1","I","       148","I","         5","I","   -4.4","I,0217, "," 122.0"," ,I,0707, ","   35.1","I,0911, ","-0.3","I,1213","","","","","","","0.0","I,0403","-4.3","I,0223","-4.4","I,0217","","","    2255.2","2","    2255.2","I","   2737.0"," ,I","     13.17","I","     16.77","I","      9.57","I"
"JA000047606","1981","36.8","137.05","13.0","FUSHIKI, JA","    672.1","","     672.1","I","       192","I","       149","I","        22","I","         0","I","        66","I","         5","I","       142","I","        17","I","   -6.0","I,0118, ","  83.5"," ,I,0702, ","   35.7","I,0831, ","-0.3","I,1202","","","","","","","0.0","I,0318","-3.4","I,0312","-5.5","I,0227","","","    2489.3","3","    2489.3","I","   2029.5"," ,I","     13.27","I","     17.03","I","      9.50","I"
