"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00129430","1911","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","","","       132","0","        82","0","         2","0","       15","","         8","0","","","","","","","","","","","         9"," ","","","","","   127"," ,0,0118, ","   102"," ,0,0117, ","  36.6"," ,0,0717, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    848.6"," ,0","      441"," ,0","","","","","",""
"USC00129430","1912","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","","","       123","0","        79","0","         3","0","","","        11","0","        19","0","       132","0","        49","0","       154","0","        14","0","         5"," ","","","  -28.3","0,0113, ","","","    81"," ,0,0311, ","  33.0"," ,0,0614, ","   35.0","0,0906, ","0.0","0,0930","-4.4","0,1102","-4.4","0,1102","-7.2","0,1128","-11.7","0,1209","0.0","0,0423","-2.8","0,0403","-5.0","0,0326","-7.2","0,0323","-11.1","0,0311","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    894.1"," ,0","      508"," ,0","      9.51","0","     15.03","0","      3.99","0"
"USC00129430","1913","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","","","       115","0","        79","0","         7","0","        6","","         6","0","        10","0","       111","0","        31","0","       154","0","        47","0","        13"," ","","","  -20.6","0,0207,+","   152"," ,0,0326,+","   152"," ,0,0326, ","  51.3"," ,0,0323, ","   38.9","0,0730, ","-2.2","0,1021","-2.2","0,1021","-5.0","0,1101","-8.9","0,1111","-8.9","0,1111","0.0","0,0408","-4.4","0,0329","-4.4","0,0329","-7.8","0,0322","-10.0","0,0318","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    934.2"," ,0","      498"," ,0","     11.41","0","     17.09","0","      5.74","0"
"USC00129430","1914","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","","","        96","0","        51","0","         4","0","       41","","         8","0","","","","","","","","","","","         7"," ","","","","","   254"," ,0,1214,+","   114"," ,0,1209, ","  38.6"," ,0,0820,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    652.4"," ,0","      631"," ,0","","","","","",""
"USC00129430","1915","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","","","       118","0","        66","0","         8","0","       26","","         6","0","","","","","","","","","","","         3"," ","","","","","   305"," ,0,1228, ","   203"," ,0,1225, ","  48.3"," ,0,0821, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    879.1"," ,0","      620"," ,0","","","","","",""
"USC00129430","1916","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","","","       114","0","        83","0","        10","0","       32","","         7","0","        11","0","       120","0","","","","","","","","","","","  -20.6","0,1223,+","   127"," ,0,1222,+","   102"," ,0,0206, ","  49.5"," ,0,1205, ","","","0.0","0,1021","-8.9","0,1114","-8.9","0,1114","-8.9","0,1114","-8.9","0,1114","-0.6","0,0410","-2.8","0,0409","-4.4","0,0323","-10.0","0,0317","-10.0","0,0317","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    995.1"," ,0","      421"," ,0","","","","","      5.00","0"
"USC00129430","1917","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","","","       108","0","        65","0","        10","0","       40","","        14","0","        22","0","       129","0","","","","","","","","","","","  -24.4","0,1216,+","   127"," ,0,1217,+","    76"," ,0,0205,+","  41.9"," ,0,0313, ","","","-1.1","0,1009","-3.3","0,1023","-5.6","0,1030","-7.2","0,1206","-12.8","0,1207","-1.7","0,0415","-3.9","0,0414","-4.4","0,0319","-10.0","0,0306","-10.0","0,0306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    863.1"," ,0","      610"," ,0","","","","","      3.45","0"
"USC00129430","1918","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","","","       108","0","        75","0","         7","0","       36","","         7","0","        19","0","       106","0","","","","","","","         1"," ","","","  -28.9","0,0113,+","   254"," ,0,0125,+","    89"," ,0,0111, ","  79.2"," ,0,0905, ","","","-1.7","0,1102","-3.3","0,1123","-5.6","0,1124","-6.7","0,1125","-8.9","0,1226","0.0","0,0414","-3.9","0,0411","-4.4","0,0410","-7.2","0,0311","-16.1","0,0222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1003.9"," ,0","      391"," ,0","","","","","      5.18","0"
"USC00129430","1919","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    723.7","","     723.7","0","       111","0","        73","0","         8","0","       14","","         3","0","         4","0","       110","0","        30","0","       162","0","        46","0","","","","","  -21.1","0,0104, ","    76"," ,0,1219, ","    76"," ,0,0309, ","  43.7"," ,0,0315, ","   36.1","0,0713, ","0.0","0,1029","-3.3","0,1105","-8.3","0,1113","-8.3","0,1113","-12.8","0,1203","-1.1","0,0426","-2.8","0,0425","-8.3","0,0306","-8.3","0,0306","-11.1","0,0301","    2797.8","8","","","","","","","","","    2797.8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    855.1"," ,0","      203"," ,0","     12.10","0","     17.50","0","      6.69","0"
"USC00129430","1920","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    564.5","","     564.5","0","       109","0","        64","0","         8","0","       37","","         9","0","         7","0","       123","0","        42","0","       166","0","        17","0","","","","","  -23.3","0,1228, ","   152"," ,0,1227,+","   127"," ,0,0109, ","  56.4"," ,0,0714, ","   36.1","0,0723, ","-1.1","0,1029","-4.4","0,1111","-4.4","0,1111","-10.0","0,1112","-10.0","0,1112","-0.6","0,0414","-3.9","0,0413","-4.4","0,0407","-6.7","0,0406","-11.7","0,0308","    3362.8","8","","","","","","","","","    3362.8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    825.5"," ,0","      640"," ,0","     11.01","0","     16.36","0","      5.66","0"
"USC00129430","1921","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    816.9","","     816.9","0","       121","0","        85","0","         9","0","       14","","         2","0","         0","0","        92","0","        12","0","       172","0","        41","0","         2"," ","","","  -13.3","0,0117, ","   127"," ,0,1113, ","   102"," ,0,1112, ","  55.9"," ,0,0802, ","   36.7","0,0706,+","0.0","0,1013","-5.6","0,1112","-5.6","0,1112","-7.2","0,1218","","","-1.7","0,0418","-2.8","0,0411","-7.2","0,0329","-7.2","0,0329","-9.4","0,0218","    2568.9","9","","","","","","","","","    2568.9","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1142.4"," ,0","      200"," ,0","     13.56","0","     18.69","0","      8.43","0"
"USC00129430","1922","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    694.8","","     694.8","0","       103","0","        75","0","         7","0","       24","","         5","0","         3","0","       102","0","        25","0","       173","0","        27","0","         1"," ","","","  -21.7","0,1218, ","   127"," ,0,0122,+","    89"," ,0,0118, ","  35.3"," ,0,0824, ","   37.2","0,0903, ","-1.1","0,1018","-3.9","0,1121","-7.2","0,1125","-7.2","0,1125","-12.2","0,1212","0.0","0,0420","-3.9","0,0322","-7.8","0,0303","-7.8","0,0303","-10.6","0,0217","    2807.7","7","","","","","","","","","    2807.7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    828.9"," ,0","      397"," ,0","     12.49","0","     18.09","0","      6.89","0"
"USC00129430","1923","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    561.4","","     561.4","0","       119","0","        77","0","        10","0","       20","","        10","0","         2","0","       112","0","        16","0","       151","0","        17","0","         1"," ","","","  -19.4","0,0204, ","   178"," ,0,0107, ","   152"," ,0,0106, ","  59.4"," ,0,0512, ","   37.8","0,0622, ","0.0","0,1021","-5.6","0,1031","-5.6","0,1031","-7.8","0,1214","","","-0.6","0,0509","-2.2","0,0409","-7.2","0,0401","-7.2","0,0401","-10.0","0,0331","    3013.6","6","","","","","","","","","    3013.6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1036.3"," ,0","      514"," ,0","     11.53","0","     16.94","0","      6.13","0"
"USC00129430","1924","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    436.7","","     436.7","0","       130","0","        80","0","        10","0","       42","","        10","0","        11","0","       123","0","        45","0","       157","0","        16","0","","","","","  -28.9","0,1228, ","   178"," ,0,0120, ","   165"," ,0,0120, ","  68.6"," ,0,0809, ","   35.6","0,0805,+","0.0","0,1022","-3.3","0,1109","-7.2","0,1125","-7.2","0,1125","-10.6","0,1129","0.0","0,0411","-3.9","0,0402","-5.6","0,0401","-6.7","0,0308","-9.4","0,0225","    3166.6","6","","","","","","","","","    3166.6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1115.4"," ,0","      779"," ,0","     10.33","0","     15.78","0","      4.89","0"
"USC00129430","1925","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    742.6","","     742.6","0","       104","0","        74","0","         6","0","       36","","         7","0","         4","0","       118","0","        30","0","       163","0","        43","0","","","","","  -21.7","0,1227, ","   203"," ,0,0104,+","    64"," ,0,1222,+","  72.4"," ,0,0710, ","   37.8","0,0702, ","-1.1","0,1010","-3.3","0,1027","-5.0","0,1028","-6.7","0,1029","-10.6","0,1218","-0.6","0,0525","-5.6","0,0315","-5.6","0,0315","-15.6","0,0303","-15.6","0,0303","    2922.4","4","","","","","","","","","    2922.4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    843.5"," ,0","      390"," ,0","     11.88","0","     17.42","0","      6.33","0"
"USC00129430","1926","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    620.0","","     620.0","0","       137","0","        91","0","        10","0","       29","","        15","0","         4","0","       129","0","        38","0","       149","0","        29","0","","","","","  -18.9","0,0129,+","   178"," ,0,1228,+","   165"," ,0,0418, "," 104.4"," ,0,0814, ","   36.1","0,0721, ","0.0","0,1025","-2.2","0,1102","-5.0","0,1110","-7.8","0,1111","-8.9","0,1121","-0.6","0,0504","-2.8","0,0419","-4.4","0,0401","-10.0","0,0314","-10.0","0,0314","    3382.7","7","","","","","","","","","    3382.7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1200.3"," ,0","      964"," ,0","     10.91","0","     15.94","0","      5.88","0"
"USC00129430","1927","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    460.5","","     460.5","0","       129","0","        83","0","        21","0","       28","","         5","0","         2","0","        89","0","        17","0","       163","0","        18","0","         4"," ","","","  -26.7","0,0115, ","   279"," ,0,0116,+","   229"," ,0,0113, ","  85.1"," ,0,1130, ","   35.6","0,0915, ","0.0","0,1104","-5.0","0,1106","-5.0","0,1106","-6.7","0,1119","-16.1","0,1208","-2.2","0,0424","-2.2","0,0424","-8.3","0,0304","-8.3","0,0304","-17.2","0,0127","    2989.8","8","","","","","","","","","    2989.8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1412.0"," ,0","      414"," ,0","     12.00","0","     17.30","0","      6.69","0"
"USC00129430","1928","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    499.1","","     499.1","0","       116","0","        76","0","         5","0","       23","","         3","0","         4","0","       115","0","        19","0","       151","0","        15","0","         1"," ","","","  -22.2","0,0101, ","    76"," ,0,0218,+","    71"," ,0,0218, ","  85.9"," ,0,0619, ","   33.3","0,0816,+","-0.6","0,0924","-3.3","0,1030","-5.0","0,1123","-6.7","0,1125","-8.9","0,1126","-0.6","0,0428","-2.2","0,0416","-4.4","0,0415","-9.4","0,0305","-9.4","0,0305","    2986.4","4","","","","","","","","","    2986.4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    886.8"," ,0","      213"," ,0","     11.23","0","     16.41","0","      6.05","0"
"USC00129430","1929","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    532.5","","     532.5","0","       137","0","        80","0","        13","0","       51","","        13","0","        12","0","       100","0","        43","0","       147","0","         9","0","","","","","  -22.8","0,0201, ","   533"," ,0,1219, ","   356"," ,0,1218, ","  98.8"," ,0,0612, ","   34.4","0,0728, ","0.0","0,1025","-2.8","0,1120","-6.7","0,1121","-6.7","0,1121","-12.2","0,1122","0.0","0,0402","-10.0","0,0310","-10.0","0,0310","-10.0","0,0310","-10.0","0,0310","    3058.8","8","","","","","","","","","    3058.8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1280.6"," ,0","     1196"," ,0","     10.78","0","     16.11","0","      5.45","0"
"USC00129430","1930","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    712.8","","     712.8","0","       112","0","        63","0","         7","0","       31","","         7","0","         8","0","       110","0","        35","0","       167","0","        37","0","","","","","  -27.8","0,0118, ","   152"," ,0,0126,+","    89"," ,0,0117, ","  40.6"," ,0,0706, ","   37.8","0,0728,+","-1.1","0,1018","-2.2","0,1019","-6.1","0,1020","-7.8","0,1125","-10.6","0,1126","-0.6","0,0425","-2.2","0,0408","-5.6","0,0326","-8.9","0,0303","-8.9","0,0303","    3051.3","3","","","","","","","","","    3051.3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    776.0"," ,0","      504"," ,0","     12.17","0","     17.78","0","      6.55","0"
"USC00129430","1931","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    839.4","","     839.4","0","       116","0","        70","0","         8","0","       14","","         5","0","         0","0","        89","0","         8","0","       172","0","        53","0","         1"," ","","","  -15.0","0,0101, ","   178"," ,0,0307, ","   165"," ,0,0307, ","  39.6"," ,0,1011, ","   39.4","0,0702, ","0.0","0,1018","-2.2","0,1125","-4.4","0,1126","-7.2","0,1128","","","-0.6","0,0407","-2.8","0,0402","-6.1","0,0312","-7.2","0,0310","-11.1","0,0214","    2917.4","4","","","","","","","","","    2917.4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    903.0"," ,0","      466"," ,0","     13.63","0","     18.97","0","      8.29","0"
"USC00129430","1932","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    640.2","","     640.2","0","       116","0","        72","0","         3","0","       31","","         7","0","         2","0","       111","0","        30","0","       161","0","        26","0","","","","","  -22.8","0,1216, ","   178"," ,0,1116, ","   198"," ,0,1116, ","  80.5"," ,0,0904, ","   38.3","0,0720, ","0.0","0,1006","-2.2","0,1030","-4.4","0,1112","-6.7","0,1113","-8.9","0,1117","0.0","0,0427","-2.2","0,0413","-4.4","0,0323","-8.3","0,0315","-11.1","0,0314","    2489.6","6","","","","","","","","","    2489.6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    924.9"," ,0","      516"," ,0","     11.99","0","     17.61","0","      6.36","0"
"USC00129430","1933","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    845.4","","     845.4","0","       103","0","        64","0","         3","0","       15","","         4","0","         5","0","       101","0","        18","0","       168","0","        60","0","","","","","  -25.0","0,0209, ","    51"," ,0,0325,+","   102"," ,0,0325, ","  55.4"," ,0,0927, ","   38.9","0,0722, ","-0.6","0,1104","-2.8","0,1108","-7.8","0,1110","-7.8","0,1110","-11.7","0,1115","0.0","0,0407","-3.3","0,0324","-7.2","0,0311","-7.2","0,0311","-12.8","0,0310","    2942.0","0","","","","","","","","","    2942.0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    775.3"," ,0","      305"," ,0","     12.97","0","     18.75","0","      7.20","0"
