"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00075046","1900","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        48","a","        37","a","         1","a","","","","","","","","","","","","","  25.9"," ,a,0403, ","","","","","","","","","    319.8"," ,a","","","","","",""
"ASN00075046","1901","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        38","a","        30","a","         0","a","","","","","","","","","","","","","  20.3"," ,a,0219, ","","","","","","","","","    205.0"," ,a","","","","","",""
"ASN00075046","1902","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        34","a","        23","a","         1","a","","","","","","","","","","","","","  29.7"," ,a,1217, ","","","","","","","","","    168.1"," ,a","","","","","",""
"ASN00075046","1903","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        51","a","        36","a","         1","a","","","","","","","","","","","","","  67.8"," ,a,1228, ","","","","","","","","","    372.2"," ,a","","","","","",""
"ASN00075046","1904","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        38","a","        29","a","         0","a","","","","","","","","","","","","","  21.6"," ,a,0121, ","","","","","","","","","    238.9"," ,a","","","","","",""
"ASN00075046","1905","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        43","a","        31","a","         4","a","","","","","","","","","","","","","  49.5"," ,a,0218, ","","","","","","","","","    388.4"," ,a","","","","","",""
"ASN00075046","1906","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        54","a","        42","a","         9","a","","","","","","","","","","","","","  55.4"," ,a,0312, ","","","","","","","","","    632.9"," ,a","","","","","",""
"ASN00075046","1907","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        39","a","        30","a","         1","a","","","","","","","","","","","","","  25.7"," ,a,0729, ","","","","","","","","","    213.0"," ,a","","","","","",""
"ASN00075046","1908","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        50","a","        30","a","         0","a","","","","","","","","","","","","","  23.9"," ,a,0610, ","","","","","","","","","    297.8"," ,a","","","","","",""
"ASN00075046","1909","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        64","a","        40","a","         1","a","","","","","","","","","","","","","  25.9"," ,a,0820, ","","","","","","","","","    357.7"," ,a","","","","","",""
"ASN00075046","1910","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        70","a","        41","a","         2","a","","","","","","","","","","","","","  39.1"," ,a,0307, ","","","","","","","","","    403.0"," ,a","","","","","",""
"ASN00075046","1911","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        60","a","        37","a","         4","a","","","","","","","","","","","","","  51.8"," ,a,0209, ","","","","","","","","","    427.3"," ,a","","","","","",""
"ASN00075046","1912","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        52","a","        31","a","         3","a","","","","","","","","","","","","","  56.6"," ,a,1118, ","","","","","","","","","    377.4"," ,a","","","","","",""
"ASN00075046","1913","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        51","a","        33","a","         3","a","","","","","","","","","","","","","  39.1"," ,a,0530, ","","","","","","","","","    353.7"," ,a","","","","","",""
"ASN00075046","1914","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        30","a","        19","a","         3","a","","","","","","","","","","","","","  44.5"," ,a,1226, ","","","","","","","","","    254.4"," ,a","","","","","",""
"ASN00075046","1915","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        57","a","        29","a","         2","a","","","","","","","","","","","","","  43.9"," ,a,0514, ","","","","","","","","","    292.1"," ,a","","","","","",""
"ASN00075046","1916","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        77","a","        48","a","         1","a","","","","","","","","","","","","","  27.9"," ,a,1125, ","","","","","","","","","    470.9"," ,a","","","","","",""
"ASN00075046","1917","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        81","a","        49","a","         5","a","","","","","","","","","","","","","  35.6"," ,a,1121, ","","","","","","","","","    550.0"," ,a","","","","","",""
"ASN00075046","1918","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        66","a","        37","a","         5","a","","","","","","","","","","","","","  52.3"," ,a,0513, ","","","","","","","","","    422.3"," ,a","","","","","",""
"ASN00075046","1919","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        50","a","        26","a","         1","a","","","","","","","","","","","","","  27.7"," ,a,0908, ","","","","","","","","","    277.0"," ,a","","","","","",""
"ASN00075046","1920","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        65","a","        44","a","         1","a","","","","","","","","","","","","","  26.4"," ,a,0809, ","","","","","","","","","    370.1"," ,a","","","","","",""
"ASN00075046","1922","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        39","a","        29","a","         0","a","","","","","","","","","","","","","  19.1"," ,a,0426, ","","","","","","","","","    231.5"," ,a","","","","","",""
"ASN00075046","1923","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        63","a","        44","a","         4","a","","","","","","","","","","","","","  79.2"," ,a,0604, ","","","","","","","","","    427.1"," ,a","","","","","",""
"ASN00075046","1924","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        58","a","        41","a","         2","a","","","","","","","","","","","","","  55.9"," ,a,1215, ","","","","","","","","","    384.5"," ,a","","","","","",""
"ASN00075046","1925","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        49","a","        30","a","         0","a","","","","","","","","","","","","","  19.1"," ,a,0625, ","","","","","","","","","    242.0"," ,a","","","","","",""
"ASN00075046","1926","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        65","a","        33","a","         2","a","","","","","","","","","","","","","  48.3"," ,a,0321, ","","","","","","","","","    328.3"," ,a","","","","","",""
"ASN00075046","1927","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        55","a","        31","a","         0","a","","","","","","","","","","","","","  18.8"," ,a,0929, ","","","","","","","","","    228.1"," ,a","","","","","",""
"ASN00075046","1928","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        64","a","        31","a","         2","a","","","","","","","","","","","","","  62.5"," ,a,0213, ","","","","","","","","","    320.8"," ,a","","","","","",""
"ASN00075046","1930","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        67","a","        31","a","         4","a","","","","","","","","","","","",""," 111.8"," ,a,1216, ","","","","","","","","","    425.9"," ,a","","","","","",""
"ASN00075046","1931","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        79","a","        46","a","         2","a","","","","","","","","","","","","","  50.8"," ,a,0414, ","","","","","","","","","    461.5"," ,a","","","","","",""
"ASN00075046","1932","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        76","a","        38","a","         6","a","","","","","","","","","","","","","  36.8"," ,a,0210, ","","","","","","","","","    480.1"," ,a","","","","","",""
"ASN00075046","1933","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        72","a","        34","a","         4","a","","","","","","","","","","","","","  89.4"," ,a,1205, ","","","","","","","","","    405.0"," ,a","","","","","",""
"ASN00075046","1934","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        75","a","        36","a","         2","a","","","","","","","","","","","","","  76.2"," ,a,0223, ","","","","","","","","","    397.8"," ,a","","","","","",""
"ASN00075046","1935","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        78","a","        33","a","         2","a","","","","","","","","","","","","","  29.2"," ,a,1226, ","","","","","","","","","    317.3"," ,a","","","","","",""
"ASN00075046","1936","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        69","a","        41","a","         2","a","","","","","","","","","","","","","  61.0"," ,a,1217, ","","","","","","","","","    399.6"," ,a","","","","","",""
"ASN00075046","1937","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        46","a","        23","a","         2","a","","","","","","","","","","","","","  31.0"," ,a,0119, ","","","","","","","","","    253.3"," ,a","","","","","",""
"ASN00075046","1938","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        44","a","        22","a","         0","a","","","","","","","","","","","","","  21.1"," ,a,0829, ","","","","","","","","","    179.5"," ,a","","","","","",""
"ASN00075046","1939","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        79","a","        41","a","         4","a","","","","","","","","","","","","","  73.4"," ,a,0227, ","","","","","","","","","    550.4"," ,a","","","","","",""
"ASN00075046","1940","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        44","a","        20","a","         1","a","","","","","","","","","","","","","  25.4"," ,a,0921, ","","","","","","","","","    178.5"," ,a","","","","","",""
"ASN00075046","1941","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        56","a","        28","a","         3","a","","","","","","","","","","","","","  97.3"," ,a,0104, ","","","","","","","","","    353.0"," ,a","","","","","",""
"ASN00075046","1942","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        60","a","        40","a","         0","a","","","","","","","","","","","","","  20.8"," ,a,1030, ","","","","","","","","","    359.9"," ,a","","","","","",""
"ASN00075046","1943","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        53","a","        26","a","         0","a","","","","","","","","","","","","","   9.7"," ,a,0413, ","","","","","","","","","    174.6"," ,a","","","","","",""
"ASN00075046","1944","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        40","a","        19","a","         0","a","","","","","","","","","","","","","  21.8"," ,a,1212, ","","","","","","","","","    163.6"," ,a","","","","","",""
"ASN00075046","1945","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        59","a","        26","a","         1","a","","","","","","","","","","","","","  31.2"," ,a,0807, ","","","","","","","","","    279.2"," ,a","","","","","",""
"ASN00075046","1946","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        65","a","        40","a","         3","a","","","","","","","","","","","","","  66.5"," ,a,0226, ","","","","","","","","","    488.9"," ,a","","","","","",""
"ASN00075046","1947","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        74","a","        41","a","         0","a","","","","","","","","","","","","","  23.4"," ,a,1130, ","","","","","","","","","    388.5"," ,a","","","","","",""
"ASN00075046","1948","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        55","a","        26","a","         1","a","","","","","","","","","","","","","  32.8"," ,a,0412, ","","","","","","","","","    271.3"," ,a","","","","","",""
"ASN00075046","1949","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        60","a","        31","a","         1","a","","","","","","","","","","","","","  30.5"," ,a,0308, ","","","","","","","","","    400.9"," ,a","","","","","",""
"ASN00075046","1950","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        56","a","        34","a","         1","a","","","","","","","","","","","","","  41.7"," ,a,0318, ","","","","","","","","","    441.5"," ,a","","","","","",""
"ASN00075046","1951","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        64","a","        34","a","         1","a","","","","","","","","","","","","","  31.8"," ,a,0524, ","","","","","","","","","    324.6"," ,a","","","","","",""
"ASN00075046","1952","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        72","a","        45","a","         2","a","","","","","","","","","","","","","  41.9"," ,a,0517, ","","","","","","","","","    407.6"," ,a","","","","","",""
"ASN00075046","1953","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        65","a","        31","a","         0","a","","","","","","","","","","","","","  23.4"," ,a,0930, ","","","","","","","","","    288.1"," ,a","","","","","",""
"ASN00075046","1954","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        45","a","        28","a","         3","a","","","","","","","","","","","","","  38.1"," ,a,0131, ","","","","","","","","","    347.9"," ,a","","","","","",""
"ASN00075046","1955","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        74","a","        41","a","         3","a","","","","","","","","","","","","","  43.7"," ,a,0215, ","","","","","","","","","    418.3"," ,a","","","","","",""
"ASN00075046","1956","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        84","a","        53","a","         4","a","","","","","","","","","","","","","  60.7"," ,a,0306, ","","","","","","","","","    612.5"," ,a","","","","","",""
"ASN00075046","1957","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        41","a","        21","a","         1","a","","","","","","","","","","","","","  30.5"," ,a,0207, ","","","","","","","","","    237.0"," ,a","","","","","",""
"ASN00075046","1958","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        70","a","        44","a","         2","a","","","","","","","","","","","","","  73.7"," ,a,0815, ","","","","","","","","","    487.8"," ,a","","","","","",""
"ASN00075046","1959","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        37","a","        18","a","         3","a","","","","","","","","","","","","","  30.5"," ,a,1029,+","","","","","","","","","    228.2"," ,a","","","","","",""
"ASN00075046","1960","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        75","a","        48","a","         4","a","","","","","","","","","","","","","  47.8"," ,a,0502, ","","","","","","","","","    532.6"," ,a","","","","","",""
"ASN00075046","1961","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        49","a","        30","a","         2","a","","","","","","","","","","","","","  48.5"," ,a,0327, ","","","","","","","","","    318.2"," ,a","","","","","",""
"ASN00075046","1962","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        65","a","        33","a","         1","a","","","","","","","","","","","","","  31.8"," ,a,0117, ","","","","","","","","","    272.8"," ,a","","","","","",""
"ASN00075046","1963","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        69","a","        43","a","         5","a","","","","","","","","","","","","","  36.8"," ,a,1210, ","","","","","","","","","    461.5"," ,a","","","","","",""
"ASN00075046","1964","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        78","a","        38","a","         2","a","","","","","","","","","","","","","  51.6"," ,a,0422, ","","","","","","","","","    405.8"," ,a","","","","","",""
"ASN00075046","1965","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        57","a","        25","a","         2","a","","","","","","","","","","","","","  41.9"," ,a,1018, ","","","","","","","","","    312.3"," ,a","","","","","",""
"ASN00075046","1966","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        53","a","        32","a","         1","a","","","","","","","","","","","","","  50.5"," ,a,0930, ","","","","","","","","","    312.8"," ,a","","","","","",""
"ASN00075046","1967","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        31","a","        12","a","         1","a","","","","","","","","","","","","","  30.5"," ,a,0819, ","","","","","","","","","    118.9"," ,a","","","","","",""
"ASN00075046","1968","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        74","a","        32","a","         1","a","","","","","","","","","","","","","  30.5"," ,a,0429, ","","","","","","","","","    305.4"," ,a","","","","","",""
"ASN00075046","1969","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        60","a","        36","a","         4","a","","","","","","","","","","","","","  67.3"," ,a,0210, ","","","","","","","","","    494.6"," ,a","","","","","",""
"ASN00075046","1970","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        74","a","        33","a","         3","a","","","","","","","","","","","","","  28.4"," ,a,0827, ","","","","","","","","","    337.1"," ,a","","","","","",""
"ASN00075046","1971","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        77","a","        33","a","         2","a","         0","a","        13","a","         0","a","       196","a","        46","a","   -2.8","a,0701, ","  33.8"," ,a,0201, ","   42.4","a,0108, ","-0.6","a,0612","-2.8","a,0701","0.0","a,0906","    400.8"," ,a","     16.67","a","     23.35","a","      9.98","a"
"ASN00075046","1972","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","         0","a","         3","a","         0","a","       222","a","        53","a","   -1.2","a,0625, ","","","   43.0","a,1222,+","-0.1","a,0619","","","","","","","     17.04","a","     24.33","a","      9.76","a"
"ASN00075046","1973","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        89","a","        55","a","         8","a","","","","","","","","","","","","","  64.8"," ,a,0426, ","","","","","","","","","    760.9"," ,a","","","","","",""
"ASN00075046","1974","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","    596.8","","     596.8"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    762.4"," ,a","","","","","",""
"ASN00075046","1975","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        66","a","        27","a","         2","a","","","","","","","","","","","","","  51.6"," ,a,1213, ","","","","","","","","","    437.9"," ,a","","","","","",""
"ASN00075046","1976","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    259.7"," ,a","","","","","",""
"ASN00075046","1977","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    195.7"," ,a","","","","","",""
"ASN00075046","1978","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    432.6"," ,a","","","","","",""
"ASN00075046","1979","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    344.7"," ,a","","","","","",""
"ASN00075046","1980","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    228.2"," ,a","","","","","",""
"ASN00075046","1981","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    519.0"," ,a","","","","","",""
"ASN00075046","1982","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    140.8"," ,a","","","","","",""
"ASN00075046","1983","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    452.8"," ,a","","","","","",""
"ASN00075046","1984","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    296.1"," ,a","","","","","",""
"ASN00075046","1986","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    389.7"," ,a","","","","","",""
"ASN00075046","1987","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    306.5"," ,a","","","","","",""
"ASN00075046","1988","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    476.0"," ,a","","","","","",""
"ASN00075046","1989","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    358.7"," ,a","","","","","",""
"ASN00075046","1990","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    399.6"," ,a","","","","","",""
"ASN00075046","1991","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    285.0"," ,a","","","","","",""
"ASN00075046","1993","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    489.2"," ,a","","","","","",""
"ASN00075046","1994","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        35","a","        19","a","         2","a","","","","","","","","","","","","","  54.6"," ,a,1222, ","","","","","","","","","    317.8"," ,a","","","","","",""
"ASN00075046","1995","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    354.9"," ,a","","","","","",""
"ASN00075046","1996","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    362.5"," ,a","","","","","",""
"ASN00075046","1997","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        54","a","        28","a","         0","a","","","","","","","","","","","","","  19.8"," ,a,0507, ","","","","","","","","","    246.7"," ,a","","","","","",""
"ASN00075046","1998","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        67","a","        27","a","         2","a","","","","","","","","","","","","","  36.8"," ,a,0420, ","","","","","","","","","    319.9"," ,a","","","","","",""
"ASN00075046","1999","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    420.9"," ,a","","","","","",""
"ASN00075046","2000","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        68","a","        31","a","         2","a","","","","","","","","","","","","","  35.8"," ,a,0414, ","","","","","","","","","    381.1"," ,a","","","","","",""
"ASN00075046","2001","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        55","a","        29","a","         1","a","","","","","","","","","","","","","  26.2"," ,a,0126, ","","","","","","","","","    320.9"," ,a","","","","","",""
"ASN00075046","2002","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        47","a","        14","a","         0","a","","","","","","","","","","","","","  18.2"," ,a,0216, ","","","","","","","","","    181.8"," ,a","","","","","",""
"ASN00075046","2003","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        59","a","        30","a","         1","a","","","","","","","","","","","","","  34.8"," ,a,0221, ","","","","","","","","","    422.0"," ,a","","","","","",""
"ASN00075046","2004","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        54","a","        26","a","         2","a","","","","","","","","","","","","","  42.0"," ,a,1209, ","","","","","","","","","    321.1"," ,a","","","","","",""
"ASN00075046","2005","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    395.5"," ,a","","","","","",""
"ASN00075046","2006","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    185.2"," ,a","","","","","",""
"ASN00075046","2007","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        49","a","        23","a","         1","a","","","","","","","","","","","","","  35.4"," ,a,0102, ","","","","","","","","","    318.2"," ,a","","","","","",""
"ASN00075046","2010","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    590.3"," ,a","","","","","",""
"ASN00075046","2012","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    335.5"," ,a","","","","","",""
"ASN00075046","2013","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    281.0"," ,a","","","","","",""
