"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00413063","1928","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   2070.8","","    2070.8","0","        47","0","        41","0","        10","0","        0","","         0","0","         0","0","         6","0","         0","0","       298","0","       153","0","","","","","   -5.6","0,0102, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  86.4"," ,0,1110, ","   43.3","0,0810, ","-0.6","0,1221","","","","","","","-1.7","0,0104","-3.3","0,0103","-5.6","0,0102","","","","","     426.7","7","     426.7","0","    745.5"," ,0","        0"," ,0","     22.78","0","     29.63","0","     15.94","0"
"USC00413063","1929","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   2108.0","","    2108.0","0","        52","0","        38","0","         6","0","        0","","         0","0","         0","0","        16","0","         0","0","       315","0","       171","0","","","","","   -3.9","0,1223, ","     0"," ,0,1231,+","     0","T,0,1223,+"," 103.6"," ,0,0726, ","   43.3","0,0813, ","0.0","0,1203","-2.8","0,1204","","","","","0.0","0,0302","-2.8","0,0211","","","","","","","     382.8","8","     382.8","0","    586.9"," ,0","        0","T,0","     22.72","0","     29.69","0","     15.74","0"
"USC00413063","1930","27.1354","-98.1202","42.4","FALFURRIAS, TX US","","","","","        63","0","        48","0","         9","0","        0","","         0","0","         0","0","        13","0","","","","","","","","","         1"," ","   -7.2","0,0123,+","     0"," ,0,1231,+","     0","T,0,0118, ","  88.9"," ,0,0612, ","","","-1.1","0,1223","","","","","","","0.0","0,0130","-2.8","0,0125","-5.6","0,0124","-7.2","0,0123","","","","","","","    839.4"," ,0","        0","T,0","","","","","     15.22","0"
"USC00413063","1931","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   1882.1","","    1882.1","0","        54","0","        42","0","         7","0","        0","","         0","0","         0","0","         6","0","         0","0","       307","0","       154","0","","","","","   -0.6","0,0106,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  82.6"," ,0,0628, ","   38.9","0,0904,+","","","","","","","","","0.0","0,0309","","","","","","","","","     539.5","5","     539.5","0","    606.0"," ,0","        0"," ,0","     22.16","0","     29.02","0","     15.31","0"
"USC00413063","1932","27.1354","-98.1202","42.4","FALFURRIAS, TX US","","","","","        56","0","        38","0","         8","0","        0","","         0","0","         0","0","         9","0","         0","0","       314","0","       148","0","","","","","   -3.9","0,1217, ","     0"," ,0,1231,+","     0","T,0,0313,+","  56.6"," ,0,0929, ","   42.2","0,0717, ","0.0","0,1109","-3.9","0,1217","","","","","-2.2","0,0314","-2.2","0,0314","","","","","","","     358.9","9","     358.9","0","    593.3"," ,0","        0","T,0","     22.61","0","     29.29","0","     15.93","0"
"USC00413063","1933","27.1354","-98.1202","42.4","FALFURRIAS, TX US","","","","","        74","0","        52","0","        14","0","        0","","         0","0","         0","0","         9","0","","","","","","","","","","","   -5.0","0,0209,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 120.7"," ,0,0906, ","","","0.0","0,1207","","","","","","","-1.1","0,0212","-2.2","0,0210","-5.0","0,0209","","","","","","","","","    983.4"," ,0","        0"," ,0","","","","","     17.15","0"
"USC00413063","1934","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   2161.9","","    2161.9","0","        53","0","        34","0","         7","0","        0","","         0","0","         0","0","         4","0","         0","0","       329","0","       183","0","","","","","   -1.7","0,0319, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 114.8"," ,0,0726, ","   41.7","0,0724, ","0.0","0,1201","","","","","","","-1.7","0,0319","","","","","","","","","","","","","    673.5"," ,0","        0"," ,0","     23.28","0","     30.64","0","     15.92","0"
"USC00413063","1935","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   2226.1","","    2226.1","0","        74","0","        46","0","         5","0","        0","","         0","0","         0","0","         4","0","         0","0","       321","0","       160","0","","","","","   -6.7","0,0122, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  87.9"," ,0,0906, ","   40.6","0,0825,+","","","","","","","","","0.0","0,0228","-4.4","0,0227","-4.4","0,0227","-6.7","0,0122","","","     297.4","4","     297.4","0","    714.8"," ,0","        0"," ,0","     23.39","0","     29.80","0","     16.98","0"
"USC00413063","1936","27.1354","-98.1202","42.4","FALFURRIAS, TX US","","","","","        81","0","        47","0","         7","0","        0","","         0","0","         0","0","         6","0","         0","0","       305","0","       129","0","","","","","   -3.9","0,0218, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  71.1"," ,0,0829, ","   40.0","0,0405, ","-0.6","0,1105","","","","","","","-3.9","0,0218","-3.9","0,0218","","","","","","","","","","","    771.3"," ,0","        0"," ,0","     21.80","0","     28.33","0","     15.28","0"
"USC00413063","1937","27.1354","-98.1202","42.4","FALFURRIAS, TX US","","","","","        63","0","        35","0","         5","0","        0","","         0","0","         0","0","         2","0","         0","0","       305","0","       165","0","","","","","   -0.6","0,1120, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  47.8"," ,0,0514, ","   43.3","0,0428, ","-0.6","0,1120","","","","","","","","","","","","","","","","","","","","","    478.4"," ,0","        0"," ,0","     22.96","0","     29.72","0","     16.20","0"
