"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00093006","1955","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       170","a","        61","a","         2","a","","","","","","","","","","","","","  28.2"," ,a,1030, ","","","","","","","","","","","","","","","","","","","","","    614.7"," ,a","","","","","",""
"ASN00093006","1956","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       219","a","        76","a","         2","a","","","","","","","","","","","","","  39.6"," ,a,0503, ","","","","","","","","","","","","","","","","","","","","","    761.2"," ,a","","","","","",""
"ASN00093006","1957","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       159","a","        52","a","         2","a","","","","","","","","","","","","","  59.7"," ,a,0418, ","","","","","","","","","","","","","","","","","","","","","    518.3"," ,a","","","","","",""
"ASN00093006","1958","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       150","a","        61","a","         6","a","","","","","","","","","","","","","  43.4"," ,a,0219, ","","","","","","","","","","","","","","","","","","","","","    732.5"," ,a","","","","","",""
"ASN00093006","1959","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       142","a","        45","a","         0","a","","","","","","","","","","","","","  24.1"," ,a,1218, ","","","","","","","","","","","","","","","","","","","","","    438.2"," ,a","","","","","",""
"ASN00093006","1960","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       145","a","        60","a","         4","a","","","","","","","","","","","","","  71.4"," ,a,0422, ","","","","","","","","","","","","","","","","","","","","","    685.2"," ,a","","","","","",""
"ASN00093006","1961","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       138","a","        36","a","         2","a","","","","","","","","","","","","","  34.0"," ,a,0424, ","","","","","","","","","","","","","","","","","","","","","    391.3"," ,a","","","","","",""
"ASN00093006","1962","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       157","a","        62","a","         1","a","","","","","","","","","","","","","  30.7"," ,a,0828, ","","","","","","","","","","","","","","","","","","","","","    556.6"," ,a","","","","","",""
"ASN00093006","1963","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       129","a","        56","a","         0","a","","","","","","","","","","","","","  19.8"," ,a,0804, ","","","","","","","","","","","","","","","","","","","","","    402.8"," ,a","","","","","",""
"ASN00093006","1964","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       138","a","        65","a","         5","a","","","","","","","","","","","","","  41.1"," ,a,0212, ","","","","","","","","","","","","","","","","","","","","","    710.2"," ,a","","","","","",""
"ASN00093006","1965","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       131","a","        47","a","         3","a","","","","","","","","","","","","","  39.6"," ,a,0421, ","","","","","","","","","","","","","","","","","","","","","    553.6"," ,a","","","","","",""
"ASN00093006","1966","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       142","a","        49","a","         1","a","         0","a","        58","a","         0","a","       103","a","         4","a","   -7.2","a,0523, ","  40.6"," ,a,1020, ","   35.4","a,0308,+","-0.3","a,0303","-2.4","a,0424","-4.6","a,0516","-7.2","a,0523","-0.3","a,1027","-2.6","a,0830","","","    2718.0","0","    2718.0","a","    538.0"," ,a","     10.93","a","     16.95","a","      4.91","a"
"ASN00093006","1967","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       127","a","        37","a","         2","a","         0","a","        64","a","         0","a","        94","a","         5","a","   -5.8","a,0522, ","  46.0"," ,a,0823, ","   36.9","a,0207, ","-1.1","a,0228","-2.7","a,0426","-5.0","a,0521","","","-1.0","a,1208","-2.5","a,1003","-5.5","a,0817","","","","","    384.9"," ,a","     11.17","a","     17.54","a","      4.81","a"
"ASN00093006","1968","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       138","a","        68","a","         1","a","","","","","","","","","","","","","  25.4"," ,a,0221, ","","","","","","","","","","","","","","","","","","","","","    672.3"," ,a","","","","","",""
"ASN00093006","1970","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","        88","a","        61","a","         4","a","","","","","","","","","","","","","  48.8"," ,a,1228, ","","","","","","","","","","","","","","","","","","","","","    737.9"," ,a","","","","","",""
"ASN00093006","1971","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       114","a","        56","a","         4","a","","","","","","","","","","","","","  45.7"," ,a,1106, ","","","","","","","","","","","","","","","","","","","","","    736.4"," ,a","","","","","",""
"ASN00093006","1972","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","        43","a","        27","a","         0","a","","","","","","","","","","","","","  24.4"," ,a,0112, ","","","","","","","","","","","","","","","","","","","","","    355.8"," ,a","","","","","",""
"ASN00093006","1973","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","        89","a","        56","a","         4","a","","","","","","","","","","","","","  34.3"," ,a,1222, ","","","","","","","","","","","","","","","","","","","","","    733.4"," ,a","","","","","",""
"ASN00093006","1976","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    471.7"," ,a","","","","","",""
"ASN00093006","1977","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","        81","a","        47","a","         2","a","","","","","","","","","","","","","  28.6"," ,a,1129, ","","","","","","","","","","","","","","","","","","","","","    534.0"," ,a","","","","","",""
"ASN00093006","1978","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","        86","a","        54","a","         5","a","","","","","","","","","","","","","  29.2"," ,a,1227, ","","","","","","","","","","","","","","","","","","","","","    547.8"," ,a","","","","","",""
"ASN00093006","1979","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    437.1"," ,a","","","","","",""
"ASN00093006","1980","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","        71","a","        37","a","         0","a","","","","","","","","","","","","","  24.0"," ,a,0308, ","","","","","","","","","","","","","","","","","","","","","    456.3"," ,a","","","","","",""
"ASN00093006","1982","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","        44","a","        32","a","         2","a","","","","","","","","","","","","","  65.3"," ,a,1208, ","","","","","","","","","","","","","","","","","","","","","    364.3"," ,a","","","","","",""
"ASN00093006","1983","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","        47","a","        33","a","         2","a","","","","","","","","","","","","","  31.2"," ,a,0425, ","","","","","","","","","","","","","","","","","","","","","    355.4"," ,a","","","","","",""
"ASN00093006","1992","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    581.0"," ,a","","","","","",""
