"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USW00012920","1955","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","   2478.3","","    2478.3","0","        52","0","        26","0","         1","0","        0","","         0","0","         0","0","         3","0","         0","0","       304","0","       189","0","        58"," ","","","        24"," ","   -0.6","0,0212,+","     0","T,0,0512, ","     0","T,0,0512, ","  25.4"," ,0,1108, ","   40.6","0,0625,+","    3086.3","0","","","","","-0.6","0,0212","","","","","","","     424.4","4","     424.4","0","    244.6"," ,0","        0","T,0","     23.75","0","     30.07","0","     17.42","0","     66929","0"
"USW00012920","1956","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","   2475.8","","    2475.8","0","        46","0","        16","0","         4","0","        0","","         0","0","         0","0","         6","0","         0","0","       316","0","       190","0","        45"," ","","","        28"," ","   -1.7","0,0205, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  75.2"," ,0,0515, ","   41.1","0,0615, ","    3264.8","0","","","","","-1.7","0,0205","","","","","","","     428.7","7","     428.7","0","    253.3"," ,0","        0"," ,0","     23.90","0","     30.50","0","     17.30","0","",""
"USW00012920","1957","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","   2394.6","","    2394.6","0","        68","0","        28","0","         5","0","        0","","         0","0","         0","0","         3","0","         0","0","       313","0","       161","0","        63"," ","","","        32"," ","   -0.6","0,1212,+","     0"," ,0,1231,+","     0","T,0,1123, "," 102.9"," ,0,0527, ","   42.2","0,0628, ","","","0.0","0,1124","","","-0.6","0,0117","","","","","","","     375.9","9","     375.9","0","    510.5"," ,0","        0","T,0","     23.74","0","     29.78","0","     17.70","0","",""
"USW00012920","1958","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","   2104.3","","    2104.3","0","        89","0","        47","0","        10","0","        0","","         0","0","         0","0","         2","0","         0","0","       281","0","       144","0","       118"," ","","","        37"," ","   -1.1","0,0213, ","     0"," ,0,1231,+","     0","T,0,1231,+","  52.6"," ,0,0104, ","   42.8","0,0423, ","    2471.7","0","0.0","0,1216","","","-1.1","0,0213","","","","","","","     633.9","9","     633.9","0","    771.6"," ,0","        0","T,0","     22.23","0","     27.98","0","     16.48","0","     56368","0"
"USW00012920","1959","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","   2308.1","","    2308.1","0","        65","0","        29","0","         4","0","        0","","         0","0","         0","0","         8","0","         0","0","       294","0","       178","0","        77"," ","","","        36"," ","   -1.1","0,0104, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  74.7"," ,0,0625, ","   41.1","0,0901, ","    2642.6","0","-0.6","0,1118","","","0.0","0,0122","","","","","","","     655.0","0","     655.0","0","    424.8"," ,0","        0"," ,0","     22.90","0","     29.30","0","     16.50","0","     58988","0"
"USW00012920","1960","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","   2326.5","","    2326.5","0","        90","0","        35","0","         8","0","        0","","         0","0","         0","0","         3","0","         0","0","       284","0","       176","0","        95"," ","","","        37"," ","   -3.3","0,0225, ","     0"," ,0,1231,+","     0","T,0,0212, ","  44.7"," ,0,1121, ","   43.3","0,0730, ","    2656.7","0","","","","","-3.3","0,0225","-3.3","0,0225","","","","","     639.4","4","     639.4","0","    571.1"," ,0","        0","T,0","     22.84","0","     28.98","0","     16.69","0","     62750","0"
"USW00012920","1961","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","   2273.1","","    2273.1","0","        63","0","        29","0","         4","0","        0","","         0","0","         0","0","         2","0","         0","0","       306","0","       177","0","        58"," ","","","        25"," ","   -1.1","0,0207, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  39.4"," ,0,0913, ","   40.0","0,0804, ","    2864.6","0","","","","","-1.1","0,0207","","","","","","","     602.5","5","     602.5","0","    348.6"," ,0","        0"," ,0","     23.04","0","     29.42","0","     16.67","0","     64911","0"
"USW00012920","1962","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","   2506.7","","    2506.7","0","        54","0","        24","0","         2","0","        0","","         0","0","         0","0","         6","0","         1","0","       313","0","       184","0","        55"," ","","","        26"," ","   -7.8","0,0112, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  42.9"," ,0,0422, ","   42.2","0,0810, ","    3291.6","0","","","","","-2.2","0,0113","-2.2","0,0113","-7.8","0,0112","-7.8","0,0112","     523.7","7","     523.7","0","    331.8"," ,0","        0"," ,0","     23.83","0","     30.41","0","     17.26","0","     73818","0"
"USW00012920","1963","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","   2539.6","","    2539.6","0","        51","0","        28","0","         3","0","        0","","         0","0","         0","0","        18","0","         0","0","       302","0","       200","0","        55"," ","","","        25"," ","   -6.1","0,0124, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 109.7"," ,0,0617, ","   41.7","0,0409, ","    3190.9","0","-0.6","0,1222","-2.8","0,1223","0.0","0,0214","-2.2","0,0212","-6.1","0,0124","","","     568.3","3","     568.3","0","    444.0"," ,0","        0"," ,0","     23.36","0","     29.83","0","     16.89","0","     73747","0"
"USW00012920","1964","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","   2316.8","","    2316.8","0","        55","0","        27","0","         3","0","        0","","         0","0","         0","0","         7","0","         0","0","       314","0","       160","0","        44"," ","","","        30"," ","   -3.3","0,0113, ","     0"," ,0,1231,+","     0","T,0,1122, ","  78.2"," ,0,0823, ","   41.1","0,0819,+","","","0.0","0,1214","","","0.0","0,0208","-2.8","0,0114","","","","","     627.3","3","     627.3","0","    340.6"," ,0","        0","T,0","     23.19","0","     29.41","0","     16.96","0","",""
"USW00012920","1965","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","        14"," ","         2"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","     525.7","7","     525.7","0","","","","","","","","","","","",""
