"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00268034","1940","38.6","-118.6","1281.1","THORNE, NV US","    707.1","","     707.1","6","        20","6","         9","6","         0","6","","","","","         0","6","        94","6","         2","6","       185","6","        86","6","  -16.7","6,1214, ","","","","","  12.7"," ,6,1025, ","   39.4","6,0811,+","-0.6","6,1004","-2.8","6,1104","-6.1","6,1110","-8.9","6,1120","-8.9","6,1120","0.0","6,0417","-6.1","6,0313","-6.1","6,0313","-9.4","6,0312","-9.4","6,0312","    2266.8","8","    2266.8","6","     69.5"," ,6","","","     13.68","6","     21.61","6","      5.75","6"
"USC00268034","1941","38.6","-118.6","1281.1","THORNE, NV US","    433.5","","     433.5","6","        20","6","         9","6","         0","6","","","","","         0","6","        95","6","         0","6","       167","6","        47","6","   -9.4","6,1121, ","","","","","  17.5"," ,6,1020, ","   39.4","6,0723, ","-1.1","6,1006","-3.3","6,1118","-7.8","6,1119","-7.8","6,1119","-9.4","6,1121","-0.6","6,0421","-3.3","6,0420","-5.0","6,0324","-7.8","6,0204","","","    2500.8","8","    2500.8","6","     78.3"," ,6","","","     12.56","6","     20.08","6","      5.04","6"
"USC00268034","1942","38.6","-118.6","1281.1","THORNE, NV US","    539.0","","     539.0","6","         4","6","         2","6","         0","6","","","","","         0","6","       116","6","         1","6","       163","6","        63","6","  -13.3","6,0102, ","","","","","   3.0"," ,6,0406,+","   41.1","6,0808, ","-2.8","6,1029","-2.8","6,1029","-4.4","6,1104","-7.8","6,1205","-10.6","6,1226","0.0","6,0512","-3.3","6,0506","-6.1","6,0327","-6.7","6,0326","-10.0","6,0105","    2670.6","6","    2670.6","6","      9.0"," ,6","","","     12.37","6","     20.34","6","      4.38","6"
"USC00268034","1943","38.6","-118.6","1281.1","THORNE, NV US","    605.8","","     605.8","6","        21","6","        11","6","         0","6","","","","","         0","6","       105","6","         0","6","       182","6","        69","6","  -15.6","6,0118, ","","","","","  13.5"," ,6,0121, ","   39.4","6,0727, ","0.0","6,1022","-3.9","6,1031","-4.4","6,1101","-7.2","6,1210","","","0.0","6,0331","-2.8","6,0320","-4.4","6,0316","-7.8","6,0210","-12.2","6,0119","    2422.7","7","    2422.7","6","     93.7"," ,6","","","     13.38","6","     21.10","6","      5.67","6"
"USC00268034","1944","38.6","-118.6","1281.1","THORNE, NV US","    512.7","","     512.7","6","        14","6","         7","6","         0","6","","","","","         0","6","       127","6","         1","6","       173","6","        59","6","  -11.7","6,1213, ","","","","","  14.0"," ,6,0615, ","   38.9","6,0630, ","-2.8","6,1113","-2.8","6,1113","-6.1","6,1115","-7.2","6,1116","-8.9","6,1210","0.0","6,0426","-3.3","6,0417","-4.4","6,0328","-7.8","6,0326","-8.9","6,0128","    2551.5","5","    2551.5","6","     70.6"," ,6","","","     12.16","6","     19.63","6","      4.68","6"
"USC00268034","1945","38.6","-118.6","1281.1","THORNE, NV US","    595.1","","     595.1","6","        26","6","        15","6","         1","6","","","         3","6","         0","6","       109","6","         2","6","       175","6","        68","6","  -16.1","6,1214, ","","","   178"," ,6,0315, ","  26.7"," ,6,0530, ","   39.4","6,0726,+","-1.1","6,1023","-4.4","6,1108","-4.4","6,1108","-7.8","6,1209","-11.7","6,1213","-0.6","6,0415","-5.6","6,0413","-5.6","6,0413","-9.4","6,0305","-9.4","6,0305","    2619.3","3","    2619.3","6","    169.6"," ,6","      414"," ,6","     12.85","6","     20.25","6","      5.45","6"
"USC00268034","1946","38.6","-118.6","1281.1","THORNE, NV US","    583.6","","     583.6","6","        27","6","        18","6","         0","6","","","","","         0","6","       105","6","         0","6","       177","6","        72","6","  -11.1","6,0131, ","","","","","  13.2"," ,6,0320, ","   40.6","6,0803, ","-1.1","6,1018","-4.4","6,1030","-4.4","6,1030","-8.3","6,1103","-10.0","6,1218","-0.6","6,0410","-2.8","6,0403","-5.6","6,0305","-7.2","6,0214","-8.9","6,0213","    2329.9","9","    2329.9","6","    118.5"," ,6","","","     12.84","6","     20.64","6","      5.04","6"
"USC00268034","1947","38.6","-118.6","1281.1","THORNE, NV US","    576.8","","     576.8","6","        19","6","         8","6","         1","6","","","         2","6","         0","6","       144","6","         2","6","       183","6","        82","6","  -13.9","6,1106, ","","","    76"," ,6,1208, ","  29.0"," ,6,0218, ","   39.4","6,0806,+","-0.6","6,1004","-3.9","6,1010","-7.2","6,1022","-7.2","6,1022","-9.4","6,1105","-2.2","6,0407","-2.2","6,0407","-4.4","6,0307","-7.2","6,0305","-10.0","6,0119","    2525.6","6","    2525.6","6","     85.4"," ,6","      127"," ,6","     12.45","6","     21.32","6","      3.58","6"
"USC00268034","1948","38.6","-118.6","1281.1","THORNE, NV US","","","","","","","","","","","","","         1","0","","","","","","","","","","","","","","","    51"," ,0,0210, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       51"," ,0","","","","","",""
"USC00268034","1949","38.6","-118.6","1281.1","THORNE, NV US","","","","","        13","0","        12","0","         0","0","       19","","         7","0","","","","","","","","","","","","","   152"," ,0,0114, ","   102"," ,0,0114, ","  12.7"," ,0,0408, ","","","","","","","","","","","","","","","","","","","","","","","","","","","     76.8"," ,0","      457"," ,0","","","","","",""
