"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00067009","1906","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        61","a","        45","a","         4","a","","","","","","","","","","","","","  65.8"," ,a,0831, ","","","","","","","","","    515.6"," ,a","","","","","",""
"ASN00067009","1907","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        50","a","        37","a","         1","a","","","","","","","","","","","","","  39.1"," ,a,0315, ","","","","","","","","","    376.1"," ,a","","","","","",""
"ASN00067009","1908","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        45","a","        42","a","         5","a","","","","","","","","","","","",""," 113.5"," ,a,0202, ","","","","","","","","","    627.8"," ,a","","","","","",""
"ASN00067009","1909","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        45","a","        41","a","         4","a","","","","","","","","","","","","","  46.2"," ,a,1222, ","","","","","","","","","    464.0"," ,a","","","","","",""
"ASN00067009","1910","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        36","a","        35","a","         7","a","","","","","","","","","","","",""," 118.9"," ,a,1213, ","","","","","","","","","    696.9"," ,a","","","","","",""
"ASN00067009","1911","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        60","a","        60","a","        12","a","","","","","","","","","","","",""," 102.4"," ,a,0113, ","","","","","","","","","    948.1"," ,a","","","","","",""
"ASN00067009","1912","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        51","a","        50","a","         8","a","","","","","","","","","","","","","  85.1"," ,a,0524, ","","","","","","","","","    838.5"," ,a","","","","","",""
"ASN00067009","1913","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        42","a","        41","a","        11","a","","","","","","","","","","","",""," 133.4"," ,a,0309, ","","","","","","","","","    844.9"," ,a","","","","","",""
"ASN00067009","1914","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        59","a","        54","a","        11","a","","","","","","","","","","","",""," 137.2"," ,a,0323, ","","","","","","","","","    924.3"," ,a","","","","","",""
"ASN00067009","1915","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        36","a","        34","a","         7","a","","","","","","","","","","","","","  70.4"," ,a,0331, ","","","","","","","","","    478.9"," ,a","","","","","",""
"ASN00067009","1916","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        58","a","        55","a","        10","a","","","","","","","","","","","",""," 134.6"," ,a,1005, ","","","","","","","","","    856.5"," ,a","","","","","",""
"ASN00067009","1917","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        50","a","        49","a","         8","a","","","","","","","","","","","","","  67.3"," ,a,1010, ","","","","","","","","","    748.6"," ,a","","","","","",""
"ASN00067009","1918","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        37","a","        37","a","         7","a","","","","","","","","","","","","","  68.6"," ,a,0112, ","","","","","","","","","    612.9"," ,a","","","","","",""
"ASN00067009","1938","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        82","a","        47","a","         6","a","","","","","","","","","","","","","  49.3"," ,a,0825, ","","","","","","","","","    642.5"," ,a","","","","","",""
"ASN00067009","1939","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        82","a","        48","a","         2","a","","","","","","","","","","","","","  35.3"," ,a,0803, ","","","","","","","","","    473.5"," ,a","","","","","",""
"ASN00067009","1940","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        67","a","        36","a","         3","a","","","","","","","","","","","","","  66.0"," ,a,1202, ","","","","","","","","","    507.0"," ,a","","","","","",""
"ASN00067009","1941","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        78","a","        45","a","         2","a","","","","","","","","","","","","","  34.3"," ,a,0917, ","","","","","","","","","    425.0"," ,a","","","","","",""
"ASN00067009","1942","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        81","a","        43","a","         8","a","","","","","","","","","","","","","  99.1"," ,a,0329, ","","","","","","","","","    726.2"," ,a","","","","","",""
"ASN00067009","1943","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       108","a","        63","a","         7","a","","","","","","","","","","","","","  76.2"," ,a,0520, ","","","","","","","","","    831.0"," ,a","","","","","",""
"ASN00067009","1944","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        67","a","        35","a","         2","a","","","","","","","","","","","","","  35.6"," ,a,0703, ","","","","","","","","","    352.5"," ,a","","","","","",""
"ASN00067009","1945","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        87","a","        52","a","         7","a","","","","","","","","","","","","","  51.1"," ,a,0611, ","","","","","","","","","    694.7"," ,a","","","","","",""
"ASN00067009","1946","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        72","a","        41","a","         6","a","","","","","","","","","","","","","  86.9"," ,a,0416, ","","","","","","","","","    609.3"," ,a","","","","","",""
"ASN00067009","1947","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        99","a","        69","a","         8","a","","","","","","","","","","","","","  46.5"," ,a,0314, ","","","","","","","","","    849.6"," ,a","","","","","",""
"ASN00067009","1948","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        89","a","        51","a","         6","a","","","","","","","","","","","","","  69.9"," ,a,0503, ","","","","","","","","","    597.4"," ,a","","","","","",""
"ASN00067009","1949","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       107","a","        59","a","        16","a","","","","","","","","","","","","","  64.8"," ,a,0618, ","","","","","","","","","   1037.1"," ,a","","","","","",""
"ASN00067009","1950","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       159","a","       106","a","        20","a","","","","","","","","","","","",""," 118.1"," ,a,0616, ","","","","","","","","","   1738.9"," ,a","","","","","",""
"ASN00067009","1951","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        98","a","        59","a","        11","a","","","","","","","","","","","","","  79.8"," ,a,0926, ","","","","","","","","","    936.2"," ,a","","","","","",""
"ASN00067009","1952","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        76","a","        54","a","        13","a","","","","","","","","","","","",""," 111.8"," ,a,0727, ","","","","","","","","","   1070.4"," ,a","","","","","",""
"ASN00067009","1954","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        92","a","        56","a","         6","a","","","","","","","","","","","","","  68.1"," ,a,0222, ","","","","","","","","","    719.2"," ,a","","","","","",""
"ASN00067009","1956","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       117","a","        66","a","        14","a","","","","","","","","","","","",""," 208.3"," ,a,0210, ","","","","","","","","","   1289.5"," ,a","","","","","",""
"ASN00067009","1957","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        66","a","        33","a","         6","a","","","","","","","","","","","","","  53.6"," ,a,0710, ","","","","","","","","","    534.2"," ,a","","","","","",""
"ASN00067009","1958","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        94","a","        52","a","         8","a","","","","","","","","","","","","","  81.5"," ,a,0311, ","","","","","","","","","    836.9"," ,a","","","","","",""
"ASN00067009","1959","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       111","a","        61","a","         6","a","","","","","","","","","","","","","  94.2"," ,a,0219, ","","","","","","","","","    882.3"," ,a","","","","","",""
"ASN00067009","1960","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       108","a","        53","a","         9","a","","","","","","","","","","","","","  58.2"," ,a,1122, ","","","","","","","","","    805.8"," ,a","","","","","",""
"ASN00067009","1961","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       107","a","        59","a","        13","a","","","","","","","","","","","",""," 178.3"," ,a,1119, ","","","","","","","","","   1060.7"," ,a","","","","","",""
"ASN00067009","1962","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        95","a","        62","a","         6","a","","","","","","","","","","","","","  86.4"," ,a,0514, ","","","","","","","","","    850.1"," ,a","","","","","",""
"ASN00067009","1963","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       122","a","        79","a","        14","a","","","","","","","","","","","",""," 177.8"," ,a,0116, ","","","","","","","","","   1410.8"," ,a","","","","","",""
"ASN00067009","1964","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        74","a","        43","a","        10","a","","","","","","","","","","","",""," 101.1"," ,a,0612, ","","","","","","","","","    792.4"," ,a","","","","","",""
"ASN00067009","1965","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        78","a","        39","a","         4","a","","","","","","","","","","","","","  43.7"," ,a,0718, ","","","","","","","","","    410.8"," ,a","","","","","",""
"ASN00067009","1966","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       101","a","        55","a","         4","a","         0","a","        10","a","         0","a","       212","a","        26","a","   -2.2","a,0712, "," 115.8"," ,a,1109, ","   39.2","a,1130, ","0.0","a,0629","-2.2","a,0712","0.0","a,0907","    744.8"," ,a","     16.49","a","     22.93","a","     10.05","a"
"ASN00067009","1967","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        95","a","        48","a","         8","a","","","","","","","","","","","","","  92.7"," ,a,0807, ","","","","","","","","","    800.8"," ,a","","","","","",""
"ASN00067009","1968","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        75","a","        36","a","         6","a","","","","","","","","","","","","","  39.6"," ,a,0515, ","","","","","","","","","    460.9"," ,a","","","","","",""
"ASN00067009","1969","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       107","a","        58","a","         9","a","","","","","         0","a","       215","a","        22","a","",""," 157.5"," ,a,0416, ","   40.0","a,0108, ","","","","","","","   1095.4"," ,a","","","     23.27","a","",""
"ASN00067009","1971","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        99","a","        50","a","         3","a","","","","","         0","a","       231","a","        13","a","","","  36.3"," ,a,1208, ","   38.9","a,0109, ","","","","","","","    584.3"," ,a","","","     23.16","a","",""
"ASN00067009","1973","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       124","a","        71","a","         4","a","","","","","","","","","","","","","  90.9"," ,a,0128, ","","","","","","","","","    773.1"," ,a","","","","","",""
"ASN00067009","1974","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       114","a","        60","a","        15","a","         0","a","         7","a","         0","a","       193","a","        12","a","   -1.0","a,0808, ","  98.0"," ,a,0526, ","   38.8","a,1112, ","0.0","a,0623","","","-1.0","a,0808","   1213.6"," ,a","     16.95","a","     22.65","a","     11.24","a"
"ASN00067009","1975","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       109","a","        51","a","         8","a","","","","","         0","a","       222","a","        24","a","","","  93.6"," ,a,0622, ","   41.0","a,0121, ","","","","","","","    850.0"," ,a","","","     23.58","a","",""
"ASN00067009","1976","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       111","a","        68","a","         8","a","","","","","","","","","","","","","  62.0"," ,a,1017, ","","","","","","","","","   1050.1"," ,a","","","","","",""
"ASN00067009","1977","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        82","a","        48","a","         4","a","","","","","","","","","","","","","  82.4"," ,a,0223, ","","","","","","","","","    660.0"," ,a","","","","","",""
"ASN00067009","1979","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        89","a","        50","a","         4","a","","","","","","","","","","","","","  47.6"," ,a,1124, ","","","","","","","","","    558.6"," ,a","","","","","",""
"ASN00067009","1980","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        81","a","        44","a","         5","a","","","","","","","","","","","","","  51.8"," ,a,0202, ","","","","","","","","","    545.3"," ,a","","","","","",""
"ASN00067009","1981","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       101","a","        56","a","         9","a","","","","","","","","","","","","","  68.2"," ,a,1103, ","","","","","","","","","    886.5"," ,a","","","","","",""
"ASN00067009","1982","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    497.1"," ,a","","","","","",""
